,date,weekday
0,2025-04-28 21:11:26.195728+08:00,Monday
1,2025-04-29 21:11:26.195728+08:00,Tuesday
2,2025-04-30 21:11:26.195728+08:00,Wednesday
3,2025-05-01 21:11:26.195728+08:00,Thursday
4,2025-05-02 21:11:26.195728+08:00,Friday
5,2025-05-05 21:11:26.195728+08:00,Monday
6,2025-05-06 21:11:26.195728+08:00,Tuesday
7,2025-05-07 21:11:26.195728+08:00,Wednesday
8,2025-05-08 21:11:26.195728+08:00,Thursday
9,2025-05-09 21:11:26.195728+08:00,Friday
10,2025-05-12 21:11:26.195728+08:00,Monday
11,2025-05-13 21:11:26.195728+08:00,Tuesday
12,2025-05-14 21:11:26.195728+08:00,Wednesday
13,2025-05-15 21:11:26.195728+08:00,Thursday
14,2025-05-16 21:11:26.195728+08:00,Friday
15,2025-05-19 21:11:26.195728+08:00,Monday
16,2025-05-20 21:11:26.195728+08:00,Tuesday
17,2025-05-21 21:11:26.195728+08:00,Wednesday
18,2025-05-22 21:11:26.195728+08:00,Thursday
19,2025-05-23 21:11:26.195728+08:00,Friday
20,2025-05-26 21:11:26.195728+08:00,Monday
21,2025-05-27 21:11:26.195728+08:00,Tuesday
22,2025-05-28 21:11:26.195728+08:00,Wednesday
23,2025-05-29 21:11:26.195728+08:00,Thursday
24,2025-05-30 21:11:26.195728+08:00,Friday
25,2025-06-02 21:11:26.195728+08:00,Monday
26,2025-06-03 21:11:26.195728+08:00,Tuesday
27,2025-06-04 21:11:26.195728+08:00,Wednesday
28,2025-06-05 21:11:26.195728+08:00,Thursday
29,2025-06-06 21:11:26.195728+08:00,Friday
30,2025-06-09 21:11:26.195728+08:00,Monday
31,2025-06-10 21:11:26.195728+08:00,Tuesday
32,2025-06-11 21:11:26.195728+08:00,Wednesday
33,2025-06-12 21:11:26.195728+08:00,Thursday
34,2025-06-13 21:11:26.195728+08:00,Friday
35,2025-06-16 21:11:26.195728+08:00,Monday
36,2025-06-17 21:11:26.195728+08:00,Tuesday
37,2025-06-18 21:11:26.195728+08:00,Wednesday
38,2025-06-19 21:11:26.195728+08:00,Thursday
39,2025-06-20 21:11:26.195728+08:00,Friday
40,2025-06-23 21:11:26.195728+08:00,Monday
41,2025-06-24 21:11:26.195728+08:00,Tuesday
42,2025-06-25 21:11:26.195728+08:00,Wednesday
43,2025-06-26 21:11:26.195728+08:00,Thursday
44,2025-06-27 21:11:26.195728+08:00,Friday
45,2025-06-30 21:11:26.195728+08:00,Monday
46,2025-07-01 21:11:26.195728+08:00,Tuesday
47,2025-07-02 21:11:26.195728+08:00,Wednesday
48,2025-07-03 21:11:26.195728+08:00,Thursday
49,2025-07-04 21:11:26.195728+08:00,Friday
50,2025-07-07 21:11:26.195728+08:00,Monday
51,2025-07-08 21:11:26.195728+08:00,Tuesday
52,2025-07-09 21:11:26.195728+08:00,Wednesday
53,2025-07-10 21:11:26.195728+08:00,Thursday
54,2025-07-11 21:11:26.195728+08:00,Friday
55,2025-07-14 21:11:26.195728+08:00,Monday
56,2025-07-15 21:11:26.195728+08:00,Tuesday
57,2025-07-16 21:11:26.195728+08:00,Wednesday
58,2025-07-17 21:11:26.195728+08:00,Thursday
59,2025-07-18 21:11:26.195728+08:00,Friday
60,2025-07-21 21:11:26.195728+08:00,Monday
61,2025-07-22 21:11:26.195728+08:00,Tuesday
62,2025-07-23 21:11:26.195728+08:00,Wednesday
63,2025-07-24 21:11:26.195728+08:00,Thursday
