,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date
0,2025-04-28 21:19:03.361338+08:00,2025-04-28 21:19:03.361338+08:00,HSI,辛亥,壬午,丁亥,丙辰,乙未,乙巳,庚子,庚寅,辛亥,壬未,癸未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,14986832091900891411,2025-04-25 13:19:06.929242+08:00
1,2025-04-29 21:19:03.361338+08:00,2025-04-29 21:19:03.361338+08:00,HSI,癸亥,癸未,戊子,戊辰,乙未,乙巳,庚子,庚寅,癸亥,癸申,甲未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,9943755042536549548,2025-04-25 13:19:06.929242+08:00
2,2025-04-30 21:19:03.361338+08:00,2025-04-30 21:19:03.361338+08:00,HSI,乙亥,甲申,己丑,庚辰,乙未,乙巳,庚子,庚寅,乙亥,甲酉,甲未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11863328843927137337,2025-04-25 13:19:06.929242+08:00
3,2025-05-01 21:19:03.361338+08:00,2025-05-01 21:19:03.361338+08:00,HSI,丁亥,乙酉,庚寅,壬辰,乙未,乙巳,庚子,庚寅,丁亥,乙戌,甲未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,6244942720387465074,2025-04-25 13:19:06.929242+08:00
4,2025-05-02 21:19:03.361338+08:00,2025-05-02 21:19:03.361338+08:00,HSI,己亥,丙戌,辛卯,甲辰,乙未,乙巳,庚子,庚寅,己亥,丙亥,己未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,3834222224298250461,2025-04-25 13:19:06.929242+08:00
5,2025-05-05 21:19:03.361338+08:00,2025-05-05 21:19:03.361338+08:00,HSI,乙亥,己丑,甲午,庚辰,辛巳,乙巳,庚子,丙子,乙亥,己寅,辛巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,16367867319338605086,2025-04-25 13:19:06.929242+08:00
6,2025-05-06 21:19:03.361338+08:00,2025-05-06 21:19:03.361338+08:00,HSI,丁亥,庚寅,乙未,壬辰,辛巳,乙巳,庚子,丙子,丁亥,庚卯,辛巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,12344554325208677399,2025-04-25 13:19:06.929242+08:00
7,2025-05-07 21:19:03.361338+08:00,2025-05-07 21:19:03.361338+08:00,HSI,己亥,辛卯,丙申,甲辰,辛巳,乙巳,庚子,丙子,己亥,辛辰,辛巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,12732891816426401096,2025-04-25 13:19:06.929242+08:00
8,2025-05-08 21:19:03.361338+08:00,2025-05-08 21:19:03.361338+08:00,HSI,辛亥,壬辰,丁酉,丙辰,辛巳,乙巳,庚子,丙子,辛亥,壬巳,丙巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,16637639782020358962,2025-04-25 13:19:06.929242+08:00
9,2025-05-09 21:19:03.361338+08:00,2025-05-09 21:19:03.361338+08:00,HSI,癸亥,癸巳,戊戌,戊辰,辛巳,乙巳,庚子,丙子,癸亥,癸午,丙巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,5540413215512774936,2025-04-25 13:19:06.929242+08:00
10,2025-05-12 21:19:03.361338+08:00,2025-05-12 21:19:03.361338+08:00,HSI,己亥,丙申,辛丑,甲辰,辛巳,乙巳,庚子,丙子,己亥,丙酉,丁巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,5321346059726896157,2025-04-25 13:19:06.929242+08:00
11,2025-05-13 21:19:03.361338+08:00,2025-05-13 21:19:03.361338+08:00,HSI,辛亥,丁酉,壬寅,丙辰,辛巳,乙巳,庚子,丙子,辛亥,丁戌,丁巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,5049225079131843318,2025-04-25 13:19:06.929242+08:00
12,2025-05-14 21:19:03.361338+08:00,2025-05-14 21:19:03.361338+08:00,HSI,癸亥,戊戌,癸卯,戊辰,辛巳,乙巳,庚子,丙子,癸亥,戊亥,壬巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,2773849270361797615,2025-04-25 13:19:06.929242+08:00
13,2025-05-15 21:19:03.361338+08:00,2025-05-15 21:19:03.361338+08:00,HSI,乙亥,己亥,甲辰,庚辰,辛巳,乙巳,庚子,丙子,乙亥,己子,壬巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,17448808998553311530,2025-04-25 13:19:06.929242+08:00
14,2025-05-16 21:19:03.361338+08:00,2025-05-16 21:19:03.361338+08:00,HSI,丁亥,庚子,乙巳,壬辰,辛巳,乙巳,庚子,丙子,丁亥,庚丑,壬巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,7449987267634280298,2025-04-25 13:19:06.929242+08:00
15,2025-05-19 21:19:03.361338+08:00,2025-05-19 21:19:03.361338+08:00,HSI,癸亥,癸卯,戊申,戊辰,辛巳,乙巳,庚子,丙子,癸亥,癸辰,癸巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,3802815913175054980,2025-04-25 13:19:06.929242+08:00
16,2025-05-20 21:19:03.361338+08:00,2025-05-20 21:19:03.361338+08:00,HSI,乙亥,甲辰,己酉,庚辰,辛巳,乙巳,庚子,丙子,乙亥,甲巳,癸巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,2684369514118421024,2025-04-25 13:19:06.929242+08:00
17,2025-05-21 21:19:03.361338+08:00,2025-05-21 21:19:03.361338+08:00,HSI,丁亥,乙巳,庚戌,壬辰,丙申,乙巳,庚子,辛卯,丁亥,乙午,戊申,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,2102007806316970940,2025-04-25 13:19:06.929242+08:00
18,2025-05-22 21:19:03.361338+08:00,2025-05-22 21:19:03.361338+08:00,HSI,己亥,丙午,辛亥,甲辰,丙申,乙巳,庚子,辛卯,己亥,丙未,戊申,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,5574910345524790651,2025-04-25 13:19:06.929242+08:00
19,2025-05-23 21:19:03.361338+08:00,2025-05-23 21:19:03.361338+08:00,HSI,辛亥,丁未,壬子,丙辰,丙申,乙巳,庚子,辛卯,辛亥,丁申,戊申,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,14578467060022181577,2025-04-25 13:19:06.929242+08:00
20,2025-05-26 21:19:03.361338+08:00,2025-05-26 21:19:03.361338+08:00,HSI,丁亥,庚戌,乙卯,壬辰,丙申,乙巳,庚子,辛卯,丁亥,庚亥,己申,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,7008343270086031759,2025-04-25 13:19:06.929242+08:00
21,2025-05-27 21:19:03.361338+08:00,2025-05-27 21:19:03.361338+08:00,HSI,己亥,辛亥,丙辰,甲辰,丙申,乙巳,庚子,辛卯,己亥,辛子,甲申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,5031705692814129808,2025-04-25 13:19:06.929242+08:00
22,2025-05-28 21:19:03.361338+08:00,2025-05-28 21:19:03.361338+08:00,HSI,辛亥,壬子,丁巳,丙辰,丙申,乙巳,庚子,辛卯,辛亥,壬丑,甲申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,1021554958455958872,2025-04-25 13:19:06.929242+08:00
23,2025-05-29 21:19:03.361338+08:00,2025-05-29 21:19:03.361338+08:00,HSI,癸亥,癸丑,戊午,戊辰,丙申,乙巳,庚子,辛卯,癸亥,癸寅,甲申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13783362886097063372,2025-04-25 13:19:06.929242+08:00
24,2025-05-30 21:19:03.361338+08:00,2025-05-30 21:19:03.361338+08:00,HSI,乙亥,甲寅,己未,庚辰,丙申,乙巳,庚子,辛卯,乙亥,甲卯,乙申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,9417302488497228707,2025-04-25 13:19:06.929242+08:00
25,2025-06-02 21:19:03.361338+08:00,2025-06-02 21:19:03.361338+08:00,HSI,辛亥,丁巳,壬戌,丙辰,丙申,乙巳,庚子,辛卯,辛亥,丁午,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,14623033662041358884,2025-04-25 13:19:06.929242+08:00
26,2025-06-03 21:19:03.361338+08:00,2025-06-03 21:19:03.361338+08:00,HSI,癸亥,戊午,癸亥,戊辰,丙申,乙巳,庚子,辛卯,癸亥,戊未,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,14607495157480113964,2025-04-25 13:19:06.929242+08:00
27,2025-06-04 21:19:03.361338+08:00,2025-06-04 21:19:03.361338+08:00,HSI,乙亥,己未,甲子,庚辰,丙申,乙巳,庚子,辛卯,乙亥,己申,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,8431231275035363215,2025-04-25 13:19:06.929242+08:00
28,2025-06-05 21:19:03.361338+08:00,2025-06-05 21:19:03.361338+08:00,HSI,丁亥,庚申,乙丑,壬辰,壬午,乙巳,庚子,丁丑,丁亥,庚酉,壬午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,3401005608831676550,2025-04-25 13:19:06.929242+08:00
29,2025-06-06 21:19:03.361338+08:00,2025-06-06 21:19:03.361338+08:00,HSI,己亥,辛酉,丙辰,甲午,壬午,庚申,乙丑,丁亥,己亥,辛戌,壬午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,14823997343071150605,2025-04-25 13:19:06.929242+08:00
30,2025-06-09 21:19:03.361338+08:00,2025-06-09 21:19:03.361338+08:00,HSI,乙亥,甲子,己未,庚午,壬午,庚申,乙丑,丁亥,乙亥,甲丑,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11301724914216826303,2025-04-25 13:19:06.929242+08:00
31,2025-06-10 21:19:03.361338+08:00,2025-06-10 21:19:03.361338+08:00,HSI,丁亥,乙丑,庚申,壬午,壬午,庚申,乙丑,丁亥,丁亥,乙寅,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,12394578446226917096,2025-04-25 13:19:06.929242+08:00
32,2025-06-11 21:19:03.361338+08:00,2025-06-11 21:19:03.361338+08:00,HSI,己亥,丙寅,辛酉,甲午,壬午,庚申,乙丑,丁亥,己亥,丙卯,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,16607214291079287549,2025-04-25 13:19:06.929242+08:00
33,2025-06-12 21:19:03.361338+08:00,2025-06-12 21:19:03.361338+08:00,HSI,辛亥,丁卯,壬戌,丙午,壬午,庚申,乙丑,丁亥,辛亥,丁辰,戊午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,4345665221938065274,2025-04-25 13:19:06.929242+08:00
34,2025-06-13 21:19:03.361338+08:00,2025-06-13 21:19:03.361338+08:00,HSI,癸亥,戊辰,癸亥,戊午,壬午,庚申,乙丑,丁亥,癸亥,戊巳,戊午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11545406575840132356,2025-04-25 13:19:06.929242+08:00
35,2025-06-16 21:19:03.361338+08:00,2025-06-16 21:19:03.361338+08:00,HSI,己亥,辛未,丙寅,甲午,壬午,庚申,乙丑,丁亥,己亥,辛申,癸午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,592414263398256749,2025-04-25 13:19:06.929242+08:00
36,2025-06-17 21:19:03.361338+08:00,2025-06-17 21:19:03.361338+08:00,HSI,辛亥,壬申,丁卯,丙午,壬午,庚申,乙丑,丁亥,辛亥,壬酉,癸午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,8114137392872993898,2025-04-25 13:19:06.929242+08:00
37,2025-06-18 21:19:03.361338+08:00,2025-06-18 21:19:03.361338+08:00,HSI,癸亥,癸酉,戊辰,戊午,壬午,庚申,乙丑,丁亥,癸亥,癸戌,甲午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,10695615638515573591,2025-04-25 13:19:06.929242+08:00
38,2025-06-19 21:19:03.361338+08:00,2025-06-19 21:19:03.361338+08:00,HSI,乙亥,甲戌,己巳,庚午,壬午,庚申,乙丑,丁亥,乙亥,甲亥,甲午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,2777322157711762175,2025-04-25 13:19:06.929242+08:00
39,2025-06-20 21:19:03.361338+08:00,2025-06-20 21:19:03.361338+08:00,HSI,丁亥,乙亥,庚午,壬午,壬午,庚申,乙丑,丁亥,丁亥,乙子,甲午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,2212971478060170633,2025-04-25 13:19:06.929242+08:00
40,2025-06-23 21:19:03.361338+08:00,2025-06-23 21:19:03.361338+08:00,HSI,癸亥,戊寅,癸酉,戊午,丁酉,庚申,乙丑,壬寅,癸亥,戊卯,己酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,12957925068526357675,2025-04-25 13:19:06.929242+08:00
41,2025-06-24 21:19:03.361338+08:00,2025-06-24 21:19:03.361338+08:00,HSI,乙亥,己卯,甲戌,庚午,丁酉,庚申,乙丑,壬寅,乙亥,己辰,庚酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,4095248511756716183,2025-04-25 13:19:06.929242+08:00
