,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus
0,2023-11-01 08:00:00+08:00,146.101,150.389,144.286,148.664,9099,HSI,^HSI,936067886477757315,2025-06-02 02:18:08.315850+08:00,丙辰,癸亥,戊午,辛亥,丁丑,戊午,癸亥,壬午,癸未,癸子,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
1,2023-11-02 08:00:00+08:00,188.883,193.951,186.478,192.355,7909,HSI,^HSI,840036068441655965,2025-06-02 02:18:08.315850+08:00,戊辰,甲子,己未,癸亥,丁丑,戊午,癸亥,壬午,乙未,甲丑,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
2,2023-11-03 08:00:00+08:00,165.072,165.139,158.838,160.554,1029,HSI,^HSI,13732274838124714425,2025-06-02 02:18:08.315850+08:00,庚辰,乙丑,庚申,乙亥,丁丑,戊午,癸亥,壬午,丁未,乙寅,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
3,2023-11-04 08:00:00+08:00,185.063,186.893,175.756,177.759,4534,HSI,^HSI,7338317444951759393,2025-06-02 02:18:08.315850+08:00,壬辰,丙寅,辛酉,丁亥,丁丑,戊午,癸亥,壬午,己未,丙卯,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
4,2023-11-05 08:00:00+08:00,127.584,137.456,120.252,124.647,9985,HSI,^HSI,10222128409284540314,2025-06-02 02:18:08.315850+08:00,甲辰,丁卯,壬戌,己亥,丁丑,戊午,癸亥,壬午,辛未,丁辰,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
5,2023-11-06 08:00:00+08:00,146.65,153.474,144.017,148.674,4722,HSI,^HSI,18064686218489506753,2025-06-02 02:18:08.315850+08:00,丙辰,戊辰,癸亥,辛亥,丁丑,戊午,癸亥,壬午,癸未,戊巳,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
6,2023-11-07 08:00:00+08:00,190.954,197.061,183.253,187.743,8914,HSI,^HSI,3755446883246864287,2025-06-02 02:18:08.315850+08:00,戊辰,己巳,甲子,癸亥,丁丑,戊午,癸亥,壬午,乙未,己午,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
7,2023-11-08 08:00:00+08:00,149.246,149.571,143.009,143.363,2133,HSI,^HSI,2820015989304676699,2025-06-02 02:18:08.315850+08:00,庚辰,庚午,乙丑,乙亥,癸亥,戊午,癸亥,戊辰,丁未,庚未,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
8,2023-11-09 08:00:00+08:00,153.226,153.718,143.676,147.71,8746,HSI,^HSI,417583028556998944,2025-06-02 02:18:08.315850+08:00,壬辰,辛未,丙寅,丁亥,癸亥,戊午,癸亥,戊辰,己未,辛申,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
9,2023-11-10 08:00:00+08:00,170.856,176.237,166.801,169.469,2827,HSI,^HSI,6047394293652843808,2025-06-02 02:18:08.315850+08:00,甲辰,壬申,丁卯,己亥,癸亥,戊午,癸亥,戊辰,辛未,壬酉,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
