,target
66,157.425
132,156.172
222,169.292
31,156.957
84,106.781
291,197.055
211,173.281
298,191.828
412,187.661
244,183.197
386,126.895
351,187.817
5,187.743
45,189.26
296,107.607
155,119.582
367,108.315
399,142.289
16,158.364
394,118.618
131,143.03
304,117.881
3,124.647
18,141.061
325,151.901
60,163.926
204,175.824
248,156.808
63,101.748
110,162.4
349,118.871
198,162.179
29,112.732
406,167.666
210,132.981
208,185.507
26,174.608
7,147.71
321,159.368
297,192.983
108,121.882
101,142.765
250,121.225
398,168.447
118,126.893
114,156.732
137,147.65
374,140.325
283,105.798
332,140.184
379,114.725
312,130.56
342,127.117
152,165.786
384,132.746
109,194.969
181,140.41
194,107.798
388,156.429
168,124.932
83,109.34
407,195.649
377,137.061
74,101.89
203,115.308
119,108.114
223,182.074
335,106.727
402,186.199
234,127.529
354,106.613
334,142.734
172,139.248
327,128.379
305,156.97
36,161.442
139,124.036
311,198.802
177,141.848
424,93.6184
227,175.645
59,191.655
111,177.346
420,128.252
199,137.595
6,143.363
307,177.691
404,148.204
158,133.748
150,151.568
10,128.192
286,151.946
103,103.544
81,166.044
284,170.472
266,154.165
167,152.275
400,199.871
238,104.174
246,151.312
192,128.161
371,158.437
89,119.275
220,123.266
163,166.25
196,139.89
147,139.988
2,177.759
92,113.82
69,131.44
228,207.777
123,161.02
96,192.103
143,156.12
323,102.176
346,179.669
97,124.867
261,156.454
68,143.63
23,168.267
37,135.213
144,160.576
122,145.429
265,137.221
202,190.785
182,103.004
67,120.1
245,164.291
356,184.158
247,144.039
397,134.279
338,103.457
225,123.782
125,183.277
146,146.717
378,180.051
86,114.555
358,164.86
219,139.501
396,137.617
360,178.924
231,118.593
277,114.658
322,97.6343
183,179.603
253,141.219
302,186.524
401,106.333
301,103.552
129,172.543
38,135.576
11,125.02
320,162.759
185,145.993
289,126.971
271,171.91
112,180.622
179,105.289
383,198.644
355,193.98
287,171.208
278,112.441
117,180.021
393,171.743
405,115.647
410,135.421
381,197.82
233,174.103
387,122.267
365,195.715
164,182.996
136,198.416
197,181.539
258,128.267
232,176.74
115,177.729
120,111.029
224,138.74
395,114.077
285,195.777
127,133.98
352,186.015
107,201.792
316,190.442
133,191.761
310,133.266
44,159.078
392,142.201
65,128.157
85,166.826
242,172.88
186,107.628
159,170.593
12,191.28
35,144.076
28,149.232
170,187.89
142,179.381
340,165.104
290,127.21
221,109.964
95,183.136
51,120.184
240,190.593
318,98.8299
324,125.963
178,182.813
41,123.869
331,152.211
206,99.1795
282,147.048
254,127.126
353,152.53
4,148.674
256,178.381
382,150.219
100,129.97
226,128.4
364,162.322
213,180.437
171,164.69
98,127.297
292,194.07
215,196.473
61,146.01
47,159.97
32,149.035
267,185.889
200,141.985
380,185.94
27,117.63
333,143.36
230,152.091
260,186.874
288,191.053
162,106.084
362,164.728
138,111.272
62,140.776
135,156.816
128,188.788
8,169.469
326,142.058
64,173.845
300,113.729
14,117.605
156,156.169
40,188.355
391,190.974
370,169.136
216,131.839
279,148.526
369,193.061
337,146.064
236,195.202
207,116.421
212,200.574
295,116.622
389,163.825
251,190.226
416,146.075
390,145.36
303,127.452
269,167.274
201,156.003
161,122.935
43,193.108
217,109.339
190,111.044
309,127.893
259,114.057
105,205.079
53,183.124
1,160.554
411,200.269
49,138.428
80,102.033
205,187.161
34,147.572
263,140.476
366,155.672
91,152.374
339,147.942
52,157.758
345,188.841
264,121.411
241,167.575
13,192.456
315,117.53
88,174.917
273,139.144
166,132.25
328,185.554
419,183.266
134,117.098
306,154.076
409,109.538
319,189.335
243,198.72
54,191.35
363,138.544
50,149.582
174,145.635
189,164.494
423,137.208
187,146.943
169,148.979
58,175.036
48,126.369
344,118.677
235,117.088
252,156.748
21,106.511
313,184.565
160,137.422
276,109.758
191,169.106
385,130.755
293,145.868
343,155.819
257,138.316
308,145.909
149,111.161
130,182.767
151,150.583
359,120.954
99,127.098
372,115.431
87,105.787
330,134.673
214,107.887
121,182.575
425,158.93
20,122.197
188,120.073
71,137.392
106,158.202
270,129.366
348,169.74
102,136.419
