,feature,importance
4,Volume_x,0.0938261
27,day,0.0550965
15,current_wuxi_month,0.0519526
3,Close_x,0.0405707
31,dayofyear,0.035049
2,Low_x,0.0344492
1,High_x,0.0325907
0,Open_x,0.029425
7,current_day_pillar_minus,0.0290733
46,current_day_pillar_minus_earthly,0.0287571
14,current_wuxi_day,0.0286722
29,dayofweek,0.0281764
6,current_day_pillar,0.0267215
140,cs_base_day_current_month_minus,0.0232545
8,current_hour_pillar_minus,0.020533
148,cs_base_month_current_day,0.019499
40,current_day_pillar_earthly,0.016316
50,current_day_pillar_minus_earthly_cos,0.0146036
49,current_day_pillar_minus_earthly_sin,0.0139164
32,weekofyear,0.0136535
9,current_month_pillar,0.0132107
12,current_month_pillar_minus,0.013105
136,cs_base_day_current_day,0.0127389
13,current_wuxi_hour,0.0125614
43,current_day_pillar_earthly_sin,0.0125253
154,cs_base_year_current_day,0.0124454
58,current_month_pillar_earthly,0.0123337
16,current_wuxi_year,0.0112177
150,cs_base_month_current_month,0.0111983
142,cs_base_hour_minus_current_day,0.0110695
44,current_day_pillar_earthly_cos,0.010825
144,cs_base_hour_minus_current_month,0.0104794
130,cs_base_hour_current_day,0.0101647
78,current_month_pillar_minus_heavenly_cos,0.0100353
156,cs_base_year_current_month,0.00969509
42,current_day_pillar_heavenly_cos,0.00947592
132,cs_base_hour_current_month,0.00922134
60,current_month_pillar_heavenly_cos,0.00915217
160,cs_base_month_minus_current_day,0.00880151
48,current_day_pillar_minus_heavenly_cos,0.00795821
152,cs_base_month_current_month_minus,0.00781244
138,cs_base_day_current_month,0.00757348
75,current_month_pillar_minus_heavenly,0.00707124
162,cs_base_month_minus_current_month,0.00669548
146,cs_base_hour_minus_current_month_minus,0.00609201
33,current_hour_pillar_heavenly,0.00594209
62,current_month_pillar_earthly_cos,0.00577462
61,current_month_pillar_earthly_sin,0.00560809
45,current_day_pillar_minus_heavenly,0.00546593
158,cs_base_year_current_month_minus,0.00542723
134,cs_base_hour_current_month_minus,0.00517329
76,current_month_pillar_minus_earthly,0.00500655
80,current_month_pillar_minus_earthly_cos,0.00488493
59,current_month_pillar_heavenly_sin,0.00470919
53,current_hour_pillar_minus_heavenly_sin,0.00468875
57,current_month_pillar_heavenly,0.0046088
41,current_day_pillar_heavenly_sin,0.00429559
5,current_hour_pillar,0.00377149
79,current_month_pillar_minus_earthly_sin,0.00351187
164,cs_base_month_minus_current_month_minus,0.00320229
39,current_day_pillar_heavenly,0.00284684
77,current_month_pillar_minus_heavenly_sin,0.00268796
26,month,0.00266374
51,current_hour_pillar_minus_heavenly,0.00252543
64,current_year_pillar_earthly,0.00237642
36,current_hour_pillar_heavenly_cos,0.00225197
47,current_day_pillar_minus_heavenly_sin,0.00210828
35,current_hour_pillar_heavenly_sin,0.00199565
54,current_hour_pillar_minus_heavenly_cos,0.0017989
139,cs_base_day_current_year,0.00147553
68,current_year_pillar_earthly_cos,0.00125369
30,quarter,0.00124177
71,current_year_pillar_minus_heavenly_sin,0.00118561
133,cs_base_hour_current_year,0.000957971
55,current_hour_pillar_minus_earthly_sin,0.000797175
10,current_year_pillar,0.000714817
25,year,0.000687657
65,current_year_pillar_heavenly_sin,0.000684285
72,current_year_pillar_minus_heavenly_cos,0.000679103
155,cs_base_year_current_hour_minus,0.000630878
70,current_year_pillar_minus_earthly,0.000622006
161,cs_base_month_minus_current_hour_minus,0.000621713
145,cs_base_hour_minus_current_year,0.00054252
