,Open_x,High_x,Low_x,Close_x,Volume_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,year,month,day,hour,dayofweek,quarter,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
Open_x,1,0.995061,0.994578,0.991442,-0.0229603,-0.0350382,0.0295448,0.0353995,0.0649186,-0.0180731,-0.0869762,0.0552954,0.0124741,-0.000140067,0.0233993,-0.0803755,-0.0683952,,,,,,,,,-0.00351853,0.083819,-0.00878094,,-0.00957489,0.0823256,0.0830077,0.0857227,-0.0350382,,0.0460463,-0.0112893,,,0.0214639,0.0707535,-0.0450939,-0.0193365,0.0211264,-0.0171534,0.0293851,0.0811635,0.0450939,0.0193365,-0.0217199,0.0185073,0.0489314,0.0962138,-0.0460463,0.0112893,-0.0962138,-0.0962138,-0.0134989,-0.0827263,0.0456547,-0.0936594,0.0109774,0.0856783,-0.0869762,-0.0113365,-0.0257612,-0.0825641,-0.0903827,-0.046586,0.0552954,-0.0552954,0.0257612,0.0825641,0.0983608,0.0452272,0.010466,0.0460087,-0.0456547,0.0936594,-0.0302402,-0.0549681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0506129,0.0962138,-0.00223519,0.100808,-0.00351438,,-0.0227912,0.0962138,0.0245552,-0.0942065,-0.0932343,,0.0742403,-0.0962138,-0.0251103,0.100808,0.0384008,,0.00844677,0.0962138,-0.0273643,0.0942065,0.0438762,,-0.0867785,0.0962138,0.0567121,-0.100808,-0.0670128,,-0.0162636,-0.0962138,0.000132796,-0.0942065,-0.0137845,-0.00858242
High_x,0.995061,1,0.990544,0.991158,-0.0216984,-0.0414087,0.025431,0.0414972,0.059924,-0.0199471,-0.0825732,0.0524743,0.0181691,-0.00315958,0.0199943,-0.0807692,-0.0617359,,,,,,,,,-0.00548501,0.0788763,-0.00283058,,-0.00893792,0.0779735,0.0785456,0.0819017,-0.0414087,,0.041629,-0.0122076,,,0.0175071,0.0670708,-0.0357867,-0.0232922,0.0224815,-0.0140395,0.0348692,0.0884887,0.0357867,0.0232922,-0.0250629,0.0157776,0.0452074,0.0885812,-0.041629,0.0122076,-0.0885812,-0.0885812,-0.0160696,-0.0772876,0.0483386,-0.0938236,0.0129445,0.0835467,-0.0825732,-0.0107339,-0.0215097,-0.0780802,-0.0853894,-0.0459735,0.0524743,-0.0524743,0.0215097,0.0780802,0.0921676,0.0426036,0.0154074,0.0540947,-0.0483386,0.0938236,-0.034385,-0.0573376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0573654,0.0885812,-0.00105367,0.0935954,-0.00953084,,-0.026664,0.0885812,0.0250839,-0.0883466,-0.0892307,,0.0764028,-0.0885812,-0.0217867,0.0935954,0.0333991,,0.0130423,0.0885812,-0.0279965,0.0883466,0.0411167,,-0.0891135,0.0885812,0.0532208,-0.0935954,-0.0640324,,-0.0233974,-0.0885812,0.00194652,-0.0883466,-0.00811594,-0.00963002
Low_x,0.994578,0.990544,1,0.991364,-0.0234487,-0.0419695,0.0284736,0.0417634,0.0610079,-0.0194197,-0.0772818,0.0448334,0.0191647,-0.00722283,0.0209486,-0.0818262,-0.0596663,,,,,,,,,-0.00125152,0.0778773,-0.010215,,-0.00194605,0.0773998,0.0769718,0.0806087,-0.0419695,,0.0418598,-0.0166928,,,0.0199384,0.0781463,-0.0382062,-0.0245042,0.0076344,-0.0085502,0.0358992,0.0800818,0.0382062,0.0245042,-0.0108526,0.0136674,0.0452277,0.0947109,-0.0418598,0.0166928,-0.0947109,-0.0947109,-0.0162694,-0.0693378,0.0509643,-0.0949885,0.0107057,0.0799323,-0.0772818,-0.00442278,-0.0352708,-0.0719998,-0.0806413,-0.0340601,0.0448334,-0.0448334,0.0352708,0.0719998,0.0916115,0.0361678,0.0170752,0.050562,-0.0509643,0.0949885,-0.0337051,-0.0535033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0532809,0.0947109,-0.0131169,0.0957093,-0.00863716,,-0.0291212,0.0947109,0.0352245,-0.0854912,-0.0910202,,0.076433,-0.0947109,-0.0344039,0.0957093,0.0362925,,0.00159258,0.0947109,-0.0386715,0.0854912,0.0386097,,-0.0811633,0.0947109,0.064079,-0.0957093,-0.064899,,-0.0212653,-0.0947109,0.0130382,-0.0854912,-0.00952238,-0.0157161
Close_x,0.991442,0.991158,0.991364,1,-0.0245863,-0.0521449,0.0305858,0.0492786,0.0631434,-0.0235296,-0.0854888,0.0500891,0.0181664,-0.00863037,0.0233673,-0.0787661,-0.0650712,,,,,,,,,5.95428e-05,0.0795059,-0.00737565,,-0.0138679,0.0782412,0.0788297,0.0823582,-0.0521449,,0.0430772,-0.0176983,,,0.022289,0.0705713,-0.0316604,-0.0256077,0.015752,-0.00866942,0.0436538,0.0814177,0.0316604,0.0256077,-0.0185086,0.0134949,0.0468769,0.0976505,-0.0430772,0.0176983,-0.0976505,-0.0976505,-0.0197782,-0.077817,0.0478313,-0.104746,0.014498,0.0779368,-0.0854888,-0.00554246,-0.0311002,-0.0791612,-0.0882619,-0.042366,0.0500891,-0.0500891,0.0311002,0.0791612,0.0981914,0.0397947,0.0165619,0.0491325,-0.0478313,0.104746,-0.0362622,-0.0550238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0501051,0.0976505,-0.0124145,0.100552,-0.00874385,,-0.0334232,0.0976505,0.0293662,-0.0919926,-0.0897485,,0.079821,-0.0976505,-0.0308246,0.100552,0.0319843,,0.000414774,0.0976505,-0.034732,0.0919926,0.0433117,,-0.089331,0.0976505,0.0601067,-0.100552,-0.061919,,-0.0179108,-0.0976505,0.0103001,-0.0919926,-0.0113522,-0.0150261
Volume_x,-0.0229603,-0.0216984,-0.0234487,-0.0245863,1,-0.0185121,0.00614272,0.0426576,0.0119163,0.016319,-0.0118999,-0.0138881,-0.0493549,0.0673492,-0.00138834,0.00401306,-0.0201649,,,,,,,,,0.00708737,0.018226,0.0317016,,-0.0729115,0.00293874,0.0207039,0.00933082,-0.0185121,,0.0203979,0.0614411,,,0.00440669,0.0182215,-0.0275347,0.0564186,0.0642732,-0.0490497,0.0413351,0.0211016,0.0275347,-0.0564186,-0.058158,0.0645592,0.0138235,-0.00982861,-0.0203979,-0.0614411,0.00982861,0.00982861,0.0103241,0.0285951,0.029739,0.0157553,0.00480208,0.00100713,-0.0118999,0.0266471,0.00864675,0.00280587,-0.00371662,-0.0135831,-0.0138881,0.0138881,-0.00864675,-0.00280587,0.0041372,-0.0215713,-0.0510633,-0.0132965,-0.029739,-0.0157553,-0.0178585,-0.0472094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00442284,-0.00982861,0.000312881,-0.00815959,-0.0032827,,0.075678,-0.00982861,-0.0078684,0.00522767,0.0448133,,0.0211195,0.00982861,0.0652692,-0.00815959,-0.0430513,,-0.0207952,-0.00982861,-0.0264149,-0.00522767,0.0424997,,-0.040092,-0.00982861,-0.0530901,0.00815959,0.0400091,,0.0443895,0.00982861,0.0336161,0.00522767,-0.0168877,-0.0116841
current_hour_pillar,-0.0350382,-0.0414087,-0.0419695,-0.0521449,-0.0185121,1,-0.513646,-0.516498,-0.102648,0.00652531,0.00301645,-0.00737359,0.00209086,0.097367,-0.513365,0.0190714,0.00478852,,,,,,,,,0.00811111,-0.00844852,0.00460995,,0.00995545,-0.00939234,-0.00804974,0.00261535,1,,-0.0767761,0.0512041,,,-0.515889,-0.00290199,0.00225823,0.00019089,0.000972497,-0.000514032,-0.520377,0.00526644,-0.00225823,-0.00019089,0.00017298,0.00543015,-0.104206,0.000234094,0.0767761,-0.0512041,-0.000234094,-0.000234094,0.00590935,-0.000819535,0.00101157,-0.00395505,-0.00167063,-0.00330004,0.00301645,0.00756425,-0.00610475,0.00545268,0.00392727,0.00576079,-0.00737359,0.00737359,0.00610475,-0.00545268,-0.00163948,-0.00757648,0.00321684,-0.00142571,-0.00101157,0.00395505,-0.00114179,0.00376783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00769498,0.000234094,0.000729786,-0.00190259,0.00430465,,0.00431427,0.000234094,-0.00446636,0.00418635,-0.00733557,,0.00192973,-0.000234094,0.00569877,-0.00190259,0.00808532,,0.0115177,0.000234094,-0.00259577,-0.00418635,-0.00326378,,-0.00385814,0.000234094,-0.00464237,0.00190259,-0.00264531,,-0.00480845,-0.000234094,-0.00365929,0.00418635,-0.00431668,0.059527
current_day_pillar,0.0295448,0.025431,0.0284736,0.0305858,0.00614272,-0.513646,1,-0.148459,0.298052,-0.0391327,-0.00575247,0.0100762,0.024122,-0.120874,0.992823,0.0819938,-0.00456819,,,,,,,,,-0.00875085,0.00270187,0.0426345,,-0.0133226,0.00142996,0.00605149,0.00115207,-0.513646,,0.309618,-0.204219,,,0.995142,0.0913081,-0.658299,0.0326243,-0.0372284,-0.0417209,-0.148718,-0.00253916,0.658299,-0.0326243,0.0526938,0.020136,0.302036,0.00238078,-0.309618,0.204219,-0.00238078,-0.00238078,-0.0336728,-0.0645738,0.0343755,-0.0525782,0.046698,0.0478356,-0.00575247,-0.00918682,0.00629546,-0.00853015,-0.00694304,-0.00781921,0.0100762,-0.0100762,-0.00629546,0.00853015,0.00451701,0.0100842,0.0216112,0.0461828,-0.0343755,0.0525782,-0.036916,-0.0234431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0302201,0.00238078,0.0241556,0.00495899,-0.0147764,,0.0114367,0.00238078,-0.00568618,-0.00739769,0.0115131,,-0.029703,-0.00238078,0.0354012,0.00495899,-0.0327223,,-0.0210914,0.00238078,-0.0180832,0.00739769,0.00207528,,0.0147991,0.00238078,-0.0166073,-0.00495899,0.0314104,,0.0202323,-0.00238078,-0.00369647,-0.00739769,0.00722523,-0.032532
current_day_pillar_minus,0.0353995,0.0414972,0.0417634,0.0492786,0.0426576,-0.516498,-0.148459,1,0.285782,0.0170402,0.00515155,-0.00559247,-0.0324256,-0.11728,-0.151908,-0.127674,0.00607004,,,,,,,,,-7.72332e-05,0.00485561,-0.0583834,,-0.00306457,0.00713307,0.00020502,-0.0101171,-0.516498,,0.298527,-0.196576,,,-0.150302,0.0146986,0.654877,-0.0290832,0.030646,0.0369031,0.995093,0.104691,-0.654877,0.0290832,-0.0607983,-0.0291753,0.290989,-0.00558603,-0.298527,0.196576,0.00558603,0.00558603,0.0127426,0.0577767,-0.027956,0.0495325,-0.0478932,-0.0403918,0.00515155,0.00371734,5.81288e-05,0.00613864,0.00589975,0.0036286,-0.00559247,0.00559247,-5.81288e-05,-0.00613864,-0.00569079,-0.00538738,-0.030362,-0.0556191,0.027956,-0.0495325,0.037387,0.0147981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0056189,-0.00558603,-0.0223392,-0.00636375,0.0130855,,0.0365475,-0.00558603,-0.0047464,0.00652003,-0.000134436,,-0.00845286,0.00558603,-0.0276136,-0.00636375,0.0171768,,-0.0595213,-0.00558603,0.0164305,-0.00652003,0.00940228,,0.0260659,-0.00558603,0.0133699,0.00636375,-0.0214226,,0.0257754,0.00558603,0.00394816,0.00652003,-0.0096186,-0.0350431
current_hour_pillar_minus,0.0649186,0.059924,0.0610079,0.0631434,0.0119163,-0.102648,0.298052,0.285782,1,-0.0337403,-0.118378,0.0590514,-0.0267351,0.298499,0.297866,0.0109471,-0.112918,,,,,,,,,0.0681486,0.0658883,0.021078,,-0.0106562,0.068977,0.067709,0.0562364,-0.102648,,0.980883,0.00310579,,,0.299237,0.00176069,-0.00664315,-3.49665e-05,-0.00245141,0.00270604,0.285939,0.0142535,0.00664315,3.49665e-05,-0.00339854,-0.00940247,0.984822,0.170061,-0.980883,-0.00310579,-0.170061,-0.170061,-0.0339774,0.0144071,-0.00225529,-0.0165977,-0.0629063,0.0380811,-0.118378,0.00587384,-0.0863976,-0.107699,-0.124918,-0.0329985,0.0590514,-0.0590514,0.0863976,0.107699,0.151672,0.0468903,-0.0267394,-0.0160043,0.00225529,0.0165977,0.0485458,-0.0303304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00668672,0.170061,-0.00197091,0.163654,0.0104011,,0.00682138,0.170061,-0.0161121,-0.13665,0.0121087,,-0.0100962,-0.170061,-0.0230429,0.163654,0.00230206,,-0.00680202,0.170061,-0.0195468,0.13665,0.0141864,,0.00951494,0.170061,0.0492382,-0.163654,-0.010826,,0.00521228,-0.170061,-0.0250464,-0.13665,0.000796193,0.0433792
current_month_pillar,-0.0180731,-0.0199471,-0.0194197,-0.0235296,0.016319,0.00652531,-0.0391327,0.0170402,-0.0337403,1,0.0883316,-0.0739472,-0.194908,0.00647957,-0.0391967,0.0362862,0.117859,,,,,,,,,-0.133796,0.0790377,0.116711,,-0.00562411,0.108278,0.0875296,0.0760658,0.00652531,,-0.0156297,0.0125246,,,-0.0402873,0.00763875,0.0560768,0.0478418,-0.00848035,0.0494081,0.0131387,0.031708,-0.0560768,-0.0478418,0.00412099,-0.0325413,-0.0142289,-0.113608,0.0156297,-0.0125246,0.113608,0.113608,0.99485,0.414621,-0.68203,0.0552146,-0.129021,-0.387109,0.0883316,0.0348962,0.0328563,0.095209,0.0984898,0.0433472,-0.0739472,0.0739472,-0.0328563,-0.095209,-0.106227,-0.0685968,-0.192461,0.121011,0.68203,-0.0552146,0.184987,0.464679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0142597,-0.113608,-0.0801303,-0.118165,-0.0153194,,0.0142439,-0.113608,0.04081,0.109456,0.206233,,-0.0261118,0.113608,-0.0347062,-0.118165,0.0884363,,-0.0390487,-0.113608,0.0598158,-0.109456,-0.506225,,0.0425473,-0.113608,-0.114105,0.118165,0.0843977,,0.014152,0.113608,0.0363807,0.109456,0.181672,-0.000461223
