,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date
0,2023-11-01 08:00:00+08:00,166.276,167.367,158.724,165.968,1585,HSI,^HSI,8239361874829580651,2025-06-02 02:33:22.079108+08:00
1,2023-11-02 08:00:00+08:00,113.626,114.753,109.806,112.152,7040,HSI,^HSI,4791695721980926902,2025-06-02 02:33:22.079108+08:00
2,2023-11-03 08:00:00+08:00,170.527,180.088,163.667,177.44,5448,HSI,^HSI,5687480931791627871,2025-06-02 02:33:22.079108+08:00
3,2023-11-04 08:00:00+08:00,101.303,106.029,98.1495,102.288,8872,HSI,^HSI,15376435054641745148,2025-06-02 02:33:22.079108+08:00
4,2023-11-05 08:00:00+08:00,188.553,190.538,184.583,187.821,4667,HSI,^HSI,9907765623953098643,2025-06-02 02:33:22.079108+08:00
5,2023-11-06 08:00:00+08:00,142.414,148.645,135.048,138.793,9088,HSI,^HSI,5446656644070187147,2025-06-02 02:33:22.079108+08:00
6,2023-11-07 08:00:00+08:00,136.911,140.715,130.059,138.297,7801,HSI,^HSI,16216932307744087342,2025-06-02 02:33:22.079108+08:00
7,2023-11-08 08:00:00+08:00,109.423,114.632,101.148,107.084,3490,HSI,^HSI,1412445870186644546,2025-06-02 02:33:22.079108+08:00
8,2023-11-09 08:00:00+08:00,147.149,149.489,146.595,147.51,5830,HSI,^HSI,18312598392379798792,2025-06-02 02:33:22.079108+08:00
9,2023-11-10 08:00:00+08:00,113.837,123.077,109.033,110.959,4344,HSI,^HSI,10587376329439177128,2025-06-02 02:33:22.079108+08:00
10,2023-11-11 08:00:00+08:00,128.844,129.191,119.156,127.487,6164,HSI,^HSI,8369229977544217953,2025-06-02 02:33:22.079108+08:00
11,2023-11-12 08:00:00+08:00,159.562,163.793,156.67,161.878,8814,HSI,^HSI,12144715674307987705,2025-06-02 02:33:22.079108+08:00
12,2023-11-13 08:00:00+08:00,199.895,202.648,193.581,196.773,9497,HSI,^HSI,12596884281345740409,2025-06-02 02:33:22.079108+08:00
13,2023-11-14 08:00:00+08:00,112.127,120.226,105.892,118.389,8430,HSI,^HSI,4241431929620548308,2025-06-02 02:33:22.079108+08:00
14,2023-11-15 08:00:00+08:00,122.237,125.6,118.969,121.324,1029,HSI,^HSI,14880862301460466220,2025-06-02 02:33:22.079108+08:00
15,2023-11-16 08:00:00+08:00,168.434,171.305,165.512,171.262,8969,HSI,^HSI,12345858125169640821,2025-06-02 02:33:22.079108+08:00
16,2023-11-17 08:00:00+08:00,126.201,126.31,125.805,126.26,5921,HSI,^HSI,5877690546579827193,2025-06-02 02:33:22.079108+08:00
17,2023-11-18 08:00:00+08:00,162.161,170.77,153.915,162.796,9738,HSI,^HSI,8474207657611260816,2025-06-02 02:33:22.079108+08:00
18,2023-11-19 08:00:00+08:00,143.601,144.674,135.349,140.312,5577,HSI,^HSI,13606620527819011400,2025-06-02 02:33:22.079108+08:00
19,2023-11-20 08:00:00+08:00,124.692,125.58,115.682,118.763,2828,HSI,^HSI,18398772197976107323,2025-06-02 02:33:22.079108+08:00
20,2023-11-21 08:00:00+08:00,163.289,168.385,156.56,167.305,4174,HSI,^HSI,8166890635015896938,2025-06-02 02:33:22.079108+08:00
21,2023-11-22 08:00:00+08:00,147.878,149.605,143.083,149.087,7779,HSI,^HSI,5206620732427210564,2025-06-02 02:33:22.079108+08:00
22,2023-11-23 08:00:00+08:00,151.445,154.893,143.007,144.68,2278,HSI,^HSI,1566572909816470092,2025-06-02 02:33:22.079108+08:00
23,2023-11-24 08:00:00+08:00,137.937,139.278,128.324,135.15,2500,HSI,^HSI,787872149994697908,2025-06-02 02:33:22.079108+08:00
24,2023-11-25 08:00:00+08:00,119.037,121.647,112.008,115.873,2745,HSI,^HSI,3284785878599719075,2025-06-02 02:33:22.079108+08:00
25,2023-11-26 08:00:00+08:00,192.691,197.033,190.415,194.516,5160,HSI,^HSI,13225236357551980177,2025-06-02 02:33:22.079108+08:00
26,2023-11-27 08:00:00+08:00,100.804,109.655,91.063,107.108,3470,HSI,^HSI,17220403927661351973,2025-06-02 02:33:22.079108+08:00
27,2023-11-28 08:00:00+08:00,143.771,151.989,135.038,149.997,6269,HSI,^HSI,14271637337391242489,2025-06-02 02:33:22.079108+08:00
28,2023-11-29 08:00:00+08:00,182.962,185.899,177.929,183.582,4142,HSI,^HSI,5114179692908138944,2025-06-02 02:33:22.079108+08:00
29,2023-11-30 08:00:00+08:00,198.528,202.734,190.175,200.169,9743,HSI,^HSI,18245092256714685547,2025-06-02 02:33:22.079108+08:00
30,2023-12-01 08:00:00+08:00,171.39,176.885,164.843,173.919,8761,HSI,^HSI,9396601819443945386,2025-06-02 02:33:22.079108+08:00
31,2023-12-02 08:00:00+08:00,170.801,178.032,165.431,168.917,3252,HSI,^HSI,13020849556264594296,2025-06-02 02:33:22.079108+08:00
32,2023-12-03 08:00:00+08:00,169.585,176.706,167.051,175.291,8956,HSI,^HSI,330860898703909282,2025-06-02 02:33:22.079108+08:00
33,2023-12-04 08:00:00+08:00,143.731,144.683,135.991,138.41,7459,HSI,^HSI,2217987488321275282,2025-06-02 02:33:22.079108+08:00
34,2023-12-05 08:00:00+08:00,136.368,144.473,128.988,132.436,4291,HSI,^HSI,4342895225057492320,2025-06-02 02:33:22.079108+08:00
35,2023-12-06 08:00:00+08:00,148.496,152.385,143.033,145.818,8233,HSI,^HSI,8748743716118411567,2025-06-02 02:33:22.079108+08:00
36,2023-12-07 08:00:00+08:00,112.149,119.575,109.187,117.844,5779,HSI,^HSI,12460058784950006636,2025-06-02 02:33:22.079108+08:00
37,2023-12-08 08:00:00+08:00,144.953,145.626,141.202,143.341,2694,HSI,^HSI,3198787564083511819,2025-06-02 02:33:22.079108+08:00
38,2023-12-09 08:00:00+08:00,112.235,121.437,109.243,111.961,9854,HSI,^HSI,7787908645954475446,2025-06-02 02:33:22.079108+08:00
39,2023-12-10 08:00:00+08:00,178.737,183.715,170.699,175.374,4405,HSI,^HSI,2402641686684410930,2025-06-02 02:33:22.079108+08:00
40,2023-12-11 08:00:00+08:00,189.321,196.758,183.622,188.546,3705,HSI,^HSI,9593343215594197865,2025-06-02 02:33:22.079108+08:00
