,target
66,114.223
132,145.376
222,108.153
31,175.291
84,122.556
291,97.3969
211,160.461
298,190.064
412,150.817
244,111.081
386,148.336
351,148.209
5,138.297
45,174.78
296,181.516
155,185.501
367,103.143
399,118.735
16,162.796
394,102.629
131,123.675
304,152.157
3,187.821
18,118.763
325,110.042
60,189.635
204,129.615
248,106.388
63,111.729
110,121.621
349,174.173
198,135.967
29,173.919
406,162.297
210,153.543
208,97.2498
26,149.997
7,147.51
321,118.48
297,177.681
108,163.633
101,133.485
250,134.041
398,99.9201
118,119.957
114,100.545
137,134.43
374,175.189
283,102.941
332,180.831
379,188.786
312,124.677
342,102.442
152,109.644
384,120.34
109,100.382
181,109.4
194,169.892
388,121.656
168,193.805
83,122.386
407,112.792
377,168.23
74,176.974
203,114.058
119,113.738
223,150.027
335,183.945
402,108.507
234,113.364
354,112.536
334,115.426
172,120.464
327,166.276
305,162.437
36,143.341
139,144.094
311,118.584
177,140.934
424,127.984
227,198.123
59,132.238
111,169.021
420,146.48
199,131.709
6,107.084
307,115.428
404,162.857
158,149.49
150,111.472
10,161.878
286,135.286
103,118.54
81,111.959
284,183.999
266,96.2727
167,187.75
400,139.315
238,149.671
246,143.696
192,122.499
371,178.427
89,145.078
220,154.138
163,159.474
196,101.506
147,107.51
2,102.288
92,186.672
69,101.457
228,195.474
123,169.424
96,168.231
143,193.716
323,126.017
346,176.058
97,158.731
261,181.335
68,149.824
23,115.873
37,111.961
144,162.586
122,104.334
265,149.397
202,107.367
182,200.578
67,127.016
245,140.109
356,160.198
247,129.832
397,115.687
338,143.963
225,151.746
125,145.213
146,116.278
378,137.125
86,184.03
358,145.914
219,158.107
396,179.011
360,135.809
231,176.77
277,121.059
322,108.262
183,116.202
253,183.929
302,137.101
401,132.332
301,186.444
129,161.141
38,175.374
11,196.773
320,170.147
185,159.78
289,123.436
271,174.939
112,127.005
179,144.505
383,160.709
355,191.89
287,117.874
278,125.57
117,110.064
393,120.868
405,143.368
410,194.424
381,146.514
233,126.264
387,146.028
365,182.486
164,129.278
136,139.322
197,130.502
258,131.045
232,168.346
115,166.234
120,163.689
224,140.141
395,116.527
285,139.779
127,181.757
352,131.536
107,181.269
316,198.647
133,110.3
310,114.17
44,203.029
392,111.62
65,201.472
85,190.695
242,114.794
186,119.697
159,105.211
12,118.389
35,117.844
28,200.169
170,155.84
142,141.634
340,180.78
290,143.914
221,138.355
95,117.507
51,162.103
240,143.76
318,136.957
324,175.61
178,144.396
41,176.388
331,148.797
206,161.567
282,171.763
254,137.668
353,167.508
4,138.793
256,130.181
382,174.329
100,124.917
226,181.76
364,161.611
213,128.846
171,185.025
98,118.747
292,164.148
215,189.313
61,184.695
47,160.626
32,138.41
267,132.693
200,125
380,108.372
27,183.582
333,125.963
230,164.067
260,193.411
288,123.436
162,164.541
362,187.447
138,138.704
62,173.341
135,103.797
128,109.635
8,110.959
326,154.746
64,120.563
300,105.814
14,171.262
156,195.123
40,121
391,170.542
370,163.174
216,165.389
279,107.507
369,170.252
337,165.753
236,101.591
207,115.663
212,134.004
295,156.944
389,184.618
251,189.456
416,191.176
390,153.002
303,145.361
269,128.89
201,140.523
161,173.145
43,194.319
217,112.621
190,109.964
309,168.645
259,134.753
105,189.894
53,123.27
1,177.44
411,146.487
49,120.015
80,108.249
205,140.781
34,145.818
263,128.075
366,132.66
91,146.942
339,173.678
52,153.817
345,163.436
264,106.995
241,180.345
13,121.324
315,118.966
88,197.813
273,96.0897
166,181.52
328,156.589
419,161.393
134,152.207
306,138.19
409,131.49
319,132.608
243,134.567
54,173.213
363,191.643
50,128.452
174,143.991
189,131.575
423,196.61
187,172.967
169,170.472
58,187.72
48,172.139
344,96.3935
235,190.598
252,169.498
21,144.68
313,128.202
160,168.445
276,110.421
191,180.973
385,184.178
293,128.504
343,186.116
257,111.396
308,155.404
149,198.038
130,194.012
151,138.615
359,131.392
99,180.686
372,200.415
87,164.489
330,146.39
214,141.861
121,132.685
425,127.058
20,149.087
188,180.276
71,164.179
106,166.556
270,151.362
348,132.847
102,123.121
