,feature,importance
15,current_wuxi_month,0.0688395
4,Volume_x,0.0646658
27,day,0.0425412
1,High_x,0.0365864
31,dayofyear,0.0340332
3,Close_x,0.0317785
2,Low_x,0.0308393
0,Open_x,0.0303791
7,current_day_pillar_minus,0.0298464
6,current_day_pillar,0.0296998
29,dayofweek,0.0294211
14,current_wuxi_day,0.026913
154,cs_base_year_current_day,0.0244884
46,current_day_pillar_minus_earthly,0.0223703
61,current_month_pillar_earthly_sin,0.0193206
8,current_hour_pillar_minus,0.0186389
32,weekofyear,0.018494
140,cs_base_day_current_month_minus,0.0180901
16,current_wuxi_year,0.016987
9,current_month_pillar,0.016931
142,cs_base_hour_minus_current_day,0.0161045
136,cs_base_day_current_day,0.0154679
50,current_day_pillar_minus_earthly_cos,0.0144998
138,cs_base_day_current_month,0.0141239
40,current_day_pillar_earthly,0.0140945
156,cs_base_year_current_month,0.0140931
49,current_day_pillar_minus_earthly_sin,0.0136049
148,cs_base_month_current_day,0.0133712
12,current_month_pillar_minus,0.0133067
58,current_month_pillar_earthly,0.0127365
44,current_day_pillar_earthly_cos,0.0108068
160,cs_base_month_minus_current_day,0.0107521
43,current_day_pillar_earthly_sin,0.0103229
78,current_month_pillar_minus_heavenly_cos,0.00893102
144,cs_base_hour_minus_current_month,0.00886306
76,current_month_pillar_minus_earthly,0.00807808
130,cs_base_hour_current_day,0.00800115
48,current_day_pillar_minus_heavenly_cos,0.00767722
150,cs_base_month_current_month,0.00727562
60,current_month_pillar_heavenly_cos,0.00721586
132,cs_base_hour_current_month,0.00680872
53,current_hour_pillar_minus_heavenly_sin,0.00661656
134,cs_base_hour_current_month_minus,0.00640043
164,cs_base_month_minus_current_month_minus,0.00620184
42,current_day_pillar_heavenly_cos,0.00619231
146,cs_base_hour_minus_current_month_minus,0.00602165
75,current_month_pillar_minus_heavenly,0.00591086
152,cs_base_month_current_month_minus,0.00584187
41,current_day_pillar_heavenly_sin,0.00575386
77,current_month_pillar_minus_heavenly_sin,0.00572805
158,cs_base_year_current_month_minus,0.00569041
13,current_wuxi_hour,0.00568029
35,current_hour_pillar_heavenly_sin,0.0056167
162,cs_base_month_minus_current_month,0.00531618
62,current_month_pillar_earthly_cos,0.00520218
39,current_day_pillar_heavenly,0.00506016
80,current_month_pillar_minus_earthly_cos,0.00500688
33,current_hour_pillar_heavenly,0.00478726
47,current_day_pillar_minus_heavenly_sin,0.00463842
57,current_month_pillar_heavenly,0.00463595
45,current_day_pillar_minus_heavenly,0.00460873
79,current_month_pillar_minus_earthly_sin,0.00439144
26,month,0.00365772
59,current_month_pillar_heavenly_sin,0.00324149
5,current_hour_pillar,0.00299776
51,current_hour_pillar_minus_heavenly,0.00268218
64,current_year_pillar_earthly,0.00198597
30,quarter,0.00178462
54,current_hour_pillar_minus_heavenly_cos,0.00165111
36,current_hour_pillar_heavenly_cos,0.00157092
10,current_year_pillar,0.00129159
68,current_year_pillar_earthly_cos,0.00124779
69,current_year_pillar_minus_heavenly,0.00114338
25,year,0.00114163
65,current_year_pillar_heavenly_sin,0.00107045
11,current_year_pillar_minus,0.00104083
56,current_hour_pillar_minus_earthly_cos,0.00082917
71,current_year_pillar_minus_heavenly_sin,0.000819824
163,cs_base_month_minus_current_year,0.000809615
157,cs_base_year_current_year,0.000781084
70,current_year_pillar_minus_earthly,0.000770941
133,cs_base_hour_current_year,0.000722068
145,cs_base_hour_minus_current_year,0.000660189
63,current_year_pillar_heavenly,0.000582275
72,current_year_pillar_minus_heavenly_cos,0.000564736
161,cs_base_month_minus_current_hour_minus,0.000550351
67,current_year_pillar_earthly_sin,0.000521519
52,current_hour_pillar_minus_earthly,0.00047381
73,current_year_pillar_minus_earthly_sin,0.000404694
131,cs_base_hour_current_hour_minus,0.000402236
137,cs_base_day_current_hour_minus,0.000384019
139,cs_base_day_current_year,0.000354727
74,current_year_pillar_minus_earthly_cos,0.000260716
151,cs_base_month_current_year,0.000254496
66,current_year_pillar_heavenly_cos,0.00025123
149,cs_base_month_current_hour_minus,0.000230074
155,cs_base_year_current_hour_minus,0.000215782
143,cs_base_hour_minus_current_hour_minus,0.000189689
55,current_hour_pillar_minus_earthly_sin,0.000158297
17,base_year_pillar,0
