,Open_x,High_x,Low_x,Close_x,Volume_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,year,month,day,hour,dayofweek,quarter,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
Open_x,1,0.995231,0.99524,0.99176,0.044993,0.0374477,0.00415638,-0.0572635,-0.0218359,0.021383,-0.00451263,0.0368781,0.0253603,-0.0754114,-0.00908092,-0.0246554,-0.00912652,,,,,,,,,-0.0534133,0.0529392,0.0506437,,0.0216226,0.0619099,0.0567049,0.0607592,0.0374477,,-0.0290299,-0.0694666,,,-0.00360617,0.069461,-0.0553035,0.0251692,-0.0619003,0.00493395,-0.0551135,-1.31141e-05,0.0553035,-0.0251692,0.0500785,-0.00549675,-0.0242794,0.0120416,0.0290299,0.0694666,-0.0120416,-0.0120416,0.0312215,-0.058138,0.0418099,-0.0756549,0.0801407,0.0342395,-0.00451263,-0.0452892,0.0108759,-0.0235267,-0.0140089,-0.00965071,0.0368781,-0.0368781,-0.0108759,0.0235267,0.00694878,0.0430694,0.0257957,0.00129956,-0.0418099,0.0756549,-0.0715763,-0.0253477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0163753,0.0120416,0.0259229,0.0176289,0.0545203,,-0.0123952,0.0120416,0.078042,-0.0220947,-0.10833,,0.0298776,-0.0120416,-0.0549765,0.0176289,0.0762685,,-0.0469305,0.0120416,-0.0119355,0.0220947,0.0655158,,-0.0174342,0.0120416,0.0454356,-0.0176289,-0.0605991,,0.0108611,-0.0120416,-0.0152687,-0.0220947,-0.0683396,0.0153483
High_x,0.995231,1,0.990477,0.99238,0.0391634,0.0358117,0.00861406,-0.0515254,-0.0126914,0.0116244,-0.00387887,0.0343447,0.0276458,-0.077878,-0.00511081,-0.0316953,-0.0118104,,,,,,,,,-0.0469097,0.0486878,0.0446899,,0.0200902,0.0556067,0.0520111,0.0550424,0.0358117,,-0.0202597,-0.0749835,,,0.000406002,0.0738563,-0.0517217,0.0243918,-0.0554628,-0.00116387,-0.0499265,0.00452444,0.0517217,-0.0243918,0.0452911,-0.00203892,-0.0156974,0.016002,0.0202597,0.0749835,-0.016002,-0.016002,0.0212291,-0.0564458,0.0463195,-0.0776474,0.0786143,0.034525,-0.00387887,-0.0424063,0.00482959,-0.0222599,-0.0135289,-0.00561872,0.0343447,-0.0343447,-0.00482959,0.0222599,0.00836077,0.0407585,0.0287789,-0.00310142,-0.0463195,0.0776474,-0.0717235,-0.0247755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0202341,0.016002,0.0346878,0.0200059,0.059467,,-0.00639988,0.016002,0.0758504,-0.0223287,-0.116227,,0.02618,-0.016002,-0.0501847,0.0200059,0.0828863,,-0.0516281,0.016002,-0.00714542,0.0223287,0.0715864,,-0.0161818,0.016002,0.0420944,-0.0200059,-0.068747,,0.0172672,-0.016002,-0.0223195,-0.0223287,-0.074601,0.0187661
Low_x,0.99524,0.990477,1,0.99113,0.0457324,0.0326163,0.00827756,-0.0569728,-0.0187969,0.0201165,-0.0147512,0.0471787,0.0254607,-0.0771407,-0.00367363,-0.0284363,-0.0249283,,,,,,,,,-0.0500092,0.0589146,0.0495927,,0.0220033,0.0683298,0.06262,0.067439,0.0326163,,-0.0281936,-0.0712303,,,0.00146033,0.061297,-0.0521763,0.0251198,-0.0609197,-0.00103706,-0.0541676,-0.00555696,0.0521763,-0.0251198,0.0483129,-0.00387505,-0.0233565,0.0243101,0.0281936,0.0712303,-0.0243101,-0.0243101,0.0302849,-0.0585592,0.0371409,-0.0759554,0.0745826,0.0405752,-0.0147512,-0.0516071,0.00903705,-0.0354077,-0.0257108,-0.0158417,0.0471787,-0.0471787,-0.00903705,0.0354077,0.0188021,0.0529507,0.0252709,0.00237096,-0.0371409,0.0759554,-0.0670616,-0.0295273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0147527,0.0243101,0.0296387,0.0309971,0.0484484,,-0.0199656,0.0243101,0.072465,-0.035164,-0.101207,,0.039008,-0.0243101,-0.0530188,0.0309971,0.0701113,,-0.0359275,0.0243101,-0.0101909,0.035164,0.0634894,,-0.0301453,0.0243101,0.0455008,-0.0309971,-0.0568769,,0.00831448,-0.0243101,-0.0202953,-0.035164,-0.0605113,0.0219826
Close_x,0.99176,0.99238,0.99113,1,0.0382743,0.0290126,0.0126766,-0.0472353,-0.0141834,0.0179611,-0.00853233,0.0428922,0.0248852,-0.0768502,-0.00035481,-0.0362115,-0.0199682,,,,,,,,,-0.0510953,0.0527055,0.0471286,,0.0310668,0.0615208,0.0562251,0.0606708,0.0290126,,-0.0221775,-0.0732825,,,0.00588221,0.0600191,-0.0514185,0.0202548,-0.0569061,0.00776308,-0.0457827,0.00918417,0.0514185,-0.0202548,0.0440319,-0.0106813,-0.0182543,0.0219227,0.0221775,0.0732825,-0.0219227,-0.0219227,0.027192,-0.0554471,0.0433746,-0.076086,0.0702762,0.0367468,-0.00853233,-0.0503589,0.00587147,-0.0297988,-0.0198385,-0.00954471,0.0428922,-0.0428922,-0.00587147,0.0297988,0.0137571,0.0498276,0.025794,-0.00704928,-0.0433746,0.076086,-0.0615129,-0.0289464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00787993,0.0219227,0.0276653,0.0271432,0.0555017,,-0.0200953,0.0219227,0.0717433,-0.0300458,-0.110728,,0.0437958,-0.0219227,-0.0582836,0.0271432,0.0769442,,-0.0418217,0.0219227,-0.00825934,0.0300458,0.0714188,,-0.0310622,0.0219227,0.0489184,-0.0271432,-0.0656985,,0.00553843,-0.0219227,-0.0212568,-0.0300458,-0.0682689,0.0151465
Volume_x,0.044993,0.0391634,0.0457324,0.0382743,1,0.0118141,-0.0557816,-0.00179968,-0.0237095,-0.0414359,-0.0079622,0.00607613,0.014491,0.000869318,-0.0514566,0.0404402,-0.0439072,,,,,,,,,0.0228877,0.000204408,-0.0861164,,0.106559,0.00695963,-0.00667492,0.00095415,0.0118141,,-0.0268552,0.011869,,,-0.0540915,-0.0310868,0.0597109,0.00257333,0.054949,-0.0733819,-0.000422512,0.00392754,-0.0597109,-0.00257333,-0.0527738,0.054653,-0.02253,-0.00868539,0.0268552,-0.011869,0.00868539,0.00868539,-0.0406577,-0.0364628,0.0367231,0.00865877,0.0076607,0.0481758,-0.0079622,-0.00237076,0.0169788,-0.00625788,-0.00590727,-0.0157184,0.00607613,-0.00607613,-0.0169788,0.00625788,0.00127351,0.00337808,0.0162168,0.00528597,-0.0367231,-0.00865877,-0.0115839,-0.0401631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000812042,-0.00868539,-0.0256964,-0.00389106,-0.00796143,,-0.0485892,-0.00868539,0.00563544,-0.00220447,0.041665,,0.0510283,0.00868539,-0.000672794,-0.00389106,-0.0307337,,0.0274987,-0.00868539,-0.0295922,0.00220447,0.00963658,,-0.0686942,-0.00868539,0.00285714,0.00389106,0.030373,,-0.00376549,0.00868539,0.0227237,-0.00220447,0.00157123,-0.068157
current_hour_pillar,0.0374477,0.0358117,0.0326163,0.0290126,0.0118141,1,-0.513646,-0.516498,-0.102648,0.00652531,0.00301645,-0.00737359,0.00209086,0.097367,-0.513365,0.0190714,0.00478852,,,,,,,,,0.00811111,-0.00844852,0.00460995,,0.00995545,-0.00939234,-0.00804974,0.00261535,1,,-0.0767761,0.0512041,,,-0.515889,-0.00290199,0.00225823,0.00019089,0.000972497,-0.000514032,-0.520377,0.00526644,-0.00225823,-0.00019089,0.00017298,0.00543015,-0.104206,0.000234094,0.0767761,-0.0512041,-0.000234094,-0.000234094,0.00590935,-0.000819535,0.00101157,-0.00395505,-0.00167063,-0.00330004,0.00301645,0.00756425,-0.00610475,0.00545268,0.00392727,0.00576079,-0.00737359,0.00737359,0.00610475,-0.00545268,-0.00163948,-0.00757648,0.00321684,-0.00142571,-0.00101157,0.00395505,-0.00114179,0.00376783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00769498,0.000234094,0.000729786,-0.00190259,0.00430465,,0.00431427,0.000234094,-0.00446636,0.00418635,-0.00733557,,0.00192973,-0.000234094,0.00569877,-0.00190259,0.00808532,,0.0115177,0.000234094,-0.00259577,-0.00418635,-0.00326378,,-0.00385814,0.000234094,-0.00464237,0.00190259,-0.00264531,,-0.00480845,-0.000234094,-0.00365929,0.00418635,-0.00431668,0.000232346
current_day_pillar,0.00415638,0.00861406,0.00827756,0.0126766,-0.0557816,-0.513646,1,-0.148459,0.298052,-0.0391327,-0.00575247,0.0100762,0.024122,-0.120874,0.992823,0.0819938,-0.00456819,,,,,,,,,-0.00875085,0.00270187,0.0426345,,-0.0133226,0.00142996,0.00605149,0.00115207,-0.513646,,0.309618,-0.204219,,,0.995142,0.0913081,-0.658299,0.0326243,-0.0372284,-0.0417209,-0.148718,-0.00253916,0.658299,-0.0326243,0.0526938,0.020136,0.302036,0.00238078,-0.309618,0.204219,-0.00238078,-0.00238078,-0.0336728,-0.0645738,0.0343755,-0.0525782,0.046698,0.0478356,-0.00575247,-0.00918682,0.00629546,-0.00853015,-0.00694304,-0.00781921,0.0100762,-0.0100762,-0.00629546,0.00853015,0.00451701,0.0100842,0.0216112,0.0461828,-0.0343755,0.0525782,-0.036916,-0.0234431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0302201,0.00238078,0.0241556,0.00495899,-0.0147764,,0.0114367,0.00238078,-0.00568618,-0.00739769,0.0115131,,-0.029703,-0.00238078,0.0354012,0.00495899,-0.0327223,,-0.0210914,0.00238078,-0.0180832,0.00739769,0.00207528,,0.0147991,0.00238078,-0.0166073,-0.00495899,0.0314104,,0.0202323,-0.00238078,-0.00369647,-0.00739769,0.00722523,0.0830258
current_day_pillar_minus,-0.0572635,-0.0515254,-0.0569728,-0.0472353,-0.00179968,-0.516498,-0.148459,1,0.285782,0.0170402,0.00515155,-0.00559247,-0.0324256,-0.11728,-0.151908,-0.127674,0.00607004,,,,,,,,,-7.72332e-05,0.00485561,-0.0583834,,-0.00306457,0.00713307,0.00020502,-0.0101171,-0.516498,,0.298527,-0.196576,,,-0.150302,0.0146986,0.654877,-0.0290832,0.030646,0.0369031,0.995093,0.104691,-0.654877,0.0290832,-0.0607983,-0.0291753,0.290989,-0.00558603,-0.298527,0.196576,0.00558603,0.00558603,0.0127426,0.0577767,-0.027956,0.0495325,-0.0478932,-0.0403918,0.00515155,0.00371734,5.81288e-05,0.00613864,0.00589975,0.0036286,-0.00559247,0.00559247,-5.81288e-05,-0.00613864,-0.00569079,-0.00538738,-0.030362,-0.0556191,0.027956,-0.0495325,0.037387,0.0147981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0056189,-0.00558603,-0.0223392,-0.00636375,0.0130855,,0.0365475,-0.00558603,-0.0047464,0.00652003,-0.000134436,,-0.00845286,0.00558603,-0.0276136,-0.00636375,0.0171768,,-0.0595213,-0.00558603,0.0164305,-0.00652003,0.00940228,,0.0260659,-0.00558603,0.0133699,0.00636375,-0.0214226,,0.0257754,0.00558603,0.00394816,0.00652003,-0.0096186,-0.0112988
current_hour_pillar_minus,-0.0218359,-0.0126914,-0.0187969,-0.0141834,-0.0237095,-0.102648,0.298052,0.285782,1,-0.0337403,-0.118378,0.0590514,-0.0267351,0.298499,0.297866,0.0109471,-0.112918,,,,,,,,,0.0681486,0.0658883,0.021078,,-0.0106562,0.068977,0.067709,0.0562364,-0.102648,,0.980883,0.00310579,,,0.299237,0.00176069,-0.00664315,-3.49665e-05,-0.00245141,0.00270604,0.285939,0.0142535,0.00664315,3.49665e-05,-0.00339854,-0.00940247,0.984822,0.170061,-0.980883,-0.00310579,-0.170061,-0.170061,-0.0339774,0.0144071,-0.00225529,-0.0165977,-0.0629063,0.0380811,-0.118378,0.00587384,-0.0863976,-0.107699,-0.124918,-0.0329985,0.0590514,-0.0590514,0.0863976,0.107699,0.151672,0.0468903,-0.0267394,-0.0160043,0.00225529,0.0165977,0.0485458,-0.0303304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00668672,0.170061,-0.00197091,0.163654,0.0104011,,0.00682138,0.170061,-0.0161121,-0.13665,0.0121087,,-0.0100962,-0.170061,-0.0230429,0.163654,0.00230206,,-0.00680202,0.170061,-0.0195468,0.13665,0.0141864,,0.00951494,0.170061,0.0492382,-0.163654,-0.010826,,0.00521228,-0.170061,-0.0250464,-0.13665,0.000796193,0.0590321
current_month_pillar,0.021383,0.0116244,0.0201165,0.0179611,-0.0414359,0.00652531,-0.0391327,0.0170402,-0.0337403,1,0.0883316,-0.0739472,-0.194908,0.00647957,-0.0391967,0.0362862,0.117859,,,,,,,,,-0.133796,0.0790377,0.116711,,-0.00562411,0.108278,0.0875296,0.0760658,0.00652531,,-0.0156297,0.0125246,,,-0.0402873,0.00763875,0.0560768,0.0478418,-0.00848035,0.0494081,0.0131387,0.031708,-0.0560768,-0.0478418,0.00412099,-0.0325413,-0.0142289,-0.113608,0.0156297,-0.0125246,0.113608,0.113608,0.99485,0.414621,-0.68203,0.0552146,-0.129021,-0.387109,0.0883316,0.0348962,0.0328563,0.095209,0.0984898,0.0433472,-0.0739472,0.0739472,-0.0328563,-0.095209,-0.106227,-0.0685968,-0.192461,0.121011,0.68203,-0.0552146,0.184987,0.464679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0142597,-0.113608,-0.0801303,-0.118165,-0.0153194,,0.0142439,-0.113608,0.04081,0.109456,0.206233,,-0.0261118,0.113608,-0.0347062,-0.118165,0.0884363,,-0.0390487,-0.113608,0.0598158,-0.109456,-0.506225,,0.0425473,-0.113608,-0.114105,0.118165,0.0843977,,0.014152,0.113608,0.0363807,0.109456,0.181672,0.0300105
