,Open_x,High_x,Low_x,Close_x,Volume_x,Dividends_x,Stock Splits_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,year,month,day,hour,dayofweek,quarter,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
Open_x,1,0.995064,0.992806,0.986792,0.503211,,,0.0116695,-0.026037,-0.036376,-0.0427147,0.0338044,-0.559034,0.14228,0.163336,-0.0170041,-0.0266115,-0.089578,-0.430025,,,,,,,,,0.203276,0.573302,0.00685196,,-0.0235906,0.602452,0.574817,0.576611,0.0116695,,0.0342866,-0.0281567,,,-0.0262455,0.00675554,0.0237709,0.00652104,0.0163385,-0.0138259,-0.038147,0.0168608,-0.0237709,-0.00652104,-0.0198281,-0.00117023,0.0368564,-0.452473,-0.0342866,0.0281567,0.452473,0.589695,0.0657904,-0.185408,0.0639758,-0.058311,-0.243053,0.305193,-0.559034,0.211196,-0.107082,-0.400493,-0.507575,-0.328421,0.14228,-0.14228,0.107082,0.400493,0.571335,0.0194664,0.16725,0.0896504,-0.0639758,0.058311,-0.0242741,-0.17914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0127067,-0.452473,0.126494,0.481168,0.124657,,0.00682309,0.452473,-0.119327,-0.454717,-0.139056,,-0.00326573,-0.452473,0.128027,0.481168,0.156652,,0.000569004,-0.452473,0.016383,0.454717,0.213591,,0.00405773,0.452473,0.0227398,-0.481168,-0.234975,,-0.00624729,0.452473,-0.173459,-0.454717,-0.12792,0.969629
High_x,0.995064,1,0.992985,0.994463,0.527019,,,0.011298,-0.0301727,-0.0323686,-0.0377177,0.0383436,-0.550137,0.130263,0.168344,-0.00984936,-0.0304989,-0.089023,-0.432567,,,,,,,,,0.215028,0.56382,0.0026263,,-0.0145778,0.593809,0.565066,0.566769,0.011298,,0.0400161,-0.0222881,,,-0.0300976,-0.000197972,0.0308248,0.011428,0.0120306,-0.00627174,-0.0344497,0.020392,-0.0308248,-0.011428,-0.0121543,-0.00668983,0.042797,-0.457363,-0.0400161,0.0222881,0.457363,0.595128,0.0703129,-0.17638,0.0650541,-0.0578381,-0.239802,0.305962,-0.550137,0.220566,-0.123575,-0.390108,-0.498945,-0.312432,0.130263,-0.130263,0.123575,0.390108,0.567928,0.00906223,0.171454,0.0969292,-0.0650541,0.0578381,-0.0329309,-0.178071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0107529,-0.457363,0.130356,0.480761,0.12628,,0.00363043,0.457363,-0.108859,-0.448096,-0.140415,,-0.00316489,-0.457363,0.126078,0.480761,0.158963,,0.000212013,-0.457363,0.0122635,0.448096,0.211544,,0.00440395,0.457363,0.024861,-0.480761,-0.235651,,-0.00791388,0.457363,-0.173134,-0.448096,-0.130435,0.977536
Low_x,0.992806,0.992985,1,0.995271,0.465903,,,0.0231636,-0.021512,-0.03414,-0.0572189,0.0318293,-0.566401,0.132493,0.15577,-0.0183698,-0.0222182,-0.0879344,-0.430604,,,,,,,,,0.211384,0.580107,0.0137281,,-0.0198946,0.605607,0.582163,0.583948,0.0231636,,0.0203941,-0.0259505,,,-0.0220279,0.00720931,0.0234291,0.00598802,0.00976919,-0.0113841,-0.0354416,0.0131945,-0.0234291,-0.00598802,-0.012863,-0.00363188,0.0226779,-0.455565,-0.0203941,0.0259505,0.455565,0.597071,0.0630985,-0.183236,0.0532604,-0.0584679,-0.248572,0.293409,-0.566401,0.229202,-0.112082,-0.399134,-0.511016,-0.330627,0.132493,-0.132493,0.112082,0.399134,0.578029,0.00570884,0.158587,0.0958706,-0.0532604,0.0584679,-0.0231549,-0.166243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00795594,-0.455565,0.131795,0.482895,0.117576,,0.00548022,0.455565,-0.13449,-0.454613,-0.12347,,-0.00820165,-0.455565,0.135563,0.482895,0.140947,,0.00174972,-0.455565,0.03292,0.454613,0.201374,,0.00688486,0.455565,0.0109267,-0.482895,-0.21677,,-0.00636128,0.455565,-0.182483,-0.454613,-0.117781,0.976617
Close_x,0.986792,0.994463,0.995271,1,0.491821,,,0.0221811,-0.0224367,-0.0323174,-0.0487672,0.0393028,-0.556195,0.126271,0.165007,-0.0125972,-0.0225447,-0.0920853,-0.432602,,,,,,,,,0.214072,0.571649,0.00580255,,-0.0164316,0.597913,0.573132,0.574867,0.0221811,,0.0293676,-0.022778,,,-0.0222886,-0.00317799,0.0289763,0.00748959,0.0057353,-0.000301791,-0.0339444,0.0176901,-0.0289763,-0.00748959,-0.00564822,-0.0103023,0.0315295,-0.457089,-0.0293676,0.022778,0.457089,0.59713,0.0710844,-0.176275,0.0547198,-0.0692682,-0.237373,0.296317,-0.556195,0.230077,-0.122439,-0.390893,-0.502333,-0.317349,0.126271,-0.126271,0.122439,0.390893,0.572042,0.0021961,0.167534,0.108753,-0.0547198,0.0692682,-0.0357646,-0.168905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0118948,-0.457089,0.137069,0.480861,0.119885,,-0.00240113,0.457089,-0.119171,-0.448627,-0.127884,,-0.00339129,-0.457089,0.13557,0.480861,0.144908,,0.00324757,-0.457089,0.0236167,0.448627,0.20163,,0.0053134,0.457089,0.0126529,-0.480861,-0.221143,,-0.0127103,0.457089,-0.179546,-0.448627,-0.123265,0.9818
Volume_x,0.503211,0.527019,0.465903,0.491821,1,,,-0.00648168,-0.0278051,-0.00255968,0.0253218,0.105185,-0.0978658,-0.171818,0.0793755,0.00907426,-0.0185908,0.0308948,-0.105376,,,,,,,,,0.286795,0.059037,0.031481,,0.0563374,0.0841838,0.0620135,0.062299,-0.00648168,,0.0625981,-0.0103473,,,-0.0200697,-0.0840524,0.0539397,0.069709,0.0984492,-0.076666,-0.0047722,0.00694582,-0.0539397,-0.069709,-0.0899608,0.0295618,0.0626048,-0.208085,-0.0625981,0.0103473,0.208085,0.269507,0.11485,0.0530859,0.0403298,-0.0961059,-0.112263,0.0135533,-0.0978658,0.293777,-0.265213,0.0230242,-0.0605283,0.0882735,-0.171818,0.171818,0.265213,-0.0230242,0.164025,-0.213107,0.0943853,-0.0211022,-0.0403298,0.0961059,-0.113633,0.0334029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0571444,-0.208085,-0.0169006,0.142329,0.0953126,,0.0555845,0.208085,0.162911,-0.046677,-0.155581,,-0.020437,-0.208085,-0.0868622,0.142329,0.170717,,-0.0191047,-0.208085,-0.0326642,0.046677,0.0789152,,-0.011143,0.208085,0.104275,-0.142329,-0.152907,,0.0701573,0.208085,0.0234174,-0.046677,-0.126207,0.491364
Dividends_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Splits_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_hour_pillar,0.0116695,0.011298,0.0231636,0.0221811,-0.00648168,,,1,0.102936,0.105316,-0.107071,0.00908139,-0.0112164,-0.00468049,0.00658842,0.104508,0.102975,-0.0575826,-0.00169561,,,,,,,,,0.00507225,0.00891654,-0.0125988,,-0.00206848,0.00731301,0.00789509,0.00794919,1,,-0.0776278,0.058709,,,0.100834,0.0269563,0.012246,0.00635502,-0.029765,-0.0193537,0.108475,-0.0261344,-0.012246,-0.00635502,0.0296423,0.028165,-0.105809,-0.0163782,0.0776278,-0.058709,0.0163782,0.0152803,0.00985588,-0.0158254,-0.00474193,-0.0205525,-0.00689348,-0.00977545,-0.0112164,0.0140738,-0.0140672,-0.00471911,-0.00945184,0.000459622,-0.00468049,0.00468049,0.0140672,0.00471911,0.014956,-0.00763749,0.00905496,0.0071796,0.00474193,0.0205525,-0.0057562,0.00608519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0118881,-0.0163782,-0.00818522,0.0136912,0.00675221,,-0.010924,0.0163782,0.000994464,-0.0087942,0.00276429,,-0.00693378,-0.0163782,-0.02338,0.0136912,-0.0147898,,0.00112252,-0.0163782,-0.00626487,0.0087942,-0.00657253,,0.00549184,0.0163782,0.0292596,-0.0136912,0.0198387,,-0.00104715,0.0163782,-0.0111814,-0.0087942,-0.00955381,0.0251627
current_day_pillar,-0.026037,-0.0301727,-0.021512,-0.0224367,-0.0278051,,,0.102936,1,-0.161774,-0.144408,-0.0672608,0.0153569,-0.0136578,0.0477319,0.312752,0.992895,-0.000583104,0.0199146,,,,,,,,,-0.0148463,-0.00787729,0.0278861,,-0.0407551,-0.0199565,-0.0058409,-0.00537779,0.102936,,-0.106644,0.328549,,,0.99514,0.0901158,-0.659418,0.0406319,-0.0100667,-0.0721054,-0.160105,-0.0118795,0.659418,-0.0406319,0.0111797,0.043254,-0.15455,0.0447083,0.106644,-0.328549,-0.0447083,-0.0385144,-0.067318,-0.0387926,0.0924677,-0.0154627,0.0499974,0.0485845,0.0153569,0.00692507,0.0312687,0.0197237,0.0211217,-0.00773157,-0.0136578,0.0136578,-0.0312687,-0.0197237,-0.029555,-0.0156016,0.0471358,0.0488885,-0.0924677,0.0154627,-0.0490841,-0.0579266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0206522,0.0447083,0.0310794,-0.0399805,-0.023771,,0.00190431,-0.0447083,0.0038642,0.0293696,0.0214237,,-0.0046478,0.0447083,0.0666301,-0.0399805,-0.0389562,,-0.00357136,0.0447083,-0.0243278,-0.0293696,0.010979,,-0.0224728,-0.0447083,-0.0448334,0.0399805,0.03645,,0.0182865,-0.0447083,0.0104842,0.0293696,0.000824813,-0.0216176
current_day_pillar_minus,-0.036376,-0.0323686,-0.03414,-0.0323174,-0.00255968,,,0.105316,-0.161774,1,-0.169288,-0.00235206,0.0292271,-0.0148062,0.00456325,0.323325,-0.167821,-0.0705521,0.0294644,,,,,,,,,-0.00847715,-0.0158762,-0.0359332,,0.0153195,-0.00707255,-0.0186533,-0.0189028,0.105316,,-0.127432,0.347763,,,-0.165257,0.0238577,0.663778,-0.0151043,0.0391252,0.0339279,0.995066,0.115513,-0.663778,0.0151043,-0.106623,-0.018509,-0.173155,0.00716658,0.127432,-0.347763,-0.00716658,-0.0128221,-0.00566969,0.0562876,-0.0266729,0.0397093,-0.0415419,-0.0379985,0.0292271,-0.00142402,-0.0158609,0.0231877,0.0258559,0.029862,-0.0148062,0.0148062,0.0158609,-0.0231877,-0.0223356,-0.00781829,0.00652588,-0.0603551,0.0266729,-0.0397093,0.0447361,0.0257642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00255367,0.00716658,-0.0312059,-0.0140394,0.0630178,,0.0400035,-0.00716658,-0.0181434,0.0204075,-0.0502333,,-0.00214267,0.00716658,-0.0540325,-0.0140394,0.0568183,,-0.060081,0.00716658,0.00038,-0.0204075,0.0392626,,0.0136488,-0.00716658,0.044831,0.0140394,-0.0629463,,0.025358,-0.00716658,-0.00489947,0.0204075,-0.0458349,-0.0264795
