,target
66,110.558
132,101.442
222,145.933
31,158.861
84,191.777
291,112.119
211,168.988
298,195.917
412,132.981
244,194.419
386,192.79
351,140.454
5,133.122
45,155.232
296,196.646
155,104.799
367,181.333
399,150.64
16,180.775
394,128.053
131,195.506
304,109.165
3,117.03
18,166.817
325,101.314
60,96.2816
204,182.719
248,138.487
63,180.361
110,168.772
349,143.635
198,141.243
29,195.788
406,154.304
210,117.482
208,189.159
26,124.474
7,101.798
321,192.764
297,126.237
108,141.358
101,135.13
250,164.756
398,193.062
118,158.757
114,148.025
137,160.764
374,181.998
283,185.39
332,105.065
379,134.726
312,107.584
342,150.188
152,119.752
384,105.825
109,174.203
181,161.617
194,138.612
388,129.03
168,194.849
83,180.999
407,105.623
377,122.704
74,137.796
203,144.216
119,130.496
223,151.857
335,167.764
402,137.745
234,112.873
354,95.1961
334,158.14
172,172.839
327,155.642
305,140.318
36,166.167
139,166.109
311,157.591
177,142.727
424,187.465
227,139.629
59,193.906
111,197.425
420,102.636
199,138.277
6,135.483
307,195.93
404,110.454
158,154.184
150,135.252
10,146.674
286,137.809
103,177.43
81,168.423
284,96.7904
266,144.789
167,155.913
400,109.192
238,172.424
246,120.712
192,192.386
371,160.514
89,135.361
220,194.079
163,127.089
196,166.279
147,102.23
2,113.533
92,186.009
69,115.224
228,142.669
123,125.788
96,167.063
143,146.145
323,135.615
346,117.566
97,160.466
261,187.803
68,141.303
23,201.54
37,129.056
144,180.692
122,122.18
265,175.075
202,143.809
182,149.688
67,136.231
245,141.91
356,147.149
247,158.367
397,143.808
338,181.913
225,185.012
125,195.821
146,122.744
378,107.519
86,164.549
358,130.66
219,95.5612
396,128.483
360,140.622
231,103.731
277,125.695
322,166.939
183,106.056
253,132.127
302,162.797
401,137.011
301,148.914
129,131.293
38,196.453
11,180.681
320,132.343
185,102.521
289,190.443
271,112.337
112,112.968
179,146.348
383,110.587
355,102.772
287,139.892
278,171.833
117,159.946
393,116.754
405,107.623
410,103.682
381,194.889
233,149.741
387,161.438
365,187.263
164,139.682
136,164.998
197,183.42
258,153.457
232,135.304
115,194.131
120,133.657
224,173.219
395,110.807
285,129.449
127,128.88
352,181.808
107,185.649
316,166.149
133,108.548
310,139.813
44,172.571
392,166.368
65,114.452
85,134.784
242,120.087
186,189.436
159,165.776
12,137.406
35,193.437
28,167.169
170,183.514
142,149.904
340,188.046
290,128.005
221,102.921
95,120.853
51,174.222
240,176.188
318,178.766
324,154.475
178,171.635
41,119.036
331,148.419
206,136.071
282,132.13
254,113.381
353,146.565
4,128.442
256,138.613
382,187.498
100,184.274
226,125.285
364,159.356
213,121.857
171,190.582
98,143.982
292,170.466
215,173.034
61,172.232
47,166.175
32,141.581
267,164.298
200,172.29
380,117.626
27,178.051
333,178.159
230,123.965
260,103.53
288,181.553
162,150.355
362,165.022
138,171.049
62,110.675
135,182.138
128,111.003
8,148.998
326,158.224
64,169.561
300,111.401
14,169.366
156,172.398
40,122.102
391,117.582
370,173.615
216,135.325
279,191.186
369,186.113
337,96.445
236,99.4536
207,113.943
212,164.498
295,189.002
389,155.287
251,170.662
416,183.855
390,103.395
303,148.022
269,143.918
201,154.011
161,167.31
43,98.9121
217,163.363
190,152.244
309,158.27
259,124.269
105,166.446
53,162.066
1,136.569
411,108.858
49,166.186
80,109.361
205,137.607
34,105.309
263,185.307
366,104.439
91,179.494
339,173.392
52,119.983
345,105.453
264,145.027
241,140.033
13,188.588
315,156.955
88,151.479
273,175.425
166,146.827
328,111.296
419,168.965
134,181.287
306,113.646
409,165.155
319,168.283
243,103.293
54,106.894
363,124.992
50,118.156
174,143.852
189,165.731
423,148.156
187,101.028
169,179.779
58,200.218
48,196.136
344,128.445
235,188.43
252,183.66
21,169.374
313,168.164
160,125.837
276,185.701
191,169.117
385,168.872
293,102.242
343,131.128
257,200.845
308,190.208
149,158.385
130,143.249
151,105.069
359,187.575
99,131.566
372,130.951
87,116.963
330,129.873
214,112.114
121,128.154
425,170.54
20,113.078
188,134.66
71,160.244
106,123.207
270,191.288
348,108.884
102,124.971
