,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date
0,2025-06-03 16:48:29.552299+08:00,2025-06-03 16:48:29.552299+08:00,HSI,庚申,戊午,癸亥,乙丑,丙申,乙巳,庚子,辛卯,丁亥,戊午,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,6152648454103978552,2025-06-02 08:48:32.514074+08:00
1,2025-06-04 16:48:29.552299+08:00,2025-06-04 16:48:29.552299+08:00,HSI,壬申,己未,甲子,丁丑,丙申,乙巳,庚子,辛卯,己亥,己未,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,15118943645711689983,2025-06-02 08:48:32.514074+08:00
2,2025-06-05 16:48:29.552299+08:00,2025-06-05 16:48:29.552299+08:00,HSI,甲申,庚申,乙丑,己丑,丙申,乙巳,庚子,辛卯,辛亥,庚申,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,3096859027144969711,2025-06-02 08:48:32.514074+08:00
3,2025-06-06 16:48:29.552299+08:00,2025-06-06 16:48:29.552299+08:00,HSI,丙申,辛酉,丙辰,辛卯,壬午,庚申,乙丑,丁亥,癸亥,辛酉,壬午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,15597368017780039772,2025-06-02 08:48:32.514074+08:00
4,2025-06-09 16:48:29.552299+08:00,2025-06-09 16:48:29.552299+08:00,HSI,壬申,甲子,己未,丁卯,壬午,庚申,乙丑,丁亥,己亥,甲子,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,10206968018602840723,2025-06-02 08:48:32.514074+08:00
5,2025-06-10 16:48:29.552299+08:00,2025-06-10 16:48:29.552299+08:00,HSI,甲申,乙丑,庚申,己卯,壬午,庚申,乙丑,丁亥,辛亥,乙丑,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,10785402664867355108,2025-06-02 08:48:32.514074+08:00
6,2025-06-11 16:48:29.552299+08:00,2025-06-11 16:48:29.552299+08:00,HSI,丙申,丙寅,辛酉,辛卯,壬午,庚申,乙丑,丁亥,癸亥,丙寅,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,4607771171913937228,2025-06-02 08:48:32.514074+08:00
7,2025-06-12 16:48:29.552299+08:00,2025-06-12 16:48:29.552299+08:00,HSI,戊申,丁卯,壬戌,癸卯,壬午,庚申,乙丑,丁亥,乙亥,丁卯,戊午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,14802742590860945085,2025-06-02 08:48:32.514074+08:00
8,2025-06-13 16:48:29.552299+08:00,2025-06-13 16:48:29.552299+08:00,HSI,庚申,戊辰,癸亥,乙卯,壬午,庚申,乙丑,丁亥,丁亥,戊辰,戊午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13413321469656820735,2025-06-02 08:48:32.514074+08:00
9,2025-06-16 16:48:29.552299+08:00,2025-06-16 16:48:29.552299+08:00,HSI,丙申,辛未,丙寅,辛卯,壬午,庚申,乙丑,丁亥,癸亥,辛未,癸午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,227749853601584082,2025-06-02 08:48:32.514074+08:00
