,feature,importance
15,current_wuxi_month,0.0590959
4,Volume_x,0.057252
7,current_day_pillar_minus,0.0556374
3,Close_x,0.0548932
27,day,0.0498968
1,High_x,0.0387564
0,Open_x,0.0376295
2,Low_x,0.0365902
31,dayofyear,0.0336837
14,current_wuxi_day,0.0251826
46,current_day_pillar_minus_earthly,0.0234035
29,dayofweek,0.0223622
61,current_month_pillar_earthly_sin,0.0215503
6,current_day_pillar,0.0189092
16,current_wuxi_year,0.0184774
138,cs_base_day_current_month,0.0179165
40,current_day_pillar_earthly,0.0160669
43,current_day_pillar_earthly_sin,0.0152405
44,current_day_pillar_earthly_cos,0.0147413
136,cs_base_day_current_day,0.0147202
49,current_day_pillar_minus_earthly_sin,0.0142848
9,current_month_pillar,0.0135123
130,cs_base_hour_current_day,0.0131803
142,cs_base_hour_minus_current_day,0.0131066
42,current_day_pillar_heavenly_cos,0.0125371
148,cs_base_month_current_day,0.0124681
76,current_month_pillar_minus_earthly,0.0121163
154,cs_base_year_current_day,0.01156
160,cs_base_month_minus_current_day,0.0113485
50,current_day_pillar_minus_earthly_cos,0.010921
48,current_day_pillar_minus_heavenly_cos,0.010746
8,current_hour_pillar_minus,0.0105032
32,weekofyear,0.0101042
12,current_month_pillar_minus,0.0098115
132,cs_base_hour_current_month,0.00970409
45,current_day_pillar_minus_heavenly,0.00841736
162,cs_base_month_minus_current_month,0.00805253
58,current_month_pillar_earthly,0.00745827
134,cs_base_hour_current_month_minus,0.00742704
60,current_month_pillar_heavenly_cos,0.00738226
79,current_month_pillar_minus_earthly_sin,0.00700977
152,cs_base_month_current_month_minus,0.00674951
59,current_month_pillar_heavenly_sin,0.00658776
150,cs_base_month_current_month,0.00633619
144,cs_base_hour_minus_current_month,0.0063351
164,cs_base_month_minus_current_month_minus,0.00617755
57,current_month_pillar_heavenly,0.00594441
78,current_month_pillar_minus_heavenly_cos,0.00591555
62,current_month_pillar_earthly_cos,0.00579031
75,current_month_pillar_minus_heavenly,0.00542036
156,cs_base_year_current_month,0.00534771
146,cs_base_hour_minus_current_month_minus,0.00520961
140,cs_base_day_current_month_minus,0.0050281
13,current_wuxi_hour,0.00483531
5,current_hour_pillar,0.0046337
26,month,0.00456792
77,current_month_pillar_minus_heavenly_sin,0.00394497
39,current_day_pillar_heavenly,0.00349359
80,current_month_pillar_minus_earthly_cos,0.00344047
158,cs_base_year_current_month_minus,0.0032453
51,current_hour_pillar_minus_heavenly,0.00285884
47,current_day_pillar_minus_heavenly_sin,0.00282165
33,current_hour_pillar_heavenly,0.00278476
54,current_hour_pillar_minus_heavenly_cos,0.0026483
41,current_day_pillar_heavenly_sin,0.00262871
53,current_hour_pillar_minus_heavenly_sin,0.00253443
35,current_hour_pillar_heavenly_sin,0.00210381
73,current_year_pillar_minus_earthly_sin,0.00207403
64,current_year_pillar_earthly,0.00201539
70,current_year_pillar_minus_earthly,0.00191587
36,current_hour_pillar_heavenly_cos,0.0018921
30,quarter,0.00184825
157,cs_base_year_current_year,0.00182434
161,cs_base_month_minus_current_hour_minus,0.00153075
11,current_year_pillar_minus,0.00129173
63,current_year_pillar_heavenly,0.00127339
151,cs_base_month_current_year,0.00125687
133,cs_base_hour_current_year,0.00110347
74,current_year_pillar_minus_earthly_cos,0.00107431
25,year,0.00102999
145,cs_base_hour_minus_current_year,0.00102981
10,current_year_pillar,0.000809257
52,current_hour_pillar_minus_earthly,0.000808279
143,cs_base_hour_minus_current_hour_minus,0.000761035
65,current_year_pillar_heavenly_sin,0.000735732
71,current_year_pillar_minus_heavenly_sin,0.00069953
155,cs_base_year_current_hour_minus,0.000690102
67,current_year_pillar_earthly_sin,0.000635987
68,current_year_pillar_earthly_cos,0.000541916
163,cs_base_month_minus_current_year,0.000317769
55,current_hour_pillar_minus_earthly_sin,0.000313624
139,cs_base_day_current_year,0.000291921
137,cs_base_day_current_hour_minus,0.000215929
149,cs_base_month_current_hour_minus,0.000206751
69,current_year_pillar_minus_heavenly,0.000191555
66,current_year_pillar_heavenly_cos,0.000190576
56,current_hour_pillar_minus_earthly_cos,0.000143271
72,current_year_pillar_minus_heavenly_cos,0.000141749
131,cs_base_hour_current_hour_minus,0.000103683
17,base_year_pillar,0
18,base_month_pillar,0
34,current_hour_pillar_earthly,0
