,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date
0,2025-06-03 17:09:06.385433+08:00,2025-06-03 17:09:06.385433+08:00,HSI,辛酉,戊午,癸亥,丙寅,丙申,乙巳,庚子,辛卯,辛酉,戊午,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,7756145822091494637,2025-06-02 09:09:09.717478+08:00
1,2025-06-04 17:09:06.385433+08:00,2025-06-04 17:09:06.385433+08:00,HSI,癸酉,己未,甲子,戊寅,丙申,乙巳,庚子,辛卯,癸酉,己未,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,8692098909036867929,2025-06-02 09:09:09.717478+08:00
2,2025-06-05 17:09:06.385433+08:00,2025-06-05 17:09:06.385433+08:00,HSI,乙酉,庚申,乙丑,庚寅,丙申,乙巳,庚子,辛卯,乙酉,庚申,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11206149952386428774,2025-06-02 09:09:09.717478+08:00
3,2025-06-06 17:09:06.385433+08:00,2025-06-06 17:09:06.385433+08:00,HSI,丁酉,辛酉,丙辰,壬辰,壬午,庚申,乙丑,丁亥,丁酉,辛酉,壬午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,17954146085129010869,2025-06-02 09:09:09.717478+08:00
4,2025-06-09 17:09:06.385433+08:00,2025-06-09 17:09:06.385433+08:00,HSI,癸酉,甲子,己未,戊辰,壬午,庚申,乙丑,丁亥,癸酉,甲子,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11261783157211881788,2025-06-02 09:09:09.717478+08:00
5,2025-06-10 17:09:06.385433+08:00,2025-06-10 17:09:06.385433+08:00,HSI,乙酉,乙丑,庚申,庚辰,壬午,庚申,乙丑,丁亥,乙酉,乙丑,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,9107760980168323768,2025-06-02 09:09:09.717478+08:00
6,2025-06-11 17:09:06.385433+08:00,2025-06-11 17:09:06.385433+08:00,HSI,丁酉,丙寅,辛酉,壬辰,壬午,庚申,乙丑,丁亥,丁酉,丙寅,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,5297381258296896225,2025-06-02 09:09:09.717478+08:00
7,2025-06-12 17:09:06.385433+08:00,2025-06-12 17:09:06.385433+08:00,HSI,己酉,丁卯,壬戌,甲辰,壬午,庚申,乙丑,丁亥,己酉,丁卯,戊午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,16822079741141527291,2025-06-02 09:09:09.717478+08:00
8,2025-06-13 17:09:06.385433+08:00,2025-06-13 17:09:06.385433+08:00,HSI,辛酉,戊辰,癸亥,丙辰,壬午,庚申,乙丑,丁亥,辛酉,戊辰,戊午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,15298901818503274630,2025-06-02 09:09:09.717478+08:00
9,2025-06-16 17:09:06.385433+08:00,2025-06-16 17:09:06.385433+08:00,HSI,丁酉,辛未,丙寅,壬辰,壬午,庚申,乙丑,丁亥,丁酉,辛未,癸午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13011437104459948042,2025-06-02 09:09:09.717478+08:00
