,Open_x,High_x,Low_x,Close_x,Volume_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,year,month,day,hour,dayofweek,quarter,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
Open_x,1,0.994829,0.994992,0.991319,0.00495971,-0.0303935,-0.009692,-0.0157453,-0.0514991,0.0253672,-0.0272372,-0.0105776,-0.00130773,0.0058495,-0.0120718,0.00546133,-0.00458015,,,,,,,,,0.0196136,-0.00913055,-0.0136402,-0.0187708,-0.00371461,-0.00904028,-0.0103473,-0.0114722,-0.0293685,-0.00876684,-0.00266648,0.0185854,0.0192052,-0.00777148,-0.00965284,-0.00382446,-0.0125362,0.023876,-0.0072848,0.011657,-0.0157574,-0.00125772,0.0125362,-0.023876,0.00951839,-0.000544074,-0.0513994,0.0109986,0.00266648,-0.0185854,-0.016217,0.0140548,0.0224186,0.00532367,-0.0093784,0.0208424,-0.0275671,-0.0257368,-0.0272372,0.00623838,0.0282765,0.00639874,-0.00109594,-0.0247273,-0.0105776,-0.010449,-0.0282765,-0.00639874,0.00631073,0.0125632,-0.0012172,-0.0140358,0.0093784,-0.0208424,0.0443613,0.0170307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00343914,0.0162808,-0.00630497,-0.015778,-0.0126985,-0.00933361,0.0154385,-0.032108,0.00600452,-0.0085248,-0.000751078,0.0119904,0.00704552,0.0219029,-0.00775149,-0.0110784,0.00464141,0.0198605,-0.0142975,0.0152317,-0.0123389,0.0251875,-0.00942218,-0.0314388,-0.00704552,-0.0185856,0.0176353,-0.00210603,-0.00464141,-0.0175287,0.0142975,-0.0196863,0.000741055,-0.00287192,0.00942218,0.0304301,-0.00528978
High_x,0.994829,1,0.989841,0.991657,0.00589629,-0.0271392,-0.0118148,-0.0166986,-0.0496856,0.0267476,-0.0287285,-0.00743869,-0.00122373,0.00673229,-0.0138357,0.00432957,-0.0058403,,,,,,,,,0.0172865,-0.00434383,-0.0124573,-0.0198479,-0.00312445,-0.00409062,-0.00548607,-0.00636902,-0.025856,-0.0106772,-0.00497456,0.0206548,0.0200988,-0.00648556,-0.0117983,-0.00397388,-0.0108104,0.0251322,-0.00523374,0.0135376,-0.0170374,0.00179376,0.0108104,-0.0251322,0.00894091,-0.00142866,-0.0496579,0.00719131,0.00497456,-0.0206548,-0.0172753,0.0136934,0.0239768,0.00436654,-0.010161,0.0220242,-0.031355,-0.022971,-0.0287285,0.00475295,0.0291193,0.00323035,-0.00415733,-0.0275829,-0.00743869,-0.0127527,-0.0291193,-0.00323035,0.0086293,0.014034,-0.000892666,-0.0130306,0.010161,-0.0220242,0.0477444,0.0148306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00777425,0.0172906,-0.00700682,-0.0148494,-0.0101974,-0.00537321,0.0188066,-0.0298264,0.00346198,-0.0133663,-0.00382209,0.0136663,0.00116228,0.0204396,-0.00797183,-0.00740255,0.00649813,0.0208211,-0.017418,0.0145609,-0.0101485,0.0255309,-0.0064508,-0.0285145,-0.00116228,-0.0167635,0.017111,-0.0047461,-0.00649813,-0.0191311,0.017418,-0.019748,0.00013931,-0.00502866,0.0064508,0.0282335,-0.0043664
Low_x,0.994992,0.989841,1,0.991393,0.00518967,-0.0312797,-0.0111723,-0.0166185,-0.0505326,0.0268273,-0.0283844,-0.00772649,-0.00267138,0.00622263,-0.0122023,0.00605168,-0.00655945,,,,,,,,,0.0188918,-0.00684031,-0.0147633,-0.0194588,-0.00461214,-0.00736044,-0.00814862,-0.00931662,-0.0301953,-0.00779671,-0.00179136,0.0194701,0.0200377,-0.00557789,-0.010995,-0.00471609,-0.0113468,0.0252112,-0.00616031,0.00807106,-0.0165065,-0.00320952,0.0113468,-0.0252112,0.0102656,0.00343319,-0.0505004,0.0111814,0.00179136,-0.0194701,-0.0180696,0.0140819,0.0242692,0.00580684,-0.00975001,0.0230496,-0.0284356,-0.0238053,-0.0283844,0.00524822,0.0273182,0.00353275,-0.00396992,-0.0259362,-0.00772649,-0.0118506,-0.0273182,-0.00353275,0.00907644,0.0136872,-0.00259566,-0.0147197,0.00975001,-0.0230496,0.0457412,0.0166445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00658817,0.0138534,-0.00706895,-0.0149212,-0.00935285,-0.00528462,0.0173957,-0.031349,0.00610046,-0.00731418,-0.00381861,0.0110113,0.00651981,0.0218548,-0.0087762,-0.0109262,0.00739939,0.0227025,-0.0172974,0.0157851,-0.0125538,0.0241174,-0.00619073,-0.0278774,-0.00651981,-0.0196235,0.0185096,-0.000645994,-0.00739939,-0.0210777,0.0172974,-0.0169164,0.00133416,-0.00250672,0.00619073,0.0274738,-0.00825182
Close_x,0.991319,0.991657,0.991393,1,0.00607531,-0.0282784,-0.0126512,-0.0155853,-0.0509187,0.0248867,-0.0263071,-0.00647643,-0.00147732,0.0076462,-0.012221,0.00642311,-0.00423651,,,,,,,,,0.0149214,-0.00415524,-0.0141264,-0.0179662,-0.00288463,-0.00453726,-0.00543753,-0.00601185,-0.0271844,-0.00989934,-0.00382597,0.0168829,0.0175163,-0.00681275,-0.0125398,-0.00409397,-0.00954909,0.0266528,-0.00733172,0.00942306,-0.0155498,-0.0027211,0.00954909,-0.0266528,0.0114978,0.00174731,-0.0508082,0.00604715,0.00382597,-0.0168829,-0.0137483,0.0125801,0.0219621,0.00681832,-0.00820396,0.0254309,-0.0317743,-0.0217612,-0.0263071,0.00318584,0.0289295,0.00290834,-0.00354873,-0.0268614,-0.00647643,-0.0129258,-0.0289295,-0.00290834,0.00679839,0.0134696,-0.00139317,-0.0131558,0.00820396,-0.0254309,0.0494735,0.0126318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005376,0.0146847,-0.00476961,-0.0181529,-0.0106485,-0.00703832,0.0157803,-0.0277582,0.00214909,-0.00737246,-0.00314944,0.0140079,0.00145409,0.0177044,-0.00537921,-0.0149141,0.00443699,0.0198717,-0.0140788,0.0159932,-0.0083775,0.0218404,-0.00649668,-0.0290904,-0.00145409,-0.0146367,0.0135827,0.00386684,-0.00443699,-0.0195595,0.0140788,-0.0173385,-0.000881136,-0.00176542,0.00649668,0.0304417,-0.00687193
Volume_x,0.00495971,0.00589629,0.00518967,0.00607531,1,-0.0253295,-0.0261831,0.0431579,0.00337699,0.000119755,0.0121223,-0.0255403,0.0183924,-0.0181166,-0.0172331,-0.010838,0.00569555,,,,,,,,,0.00136428,-0.0121596,0.0390644,0.0179674,0.00494769,-0.011893,-0.00915581,-0.00435339,-0.0262783,-0.0084864,0.03119,0.00560965,-0.0258876,-0.00908261,-0.0268861,0.00418514,0.0468193,-0.0104292,0.00527348,0.000509189,0.0408943,0.0241975,-0.0468193,0.0104292,-0.0197156,-0.00233899,0.0053836,-0.0388752,-0.03119,-0.00560965,0.0286735,0.00911927,-0.000203167,0.0261254,0.0143189,0.0180474,0.00513524,-0.0181225,0.0121223,0.00184873,0.00505353,0.0299755,0.0307917,0.019325,-0.0255403,0.0106602,-0.00505353,-0.0299755,-0.0269743,-0.00456487,0.0178199,0.0345165,-0.0143189,-0.0180474,-0.00353077,0.00418395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0186158,0.00311468,0.0195993,-0.0223962,-0.0285237,0.0102823,-0.0232604,0.0111071,-0.041853,0.0203575,0.0292143,-0.00809297,-0.0265673,-0.00792853,0.0343409,-0.0102324,-0.0225764,0.0216561,0.0339162,1.62629e-05,0.0238693,-0.0298771,-0.02978,-0.0168598,0.0265673,0.00737045,-0.0328694,0.014676,0.0225764,-0.0131949,-0.0339162,-0.000941345,-0.0269631,0.0240437,0.02978,0.00158876,-0.00273668
current_hour_pillar,-0.0303935,-0.0271392,-0.0312797,-0.0282784,-0.0253295,1,0.0683582,0.0661043,-0.154917,-0.0146336,-0.00104126,-0.00015531,-0.000639225,0.683853,0.0688096,0.0103075,-0.00105099,,,,,,,,,-0.00343912,0.00301794,-0.0157771,0.0671378,-0.000754091,0.00330422,0.00175142,0.00237978,0.99671,0.0721601,-0.779131,0.0604537,-0.0645222,0.0332856,0.0691432,-0.00470073,-0.00118146,0.00371575,0.00606749,0.00382453,0.0666457,-6.58918e-05,0.00118146,-0.00371575,-0.00633003,0.00555593,-0.153061,0.0132647,0.779131,-0.0604537,0.0501614,-0.00157195,-0.0142055,-0.004234,0.00898298,-0.00214813,0.00310188,8.14578e-05,-0.00104126,-0.00566025,0.00652246,0.00252696,0.00312737,-0.00210131,-0.00015531,-0.00475522,-0.00652246,-0.00252696,-0.0036914,0.00489054,0.000525919,-0.0117604,-0.00898298,0.00214813,-0.00465919,0.000564217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0393185,0.00328869,0.0389215,0.00263179,-0.00404068,-0.00424849,-0.0777823,-0.00197607,0.0100842,0.00725766,0.00193423,-0.000914851,0.0665322,0.00813077,0.0325722,-0.00679985,-0.00295621,-0.00444396,0.0560678,-0.000471791,0.0122106,0.00682161,-0.00291321,0.00311616,-0.0665322,-0.0060766,-0.0348516,0.00513717,0.00295621,0.00485038,-0.0560678,0.00137739,-0.0155189,-0.000924166,0.00291321,-0.000892093,-0.0181925
current_day_pillar,-0.009692,-0.0118148,-0.0111723,-0.0126512,-0.0261831,0.0683582,1,-0.14859,-0.0284015,-0.0133538,0.00114541,0.000155929,-0.00688164,0.011294,0.803245,-0.0339571,0.00647678,,,,,,,,,-0.0092999,0.00968792,0.00772058,0.0022886,-0.00735134,0.0120503,0.0102588,-0.0027392,0.0684311,0.000715505,-0.129636,-0.250431,-0.00248189,-0.000118982,0.995119,0.0786352,-0.65556,0.0346887,0.00550055,-0.0425857,-0.15035,0.0159776,0.65556,-0.0346887,-0.00988078,0.0548879,-0.0274816,-0.00599542,0.129636,0.250431,0.00153479,0.0101517,-0.0151634,0.0213141,0.014983,0.0171247,-0.0053994,0.00322783,0.00114541,-0.00373879,0.000100403,0.00185242,0.00247958,0.00255259,0.000155929,-0.00151099,-0.000100403,-0.00185242,-0.00204182,0.00247354,-0.00613404,-0.030334,-0.014983,-0.0171247,0.00817443,-0.00560631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00194586,-0.0243661,0.00745288,-0.0153233,-0.000562271,0.0105507,-0.00270523,0.0150509,-0.0040321,0.0101498,0.00122652,-0.0175311,-0.000108479,-0.00858491,0.00581335,-0.0245405,-0.000595309,0.0144102,0.00297341,-0.0234655,0.00689694,-0.0165007,-0.00094657,0.0212856,0.000108479,-0.0124354,-0.00196296,0.0253443,0.000595309,-0.0212967,-0.00297341,0.0314822,-0.00978638,0.0113078,0.00094657,-0.0125899,0.0060691
current_day_pillar_minus,-0.0157453,-0.0166986,-0.0166185,-0.0155853,0.0431579,0.0661043,-0.14859,1,-0.0263758,-0.00506556,-0.00201262,0.000806501,-0.000538105,0.00942353,0.0385194,0.00347952,-0.00338347,,,,,,,,,-0.0110407,0.0151281,-0.0026012,-0.00183936,0.00134782,0.0124322,0.0148211,0.00835716,0.0664655,-0.000796853,-0.127898,-0.251097,0.00197136,-0.000334007,-0.149178,-0.000290049,0.656294,-0.0306555,0.0317532,0.0337619,0.995137,0.115076,-0.656294,0.0306555,-0.0408996,-0.0413271,-0.0273719,0.00491974,0.127898,0.251097,0.00177986,-0.0097279,-0.00336687,-0.0134771,0.0216639,0.0115655,0.0115219,0.00373399,-0.00201262,-0.00813595,0.0110269,0.00215467,0.0031245,-0.00558795,0.000806501,-0.00771828,-0.0110269,-0.00215467,-0.00495036,0.00688605,0.000653886,-0.0133315,-0.0216639,-0.0115655,-0.00547583,-0.00462968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00103747,-0.0208121,-0.0049397,0.00126567,-0.00591776,0.00991849,0.00193055,0.0427067,0.00353171,0.00730524,0.00190782,-0.00528884,0.00022716,-0.00973048,-0.00343132,0.0097796,-0.0048007,0.00509836,-0.00195866,-0.0562145,-0.00505321,-0.00133986,-0.0035314,0.0118598,-0.00022716,0.0212377,-0.000405941,-0.00996399,0.0048007,0.00189514,0.00195866,0.0407194,0.00788241,0.00665555,0.0035314,-0.0148495,-0.0178695
current_hour_pillar_minus,-0.0514991,-0.0496856,-0.0505326,-0.0509187,0.00337699,-0.154917,-0.0284015,-0.0263758,1,-0.000277431,-0.00737186,0.00191097,0.00212273,-0.278426,-0.027359,-0.0233365,-0.00701982,,,,,,,,,0.0119204,-0.00449329,0.000386175,-0.0248222,0.000264341,-0.00391828,-0.00442744,-0.00177333,-0.152536,-0.0170251,0.519843,0.000215716,0.0246174,0.0118649,-0.028695,0.00390192,-0.000812369,-0.0015515,-0.0201742,-0.00348051,-0.0262241,-0.00630406,0.000812369,0.0015515,0.0281745,-0.00800082,0.994352,0.029535,-0.519843,-0.000215716,-0.0329079,-0.0907197,-0.00116375,0.00586101,-0.00337436,0.00793894,-0.010996,1.34483e-06,-0.00737186,0.00621601,-0.00694509,-0.00490247,-0.00787127,-0.00067909,0.00191097,0.00184906,0.00694509,0.00490247,0.0120783,0.000302014,0.00128903,0.00839144,0.00337436,-0.00793894,0.00978661,-0.00316367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0465492,0.00257101,-0.0911361,-0.00360248,0.0100703,-0.00115833,0.0441576,-0.00652799,0.0361099,-0.00228772,-0.00796189,0.00672596,-0.0396426,0.000234132,-0.0752609,-0.0031618,0.0128728,0.00270624,-0.0454859,0.0114728,-0.0572056,-0.00376307,0.00743283,-0.00698964,0.0396426,-0.000799064,0.0429605,0.00675156,-0.0128728,-0.00486651,0.0454859,-0.0100361,0.089826,-0.0017754,-0.00743283,0.0080079,-0.020861
current_month_pillar,0.0253672,0.0267476,0.0268273,0.0248867,0.000119755,-0.0146336,-0.0133538,-0.00506556,-0.000277431,1,-0.0443751,-0.125671,-0.197447,-0.00818705,-0.0130211,0.0278779,-0.0234313,,,,,,,,,-0.00999173,0.0477673,0.0806548,0.00266549,-0.0175555,0.0529722,0.0533994,0.0311915,-0.0148791,0.00366002,0.0134094,-0.00740478,-0.00227333,0.00399004,-0.0135342,-0.00409582,0.000381378,-0.0387043,0.0260705,0.00730527,-0.0060522,0.0160513,-0.000381378,0.0387043,-0.0196124,0.00604974,0.000483003,-0.0041391,-0.0134094,0.00740478,0.0371746,-0.0126194,0.994212,0.325628,-0.701395,0.0577769,0.00128825,-0.402255,-0.0443751,-0.0232573,0.148435,0.150922,0.136366,-0.0117737,-0.125671,-0.030009,-0.148435,-0.150922,-0.108028,0.0631367,-0.205201,-0.00548891,0.701395,-0.0577769,0.121362,0.494068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00231442,-0.00498372,0.0191978,-0.177161,-0.170081,0.114045,-0.00101325,0.0225131,-0.00027445,0.175026,0.119549,0.197748,0.000500804,-0.0156832,0.0196619,-0.0615468,-0.087352,0.0959534,-0.000821115,-0.0120199,0.0129826,-0.0585146,-0.158705,-0.429042,-0.000500804,0.00984348,-0.0273108,-0.0589835,0.087352,0.11114,0.000821115,0.0125892,-0.00693088,0.192381,0.158705,0.0360514,0.0235246
