,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus
1,2023-11-01 09:00:00+08:00,131.831,136.681,124.767,135.856,4213,HSI,^HSI,7922580786116974844,2025-06-02 09:22:10.700305+08:00,丁巳,癸亥,戊午,壬子,丁丑,戊午,癸亥,壬午,丁巳,癸子,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
2,2023-11-01 10:00:00+08:00,133.948,142.851,124.786,137.76,5744,HSI,^HSI,9793520778830761157,2025-06-02 09:22:10.700305+08:00,丁巳,癸亥,戊午,壬子,丁丑,戊午,癸亥,壬午,甲申,癸子,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
3,2023-11-01 11:00:00+08:00,130.518,139.866,127.729,135.186,4907,HSI,^HSI,7431642171630615302,2025-06-02 09:22:10.700305+08:00,戊午,戊寅,癸酉,癸丑,丁丑,戊午,癸亥,壬午,戊午,癸丑,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
5,2023-11-01 13:00:00+08:00,127.281,130.491,122.274,122.52,5084,HSI,^HSI,424377468876374185,2025-06-02 09:22:10.700305+08:00,己未,戊寅,癸酉,甲寅,丁丑,戊午,癸亥,壬午,己未,戊丑,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
6,2023-11-01 14:00:00+08:00,134.69,138.212,132.849,134.499,8110,HSI,^HSI,16016002651638439780,2025-06-02 09:22:10.700305+08:00,己未,戊寅,癸酉,甲寅,丁丑,戊午,癸亥,壬午,丙戌,戊丑,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
7,2023-11-01 15:00:00+08:00,135.599,139.327,129.661,133.177,4606,HSI,^HSI,14043679157949021186,2025-06-02 09:22:10.700305+08:00,庚申,戊寅,癸酉,乙卯,丁丑,戊午,癸亥,壬午,庚申,戊寅,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
25,2023-11-02 09:00:00+08:00,191.973,201.065,189.225,190.854,5582,HSI,^HSI,15794201216072428777,2025-06-02 09:22:10.700305+08:00,己巳,甲子,己未,甲子,丁丑,戊午,癸亥,壬午,己巳,甲丑,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
26,2023-11-02 10:00:00+08:00,143.258,144.359,135.659,141.403,1725,HSI,^HSI,8308313523605256675,2025-06-02 09:22:10.700305+08:00,己巳,甲子,己未,甲子,丁丑,戊午,癸亥,壬午,丙申,甲丑,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
27,2023-11-02 11:00:00+08:00,159.878,169.418,152.765,161.223,9294,HSI,^HSI,11923445782286804256,2025-06-02 09:22:10.700305+08:00,庚午,己卯,甲戌,乙丑,丁丑,戊午,癸亥,壬午,庚午,甲寅,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
29,2023-11-02 13:00:00+08:00,138.762,146.888,135.551,142.472,2302,HSI,^HSI,8275917091066076380,2025-06-02 09:22:10.700305+08:00,辛未,己卯,甲戌,丙寅,丁丑,戊午,癸亥,壬午,辛未,己寅,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
30,2023-11-02 14:00:00+08:00,192.613,201.72,186.517,195.335,8349,HSI,^HSI,3522509630075792845,2025-06-02 09:22:10.700305+08:00,辛未,己卯,甲戌,丙寅,丁丑,戊午,癸亥,壬午,戊戌,己寅,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
31,2023-11-02 15:00:00+08:00,191.294,199.83,183.811,185.701,4407,HSI,^HSI,1237010312934441457,2025-06-02 09:22:10.700305+08:00,壬申,己卯,甲戌,丁卯,丁丑,戊午,癸亥,壬午,壬申,己卯,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
49,2023-11-03 09:00:00+08:00,139.48,139.515,135.92,139.289,2954,HSI,^HSI,5648736089794556083,2025-06-02 09:22:10.700305+08:00,辛巳,乙丑,庚申,丙子,丁丑,戊午,癸亥,壬午,辛巳,乙寅,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
50,2023-11-03 10:00:00+08:00,181.581,182.933,177.919,178.905,9309,HSI,^HSI,4157270831305362535,2025-06-02 09:22:10.700305+08:00,辛巳,乙丑,庚申,丙子,丁丑,戊午,癸亥,壬午,戊申,乙寅,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
51,2023-11-03 11:00:00+08:00,183.778,193.1,183.224,186.06,1135,HSI,^HSI,15891498173152111481,2025-06-02 09:22:10.700305+08:00,壬午,庚辰,乙亥,丁丑,丁丑,戊午,癸亥,壬午,壬午,乙卯,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
53,2023-11-03 13:00:00+08:00,194.004,198.675,192.631,197.47,9168,HSI,^HSI,14916974194717333222,2025-06-02 09:22:10.700305+08:00,癸未,庚辰,乙亥,戊寅,丁丑,戊午,癸亥,壬午,癸未,庚卯,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
