,target
2463,108.327
1561,136.564
2468,133.218
1513,136.38
1133,178.882
2449,110.265
1584,131.03
841,140.371
2007,198.198
2388,144.754
978,110.762
18,137.084
647,203.147
1477,96.5778
1216,194.967
2170,160.531
620,135.284
2386,161.801
840,123.44
1766,176.239
2043,115.011
1232,123.302
219,119.142
678,143.604
1163,194.994
303,119.069
2301,113.764
1828,193.108
2353,130.621
1868,189.794
940,129.449
1487,193.141
1102,116.303
1875,140.47
1084,103.143
1451,109.227
1036,165.871
1355,194.424
1083,116.348
192,169.06
174,132.567
845,126.658
554,172.18
2328,173.437
1869,104.725
741,128.779
128,173.219
340,150.602
2060,168.784
2180,172.425
1387,175.547
307,172.492
383,141.266
1251,123.524
2291,121.038
1646,123.259
177,190.045
426,162.37
1078,139.385
2151,199.537
1404,111.87
839,143.152
184,124.681
2045,137.252
1952,189.271
1609,155.078
581,138.613
2342,123.745
1989,116.618
2039,105.94
489,112.635
1029,182.583
1255,145.64
2233,197.644
1557,150.187
1834,154.374
1455,136.943
1987,148.313
118,154.165
1525,125.786
281,186.425
2164,133.909
2247,141.369
1814,151.65
2249,102.821
2089,195.136
366,150.183
1885,175.953
555,178.003
1090,100.068
1461,163.546
1261,196.848
203,172.481
1657,173.522
120,121.157
283,170.742
575,174.784
1279,150.004
2319,159.061
275,96.6798
931,106.931
1244,102.556
360,165.101
1506,133.683
1518,97.1554
2059,111.082
767,150.341
286,164.262
821,120.361
1779,159.064
856,130.466
423,122.212
1776,157.227
1591,163.558
1559,184.246
810,143.671
65,128.858
1616,125.943
1462,117.783
2158,173.909
1539,153.019
230,121.732
1547,140.236
1391,183.112
857,191.04
1623,155.798
1913,162.09
2218,135.535
1056,184.632
374,185.037
1842,126.199
2174,109.53
1220,137.127
297,116.808
598,166.678
1448,133.339
99,119.575
973,129.291
1886,104.189
1689,121.551
529,189.8
1967,168.086
1190,113.815
636,104.793
2175,127.271
185,158.457
1957,119.033
911,166.832
2087,115.371
1898,143.298
1844,157.334
511,159.675
1137,166.016
1117,177.997
1772,128.994
1381,122.197
607,186.856
808,117.985
151,142.67
1622,118.513
1110,115.143
2013,194.064
1418,137.215
2425,183.573
23,158.396
158,112.936
998,126.275
1053,177.041
2364,174.624
2050,182.84
1944,125.481
2426,150.655
642,176.67
1225,113.485
311,192.71
351,154.775
548,193.491
1330,192.644
2055,203.812
306,172.112
287,164.67
1207,182.348
630,119.719
916,128.755
1366,124.294
952,125.378
1087,151.255
1562,141.818
2079,104.268
993,112.895
807,195.296
1422,115.336
1135,147.739
13,186.06
1383,185.243
514,152.104
409,148.056
888,150.007
313,182.135
1835,179.825
1651,182.858
2020,143.646
829,187.095
1563,148.887
382,155.919
988,180.247
2147,178.068
705,157.543
1189,147.828
1752,188.659
1027,166.604
263,174.82
2138,141.364
1242,144.471
415,138.492
902,154.398
358,104.607
1385,113.096
8,142.472
1005,133.195
316,135.291
304,156.797
427,189.045
105,194.084
1465,193.035
121,133.802
809,118.022
1524,120.242
756,179.833
1298,107.735
1744,156.724
1916,193.521
115,126.547
979,185.871
1530,187.161
2310,153.094
2406,140.549
1228,140.931
672,152.93
2283,117.269
949,101.335
1611,194.329
309,200.068
591,194.813
2414,135.083
1446,128.957
1839,180.264
1975,133.98
1490,202.385
552,115.207
87,94.8184
690,130.402
1929,128.586
2389,111.801
2019,101.039
1662,168.808
2037,174.245
1362,134.783
1043,177.057
543,196.37
1729,102.198
2195,182.275
494,149.003
365,170.686
2236,176.096
2390,127.529
273,189.98
71,197.245
1222,171.348
1778,185.197
63,193.741
2141,200.533
801,138.55
343,103.47
1351,176.222
1357,183.397
500,189.181
1642,179.736
677,176.437
2213,198.513
1851,173.704
1501,139.109
272,181.556
1017,114.305
205,156.328
733,136.833
152,128.94
812,127.659
557,175.984
377,179.083
535,198.108
1231,181.257
965,124.053
1050,126.66
198,143.695
561,100.073
685,136.563
1195,166.115
590,177.873
519,157.621
308,163.383
604,119.453
2133,181.453
1976,117.721
59,148.809
583,130.538
1924,179.648
207,188.072
1980,150.722
838,178.045
785,128.99
873,202.403
2404,168.346
792,177.925
162,161.012
1285,161.883
526,159.572
1628,172.142
256,147.022
506,149.698
1920,179.695
2099,143.423
2206,178.087
2143,165.31
831,146.095
1645,115.999
20,174.565
1380,134.424
439,187.875
1070,163.88
381,178.305
1945,147.905
538,105.862
1498,140.086
2366,142.944
83,149.437
1605,128.569
1429,166.516
1290,156.162
1208,125.334
1444,125.231
1718,192.492
270,111.801
1091,163.006
1125,125.332
2035,110.994
2241,195.308
2053,149.293
862,173.536
999,113.028
429,106.032
1159,140.506
2172,112.206
2183,158.622
458,168.643
78,107.579
1194,125.876
32,107.811
1075,171.412
932,131.045
2221,107.898
380,152.631
226,144.973
1509,118.336
2004,139.686
715,194.037
1308,161.67
686,144.464
2110,191.343
1488,177.07
305,156.321
209,162.848
1018,181.985
1640,118.828
2454,140.594
1054,131.066
1728,186.839
1979,143.778
1953,104.599
191,182.066
1193,181
1058,146.647
2460,140.361
483,115.939
2360,102.429
1435,115.869
277,121.66
2052,104.39
221,106.198
2159,97.3128
571,183.546
411,180.313
2075,121.587
1505,167.812
1187,143.03
585,191.131
2447,144.644
1080,176.468
2470,126.876
1535,183.62
674,198.613
1360,158.759
855,136.421
447,155.097
1341,200.301
2210,143.641
222,149.662
2466,105.008
2203,128.436
1600,168.531
2442,196.48
1666,161.345
45,192.798
2168,168.077
1870,141.799
294,137.163
1990,111.994
588,195.596
2022,109.046
257,107.616
937,115.021
1556,112.499
2097,139.697
1309,147.149
436,101.08
942,149.297
1700,150.517
393,158.544
425,200.154
534,143.284
30,121.29
1825,162.398
2434,161.926
941,147.212
746,142.526
1719,130.577
1447,139.284
1247,138.529
1468,189.701
1688,167.623
2403,169.846
2274,164.787
1441,121.461
1179,191.321
344,109.471
556,163.091
1399,104.845
2098,143.55
680,145.293
2207,189.213
1888,151.95
570,163.724
352,160.022
91,199.668
1192,114.505
2216,201.016
1249,147.276
2395,177.336
261,117.136
1437,117.571
748,113.788
2277,154.385
2371,160.177
1826,132.818
969,135.287
567,162.49
2262,119.426
1858,142.392
2063,112.062
348,138.114
2259,197.38
1817,106.411
300,111.999
1266,123.453
2475,143.826
1229,117.51
964,189.76
2346,115.943
2332,113.643
2443,168.242
315,101.302
2260,160.163
453,115.518
913,143.388
601,179.441
175,173.354
900,160.093
1659,132.836
1647,114.833
37,129.685
974,165.1
123,128.079
1710,105.354
1450,182.576
1344,150.255
394,139.326
1897,141.833
1713,107.64
39,194.117
462,169.161
2144,185.033
1972,159.285
331,128.645
1740,153.588
1064,108.859
194,135.911
2326,138.198
2352,125.199
1613,135.11
634,133.384
322,159.667
1449,111.711
2397,142.088
266,184.4
1511,163.299
2093,139.606
1258,145.021
579,139.391
1508,146.384
1934,191.945
1269,126.271
892,155.115
2132,104.028
780,171.235
2230,168.82
2450,199.377
159,123.852
2269,128.102
1134,200.136
2040,126.552
849,152.978
1517,153.424
2387,179.924
1674,151.952
1503,159.775
53,180.99
1960,129.929
505,148.062
752,120.805
1356,165.962
2250,166.59
1368,134.988
1304,118.609
2014,127.719
771,101.191
2315,125.901
2212,128.361
1175,112.056
1171,110.21
1128,164.053
1151,114.94
2394,171.096
1900,117.263
963,155.206
2192,203.993
398,182.548
584,147.014
948,121.465
704,181.291
431,158.979
292,164.477
1818,132.754
1419,192.766
1499,176.706
2,122.52
576,137.564
2184,124.671
339,102.146
2023,153.91
925,200.138
265,109.659
376,190.138
271,174.429
696,142.572
1590,120.82
244,183.499
1502,135.321
476,165.717
1161,173.333
1177,184.899
1264,178.711
2152,190.033
1278,109.383
250,180.801
413,122.429
1795,136.613
1620,156.511
310,170.553
893,180.717
2399,122.904
15,124.589
721,181.592
2471,170.619
981,118.563
2083,118.123
1936,177.39
363,136.387
1491,119.175
182,186.961
985,181.563
1364,184.957
1997,187.656
2286,130.992
187,152.88
619,165.197
1131,124.974
614,204.624
1706,189.752
994,186.816
1996,105.34
371,182.859
1413,126.098
593,109.012
726,136.417
1809,192.188
687,159.461
2069,158.405
136,193.345
628,127.072
334,160.571
1453,192.456
1767,177.062
1109,119.044
1185,129.2
1755,158.524
710,112.426
1039,147.066
1286,152.199
1420,160.516
2275,147.103
1112,124.565
465,123.765
1336,118.247
2448,149.457
1820,106.221
1104,190.24
2408,178.401
1962,108.237
1891,125.191
2092,120.608
1977,139.52
2303,154.874
2077,160.295
816,130.83
1067,201.848
274,123.851
1859,130.726
865,201.088
101,135.46
1514,115.624
107,166.287
2465,145.795
1456,150.132
1338,139.96
1204,108.892
1937,172.383
2464,183.207
1200,136.169
1472,187.435
712,163.227
72,170.204
2252,99.9287
2380,179.887
481,170.003
2031,132.976
1395,143.939
1985,179.032
1410,175.833
405,178.8
757,194.479
1857,145.628
1592,171.182
1283,115.88
1737,174.545
743,169.529
806,149.072
2285,143.911
1295,134.685
1861,128.644
2076,184.759
148,187.575
2111,196.48
1412,194.45
692,157.751
818,150.503
1725,130.217
1602,139.089
1684,159.213
701,183.951
2190,169.735
921,137.82
905,129.925
2024,178.632
1538,159.904
1761,121.82
1210,170.637
167,144.135
730,126.058
1550,113.882
26,160.614
1321,188.316
2242,154.773
997,174.752
1176,149.518
1040,161.027
1593,115.662
1234,104.666
1902,182.078
41,121.535
1846,118.839
1598,107.921
1675,157.745
1352,168.86
1604,124.39
609,160.824
1132,186.538
1965,194.723
441,139.349
1738,184.332
1551,136.614
493,104.401
236,183.468
551,203.948
520,191.026
1805,186.143
1138,142.374
720,135.429
1872,139.565
2187,162.21
58,106.153
631,189.231
1181,160.746
1615,141.575
592,188.038
2155,183.04
939,194.708
2302,177.729
904,129.752
1910,190.103
2375,145.063
2461,165.054
1398,182.643
1822,153.109
1876,142.902
706,110.433
1022,122.215
745,169.701
2384,150.688
2265,110.442
513,186.963
81,143.369
2194,198.287
914,184.999
2354,169.728
1784,146.899
150,180.196
774,135.059
329,160.876
6,141.403
943,163.351
1566,157.513
2021,184.011
909,121.973
468,119.302
181,125.316
164,120.614
451,166.426
490,172.552
1837,153.68
1143,152.981
1667,180.975
1111,104.71
2357,145.756
1576,101.021
1927,138.556
1454,112.216
2282,162.398
2185,140.04
1701,166.047
1760,169.369
327,194.403
442,113.962
1564,134.736
1726,172.136
832,129.124
1864,135.6
1958,167.874
1288,154.15
86,135.009
2417,180.951
777,155.633
2078,145.353
54,159.679
1840,107.611
1287,176.758
1656,129.482
1546,180.576
1245,175.526
113,107.821
2318,127.684
987,178.561
1849,160.25
2453,122.256
1009,194.883
1198,170.885
589,125.193
768,125.744
17,187.618
2033,178.345
2003,122.893
285,148.768
428,146.465
1333,122.952
669,121.912
31,123.351
722,163.971
951,146.708
2299,118.933
214,136.857
2094,165.008
1164,117.058
326,174.466
560,162.544
1086,179.388
1797,123.695
341,111.355
147,133.867
1807,181.793
1107,165.094
848,128.142
966,172.384
1072,128.965
155,139.311
2308,184.642
1575,155.91
1002,122.463
1811,143.054
2071,122.385
1815,194.204
2188,157.838
2329,144.16
1203,137.766
2232,148.617
2322,131.153
1370,135.002
1452,160.534
1756,139.152
1943,137.11
2220,136.161
938,158.47
2222,190.768
346,105.978
2064,131.208
2451,121.698
1394,185.451
385,171.362
1552,126.373
1607,138.44
243,100.208
1838,115.193
936,107.954
2125,146.27
312,158.943
2416,128.588
1610,156.461
1332,117.134
968,151.648
660,125.685
935,155.561
370,113.133
566,179.909
1921,190.057
824,147.224
982,131.312
1942,188.341
1743,165.967
2127,181.147
813,134.504
778,105.36
1320,155.106
