,feature,importance
4,Volume_x,0.0863502
3,Close_x,0.0430188
1,High_x,0.0424046
15,current_wuxi_month,0.0415356
14,current_wuxi_day,0.041489
0,Open_x,0.039919
2,Low_x,0.0380611
27,day,0.0372731
13,current_wuxi_hour,0.037188
31,dayofyear,0.0293503
8,current_hour_pillar_minus,0.0284823
7,current_day_pillar_minus,0.026739
6,current_day_pillar,0.0238993
29,dayofweek,0.0193362
46,current_day_pillar_minus_earthly,0.0160304
5,current_hour_pillar,0.0144792
9,current_month_pillar,0.0140151
12,current_month_pillar_minus,0.0135325
136,cs_base_day_current_day,0.0134734
16,current_wuxi_year,0.0131522
28,hour,0.0125276
49,current_day_pillar_minus_earthly_sin,0.012127
148,cs_base_month_current_day,0.0108342
32,weekofyear,0.0102565
50,current_day_pillar_minus_earthly_cos,0.00940289
61,current_month_pillar_earthly_sin,0.00879623
40,current_day_pillar_earthly,0.00875256
142,cs_base_hour_minus_current_day,0.00863298
130,cs_base_hour_current_day,0.00843109
138,cs_base_day_current_month,0.00839562
42,current_day_pillar_heavenly_cos,0.00832553
160,cs_base_month_minus_current_day,0.00769394
51,current_hour_pillar_minus_heavenly,0.00767135
44,current_day_pillar_earthly_cos,0.00754057
43,current_day_pillar_earthly_sin,0.00738527
150,cs_base_month_current_month,0.00707066
154,cs_base_year_current_day,0.00673012
76,current_month_pillar_minus_earthly,0.00652642
54,current_hour_pillar_minus_heavenly_cos,0.00646526
152,cs_base_month_current_month_minus,0.00633799
36,current_hour_pillar_heavenly_cos,0.00632332
144,cs_base_hour_minus_current_month,0.00604599
158,cs_base_year_current_month_minus,0.00599365
149,cs_base_month_current_hour_minus,0.00591206
164,cs_base_month_minus_current_month_minus,0.00587352
58,current_month_pillar_earthly,0.00582397
48,current_day_pillar_minus_heavenly_cos,0.00577412
45,current_day_pillar_minus_heavenly,0.00546848
140,cs_base_day_current_month_minus,0.0054136
33,current_hour_pillar_heavenly,0.00514017
57,current_month_pillar_heavenly,0.00496978
75,current_month_pillar_minus_heavenly,0.0049599
