,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,year,month,day,hour,dayofweek,quarter,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,Open_x,High_x,Low_x,Close_x,Volume_x,Dividends_x,Stock Splits_x
0,4,20,4,17,7,0,2,26,8,39,30,2,0,0,0,0,0,0,0,0,2025,6,2,9,0,2,153,23,2,1,0.587785,0.809017,0.5,-0.866025,3,5,-0.951057,0.309017,0.866025,0.5,0,8,0.951057,-0.309017,-0.5,-0.866025,5,5,-0.587785,-0.809017,-0.866025,0.5,1,9,0.951057,0.309017,-0.866025,-0.5,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,9,3,-0.951057,-0.309017,1,6.12323e-17,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,7,0,2,2,6,3,4,4,3,3,10,2,10,0,5,4,4,0,2,0,7,1,8,1,3,5,4,1,5,3,6,5,8,4,7,0,0,0,0,0,0,0
1,4,20,4,17,7,0,2,26,13,39,30,2,0,0,0,0,0,0,0,0,2025,6,2,10,0,2,153,23,2,1,0.587785,0.809017,0.5,-0.866025,3,5,-0.951057,0.309017,0.866025,0.5,0,8,0.951057,-0.309017,-0.5,-0.866025,5,5,-0.587785,-0.809017,-0.866025,0.5,1,9,0.951057,0.309017,-0.866025,-0.5,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,9,3,-0.951057,-0.309017,1,6.12323e-17,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,7,0,2,2,6,3,4,4,3,3,10,2,10,0,5,4,4,0,2,0,7,1,8,1,3,5,4,1,5,3,6,5,8,4,7,0,0,0,0,0,0,0
2,2,3,21,28,7,0,2,26,4,46,30,2,0,0,0,0,0,0,0,0,2025,6,2,11,0,2,153,23,1,0,0.951057,0.309017,1.22465e-16,-1,0,6,0.951057,-0.309017,0.5,-0.866025,3,7,-0.951057,0.309017,-0.866025,0.5,9,1,-0.951057,-0.309017,-0.5,0.866025,1,9,0.951057,0.309017,-0.866025,-0.5,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,9,3,-0.951057,-0.309017,1,6.12323e-17,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,2,3,1,2,2,6,2,7,1,3,3,10,0,8,2,5,4,4,2,4,2,7,1,8,3,2,4,4,1,5,1,10,2,8,4,7,0,0,0,0,0,0,0
3,2,3,21,28,7,0,2,26,30,10,30,2,0,0,0,0,0,0,0,0,2025,6,2,12,0,2,153,23,1,0,0.951057,0.309017,1.22465e-16,-1,0,6,0.951057,-0.309017,0.5,-0.866025,3,7,-0.951057,0.309017,-0.866025,0.5,9,1,-0.951057,-0.309017,-0.5,0.866025,1,9,0.951057,0.309017,-0.866025,-0.5,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,9,3,-0.951057,-0.309017,1,6.12323e-17,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,2,3,1,2,2,6,2,7,1,3,3,10,0,8,2,5,4,4,2,4,2,7,1,8,3,2,4,4,1,5,1,10,2,8,4,7,0,0,0,0,0,0,0
4,1,3,21,9,7,0,2,26,2,10,30,2,0,0,0,0,0,0,0,0,2025,6,2,13,0,2,153,23,0,2,0.951057,-0.309017,-0.5,-0.866025,0,6,0.951057,-0.309017,0.5,-0.866025,3,7,-0.951057,0.309017,-0.866025,0.5,3,3,-0.951057,0.309017,0,1,1,9,0.951057,0.309017,-0.866025,-0.5,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,9,3,-0.951057,-0.309017,1,6.12323e-17,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,3,3,4,2,2,6,0,7,3,3,3,10,3,8,3,5,4,4,3,4,3,7,1,8,0,2,3,4,1,5,0,10,1,8,4,7,0,0,0,0,0,0,0
5,1,3,21,9,7,0,2,26,25,10,30,2,0,0,0,0,0,0,0,0,2025,6,2,14,0,2,153,23,0,2,0.951057,-0.309017,-0.5,-0.866025,0,6,0.951057,-0.309017,0.5,-0.866025,3,7,-0.951057,0.309017,-0.866025,0.5,3,3,-0.951057,0.309017,0,1,1,9,0.951057,0.309017,-0.866025,-0.5,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,9,3,-0.951057,-0.309017,1,6.12323e-17,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,3,3,4,2,2,6,0,7,3,3,3,10,3,8,3,5,4,4,3,4,3,7,1,8,0,2,3,4,1,5,0,10,1,8,4,7,0,0,0,0,0,0,0
6,13,3,21,24,7,0,2,26,23,6,30,2,0,0,0,0,0,0,0,0,2025,6,2,15,0,2,153,23,6,3,0.587785,-0.809017,-0.866025,-0.5,0,6,0.951057,-0.309017,0.5,-0.866025,3,7,-0.951057,0.309017,-0.866025,0.5,8,0,-0.587785,0.809017,0.5,0.866025,1,9,0.951057,0.309017,-0.866025,-0.5,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,9,3,-0.951057,-0.309017,1,6.12323e-17,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,0,3,5,2,2,6,1,7,0,3,3,10,1,8,5,5,4,4,1,4,5,7,1,8,2,2,0,4,1,5,2,10,0,8,4,7,0,0,0,0,0,0,0
7,13,3,21,24,7,0,2,26,7,6,61,2,0,0,0,0,0,0,0,0,2025,6,2,16,0,2,153,23,6,3,0.587785,-0.809017,-0.866025,-0.5,0,6,0.951057,-0.309017,0.5,-0.866025,3,7,-0.951057,0.309017,-0.866025,0.5,8,0,-0.587785,0.809017,0.5,0.866025,1,9,0.951057,0.309017,-0.866025,-0.5,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,9,3,-0.951057,-0.309017,1,6.12323e-17,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,0,3,5,2,2,6,1,7,0,3,3,10,1,8,5,5,4,4,1,4,5,7,1,8,2,2,0,4,1,5,2,10,0,8,4,7,0,0,0,0,0,0,0
8,0,50,40,11,7,0,2,26,1,106,61,2,0,0,0,0,0,0,0,0,2025,6,3,9,1,2,154,23,0,1,0.951057,-0.309017,0.5,-0.866025,8,3,-0.587785,0.809017,1,6.12323e-17,6,9,0.587785,-0.809017,-0.866025,-0.5,3,5,-0.951057,0.309017,-0.866025,0.5,1,9,0.951057,0.309017,-0.866025,-0.5,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,9,3,-0.951057,-0.309017,1,6.12323e-17,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,6,0,2,2,6,3,10,4,3,3,10,2,4,0,5,4,4,0,8,0,7,1,8,1,5,5,4,1,5,3,7,5,8,4,7,0,0,0,0,0,0,0
9,0,50,40,11,7,0,2,26,26,106,61,2,0,0,0,0,0,0,0,0,2025,6,3,10,1,2,154,23,0,1,0.951057,-0.309017,0.5,-0.866025,8,3,-0.587785,0.809017,1,6.12323e-17,6,9,0.587785,-0.809017,-0.866025,-0.5,3,5,-0.951057,0.309017,-0.866025,0.5,1,9,0.951057,0.309017,-0.866025,-0.5,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,9,3,-0.951057,-0.309017,1,6.12323e-17,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,6,0,2,2,6,3,10,4,3,3,10,2,4,0,5,4,4,0,8,0,7,1,8,1,5,5,4,1,5,3,7,5,8,4,7,0,0,0,0,0,0,0
