,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date
0,2025-06-02 09:08:54.105523+08:00,2025-06-02 09:08:54.105523+08:00,HSI,乙巳,壬寅,丁未,庚戌,丙申,乙巳,庚子,辛卯,乙巳,壬卯,乙申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,14054002342359274653,2025-06-02 10:09:09.656667+08:00
1,2025-06-02 10:08:54.105523+08:00,2025-06-02 10:08:54.105523+08:00,HSI,乙巳,壬寅,丁未,庚戌,丙申,乙巳,庚子,辛卯,壬申,壬卯,乙申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,1597322430366836342,2025-06-02 10:09:09.656667+08:00
2,2025-06-02 11:08:54.105523+08:00,2025-06-02 11:08:54.105523+08:00,HSI,丙午,丁巳,壬戌,辛亥,丙申,乙巳,庚子,辛卯,丙午,壬辰,乙申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,10151674167340616556,2025-06-02 10:09:09.656667+08:00
3,2025-06-02 12:08:54.105523+08:00,2025-06-02 12:08:54.105523+08:00,HSI,丙午,丁巳,壬戌,辛亥,丙申,乙巳,庚子,辛卯,癸酉,丁辰,乙申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,8661989304130584851,2025-06-02 10:09:09.656667+08:00
4,2025-06-02 13:08:54.105523+08:00,2025-06-02 13:08:54.105523+08:00,HSI,丁未,丁巳,壬戌,壬子,丙申,乙巳,庚子,辛卯,丁未,丁辰,乙申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,3767614334521781986,2025-06-02 10:09:09.656667+08:00
5,2025-06-02 14:08:54.105523+08:00,2025-06-02 14:08:54.105523+08:00,HSI,丁未,丁巳,壬戌,壬子,丙申,乙巳,庚子,辛卯,甲戌,丁辰,乙申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,17255729299834246430,2025-06-02 10:09:09.656667+08:00
6,2025-06-02 15:08:54.105523+08:00,2025-06-02 15:08:54.105523+08:00,HSI,戊申,丁巳,壬戌,癸丑,丙申,乙巳,庚子,辛卯,戊申,丁巳,乙申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,12173054983817785325,2025-06-02 10:09:09.656667+08:00
7,2025-06-02 16:08:54.105523+08:00,2025-06-02 16:08:54.105523+08:00,HSI,戊申,丁巳,壬戌,癸丑,丙申,乙巳,庚子,辛卯,乙亥,丁巳,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13353709950093595231,2025-06-02 10:09:09.656667+08:00
8,2025-06-03 09:08:54.105523+08:00,2025-06-03 09:08:54.105523+08:00,HSI,丁巳,癸卯,戊申,壬戌,丙申,乙巳,庚子,辛卯,丁巳,癸辰,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,10811726860320442030,2025-06-02 10:09:09.656667+08:00
9,2025-06-03 10:08:54.105523+08:00,2025-06-03 10:08:54.105523+08:00,HSI,丁巳,癸卯,戊申,壬戌,丙申,乙巳,庚子,辛卯,甲申,癸辰,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,15334294908318852403,2025-06-02 10:09:09.656667+08:00
10,2025-06-03 11:08:54.105523+08:00,2025-06-03 11:08:54.105523+08:00,HSI,戊午,戊午,癸亥,癸亥,丙申,乙巳,庚子,辛卯,戊午,癸巳,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,5364911537881469637,2025-06-02 10:09:09.656667+08:00
11,2025-06-03 12:08:54.105523+08:00,2025-06-03 12:08:54.105523+08:00,HSI,戊午,戊午,癸亥,癸亥,丙申,乙巳,庚子,辛卯,乙酉,戊巳,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13001874877912577490,2025-06-02 10:09:09.656667+08:00
12,2025-06-03 13:08:54.105523+08:00,2025-06-03 13:08:54.105523+08:00,HSI,己未,戊午,癸亥,甲子,丙申,乙巳,庚子,辛卯,己未,戊巳,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,6717698306360147529,2025-06-02 10:09:09.656667+08:00
13,2025-06-03 14:08:54.105523+08:00,2025-06-03 14:08:54.105523+08:00,HSI,己未,戊午,癸亥,甲子,丙申,乙巳,庚子,辛卯,丙戌,戊巳,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,9695970465412868424,2025-06-02 10:09:09.656667+08:00
14,2025-06-03 15:08:54.105523+08:00,2025-06-03 15:08:54.105523+08:00,HSI,庚申,戊午,癸亥,乙丑,丙申,乙巳,庚子,辛卯,庚申,戊午,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,8213014124314153265,2025-06-02 10:09:09.656667+08:00
15,2025-06-03 16:08:54.105523+08:00,2025-06-03 16:08:54.105523+08:00,HSI,庚申,戊午,癸亥,乙丑,丙申,乙巳,庚子,辛卯,丁亥,戊午,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11842559826711015298,2025-06-02 10:09:09.656667+08:00
