,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos
0,2023-11-01 08:00:00+08:00,177.987,184.444,177.122,184.074,1792,HSI,^HSI,78399768496006272,2025-06-02 10:12:12.118228+08:00,丙辰,癸亥,戊午,辛亥,丁丑,戊午,癸亥,壬午,癸未,癸子,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,1,8,2,4,True,False,False,False,False,False,305,44,丙,辰,0.951057,0.309017,0.866025,-0.5,癸,亥,-0.587785,0.809017,-0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,辛,亥,-0.951057,-0.309017,-0.5,0.866025,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
1,2023-11-02 08:00:00+08:00,101.604,101.819,100.245,100.582,3417,HSI,^HSI,2244514139375565328,2025-06-02 10:12:12.118228+08:00,戊辰,甲子,己未,癸亥,丁丑,戊午,癸亥,壬午,乙未,甲丑,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,2,8,3,4,False,False,False,False,False,False,306,44,戊,辰,0.587785,-0.809017,0.866025,-0.5,甲,子,0,1,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,癸,亥,-0.587785,0.809017,-0.5,0.866025,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
2,2023-11-03 08:00:00+08:00,120.568,127.511,110.877,125.555,3236,HSI,^HSI,10321538517469132525,2025-06-02 10:12:12.118228+08:00,庚辰,乙丑,庚申,乙亥,丁丑,戊午,癸亥,壬午,丁未,乙寅,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,3,8,4,4,False,False,False,False,False,False,307,44,庚,辰,-0.587785,-0.809017,0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,亥,0.587785,0.809017,-0.5,0.866025,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
3,2023-11-04 08:00:00+08:00,194.557,200.278,188.274,197.112,7100,HSI,^HSI,17903553485879729877,2025-06-02 10:12:12.118228+08:00,壬辰,丙寅,辛酉,丁亥,丁丑,戊午,癸亥,壬午,己未,丙卯,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,4,8,5,4,False,False,False,False,False,False,308,44,壬,辰,-0.951057,0.309017,0.866025,-0.5,丙,寅,0.951057,0.309017,0.866025,0.5,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,丁,亥,0.951057,-0.309017,-0.5,0.866025,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
4,2023-11-05 08:00:00+08:00,183.449,186.293,181.647,184.786,7361,HSI,^HSI,6500033800309860497,2025-06-02 10:12:12.118228+08:00,甲辰,丁卯,壬戌,己亥,丁丑,戊午,癸亥,壬午,辛未,丁辰,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,5,8,6,4,False,False,False,False,False,False,309,44,甲,辰,0,1,0.866025,-0.5,丁,卯,0.951057,-0.309017,1,6.12323e-17,壬,戌,-0.951057,0.309017,-0.866025,0.5,己,亥,1.22465e-16,-1,-0.5,0.866025,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
5,2023-11-06 08:00:00+08:00,146.998,147.733,142.904,145.09,7320,HSI,^HSI,10104586870529106846,2025-06-02 10:12:12.118228+08:00,丙辰,戊辰,癸亥,辛亥,丁丑,戊午,癸亥,壬午,癸未,戊巳,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,6,8,0,4,False,False,False,False,False,False,310,45,丙,辰,0.951057,0.309017,0.866025,-0.5,戊,辰,0.587785,-0.809017,0.866025,-0.5,癸,亥,-0.587785,0.809017,-0.5,0.866025,辛,亥,-0.951057,-0.309017,-0.5,0.866025,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
6,2023-11-07 08:00:00+08:00,119.093,128.21,112.192,120.833,2685,HSI,^HSI,13273741385686459822,2025-06-02 10:12:12.118228+08:00,戊辰,己巳,甲子,癸亥,丁丑,戊午,癸亥,壬午,乙未,己午,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,7,8,1,4,False,False,False,False,False,False,311,45,戊,辰,0.587785,-0.809017,0.866025,-0.5,己,巳,1.22465e-16,-1,0.5,-0.866025,甲,子,0,1,0,1,癸,亥,-0.587785,0.809017,-0.5,0.866025,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
7,2023-11-08 08:00:00+08:00,199.041,203.967,190.047,191.609,5500,HSI,^HSI,15409955412335601117,2025-06-02 10:12:12.118228+08:00,庚辰,庚午,乙丑,乙亥,癸亥,戊午,癸亥,戊辰,丁未,庚未,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,8,8,2,4,False,False,False,False,False,False,312,45,庚,辰,-0.587785,-0.809017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,乙,丑,0.587785,0.809017,0.5,0.866025,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,亥,-0.587785,0.809017,-0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,戊,辰,0.587785,-0.809017,0.866025,-0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
8,2023-11-09 08:00:00+08:00,120.187,120.767,117.02,117.329,2501,HSI,^HSI,970200613613653745,2025-06-02 10:12:12.118228+08:00,壬辰,辛未,丙寅,丁亥,癸亥,戊午,癸亥,戊辰,己未,辛申,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,9,8,3,4,False,False,False,False,False,False,313,45,壬,辰,-0.951057,0.309017,0.866025,-0.5,辛,未,-0.951057,-0.309017,-0.5,-0.866025,丙,寅,0.951057,0.309017,0.866025,0.5,丁,亥,0.951057,-0.309017,-0.5,0.866025,癸,亥,-0.587785,0.809017,-0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,戊,辰,0.587785,-0.809017,0.866025,-0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
9,2023-11-10 08:00:00+08:00,142.492,151.328,136.167,142.209,3169,HSI,^HSI,7216097556574023373,2025-06-02 10:12:12.118228+08:00,甲辰,壬申,丁卯,己亥,癸亥,戊午,癸亥,戊辰,辛未,壬酉,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,10,8,4,4,False,False,False,False,False,False,314,45,甲,辰,0,1,0.866025,-0.5,壬,申,-0.951057,0.309017,-0.866025,-0.5,丁,卯,0.951057,-0.309017,1,6.12323e-17,己,亥,1.22465e-16,-1,-0.5,0.866025,癸,亥,-0.587785,0.809017,-0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,戊,辰,0.587785,-0.809017,0.866025,-0.5,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5
