,feature,importance
4,Volume_x,0.0681666
27,day,0.057712
15,current_wuxi_month,0.0523215
1,High_x,0.0446777
3,Close_x,0.0428769
0,Open_x,0.0372435
2,Low_x,0.0346484
29,dayofweek,0.0330759
7,current_day_pillar_minus,0.0319554
31,dayofyear,0.031212
14,current_wuxi_day,0.0282452
6,current_day_pillar,0.0245212
46,current_day_pillar_minus_earthly,0.0208582
9,current_month_pillar,0.0204497
16,current_wuxi_year,0.0182936
160,cs_base_month_minus_current_day,0.0154263
49,current_day_pillar_minus_earthly_sin,0.0153806
40,current_day_pillar_earthly,0.0153503
136,cs_base_day_current_day,0.0149981
148,cs_base_month_current_day,0.0149062
8,current_hour_pillar_minus,0.0146882
43,current_day_pillar_earthly_sin,0.0134805
12,current_month_pillar_minus,0.0126899
32,weekofyear,0.0123716
44,current_day_pillar_earthly_cos,0.0117355
62,current_month_pillar_earthly_cos,0.0109637
58,current_month_pillar_earthly,0.0106252
50,current_day_pillar_minus_earthly_cos,0.0105295
158,cs_base_year_current_month_minus,0.00986938
154,cs_base_year_current_day,0.00967193
138,cs_base_day_current_month,0.00900499
142,cs_base_hour_minus_current_day,0.00889966
61,current_month_pillar_earthly_sin,0.00888187
150,cs_base_month_current_month,0.00884979
60,current_month_pillar_heavenly_cos,0.00869353
152,cs_base_month_current_month_minus,0.00866162
76,current_month_pillar_minus_earthly,0.00839088
48,current_day_pillar_minus_heavenly_cos,0.0083437
146,cs_base_hour_minus_current_month_minus,0.00819449
162,cs_base_month_minus_current_month,0.00789571
132,cs_base_hour_current_month,0.00765962
80,current_month_pillar_minus_earthly_cos,0.00758164
140,cs_base_day_current_month_minus,0.00729315
130,cs_base_hour_current_day,0.0071102
144,cs_base_hour_minus_current_month,0.00690098
79,current_month_pillar_minus_earthly_sin,0.00682462
75,current_month_pillar_minus_heavenly,0.00667528
57,current_month_pillar_heavenly,0.00651965
156,cs_base_year_current_month,0.00613725
42,current_day_pillar_heavenly_cos,0.00599104
45,current_day_pillar_minus_heavenly,0.00598531
164,cs_base_month_minus_current_month_minus,0.00570854
5,current_hour_pillar,0.00569447
33,current_hour_pillar_heavenly,0.00552082
26,month,0.00533442
41,current_day_pillar_heavenly_sin,0.00528085
47,current_day_pillar_minus_heavenly_sin,0.00524746
13,current_wuxi_hour,0.00516656
59,current_month_pillar_heavenly_sin,0.00480212
39,current_day_pillar_heavenly,0.00458367
64,current_year_pillar_earthly,0.00403507
78,current_month_pillar_minus_heavenly_cos,0.00400786
134,cs_base_hour_current_month_minus,0.0039935
53,current_hour_pillar_minus_heavenly_sin,0.00335295
77,current_month_pillar_minus_heavenly_sin,0.00282107
25,year,0.00268771
35,current_hour_pillar_heavenly_sin,0.00229633
36,current_hour_pillar_heavenly_cos,0.00222855
133,cs_base_hour_current_year,0.00189633
145,cs_base_hour_minus_current_year,0.00186461
65,current_year_pillar_heavenly_sin,0.00178512
54,current_hour_pillar_minus_heavenly_cos,0.00173641
63,current_year_pillar_heavenly,0.00170283
51,current_hour_pillar_minus_heavenly,0.00164192
163,cs_base_month_minus_current_year,0.00146476
74,current_year_pillar_minus_earthly_cos,0.00144653
67,current_year_pillar_earthly_sin,0.00128937
10,current_year_pillar,0.00123151
30,quarter,0.00109796
71,current_year_pillar_minus_heavenly_sin,0.00108761
69,current_year_pillar_minus_heavenly,0.00106272
