,target
68,134.438
518,120.787
63,98.4338
517,195.544
60,122.856
15,110.297
132,126.183
346,189.053
234,137.409
210,129.777
88,99.6638
463,129.964
117,153.187
354,187.221
375,182.02
33,137.196
0,100.582
570,110.316
188,177.656
320,106.171
381,136.13
22,136.205
499,156.297
550,184.937
89,152.063
218,190.987
185,196.816
18,111.884
575,158.142
296,145.436
144,110.708
369,123.903
520,127.165
249,167.991
357,116.878
403,169.742
444,185.431
370,114.833
54,183.812
438,170.834
46,144.432
93,188.733
272,196.948
108,168.229
549,138.305
576,171.511
447,121.225
405,113.697
503,139.098
352,164.884
424,124.085
502,160.462
289,101.049
439,159.483
69,169.97
204,119.94
259,176.001
181,174.051
440,97.8792
265,108.098
149,184.887
124,98.4406
434,123.808
333,155.816
268,111.23
350,153.776
453,119.932
412,176.232
338,122.89
531,126.108
423,195.846
114,127.737
141,192.97
552,112.433
7,117.329
489,178.716
19,125.847
172,119.159
420,167.033
56,195.236
278,201.156
311,114.731
419,129.995
298,126.809
286,120.611
49,165.837
244,135.034
25,187.528
411,131.901
321,124.369
274,114.336
42,178.549
386,162.289
248,171.972
356,167.631
329,103.132
353,194.32
154,186.923
126,128.001
402,139.932
318,189.464
414,128.727
174,174.324
31,123.919
113,176.558
399,189.374
173,168.095
291,114.129
231,197.68
57,113.23
371,175.951
222,152.96
24,190.938
17,205.268
340,163.509
66,187.89
281,162.961
511,141.035
305,115.367
506,178.771
190,136.816
368,143.514
355,159.497
496,105.174
250,135.559
94,143.163
180,103.724
290,107.473
431,146.787
92,144.045
23,169.513
382,148.488
309,122.646
332,121.293
287,112.365
5,120.833
116,129.911
45,150.569
220,113.384
271,199.947
456,149.691
433,133.032
16,138.146
48,101.878
556,104.094
529,186.887
3,184.786
301,175.359
334,180.247
225,162.909
26,179.638
263,126.078
50,108.474
229,184.26
37,140.635
157,154.409
237,133.5
551,166.514
175,193.75
464,170.039
322,114.803
194,146.372
469,95.4407
555,201.474
67,134.579
507,187.94
168,144.856
490,165.437
477,152.344
193,116.208
152,123.566
302,121.938
312,143.068
452,128.496
561,187.582
103,110.226
362,190.921
74,117.273
478,165.523
554,107.796
119,196.501
388,102.885
436,159.626
449,102.816
505,163.475
465,191.073
316,161.359
374,164.807
486,169.341
349,171.004
36,136.439
139,112.859
253,159.274
303,151.546
361,136.074
59,163.503
111,103.273
335,105.254
467,159.574
262,169.175
566,112.256
297,155.961
150,124.413
266,192.782
541,194.742
38,166.185
400,195.927
307,160.064
198,155.686
328,100.832
146,167.936
497,133.92
147,179.537
521,170.271
325,103.048
363,150.299
123,113.498
468,181.85
96,134.583
143,127.914
239,189.617
348,157.659
97,124.607
324,104.612
500,189.064
293,179.925
445,169.809
122,153.052
183,188.269
202,151.707
323,134.059
246,94.5491
428,121.73
394,119.056
446,176.558
380,167.075
501,180.714
360,187.602
125,181.873
383,108.718
223,198.622
342,161.951
53,162.964
219,102.605
129,118.475
522,158.23
365,162.752
416,169.071
479,158.934
367,142.203
451,158.63
564,185.242
294,193.157
569,178.908
450,154.939
557,168.597
112,103.29
179,166.261
390,119.141
429,178.143
519,170.659
373,158.386
314,162.051
151,115.015
457,121.645
233,182.376
306,186.892
396,165.576
164,165.94
317,190.408
136,180.741
197,156.03
443,149.555
258,128.288
232,187.017
115,181.989
120,112.027
442,134.032
376,109.735
384,193.389
224,180.598
527,200.09
425,135.15
347,181.054
127,94.2077
567,112.102
285,162.506
532,178.602
43,155.063
107,141.431
470,115.169
558,190.895
133,111.719
512,121.247
44,139.591
169,162.444
65,124.54
283,115.1
85,120.85
242,118.64
186,198.236
487,114.353
159,105.675
12,145.677
35,127.05
28,129.847
170,96.1379
142,151.609
509,131.915
432,146.537
462,196.302
221,168.965
523,102.849
95,109.693
51,159.831
240,106.337
472,135.372
351,139.938
481,196.774
178,107.026
495,124.07
41,111.09
533,103.722
559,180.566
206,125.247
392,160.71
282,184.753
358,108.924
397,104.253
254,137.826
217,163.889
4,145.09
256,185.51
542,183.153
430,116.557
100,194.77
226,182.768
448,200.804
526,171.059
213,113.824
359,195.889
171,132.53
98,120.08
292,199.117
215,182.206
61,203.816
406,177.299
47,118.93
32,117.471
417,161.089
267,140.136
327,136.877
200,176.232
134,133.19
27,166.526
493,141.979
230,142.177
260,170.694
378,178.292
288,188.972
418,116.213
162,186.228
391,171.485
524,159.954
138,190.872
62,196.563
471,182.932
135,195.254
128,99.8897
560,182.504
8,142.209
326,184.842
344,168.246
64,169.342
300,130.54
14,183.882
156,189.668
40,171.706
492,205.508
379,138.087
187,186.907
547,122.855
216,134.756
409,184.69
279,178.503
52,150.199
530,184.449
337,126.727
236,141.956
207,106.574
212,182.698
295,146.598
545,169.913
543,127.764
251,114.914
568,137.278
461,201.026
455,166.63
574,138.827
269,136.21
201,179.247
161,137.896
401,139.838
476,148.529
105,191.407
389,169.611
1,125.555
537,101.045
80,138.309
205,158.863
34,173.14
508,192.422
427,176.626
454,126.599
366,133.753
91,98.7344
339,112.043
345,130.48
241,160.268
13,145.564
315,138.765
387,201.889
273,171.493
166,128.518
571,138.857
484,142.768
562,197.246
504,174.224
243,172.919
189,157.029
475,187.2
510,126.661
58,170.486
474,135.401
252,106.899
21,169.802
313,189.532
459,169.067
160,153.026
276,127.433
191,199.438
385,107.696
413,188.536
491,131.859
343,152.802
308,124.842
130,105.68
99,180.41
372,136.356
87,193.141
458,180.109
330,108.123
214,119.034
466,152.005
121,189.364
20,161.257
71,153.963
106,157.05
270,106.501
435,186.864
102,169.63
