,Open_x,High_x,Low_x,Close_x,Volume_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,year,month,day,hour,dayofweek,quarter,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
Open_x,1,0.995486,0.995221,0.99278,-0.078541,-0.0444686,-0.065914,0.0435215,-0.0287909,0.00928637,-0.0395886,-0.00539336,0.00802354,-0.0319204,-0.0634924,0.0157864,-0.0207351,,,,,,,,,0.0200423,-0.00575948,-0.00378065,,0.0553869,-0.00320742,-0.00586068,0.00132246,-0.0444686,,-0.0409102,-0.0117918,,,-0.0648721,-0.0121586,0.058824,-0.0278153,0.0172103,-0.0140364,0.049031,-0.0429991,-0.058824,0.0278153,-0.0129942,0.00325767,-0.0318144,0.0153361,0.0409102,0.0117918,-0.0153361,-0.0153361,0.0143254,-0.0189445,-0.023538,-0.0488868,0.0543734,-0.0337084,-0.0395886,-0.00127983,0.0344376,0.00347348,-0.00601092,-0.0317853,-0.00539336,-0.0211554,-0.0344376,-0.00347348,0.0147204,0.0258854,0.0110032,-0.0129032,0.023538,0.0488868,-0.0378685,0.0210563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00292989,0.0153361,-0.0712232,-0.00655705,0.0115357,,-0.01127,0.0153361,0.0603104,-0.00890781,-0.0249902,,0.000891688,-0.0153361,-0.0328869,0.0158375,0.0268741,,0.000921089,0.0153361,-0.0495142,-0.00391312,0.00839169,,0.00128617,0.0153361,0.0315047,-0.0158375,-0.0128575,,0.0026576,-0.0153361,0.0793839,0.00391312,-0.0206375,-0.0346714
High_x,0.995486,1,0.990181,0.99245,-0.0765373,-0.0483227,-0.0629728,0.0466989,-0.0277388,0.0192956,-0.0376836,9.32574e-05,0.00724595,-0.0362049,-0.0601182,0.0194826,-0.0159493,,,,,,,,,0.0145072,-0.00536459,-0.00466427,,0.057963,-0.0018784,-0.00552028,0.00274484,-0.0483227,,-0.0389781,-0.0166946,,,-0.0615863,-0.01648,0.0563805,-0.033504,0.0162572,-0.0159052,0.0524599,-0.0467451,-0.0563805,0.033504,-0.00823219,0.00699091,-0.0298237,0.00989032,0.0389781,0.0166946,-0.00989032,-0.00989032,0.0237925,-0.0141415,-0.0321348,-0.0391112,0.045329,-0.0368454,-0.0376836,-0.00531152,0.0373891,-0.00148823,-0.00922509,-0.0365638,9.32574e-05,-0.0247611,-0.0373891,0.00148823,0.0139876,0.0262639,0.0098743,-0.0120783,0.0321348,0.0391112,-0.0278601,0.0209588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00516281,0.00989032,-0.0741291,-0.00557495,0.00803649,,-0.0113816,0.00989032,0.0554386,-0.0114238,-0.0164226,,-0.0041339,-0.00989032,-0.0339449,0.0131903,0.0241107,,0.00312873,0.00989032,-0.0483663,-0.000819544,0.000818843,,0.00586824,0.00989032,0.0326606,-0.0131903,-0.0111019,,0.00345673,-0.00989032,0.0781988,0.000819544,-0.0127811,-0.0297169
Low_x,0.995221,0.990181,1,0.99277,-0.0716156,-0.0424706,-0.0679659,0.042312,-0.0285397,0.00818278,-0.0442515,0.0024327,0.00745525,-0.0262128,-0.0650405,0.021238,-0.0217294,,,,,,,,,0.0147032,0.00324269,0.000445836,,0.0544982,0.00626432,0.00338544,0.00996803,-0.0424706,,-0.0405291,-0.00613061,,,-0.0664027,-0.016717,0.0604428,-0.0266097,0.019991,-0.0114657,0.0476712,-0.0415518,-0.0604428,0.0266097,-0.0152994,-0.00283099,-0.0316435,0.0158322,0.0405291,0.00613061,-0.0158322,-0.0158322,0.0136614,-0.0244095,-0.023108,-0.0504782,0.0484266,-0.0303596,-0.0442515,-0.00704072,0.0400612,-0.00371945,-0.0127843,-0.0409382,0.0024327,-0.0291175,-0.0400612,0.00371945,0.0191772,0.0315373,0.0111396,-0.0158062,0.023108,0.0504782,-0.0296839,0.0152147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000317005,0.0158322,-0.0714759,-0.00223229,0.0101733,,-0.0140528,0.0158322,0.0571616,-0.0159854,-0.023102,,0.00532996,-0.0158322,-0.0320677,0.0191121,0.0298374,,0.000890358,0.0158322,-0.0459297,0.00231239,0.0112721,,-0.000132117,0.0158322,0.0321372,-0.0191121,-0.0195691,,0.000856139,-0.0158322,0.0773318,-0.00231239,-0.0160595,-0.0309947
Close_x,0.99278,0.99245,0.99277,1,-0.0727207,-0.0489113,-0.0691138,0.0530799,-0.0287349,0.00962755,-0.0387544,-0.000441119,0.00507579,-0.0357398,-0.0653731,0.0214479,-0.0208913,,,,,,,,,0.0130011,0.00201203,-0.00495175,,0.0558082,0.00639657,0.00175163,0.00858905,-0.0489113,,-0.039807,-0.0159121,,,-0.0671962,-0.0241519,0.0627386,-0.0296551,0.0256431,-0.012804,0.0581918,-0.0375475,-0.0627386,0.0296551,-0.0200581,-0.00013863,-0.0306776,0.0089653,0.039807,0.0159121,-0.0089653,-0.0089653,0.0145257,-0.0204625,-0.026895,-0.0505193,0.0536611,-0.0328549,-0.0387544,-0.00809097,0.0411009,0.00026369,-0.00735833,-0.0377156,-0.000441119,-0.0272812,-0.0411009,-0.00026369,0.0121578,0.0291108,0.00839958,-0.0120593,0.026895,0.0505193,-0.0353598,0.0183129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00201114,0.0089653,-0.0823788,-0.00793113,0.0113471,,-0.0187438,0.0089653,0.0606826,-0.010267,-0.0173411,,0.00995625,-0.0089653,-0.0355255,0.0118847,0.020655,,0.00538062,0.0089653,-0.054796,-0.00267302,0.0106519,,-0.00959493,0.0089653,0.0319661,-0.0118847,-0.00812824,,0.00455382,-0.0089653,0.0893704,0.00267302,-0.0181056,-0.0240512
Volume_x,-0.078541,-0.0765373,-0.0716156,-0.0727207,1,0.0229825,-0.114506,0.0151056,-0.0929102,-0.0357868,0.0431459,-0.104299,-0.0223013,-0.0299346,-0.108741,0.0851569,0.0216919,,,,,,,,,0.0695465,-0.0802422,-0.0632167,,0.00692503,-0.0586092,-0.0847909,-0.0662559,0.0229825,,-0.0950059,0.00086532,,,-0.110377,-0.0671636,0.0694859,0.0131269,0.0191031,0.0158784,0.013419,0.0331311,-0.0694859,-0.0131269,-0.00943216,-0.0140377,-0.0907896,-0.020581,0.0950059,-0.00086532,0.020581,0.020581,-0.0410992,0.0414689,0.0382514,0.0160433,0.032178,-0.0418792,0.0431459,0.0692553,-0.0373864,0.0955573,0.08793,0.0894954,-0.104299,0.0864572,0.0373864,-0.0955573,-0.0616399,-0.0605373,-0.0228678,-0.025363,-0.0382514,-0.0160433,-0.0473687,0.0378877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0694714,-0.020581,-0.0693657,-0.0732402,0.0354705,,-0.0495155,-0.020581,-0.000516881,0.0929418,-0.0668013,,0.0558577,0.020581,-0.00123798,-0.0508481,0.0448972,,0.0598607,-0.020581,-0.0657205,-0.0900353,0.0187617,,-0.0507156,-0.020581,-0.00954286,0.0508481,-0.0153788,,-0.0786942,0.020581,0.0698859,0.0900353,-0.0361303,0.0473646
current_hour_pillar,-0.0444686,-0.0483227,-0.0424706,-0.0489113,0.0229825,1,-0.514401,-0.513855,-0.101258,0.00417064,0.00583907,-0.00855091,-0.00215917,0.097096,-0.512266,0.0146738,0.000850921,,,,,,,,,0.00451307,-0.00457363,0.00581713,,0.00736573,-0.00583828,-0.00412369,-0.000319106,1,,-0.0746116,0.0501288,,,-0.516144,-0.012947,0.00165695,-0.00160174,0.00156163,-0.00121952,-0.517867,0.00052474,-0.00165695,0.00160174,-0.00292345,0.00277335,-0.102161,-0.00347018,0.0746116,-0.0501288,0.00347018,0.00347018,0.00370693,0.00156905,-0.00507226,-0.0038799,-0.00112067,-0.00578723,0.00583907,0.00922141,-0.00614632,0.00623846,0.00579787,0.00802559,-0.00855091,0.0103741,0.00614632,-0.00623846,-0.00459063,-0.00933852,-0.00193288,0.00477848,0.00507226,0.0038799,-0.000952122,0.00298326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000178473,-0.00347018,-0.000170707,-0.00511615,0.00596388,,-0.00408283,-0.00347018,-0.00117041,0.0075155,-0.00169745,,-0.00728028,0.00347018,0.0027089,-0.00497083,0.00437924,,0.0129558,-0.00347018,-0.000199032,-0.00646761,-0.00401197,,0.00372946,-0.00347018,-0.00404892,0.00497083,0.00161445,,-0.00230879,0.00347018,-0.00220063,0.00646761,-0.00506588,0.0886343
current_day_pillar,-0.065914,-0.0629728,-0.0679659,-0.0691138,-0.114506,-0.514401,1,-0.150232,0.295362,-0.0153989,-0.00591888,0.00788186,0.0212687,-0.12071,0.992795,-0.000836178,-0.00548135,,,,,,,,,-0.00239882,0.000642755,-0.00199115,,0.00100194,-0.000172686,0.000475868,-0.00247065,-0.514401,,0.306502,-0.202734,,,0.995137,0.0967047,-0.658225,0.0343182,-0.0244106,-0.0606279,-0.149786,-0.00412915,0.658225,-0.0343182,0.0225969,0.0504349,0.299095,0.00363279,-0.306502,0.202734,-0.00363279,-0.00363279,-0.0115217,-0.0389368,0.0209107,0.000313717,0.0221572,0.0150653,-0.00591888,-0.00817591,0.00572838,-0.00593313,-0.00570355,-0.00776096,0.00788186,-0.00959879,-0.00572838,0.00593313,0.00474717,0.00869408,0.0183679,0.0153205,-0.0209107,-0.000313717,-0.00495148,-0.00478601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0320631,0.00363279,0.0141271,0.00495561,-0.0048854,,0.0210435,0.00363279,2.04626e-05,-0.00725428,0.00570904,,-0.0255436,-0.00363279,0.0121283,0.00506273,-0.0101806,,-0.0147142,0.00363279,0.00202791,0.00616763,-0.00589524,,0.00197972,0.00363279,-0.00792084,-0.00506273,0.0146754,,0.0272828,-0.00363279,-0.00832466,-0.00616763,0.00534051,-0.0676411
current_day_pillar_minus,0.0435215,0.0466989,0.042312,0.0530799,0.0151056,-0.513855,-0.150232,1,0.287527,0.00416798,-0.00269978,-0.00382394,-0.0230876,-0.12075,-0.155256,-0.0373851,0.00420352,,,,,,,,,-0.00282618,0.00798131,0.0136784,,-0.00561275,0.0086874,0.00898118,-0.00339995,-0.513855,,0.299371,-0.200616,,,-0.15155,0.00736024,0.655538,-0.0345271,0.0229044,0.0571991,0.995125,0.109659,-0.655538,0.0345271,-0.0307922,-0.0564957,0.291743,0.000101547,-0.299371,0.200616,-0.000101547,-0.000101547,0.000560368,0.0370723,-0.0128499,0.0011725,-0.0245075,-0.0116581,-0.00269978,-0.00120355,0.00485309,0.004839,0.00405857,-0.000484818,-0.00382394,-0.00168046,-0.00485309,-0.004839,-0.00245683,0.00328819,-0.0195501,-0.0304452,0.0128499,-0.0011725,0.00969398,0.00307835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00668542,0.000101547,-0.0135407,-0.00467345,-0.000158991,,0.0398232,0.000101547,-0.00658724,0.00311066,0.0027035,,-0.00402465,-0.000101547,-0.0077778,-0.0013171,0.000226877,,-0.0714436,0.000101547,-0.00213175,-0.00460508,0.00976771,,0.0299657,0.000101547,0.00516344,0.0013171,-0.00780792,,0.0279173,-0.000101547,0.00848996,0.00460508,-0.00372817,0.0217581
current_hour_pillar_minus,-0.0287909,-0.0277388,-0.0285397,-0.0287349,-0.0929102,-0.101258,0.295362,0.287527,1,-0.01174,-0.130768,0.0446066,-0.0120553,0.296888,0.294669,0.00616314,-0.112291,,,,,,,,,0.0815544,0.0235211,0.0371018,,0.00181472,0.0243451,0.0263313,0.0140953,-0.101258,,0.981979,0.000906839,,,0.297143,-0.00123503,-0.00463771,-0.00288306,-0.00504383,0.00810399,0.288783,0.0065501,0.00463771,0.00288306,0.00276104,-0.00996509,0.985949,0.169753,-0.981979,-0.000906839,-0.169753,-0.169753,-0.0114744,0.0104675,0.00419488,-0.0104697,-0.0352434,0.0090192,-0.130768,-0.00104597,-0.00818579,-0.052903,-0.0869279,-0.0514233,0.0446066,-0.0540924,0.00818579,0.052903,0.137874,0.0847699,-0.0117394,-0.0342174,-0.00419488,0.0104697,0.0404352,0.0130255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00402835,0.169753,-0.00216707,0.106973,0.0112154,,0.00319634,0.169753,-0.0102721,-0.106864,0.00884998,,-0.00495702,-0.169753,-0.0101124,0.159561,0.0131904,,-0.00933583,0.169753,-0.00223437,0.0854647,-0.00384341,,0.00980251,0.169753,0.0197748,-0.159561,-0.00777565,,0.00268202,-0.169753,-0.0133187,-0.0854647,0.00154284,0.00146066
current_month_pillar,0.00928637,0.0192956,0.00818278,0.00962755,-0.0357868,0.00417064,-0.0153989,0.00416798,-0.01174,1,-0.0350139,-0.122071,-0.204556,0.00377335,-0.0147698,0.0318607,-0.0192197,,,,,,,,,-0.00807594,0.0448192,0.0484293,,0.000344728,0.0492741,0.0478669,0.0320674,0.00417064,,-0.00491966,0.00580242,,,-0.0155007,-0.00057818,0.0205451,0.0242981,-0.00534613,0.0388467,0.00262428,0.0115262,-0.0205451,-0.0242981,0.00244017,-0.0261686,-0.00424567,-0.0452328,0.00491966,-0.00580242,0.0452328,0.0452328,0.994239,0.333492,-0.713312,0.0574306,-0.00333118,-0.410699,-0.0350139,-0.0242078,0.129806,0.14934,0.136565,0.005035,-0.122071,-0.0232562,-0.129806,-0.14934,-0.105888,0.0591316,-0.212738,-0.00210558,0.713312,-0.0574306,0.120304,0.503379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0017718,-0.0452328,-0.179002,-0.159018,0.099998,,0.00319255,-0.0452328,0.177296,0.117873,0.209849,,-0.0108782,0.0452328,-0.0734376,-0.0815791,0.0807979,,-0.0197493,-0.0452328,-0.0486255,-0.152219,-0.442227,,0.0235097,-0.0452328,-0.0531612,0.0815791,0.129877,,0.00294972,0.0452328,0.188722,0.152219,0.0529568,-0.000570102
