,time,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code,uuid,last_modified_date
0,2025-06-03 18:12:37.015274+08:00,辛酉,戊午,癸亥,丙寅,丙申,乙巳,庚子,辛卯,戊子,戊午,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,4719766060291917083,2025-06-02 10:12:39.694413+08:00
1,2025-06-04 18:12:37.015274+08:00,癸酉,己未,甲子,戊寅,丙申,乙巳,庚子,辛卯,庚子,己未,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,2877195483241395370,2025-06-02 10:12:39.694413+08:00
2,2025-06-05 18:12:37.015274+08:00,乙酉,庚申,乙丑,庚寅,壬午,乙巳,庚子,丁丑,壬子,庚申,壬午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,4339273695565513597,2025-06-02 10:12:39.694413+08:00
3,2025-06-06 18:12:37.015274+08:00,丁酉,辛酉,丙辰,壬辰,壬午,庚申,乙丑,丁亥,甲子,辛酉,壬午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,6254512190894436261,2025-06-02 10:12:39.694413+08:00
4,2025-06-09 18:12:37.015274+08:00,癸酉,甲子,己未,戊辰,壬午,庚申,乙丑,丁亥,庚子,甲子,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,826121622932329382,2025-06-02 10:12:39.694413+08:00
5,2025-06-10 18:12:37.015274+08:00,乙酉,乙丑,庚申,庚辰,壬午,庚申,乙丑,丁亥,壬子,乙丑,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,3430676770617003246,2025-06-02 10:12:39.694413+08:00
6,2025-06-11 18:12:37.015274+08:00,丁酉,丙寅,辛酉,壬辰,壬午,庚申,乙丑,丁亥,甲子,丙寅,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13699545079502921039,2025-06-02 10:12:39.694413+08:00
7,2025-06-12 18:12:37.015274+08:00,己酉,丁卯,壬戌,甲辰,壬午,庚申,乙丑,丁亥,丙子,丁卯,戊午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11164943981393229677,2025-06-02 10:12:39.694413+08:00
8,2025-06-13 18:12:37.015274+08:00,辛酉,戊辰,癸亥,丙辰,壬午,庚申,乙丑,丁亥,戊子,戊辰,戊午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,10808264106085513382,2025-06-02 10:12:39.694413+08:00
9,2025-06-16 18:12:37.015274+08:00,丁酉,辛未,丙寅,壬辰,壬午,庚申,乙丑,丁亥,甲子,辛未,癸午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11072468460553053706,2025-06-02 10:12:39.694413+08:00
10,2025-06-17 18:12:37.015274+08:00,己酉,壬申,丁卯,甲辰,壬午,庚申,乙丑,丁亥,丙子,壬申,癸午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,4037399257587623163,2025-06-02 10:12:39.694413+08:00
11,2025-06-18 18:12:37.015274+08:00,辛酉,癸酉,戊辰,丙辰,壬午,庚申,乙丑,丁亥,戊子,癸酉,甲午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,69049432244773425,2025-06-02 10:12:39.694413+08:00
12,2025-06-19 18:12:37.015274+08:00,癸酉,甲戌,己巳,戊辰,壬午,庚申,乙丑,丁亥,庚子,甲戌,甲午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,747469960367386867,2025-06-02 10:12:39.694413+08:00
13,2025-06-20 18:12:37.015274+08:00,乙酉,乙亥,庚午,庚辰,壬午,庚申,乙丑,丁亥,壬子,乙亥,甲午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13587102220747537847,2025-06-02 10:12:39.694413+08:00
14,2025-06-23 18:12:37.015274+08:00,辛酉,戊寅,癸酉,丙辰,丁酉,庚申,乙丑,壬寅,戊子,戊寅,己酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13928672055948598711,2025-06-02 10:12:39.694413+08:00
15,2025-06-24 18:12:37.015274+08:00,癸酉,己卯,甲戌,戊辰,丁酉,庚申,乙丑,壬寅,庚子,己卯,庚酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11928722091313076738,2025-06-02 10:12:39.694413+08:00
