,time,Open_x,High_x,Low_x,Close_x,Volume_x,stock_code_x,ric_code_x,uuid_x,last_modified_date_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,Open_y,High_y,Low_y,Close_y,Volume_y,stock_code_y,ric_code_y,uuid_y,last_modified_date_y,target
0,2023-11-01 09:00:00+08:00,17156,17213,16990,17132,2038742,HSI,^HSI,15711258007650407944,2025-06-02 16:18:02.391739+08:00,丁巳,癸亥,戊午,壬子,丁丑,戊午,癸亥,壬午,丁巳,癸子,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,1,9,2,4,True,False,False,False,False,False,305,44,丁,巳,0.951057,-0.309017,0.5,-0.866025,癸,亥,-0.587785,0.809017,-0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,壬,子,-0.951057,0.309017,0,1,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,死,沐浴,長生,養,病,病,胎,帝旺,臨官,冠帶,絕,絕,臨官,絕,胎,養,帝旺,帝旺,沐浴,死,病,衰,長生,長生,帝旺,胎,絕,墓庫,臨官,臨官,長生,病,死,墓庫,沐浴,沐浴,17156,17213,16990,17132,2038742,HSI,^HSI,15711258007650407944,2025-06-02 16:18:02.391739+08:00,17130
1,2023-11-01 11:00:00+08:00,17131,17164,17090,17130,5012963,HSI,^HSI,14792471258147383385,2025-06-02 16:18:02.391739+08:00,戊午,戊寅,癸酉,癸丑,丁丑,戊午,癸亥,壬午,戊午,癸丑,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,1,11,2,4,True,False,False,False,False,False,305,44,戊,午,0.587785,-0.809017,1.22465e-16,-1,戊,寅,0.587785,-0.809017,0.866025,0.5,癸,酉,-0.587785,0.809017,-1,-1.83697e-16,癸,丑,-0.587785,0.809017,0.5,0.866025,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,病,胎,養,養,病,病,絕,沐浴,冠帶,冠帶,絕,絕,帝旺,長生,養,養,帝旺,帝旺,長生,帝旺,衰,衰,長生,長生,臨官,死,墓庫,墓庫,臨官,臨官,沐浴,絕,墓庫,墓庫,沐浴,沐浴,17131,17164,17090,17130,5012963,HSI,^HSI,14792471258147383385,2025-06-02 16:18:02.391739+08:00,17147
2,2023-11-01 13:00:00+08:00,17131,17155,17067,17147,8482579,HSI,^HSI,15161712927873892797,2025-06-02 16:18:02.391739+08:00,己未,戊寅,癸酉,甲寅,丁丑,戊午,癸亥,壬午,己未,戊丑,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,1,13,2,4,True,False,False,False,False,False,305,44,己,未,1.22465e-16,-1,-0.5,-0.866025,戊,寅,0.587785,-0.809017,0.866025,0.5,癸,酉,-0.587785,0.809017,-1,-1.83697e-16,甲,寅,0,1,0.866025,0.5,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,衰,胎,胎,養,病,病,墓庫,沐浴,沐浴,冠帶,絕,絕,衰,長生,長生,養,帝旺,帝旺,養,帝旺,帝旺,衰,長生,長生,冠帶,死,死,墓庫,臨官,臨官,冠帶,絕,絕,墓庫,沐浴,沐浴,17131,17155,17067,17147,8482579,HSI,^HSI,15161712927873892797,2025-06-02 16:18:02.391739+08:00,17084
3,2023-11-01 15:00:00+08:00,17147,17165,17084,17084,9553533,HSI,^HSI,17094495776469766036,2025-06-02 16:18:02.391739+08:00,庚申,戊寅,癸酉,乙卯,丁丑,戊午,癸亥,壬午,庚申,戊寅,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,1,15,2,4,True,False,False,False,False,False,305,44,庚,申,-0.587785,-0.809017,-0.866025,-0.5,戊,寅,0.587785,-0.809017,0.866025,0.5,癸,酉,-0.587785,0.809017,-1,-1.83697e-16,乙,卯,0.587785,0.809017,1,6.12323e-17,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,帝旺,胎,絕,養,病,病,死,沐浴,長生,冠帶,絕,絕,病,長生,沐浴,養,帝旺,帝旺,胎,帝旺,臨官,衰,長生,長生,沐浴,死,病,墓庫,臨官,臨官,臨官,絕,胎,墓庫,沐浴,沐浴,17147,17165,17084,17084,9553533,HSI,^HSI,17094495776469766036,2025-06-02 16:18:02.391739+08:00,17086
4,2023-11-01 17:00:00+08:00,17082,17098,17055,17086,5969533,HSI,^HSI,13266855563099459177,2025-06-02 16:18:02.391739+08:00,辛酉,戊寅,癸酉,丙辰,丁丑,戊午,癸亥,壬午,辛酉,戊寅,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,1,17,2,4,True,False,False,False,False,False,305,44,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,戊,寅,0.587785,-0.809017,0.866025,0.5,癸,酉,-0.587785,0.809017,-1,-1.83697e-16,丙,辰,0.951057,0.309017,0.866025,-0.5,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,臨官,胎,墓庫,養,病,病,病,沐浴,養,冠帶,絕,絕,死,長生,冠帶,養,帝旺,帝旺,絕,帝旺,冠帶,衰,長生,長生,長生,死,衰,墓庫,臨官,臨官,帝旺,絕,養,墓庫,沐浴,沐浴,17082,17098,17055,17086,5969533,HSI,^HSI,13266855563099459177,2025-06-02 16:18:02.391739+08:00,17107
5,2023-11-01 19:00:00+08:00,17087,17134,17073,17107,2025842,HSI,^HSI,9063140625995076498,2025-06-02 16:18:02.391739+08:00,壬戌,戊寅,癸酉,丁巳,丁丑,戊午,癸亥,壬午,壬戌,戊卯,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,1,19,2,4,True,False,False,False,False,False,305,44,壬,戌,-0.951057,0.309017,-0.866025,0.5,戊,寅,0.587785,-0.809017,0.866025,0.5,癸,酉,-0.587785,0.809017,-1,-1.83697e-16,丁,巳,0.951057,-0.309017,0.5,-0.866025,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,冠帶,胎,死,養,病,病,衰,沐浴,胎,冠帶,絕,絕,墓庫,長生,臨官,養,帝旺,帝旺,墓庫,帝旺,沐浴,衰,長生,長生,養,死,帝旺,墓庫,臨官,臨官,衰,絕,長生,墓庫,沐浴,沐浴,17087,17134,17073,17107,2025842,HSI,^HSI,9063140625995076498,2025-06-02 16:18:02.391739+08:00,17154
6,2023-11-01 21:00:00+08:00,17110,17200,17074,17154,8228299,HSI,^HSI,10889153038661243185,2025-06-02 16:18:02.391739+08:00,癸亥,戊寅,癸酉,戊午,丁丑,戊午,癸亥,壬午,癸亥,戊卯,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,1,21,2,4,True,False,False,False,False,False,305,44,癸,亥,-0.587785,0.809017,-0.5,0.866025,戊,寅,0.587785,-0.809017,0.866025,0.5,癸,酉,-0.587785,0.809017,-1,-1.83697e-16,戊,午,0.587785,-0.809017,1.22465e-16,-1,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,沐浴,胎,病,養,病,病,帝旺,沐浴,絕,冠帶,絕,絕,絕,長生,帝旺,養,帝旺,帝旺,死,帝旺,長生,衰,長生,長生,胎,死,臨官,墓庫,臨官,臨官,病,絕,沐浴,墓庫,沐浴,沐浴,17110,17200,17074,17154,8228299,HSI,^HSI,10889153038661243185,2025-06-02 16:18:02.391739+08:00,17142
7,2023-11-01 23:00:00+08:00,17153,17158,17100,17142,2778873,HSI,^HSI,17680040928843831261,2025-06-02 16:18:02.391739+08:00,丙子,甲子,己未,辛未,丁丑,戊午,癸亥,壬午,丙子,己亥,乙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,1,23,2,4,True,False,False,False,False,False,305,44,丙,子,0.951057,0.309017,0,1,甲,子,0,1,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,辛,未,-0.951057,-0.309017,-0.5,-0.866025,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,長生,長生,衰,養,病,病,臨官,臨官,墓庫,冠帶,絕,絕,胎,胎,衰,養,帝旺,帝旺,病,病,養,衰,長生,長生,絕,絕,冠帶,墓庫,臨官,臨官,死,死,冠帶,墓庫,沐浴,沐浴,17153,17158,17100,17142,2778873,HSI,^HSI,17680040928843831261,2025-06-02 16:18:02.391739+08:00,17157
8,2023-11-02 01:00:00+08:00,17142,17167,17077,17157,4781446,HSI,^HSI,3582370561132861551,2025-06-02 16:18:02.391739+08:00,乙丑,甲子,己未,庚申,丁丑,戊午,癸亥,壬午,乙丑,甲亥,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,2,1,3,4,False,False,False,False,False,False,306,44,乙,丑,0.587785,0.809017,0.5,0.866025,甲,子,0,1,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,養,長生,帝旺,養,病,病,冠帶,臨官,死,冠帶,絕,絕,養,胎,病,養,帝旺,帝旺,衰,病,胎,衰,長生,長生,墓庫,絕,沐浴,墓庫,臨官,臨官,墓庫,死,臨官,墓庫,沐浴,沐浴,17142,17167,17077,17157,4781446,HSI,^HSI,3582370561132861551,2025-06-02 16:18:02.391739+08:00,17299
9,2023-11-02 09:00:00+08:00,17253,17486,17247,17299,8505028,HSI,^HSI,8711063418606135443,2025-06-02 16:18:02.391739+08:00,己巳,甲子,己未,甲子,丁丑,戊午,癸亥,壬午,己巳,甲丑,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,2023,11,2,9,3,4,False,False,False,False,False,False,306,44,己,巳,1.22465e-16,-1,0.5,-0.866025,甲,子,0,1,0,1,己,未,1.22465e-16,-1,-0.5,-0.866025,甲,子,0,1,0,1,丁,丑,0.951057,-0.309017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,庚,午,-0.587785,-0.809017,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,死,長生,長生,養,病,病,胎,臨官,臨官,冠帶,絕,絕,臨官,胎,胎,養,帝旺,帝旺,沐浴,病,病,衰,長生,長生,帝旺,絕,絕,墓庫,臨官,臨官,長生,死,死,墓庫,沐浴,沐浴,17253,17486,17247,17299,8505028,HSI,^HSI,8711063418606135443,2025-06-02 16:18:02.391739+08:00,17318
