,target
533,15951
864,16494
2600,20255
2409,19800
2501,19240
2535,19382
2246,19268
903,16651
693,16663
1057,17258
637,16046
2064,22027
680,16723
1954,17408
2329,20650
1228,18659
1518,18022
1075,17697
221,16368
543,16111
1364,18299
2867,23528
727,16376
1200,19162
2804,22878
1576,17881
2802,22983
831,16690
940,16831
1511,17920
2619,20495
2269,19463
272,16276
521,16044
522,16137
1714,16775
2928,23772
1055,17177
350,16968
2732,22835
1868,17695
2457,19828
651,16235
1945,17297
2249,19273
2746,23459
3075,21246
1251,18185
3171,22716
1235,18790
168,17485
2655,21150
2397,19873
862,16516
942,16877
857,16759
2484,19161
1587,17729
2595,20115
1397,17964
2372,19889
219,16331
367,17160
1936,17081
2315,19681
2417,19881
2271,19455
1480,17611
351,16994
1114,18427
2243,19162
2008,18974
490,15313
2847,23674
2513,18902
498,14965
3072,21016
210,16735
926,16732
2889,24693
650,16192
227,16508
365,17162
2839,23758
276,16183
2117,5847.38
1204,19183
759,16436
1451,17968
2045,21278
407,16253
3124,21903
2114,20905
2476,19369
874,16457
736,16576
2550,19589
772,16307
7,17157
838,16577
1618,17710
964,17073
415,16310
2375,19771
2046,21235
1488,17720
3064,21487
199,16973
1100,18448
1133,18519
283,16471
231,16504
1253,18121
1097,18426
96,18411
2925,23657
2722,22927
1569,18111.8
1352,18396
1220,18609
1047,17139
3031,19575
2740,23458
1588,17747
1557,17570
104,17751
2783,23166
1188,19597
2944,23455
2900,24802
1532,17687
2185,5897.97
2748,23517
2601,20303
744,16429
226,16499
3002,22679
1307,18361
1840,17778
2439,20017
1727,16983
1789,17409
1869,17721
812,16813
2892,24714
811,16920
2069,22618
1225,18616
1713,16746
2808,23014
3162,22659
3139,21938
464,15880
1311,18405
2316,19637
1103,18414
1446,18018
2602,20272
2495,19306
1797,17608
1080,17722
212,16761
12,17366
3104,22116
422,16179
2416,19824
2159,5832.91
1074,17695
2983,23253
741,16552
3016,20079
1766,17287
1558,17603
2547,19587
1455,18063
1811,17360
509,15648
644,16372
597,16153
3136,21927
1178,19542
2507,18946
1268,18081
2800,22755
518,16089
1398,17979
2591,20124
573,15651
3099,22090
2887,24582
2215,5867.43
2357,20473
2273,19682
1487,17524
1614,17541
123,17965
2958,23668
2948,23471
220,16348
819,16748
3077,21230
358,17085
1538,17552
2851,23626
2020,19267
1825,17647
1726,16973
259,16344
2936,23380
3155,22449
1011,16375
2536,19426
1113,18366
1123,18267
2551,19569
1261,18306
3160,22546
990,16289
2878,24195
2467,19681
456,16162
462,15875
2362,20117
1356,18420
3127,21972
1436,18305
381,16611
2963,23392
2134,5864.71
2154,5823.3
869,16567
2285,19636
3163,22536
1577,17880
2831,24208
59,17620
2384,19748
2881,24379
2768,23754
3175,22490
2841,23611
2503,19063
2429,20056
1255,18184
657,16207
1334,18301
845,16580
542,16077
897,16708
1426,18260
1330,18320
1999,18290
1399,17964
944,16853
2566,20140
1684,17343
2862,23633
2717,22822
3063,21423
2268,19423
1456,18060
2828,24560
1902,17492
2667,21441
2206,6003.27
435,16315
1034,16878
237,16379
912,17018
1590,17741
109,17485
2084,22974
781,16342
2183,5774.15
163,17515
288,16929
1179,19535
252,16033
1134,18601
2431,20110
1767,17151
767,16218
787,16604
2575,19783
1503,17704
1292,18311
1089,18160
969,16815
1580,17804
2475,19332
1135,18635
2634,20628
2990,23243
2555,19969
847,16594
1036,16831
2543,19460
461,15876
1017,16253
2309,19586
157,17595
802,17152
2542,19477
2419,19897
677,16667
2630,20692
1044,17217
238,16381
1241,18697
1907,17496
243,16434
100,17914
315,16706
1032,16801
1173,19535
1739,17147
2794,22961
1071,17696
261,16370
3103,22282
2448,19798
195,17073
2009,19087
2817,23962
1965,17448
179,17157
834,16556
842,16603
2459,19754
1608,17437
2509,18971
340,16525
2345,20376
2312,19620
748,16226
1211,18897
662,16308
480,15419
803,17193
2272,19462
2669,21363
1913,17357
2581,19924
549,15803
1282,18345
783,16533
2872,23908
2091,21138
742,16541
2782,23239
2515,18871
1933,17072
965,16928
1498,17714
3029,20031
2103,21098
1022,16577
2254,19275
3020,19936
247,16373
871,16488
1244,18509
1041,17135
1278,18347
2882,24280
626,15976
347,16808
278,16436
2018,19201
2422,19843
655,16214
1377,18022
979,16606
1048,17185
907,16939
2781,23715
2741,23466
3070,21060
911,17002
1937,17087
632,15964
2724,22816
445,16240
617,15783
2113,21274
2549,19597
1461,18081
2606,20364
2974,23162
2705,22619
1073,17676
2247,19178
353,17155
613,15863
2909,24500
2870,23725
1983,18127
57,17535
1784,17308
1370,18096
2330,20850
2758,23018
1950,17282
1690,17323
2310,19580
2590,19801
2387,19917
1926,17229
560,15525
707,16855
3013,20369
424,16093
647,16362
1912,17338
1344,18427
1234,18906
1105,18508
1005,16469
620,15661
2424,19924
553,15682
2822,24279
1584,17785
998,16293
1385,18086
2223,5912.03
2908,24545
3159,22597
1674,17059
440,16341
508,15413
589,15565
2979,23237
649,16192
2594,20104
1697,16917
1381,17880
1670,17023
1921,17157
630,15931
1425,18252
482,15393
1665,17187
2716,22782
1237,18737
2592,20093
2186,5919.31
2382,19765
856,16803
2480,19532
530,16153
2402,19744
49,17605
858,16761
1072,17636
719,16423
2089,21562
1525,17796
2700,22521
1472,18077
1660,17343
2262,19678
1462,18105
2371,19909
1459,18146
1406,17794
2744,23594
1882,17732
2325,19821
2786,22978
2713,22995
297,16660
1559,17615
1716,16612
958,16888
2615,20300
1454,17864
1233,18846
349,16733
1411,17927
643,16344
1413,17904
2428,20114
669,16492
1407,18063
2610,20325
1927,17253
1814,17373
2953,23827
3096,21772
1743,17079
786,16616
3156,22573
140,17672
788,16625
1754,17099
2965,23430
714,16491
2390,19854
1746,17021
1628,17467
1563,17811.1
618,15772
406,16223
2233,5956.63
2865,23442
2719,22951
1287,18311
1809,17397
497,14978
342,16601
3128,21923
2408,19794
782,16376
2216,5870.63
303,16516
1878,17950
664,16264
2921,23685
1651,17038
2926,23601
1656,17069
