,Open_x,High_x,Low_x,Close_x,Volume_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,year,month,day,hour,dayofweek,quarter,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
Open_x,1,0.999715,0.999688,0.999506,0.0184993,0.0116544,-0.0119956,-0.00264417,-0.0117635,0.124848,-0.411794,-0.245364,0.0408251,0.00047602,-0.0086384,0.00498603,-0.454317,,,,,,,,,0.508792,-0.256755,-0.0186803,0.0956538,-0.0527406,-0.302482,-0.259635,-0.26216,0.00243819,0.116285,0.00055194,-0.000873501,-0.127038,-0.141782,-0.0142139,0.0236923,-0.00210246,-0.0121287,-0.0104086,-0.0182801,-0.00133873,-0.0135156,0.00210246,0.0121287,0.00126068,0.0214122,0.00132825,-0.137471,-0.00055194,0.000873501,0.00884533,0.219549,0.134846,0.0834187,-0.0513327,-0.041421,0.149819,-0.2451,-0.411794,-0.0270309,0.37516,0.285695,0.164019,-0.144719,-0.245364,-0.171296,-0.37516,-0.285695,0.0241976,0.329436,0.0548542,-0.0115635,0.0513327,0.041421,-0.0362488,0.363398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0808532,-0.00552316,0.012337,0.0078342,-0.221151,0.231442,0.0486656,0.00707193,0.0276313,0.185837,0.0833117,-0.0441159,-0.117001,-0.00254269,0.00249133,-0.0240539,0.117048,0.133865,0.0698959,0.00607526,-0.104646,0.0882464,-0.23761,-0.0881998,0.0416171,-0.00593824,0.0893743,-0.0741742,-0.117048,0.0149542,0.0263506,0.00322652,0.00888265,0.0728372,0.23761,-0.200045,0.993053
High_x,0.999715,1,0.999471,0.999715,0.018388,0.0112362,-0.0117956,-0.00287446,-0.0112462,0.125499,-0.412653,-0.245426,0.0416638,0.000231473,-0.00850966,0.00424426,-0.456123,,,,,,,,,0.509722,-0.256464,-0.020185,0.0937972,-0.0531344,-0.301786,-0.259454,-0.261944,0.00206807,0.116256,0.000897588,-0.00114071,-0.122518,-0.146354,-0.0140278,0.0239627,-0.00235542,-0.0126951,-0.0106937,-0.0175513,-0.00154569,-0.0138825,0.00235542,0.0126951,0.00200727,0.0210866,0.00189093,-0.13623,-0.000897588,0.00114071,0.00454157,0.223575,0.135638,0.0843047,-0.051284,-0.0426375,0.150825,-0.243594,-0.412653,-0.0272857,0.374922,0.285957,0.164017,-0.144383,-0.245426,-0.17162,-0.374922,-0.285957,0.024876,0.330341,0.0556353,-0.0115202,0.051284,0.0426375,-0.0376927,0.362798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.082965,-0.00548118,0.010754,0.00724357,-0.220584,0.231483,0.0495732,0.00697803,0.0298891,0.18811,0.082952,-0.0451997,-0.113975,-0.00287677,0.000518778,-0.0250284,0.118205,0.134466,0.0690573,0.00553143,-0.108193,0.085555,-0.237391,-0.0877847,0.0374036,-0.00522256,0.0936996,-0.0727441,-0.118205,0.0143779,0.0301617,0.00307541,0.00911056,0.0742278,0.237391,-0.200772,0.993224
Low_x,0.999688,0.999471,1,0.999743,0.0189549,0.0107274,-0.0119784,-0.00230283,-0.0107758,0.12402,-0.410958,-0.245782,0.0402003,-0.000576881,-0.00858364,0.00507613,-0.452975,,,,,,,,,0.50819,-0.256895,-0.0173972,0.0967481,-0.0518253,-0.303086,-0.259679,-0.262299,0.001504,0.116001,0.00121483,-0.00159162,-0.130451,-0.137634,-0.014126,0.0230426,-0.00204109,-0.012727,-0.0100212,-0.0176867,-0.000964888,-0.013907,0.00204109,0.012727,0.00110367,0.0208178,0.00225033,-0.138389,-0.00121483,0.00159162,0.0119697,0.215851,0.133863,0.0828425,-0.0512499,-0.0410448,0.149199,-0.246181,-0.410958,-0.0261115,0.374795,0.285736,0.16416,-0.144551,-0.245782,-0.170373,-0.374795,-0.285736,0.0237008,0.328144,0.0542587,-0.0108513,0.0512499,0.0410448,-0.0355953,0.363969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.079011,-0.00545798,0.0128646,0.00952278,-0.221656,0.231604,0.0484025,0.00720585,0.0254107,0.183642,0.0838412,-0.043153,-0.119908,-0.0026139,0.00381119,-0.0225444,0.116161,0.132901,0.0702726,0.00592799,-0.101956,0.0909436,-0.237986,-0.0884887,0.0458614,-0.00574952,0.0860553,-0.0760442,-0.116161,0.0159287,0.0233664,0.00324719,0.0090825,0.0708143,0.237986,-0.199842,0.993244
Close_x,0.999506,0.999715,0.999743,1,0.0189163,0.0103062,-0.0117567,-0.00287657,-0.0107807,0.124677,-0.411944,-0.245921,0.0413835,-0.000833687,-0.00853513,0.00465402,-0.454821,,,,,,,,,0.509131,-0.256599,-0.0188216,0.0949443,-0.0522975,-0.302449,-0.259483,-0.26201,0.0011054,0.116215,0.00158493,-0.00194974,-0.126283,-0.142213,-0.0139502,0.0236971,-0.00257147,-0.0127068,-0.0106689,-0.0174466,-0.00149253,-0.0145808,0.00257147,0.0127068,0.00200579,0.0208679,0.00232219,-0.137461,-0.00158493,0.00194974,0.00790895,0.219961,0.13466,0.0835764,-0.0511525,-0.0420994,0.150175,-0.244663,-0.411944,-0.026314,0.374798,0.286037,0.164165,-0.144414,-0.245921,-0.170751,-0.374798,-0.286037,0.0243539,0.329076,0.0553979,-0.0105432,0.0511525,0.0420994,-0.0370659,0.363273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0807942,-0.00587173,0.0119386,0.009089,-0.221243,0.23179,0.0488761,0.0072807,0.0274379,0.185593,0.0835171,-0.0439015,-0.116741,-0.00304678,0.00227377,-0.0230202,0.117244,0.133301,0.0699707,0.00523835,-0.105045,0.0883328,-0.237867,-0.0879999,0.0414035,-0.00504067,0.0899334,-0.0750278,-0.117244,0.015518,0.0266547,0.00338909,0.008854,0.0721017,0.237867,-0.200687,0.993532
Volume_x,0.0184993,0.018388,0.0189549,0.0189163,1,-0.0042749,-3.90181e-05,-0.0102403,0.0185223,0.0106795,-0.0013103,-0.0379712,-0.0471747,-0.00152101,-0.00132019,0.00575309,0.0170184,,,,,,,,,0.0113053,-0.00272875,-0.0014508,0.00231465,-0.0301245,-0.00839733,-0.00292293,0.00104565,-0.00308094,-0.00662952,0.014937,-0.00157943,-0.00953807,-0.0109952,0.00119785,-0.0147874,0.00301951,0.00992652,-0.00437979,0.00376036,-0.0109769,0.0040246,-0.00301951,-0.00992652,0.0070437,0.00931629,0.0180561,0.0070957,-0.014937,0.00157943,-0.00209944,0.00450932,0.00990729,0.0131275,-0.0146667,0.0187298,-0.0335858,-0.0272286,-0.0013103,0.0359643,-0.00233228,0.0279755,0.0199047,0.0112286,-0.0379712,0.0281372,0.00233228,-0.0279755,-0.00975429,-0.0221739,-0.0462817,-0.0437131,0.0146667,-0.0187298,0.0265253,0.0406957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034169,0.0197566,-0.00772788,-0.0199203,-0.0260518,0.0100777,-0.0291798,-0.0203882,-0.0218082,-0.0273963,0.024994,-0.00923602,0.00799443,0.0209685,0.0212389,0.00822832,-0.0109711,0.0174021,0.0447423,0.034485,-0.025012,0.0110648,-0.0294785,-0.00631229,-0.0118229,-0.0276252,-0.0109217,-0.0152361,0.0109711,-0.00674639,-0.0506491,-0.0163391,0.00840914,0.00843371,0.0294785,-0.000959148,0.0174586
current_hour_pillar,0.0116544,0.0112362,0.0107274,0.0103062,-0.0042749,1,0.084431,0.0755879,-0.14351,-0.0047869,0.00490327,-0.0067864,0.00531072,0.981761,0.0830634,0.00734759,0.00605629,,,,,,,,,-0.000697372,-0.00618393,0.00697936,0.022791,-0.0117512,-0.00665327,-0.00565575,-0.00453095,0.994961,0.0978072,-0.69651,0.0409826,-0.0687977,-0.0363456,0.0834945,0.0128361,-0.00342702,0.00329464,-0.00847124,-0.00852067,0.0759963,-0.000852897,0.00342702,-0.00329464,0.0167809,0.0233746,-0.150267,0.0138017,0.69651,-0.0409826,0.0583679,0.0303076,-0.00472335,0.00227041,0.00631353,-0.0034304,0.00204932,-0.00416804,0.00490327,0.00191057,0.000866672,0.00741482,0.00789334,0.00472736,-0.0067864,0.00413966,-0.000866672,-0.00741482,-0.00786484,-0.00362797,0.00601671,0.000171211,-0.00631353,0.0034304,-0.00272128,0.00278982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0326385,0.000917985,0.00995034,-0.00325971,-0.00823178,0.000234676,0.000799456,-0.00551272,0.0470186,0.0026237,0.00817768,-0.00478147,-0.0199465,0.00108185,-0.00065265,-0.00351381,-0.0076332,8.69238e-05,-0.0110141,0.00621689,-0.0422495,0.000617284,-0.0081105,0.00205867,0.00465226,-0.00483826,0.0118541,0.0016211,0.0076332,-0.000669755,0.0123988,-0.00366068,0.0209805,0.00441926,0.0081105,-0.00148676,0.00893371
current_day_pillar,-0.0119956,-0.0117956,-0.0119784,-0.0117567,-3.90181e-05,0.084431,1,-0.161169,0.032279,-0.0039252,0.021483,-0.0229812,-0.0136989,0.087137,0.74096,-0.010402,0.0240668,,,,,,,,,-0.0076632,3.01699e-05,0.000591233,0.000443604,-0.026978,-0.00111942,7.27824e-05,-0.00874438,0.0845426,0.00301754,-0.0616107,0.0661764,-0.00259755,-0.0028774,0.995195,0.0751983,-0.659004,0.036711,-0.00483001,-0.0444094,-0.162714,0.0109628,0.659004,-0.036711,0.00169772,0.0801326,0.0317811,0.0032502,0.0616107,-0.0661764,-0.00174784,0.00272195,-0.00823585,0.0450248,-0.00259168,0.0291748,-0.0275981,-0.015186,0.021483,0.0134766,-0.00769269,0.0223283,0.024046,0.0211644,-0.0229812,0.0216518,0.00769269,-0.0223283,-0.0240592,-0.0207278,-0.0124131,-0.0399827,0.00259168,-0.0291748,0.0254705,0.020517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00511502,-0.00235174,0.00678912,-0.0140673,-0.0232243,0.0272335,0.00177857,-0.0203399,-0.00321204,-0.0171212,0.0268042,-0.0327105,-0.00338461,0.0129862,0.00341823,-0.0248944,-0.0243227,0.0281961,-0.00247156,0.000661155,0.004192,0.00315619,-0.0243438,0.0214457,0.00220752,-0.0332497,-0.0049943,0.016979,0.0243227,-0.0318403,0.00406621,0.00306387,-0.00630928,2.6201e-05,0.0243438,-0.0204225,-0.0108511
current_day_pillar_minus,-0.00264417,-0.00287446,-0.00230283,-0.00287657,-0.0102403,0.0755879,-0.161169,1,0.038466,-0.00857658,0.00555386,-0.0138079,-0.00449838,0.0756211,0.0882121,-0.00205886,0.0146723,,,,,,,,,-0.0090822,0.00419168,0.00863799,0.00822156,-0.0219488,-0.00121603,0.00473317,-0.00141335,0.0749275,0.00949303,-0.0504908,0.0626583,-0.014402,-0.00756408,-0.164639,0.0275814,0.660879,-0.0245315,0.0426709,0.020096,0.995146,0.136733,-0.660879,0.0245315,-0.0611162,-0.0383964,0.038926,-0.0058893,0.0504908,-0.0626583,0.0213032,-0.00420181,-0.0075113,-0.0159472,0.014642,0.00335789,0.0060794,-0.00925576,0.00555386,0.00584761,0.0121505,0.0127172,0.0131114,-0.00159085,-0.0138079,0.00539321,-0.0121505,-0.0127172,-0.0160375,-0.00758771,-0.00112892,-0.0254109,-0.014642,-0.00335789,0.00293446,0.0112893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0118417,-0.0307443,-0.00208025,0.0126286,-0.021477,0.0135822,-0.000229325,0.0593058,0.011353,-0.0197649,0.0158519,-0.0165281,-0.0118314,-0.0183445,-0.00321577,0.028581,-0.0191575,0.0141243,-0.00246236,-0.070282,-0.00542489,0.0286662,-0.0179053,0.0141593,0.00809833,0.0209877,0.00400639,-0.0414426,0.0191575,-0.0042701,0.00428375,0.0576947,0.00985817,-0.00687248,0.0179053,-0.0171546,-0.00511821
current_hour_pillar_minus,-0.0117635,-0.0112462,-0.0107758,-0.0107807,0.0185223,-0.14351,0.032279,0.038466,1,0.0110568,0.00238788,0.00284918,-0.00474012,-0.141289,0.0352709,-0.00919433,0.00137478,,,,,,,,,-0.00141057,-0.000211363,-0.00311362,0.059493,-0.00276351,0.000986893,-0.000432396,-0.000533671,-0.144853,0.00317891,0.607875,-0.0333404,-0.0168372,0.0432177,0.0331647,-0.00867008,0.00352264,-0.0052885,0.00165655,-0.000645345,0.0396422,-0.00384524,-0.00352264,0.0052885,-0.00456123,-0.0122441,0.994622,0.0766626,-0.607875,0.0333404,0.00531984,-0.0385027,0.0108099,-0.000905875,-0.00954279,0.00298803,-0.000466756,-0.0018502,0.00238788,-0.000341456,-0.000535077,-0.00338915,-0.00232387,-0.0015728,0.00284918,-4.60974e-05,0.000535077,0.00338915,-0.000101558,-0.00206853,-0.00614087,0.00686467,0.00954279,-0.00298803,0.000710954,-0.000943483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0122362,-0.0012688,-0.0487221,-4.69938e-05,0.00123217,-0.0043127,0.0550868,0.00364678,0.0174236,0.00143219,-0.00135201,0.00931987,-0.0332609,-0.00630619,-0.0122279,0.00189751,-0.0015853,-0.0013196,-0.0562059,0.00415551,-0.0324266,-0.000617864,0.00220138,-0.0102641,0.048699,0.00409583,-0.0211006,-0.00123157,0.0015853,0.00337652,0.0242102,-0.000666308,0.0529928,-0.00167933,-0.00220138,0.00786981,-0.0110305
current_month_pillar,0.124848,0.125499,0.12402,0.124677,0.0106795,-0.0047869,-0.0039252,-0.00857658,0.0110568,1,0.0290031,-0.174026,-0.0855389,-0.00620903,-0.00630041,0.0476746,0.0879732,,,,,,,,,-0.0617723,0.0564938,0.0725595,0.0112916,-0.0496199,0.0546544,0.0618374,0.0455743,-0.00555513,0.0106716,0.0113197,0.00445814,-0.00609433,-0.0218276,-0.00328373,-0.00746032,-0.000881464,-0.0371318,0.00483989,0.0138431,-0.0108317,0.0265705,0.000881464,0.0371318,-0.0173176,0.00867747,0.0105455,0.00950991,-0.0113197,-0.00445814,-0.0121492,-0.000904828,0.993555,0.362985,-0.663245,0.11761,-0.0928352,-0.410384,0.0290031,0.00612387,0.128621,0.202571,0.197933,0.0440636,-0.174026,0.0277816,-0.128621,-0.202571,-0.17993,0.000397953,-0.104619,-0.0306764,0.663245,-0.11761,0.183487,0.482273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012323,0.00737522,0.0169854,-0.191463,-0.232454,0.136608,0.00551412,-0.0031035,-0.0169011,0.0850578,0.189173,0.170418,-0.00924976,0.00217782,0.0151219,-0.0503008,-0.164441,0.102334,0.00788302,-0.00554372,0.0208071,-0.0394795,-0.219296,-0.378437,-0.000927158,0.00379351,-0.0235533,-0.0710496,0.164441,0.0795882,0.00819383,-0.0107568,-0.0168087,0.166576,0.219296,0.0156203,0.123796
