,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date
0,2025-06-04 00:19:41.608314+08:00,2025-06-04 00:19:41.608314+08:00,HSI,甲子,甲辰,己酉,己巳,丙申,乙巳,庚子,辛卯,辛卯,甲卯,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,9600653890494815644,2025-06-02 16:19:44.639748+08:00
1,2025-06-05 00:19:41.608314+08:00,2025-06-05 00:19:41.608314+08:00,HSI,丙子,乙巳,庚戌,辛巳,丙申,乙巳,庚子,辛卯,癸卯,乙辰,庚申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,1074127976014010903,2025-06-02 16:19:44.639748+08:00
2,2025-06-06 00:19:41.608314+08:00,2025-06-06 00:19:41.608314+08:00,HSI,戊子,丙午,辛丑,癸未,壬午,庚申,乙丑,丁亥,乙卯,丙巳,壬午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,8370011271622406298,2025-06-02 16:19:44.639748+08:00
3,2025-06-09 00:19:41.608314+08:00,2025-06-09 00:19:41.608314+08:00,HSI,甲子,己酉,甲辰,己未,壬午,庚申,乙丑,丁亥,辛卯,己申,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11961989680124839992,2025-06-02 16:19:44.639748+08:00
4,2025-06-10 00:19:41.608314+08:00,2025-06-10 00:19:41.608314+08:00,HSI,丙子,庚戌,乙巳,辛未,壬午,庚申,乙丑,丁亥,癸卯,庚酉,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,810200180092355499,2025-06-02 16:19:44.639748+08:00
5,2025-06-11 00:19:41.608314+08:00,2025-06-11 00:19:41.608314+08:00,HSI,戊子,辛亥,丙午,癸未,壬午,庚申,乙丑,丁亥,乙卯,辛戌,丁午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,8817786552081711291,2025-06-02 16:19:44.639748+08:00
6,2025-06-12 00:19:41.608314+08:00,2025-06-12 00:19:41.608314+08:00,HSI,庚子,壬子,丁未,乙未,壬午,庚申,乙丑,丁亥,丁卯,壬亥,戊午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,4733176857327761177,2025-06-02 16:19:44.639748+08:00
7,2025-06-13 00:19:41.608314+08:00,2025-06-13 00:19:41.608314+08:00,HSI,壬子,癸丑,戊申,丁未,壬午,庚申,乙丑,丁亥,己卯,癸子,戊午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,8551326081279993471,2025-06-02 16:19:44.639748+08:00
8,2025-06-16 00:19:41.608314+08:00,2025-06-16 00:19:41.608314+08:00,HSI,戊子,丙辰,辛亥,癸未,壬午,庚申,乙丑,丁亥,乙卯,丙卯,癸午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,18354784739894308096,2025-06-02 16:19:44.639748+08:00
9,2025-06-17 00:19:41.608314+08:00,2025-06-17 00:19:41.608314+08:00,HSI,庚子,丁巳,壬子,乙未,壬午,庚申,乙丑,丁亥,丁卯,丁辰,癸午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,3230489982657715842,2025-06-02 16:19:44.639748+08:00
10,2025-06-18 00:19:41.608314+08:00,2025-06-18 00:19:41.608314+08:00,HSI,壬子,戊午,癸丑,丁未,壬午,庚申,乙丑,丁亥,己卯,戊巳,癸午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,4634553781161646143,2025-06-02 16:19:44.639748+08:00
11,2025-06-19 00:19:41.608314+08:00,2025-06-19 00:19:41.608314+08:00,HSI,甲子,己未,甲寅,己未,壬午,庚申,乙丑,丁亥,辛卯,己午,甲午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,8821710365400970624,2025-06-02 16:19:44.639748+08:00
12,2025-06-20 00:19:41.608314+08:00,2025-06-20 00:19:41.608314+08:00,HSI,丙子,庚申,乙卯,辛未,壬午,庚申,乙丑,丁亥,癸卯,庚未,甲午,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,14079830658389568371,2025-06-02 16:19:44.639748+08:00
13,2025-06-23 00:19:41.608314+08:00,2025-06-23 00:19:41.608314+08:00,HSI,壬子,癸亥,戊午,丁未,丁酉,庚申,乙丑,壬寅,己卯,癸戌,己酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,7989161643538428197,2025-06-02 16:19:44.639748+08:00
14,2025-06-24 00:19:41.608314+08:00,2025-06-24 00:19:41.608314+08:00,HSI,甲子,甲子,己未,己未,丁酉,庚申,乙丑,壬寅,辛卯,甲亥,己酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,8280430771359086033,2025-06-02 16:19:44.639748+08:00
15,2025-06-25 00:19:41.608314+08:00,2025-06-25 00:19:41.608314+08:00,HSI,丙子,乙丑,庚申,辛未,丁酉,庚申,乙丑,壬寅,癸卯,乙子,庚酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,12505237286413361776,2025-06-02 16:19:44.639748+08:00
16,2025-06-26 00:19:41.608314+08:00,2025-06-26 00:19:41.608314+08:00,HSI,戊子,丙寅,辛酉,癸未,丁酉,庚申,乙丑,壬寅,乙卯,丙丑,庚酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,7741226256696239003,2025-06-02 16:19:44.639748+08:00
17,2025-06-27 00:19:41.608314+08:00,2025-06-27 00:19:41.608314+08:00,HSI,庚子,丁卯,壬戌,乙未,丁酉,庚申,乙丑,壬寅,丁卯,丁寅,庚酉,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13077970929552206197,2025-06-02 16:19:44.639748+08:00
