,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date
0,2019-01-02 09:00:00+08:00,25856,25868,25011,25165,8389712,HSI,^HSI,1752228207485682841,2025-06-02 16:26:43.830612+08:00
1,2019-01-02 11:00:00+08:00,25165,25202,25079,25140,9154212,HSI,^HSI,8546601789274080009,2025-06-02 16:26:43.830612+08:00
2,2019-01-02 13:00:00+08:00,25141,25223,25067,25089,6850912,HSI,^HSI,15176693674593685524,2025-06-02 16:26:43.830612+08:00
3,2019-01-02 15:00:00+08:00,25089,25113,24975,24975,4031056,HSI,^HSI,6162355138426666824,2025-06-02 16:26:43.830612+08:00
4,2019-01-02 17:00:00+08:00,25030,25090,25027,25063,5279573,HSI,^HSI,11699642512343980338,2025-06-02 16:26:43.830612+08:00
5,2019-01-02 19:00:00+08:00,25064,25147,25055,25106,7205085,HSI,^HSI,16717683767600184867,2025-06-02 16:26:43.830612+08:00
6,2019-01-02 21:00:00+08:00,25104,25198,25076,25168,9842089,HSI,^HSI,9935604646199580809,2025-06-02 16:26:43.830612+08:00
7,2019-01-02 23:00:00+08:00,25168,25363,25141,25308,5715071,HSI,^HSI,16219442104480893909,2025-06-02 16:26:43.830612+08:00
8,2019-01-03 09:00:00+08:00,25056,25238,24978,25042,7822471,HSI,^HSI,18364735963359163342,2025-06-02 16:26:43.830612+08:00
9,2019-01-03 11:00:00+08:00,25042,25048,24907,25023,2220510,HSI,^HSI,17345219056417748771,2025-06-02 16:26:43.830612+08:00
10,2019-01-03 13:00:00+08:00,25023,25058,24876,25031,1170656,HSI,^HSI,12475284397566795590,2025-06-02 16:26:43.830612+08:00
11,2019-01-03 15:00:00+08:00,25032,25092,24993,25057,7683533,HSI,^HSI,7029138731084301112,2025-06-02 16:26:43.830612+08:00
12,2019-01-03 17:00:00+08:00,25055,25081,25000,25033,9571876,HSI,^HSI,2111437031985381320,2025-06-02 16:26:43.830612+08:00
13,2019-01-03 19:00:00+08:00,25035,25112,24964,25094,4373451,HSI,^HSI,14473063539069979819,2025-06-02 16:26:43.830612+08:00
14,2019-01-03 21:00:00+08:00,25097,25177,25094,25119,8579213,HSI,^HSI,17441318581902812160,2025-06-02 16:26:43.830612+08:00
15,2019-01-03 23:00:00+08:00,25118,25153,25005,25110,4268601,HSI,^HSI,724042736285751881,2025-06-02 16:26:43.830612+08:00
16,2019-01-04 09:00:00+08:00,24920,25412,24893,25410,1881363,HSI,^HSI,9088423729514051508,2025-06-02 16:26:43.830612+08:00
17,2019-01-04 11:00:00+08:00,25410,25466,25357,25416,1832044,HSI,^HSI,5750517890741825952,2025-06-02 16:26:43.830612+08:00
