,time,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code,uuid,last_modified_date
0,2025-06-04 03:05:26.699227+08:00,丙寅,甲辰,己酉,辛未,丙申,乙巳,庚子,辛卯,丙寅,甲辰,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,835419497900706482,2025-06-02 19:05:28.391837+08:00
1,2025-06-05 03:05:26.699227+08:00,戊寅,乙巳,庚戌,癸未,丙申,乙巳,庚子,辛卯,戊寅,乙巳,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,10021389606136647265,2025-06-02 19:05:28.391837+08:00
2,2025-06-06 03:05:26.699227+08:00,庚寅,丙午,辛丑,乙酉,壬午,庚申,乙丑,丁亥,庚寅,丙午,壬午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,1476997546968534517,2025-06-02 19:05:28.391837+08:00
3,2025-06-09 03:05:26.699227+08:00,丙寅,己酉,甲辰,辛酉,壬午,庚申,乙丑,丁亥,丙寅,己酉,丁午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,13387281528147454036,2025-06-02 19:05:28.391837+08:00
4,2025-06-10 03:05:26.699227+08:00,戊寅,庚戌,乙巳,癸酉,壬午,庚申,乙丑,丁亥,戊寅,庚戌,丁午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,13595769899207605861,2025-06-02 19:05:28.391837+08:00
5,2025-06-11 03:05:26.699227+08:00,庚寅,辛亥,丙午,乙酉,壬午,庚申,乙丑,丁亥,庚寅,辛亥,丁午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,17513623205155681474,2025-06-02 19:05:28.391837+08:00
6,2025-06-12 03:05:26.699227+08:00,壬寅,壬子,丁未,丁酉,壬午,庚申,乙丑,丁亥,壬寅,壬子,戊午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,10698339981599064037,2025-06-02 19:05:28.391837+08:00
7,2025-06-13 03:05:26.699227+08:00,甲寅,癸丑,戊申,己酉,壬午,庚申,乙丑,丁亥,甲寅,癸丑,戊午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,18074516914992456757,2025-06-02 19:05:28.391837+08:00
8,2025-06-16 03:05:26.699227+08:00,庚寅,丙辰,辛亥,乙酉,壬午,庚申,乙丑,丁亥,庚寅,丙辰,癸午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,7272562086724656627,2025-06-02 19:05:28.391837+08:00
9,2025-06-17 03:05:26.699227+08:00,壬寅,丁巳,壬子,丁酉,壬午,庚申,乙丑,丁亥,壬寅,丁巳,癸午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,15673723870709525133,2025-06-02 19:05:28.391837+08:00
10,2025-06-18 03:05:26.699227+08:00,甲寅,戊午,癸丑,己酉,壬午,庚申,乙丑,丁亥,甲寅,戊午,癸午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4845771376141948794,2025-06-02 19:05:28.391837+08:00
11,2025-06-19 03:05:26.699227+08:00,丙寅,己未,甲寅,辛酉,壬午,庚申,乙丑,丁亥,丙寅,己未,甲午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11749375057977940548,2025-06-02 19:05:28.391837+08:00
12,2025-06-20 03:05:26.699227+08:00,戊寅,庚申,乙卯,癸酉,壬午,庚申,乙丑,丁亥,戊寅,庚申,甲午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,10573090416335475872,2025-06-02 19:05:28.391837+08:00
13,2025-06-23 03:05:26.699227+08:00,甲寅,癸亥,戊午,己酉,丁酉,庚申,乙丑,壬寅,甲寅,癸亥,己酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,628734981473179628,2025-06-02 19:05:28.391837+08:00
14,2025-06-24 03:05:26.699227+08:00,丙寅,甲子,己未,辛酉,丁酉,庚申,乙丑,壬寅,丙寅,甲子,己酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,16910548677798959201,2025-06-02 19:05:28.391837+08:00
15,2025-06-25 03:05:26.699227+08:00,戊寅,乙丑,庚申,癸酉,丁酉,庚申,乙丑,壬寅,戊寅,乙丑,庚酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,3910120564968885,2025-06-02 19:05:28.391837+08:00
16,2025-06-26 03:05:26.699227+08:00,庚寅,丙寅,辛酉,乙酉,丁酉,庚申,乙丑,壬寅,庚寅,丙寅,庚酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,17972502736851313931,2025-06-02 19:05:28.391837+08:00
17,2025-06-27 03:05:26.699227+08:00,壬寅,丁卯,壬戌,丁酉,丁酉,庚申,乙丑,壬寅,壬寅,丁卯,庚酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,1237349393745411967,2025-06-02 19:05:28.391837+08:00
18,2025-06-30 03:05:26.699227+08:00,戊寅,庚午,乙丑,癸酉,丁酉,庚申,乙丑,壬寅,戊寅,庚午,乙酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,17931877282620418867,2025-06-02 19:05:28.391837+08:00
19,2025-07-01 03:05:26.699227+08:00,庚寅,辛未,丙寅,乙酉,丁酉,庚申,乙丑,壬寅,庚寅,辛未,丙酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,15688008638495530197,2025-06-02 19:05:28.391837+08:00
20,2025-07-02 03:05:26.699227+08:00,壬寅,壬申,丁卯,丁酉,丁酉,庚申,乙丑,壬寅,壬寅,壬申,丙酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4329965393275942410,2025-06-02 19:05:28.391837+08:00
21,2025-07-03 03:05:26.699227+08:00,甲寅,癸酉,戊辰,己酉,丁酉,庚申,乙丑,壬寅,甲寅,癸酉,丙酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,12415018761262856167,2025-06-02 19:05:28.391837+08:00
22,2025-07-04 03:05:26.699227+08:00,丙寅,甲戌,己巳,辛酉,丁酉,庚申,乙丑,壬寅,丙寅,甲戌,辛酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,2910150507384857659,2025-06-02 19:05:28.391837+08:00
23,2025-07-07 03:05:26.699227+08:00,壬寅,丁丑,壬申,丁酉,丁酉,庚申,乙丑,壬寅,壬寅,丁丑,辛酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,7872082902409536053,2025-06-02 19:05:28.391837+08:00
24,2025-07-08 03:05:26.699227+08:00,甲寅,戊寅,癸酉,己酉,癸未,庚申,乙丑,戊子,甲寅,戊寅,癸未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6727072334854422992,2025-06-02 19:05:28.391837+08:00
25,2025-07-09 03:05:26.699227+08:00,丙寅,己卯,甲戌,辛酉,癸未,庚申,乙丑,戊子,丙寅,己卯,癸未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,15479351191685237645,2025-06-02 19:05:28.391837+08:00
26,2025-07-10 03:05:26.699227+08:00,戊寅,庚辰,乙亥,癸酉,癸未,庚申,乙丑,戊子,戊寅,庚辰,癸未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,5582068547510316440,2025-06-02 19:05:28.391837+08:00
27,2025-07-11 03:05:26.699227+08:00,庚寅,辛巳,丙子,乙酉,癸未,庚申,乙丑,戊子,庚寅,辛巳,戊未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4276416251095971838,2025-06-02 19:05:28.391837+08:00
28,2025-07-14 03:05:26.699227+08:00,丙寅,甲申,己卯,辛酉,癸未,庚申,乙丑,戊子,丙寅,甲申,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,8036871409792424536,2025-06-02 19:05:28.391837+08:00
29,2025-07-15 03:05:26.699227+08:00,戊寅,乙酉,庚辰,癸酉,癸未,庚申,乙丑,戊子,戊寅,乙酉,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,1720154528266157153,2025-06-02 19:05:28.391837+08:00
30,2025-07-16 03:05:26.699227+08:00,庚寅,丙戌,辛巳,乙酉,癸未,庚申,乙丑,戊子,庚寅,丙戌,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,16505700207726714284,2025-06-02 19:05:28.391837+08:00
31,2025-07-17 03:05:26.699227+08:00,壬寅,丁亥,壬午,丁酉,癸未,庚申,乙丑,戊子,壬寅,丁亥,甲未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,5508599356385714391,2025-06-02 19:05:28.391837+08:00
32,2025-07-18 03:05:26.699227+08:00,甲寅,戊子,癸未,己酉,癸未,庚申,乙丑,戊子,甲寅,戊子,甲未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,1606531189291430960,2025-06-02 19:05:28.391837+08:00
33,2025-07-21 03:05:26.699227+08:00,庚寅,辛卯,丙戌,乙酉,癸未,庚申,乙丑,戊子,庚寅,辛卯,乙未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,14082419178041272897,2025-06-02 19:05:28.391837+08:00
34,2025-07-22 03:05:26.699227+08:00,壬寅,壬辰,丁亥,丁酉,癸未,庚申,乙丑,戊子,壬寅,壬辰,乙未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,17053647934426382517,2025-06-02 19:05:28.391837+08:00
35,2025-07-23 03:05:26.699227+08:00,甲寅,癸巳,戊子,己酉,戊戌,庚申,乙丑,癸卯,甲寅,癸巳,庚戌,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,3370573581934344441,2025-06-02 19:05:28.391837+08:00
