,target
1470,19883.1
277,27655.8
1349,17718.6
926,18012.2
774,23660.3
236,27843.7
654,25407.9
1316,18963.7
1516,23594.2
486,26119.2
1090,19299.2
208,27847.2
428,23235.4
1346,18072.9
462,26544.3
58,29051.4
367,25124.2
575,28418
482,26460.3
802,22502.3
1302,16224.1
1461,20311.3
1271,16596
1050,20485.2
914,18566
292,25231.6
1415,22736.9
1212,16327.9
903,19597.3
772,24170.1
233,26994.1
1018,20529.5
196,26786.2
730,23192.6
1323,19195.6
81,29363
1473,20041.4
420,24732.8
1214,16345.9
111,28550.4
1341,17915.6
1339,17941.8
1331,18403
1155,18009.2
1329,18230.2
1261,16155.6
715,24080.5
310,23749.1
651,25727.9
1446,19663.7
588,28910.9
1552,22008.1
1167,17809.7
1040,20049.6
413,24695.4
1561,23640.7
1185,17398.7
1255,16081.9
765,24924.3
1509,23341.6
873,20574.6
596,28918.1
1106,19306.6
591,29124.4
744,23493.4
1417,20926.8
838,21415.2
327,23868.7
254,28773.6
322,23831.3
1146,18484
808,21374.4
989,20991.6
950,16358.5
1460,20414.1
936,16280.2
1338,18112.6
692,26038.3
86,28268.7
1108,19110.4
1490,19700.6
365,24301.3
265,26357
287,26222.1
1557,22775.9
358,24481.4
1036,19518.6
1293,16732.8
881,19689.2
582,28027.6
493,27472.8
809,21518.1
221,26913.9
113,28513
628,27723.8
1284,16863.1
174,26754.1
490,26568.5
585,28450.3
429,23476.1
1235,16097.3
18,27531.7
1054,20782.4
285,26291.7
964,18204.7
1370,17002.9
1315,18537.8
31,28514.1
1094,19408.4
210,26926.6
1305,17201.3
214,26326.7
548,27918.1
898,19968.4
1307,17651.2
326,23613.8
620,27515.2
1514,23006.3
188,25707.9
1380,17174.1
341,22952.2
597,28787.3
147,25824.7
1198,18079
1237,16244.6
83,28311.1
1079,19431.2
48,29012.3
1340,17936.1
155,26048.7
478,26410.6
1197,17396.9
1296,17095
1376,16877.9
1151,18450
1379,17111.7
1554,22504.7
567,29078.8
179,25945.3
1058,20075.7
1244,15354
1309,17763
497,27878.2
958,17655.9
906,19202.7
363,24781.6
672,24511
426,23742.5
1236,16302
1259,15944.6
346,23732.5
1091,19389.9
1466,19700.5
566,28755.3
721,23349.4
1357,17832.3
939,15165.6
1283,16543.1
693,25628.7
243,28319.4
892,19922.4
589,29166
677,24575.6
846,21067.6
988,21052.2
495,27692.3
435,24193.3
1489,19778.8
599,28742.6
308,23280.1
861,21853.1
430,23275.5
979,19094.8
398,25183
423,24455.4
370,25975.7
54,28523.3
843,22014.6
611,29268.3
1231,16646
312,23970.4
1280,16720.9
1023,19785.9
1219,16402.2
109,27498.8
526,30319.8
759,23550.1
100,26761.5
576,28637.5
736,23280.6
1444,19426.3
266,26676
745,23746.5
296,23263.7
578,28595.7
461,26415.1
