,feature,importance
20,year,0.751603
11,current_wuxi_year,0.0880963
32,dayofyear,0.0678004
140,cs_base_day_current_year,0.0339019
33,weekofyear,0.0153968
21,month,0.00491733
153,cs_base_month_current_month_minus,0.00415002
22,day,0.00282138
135,cs_base_hour_current_month_minus,0.00242174
81,current_month_pillar_minus_earthly_cos,0.0016013
7,current_month_pillar_minus,0.00114767
79,current_month_pillar_minus_heavenly_cos,0.00112088
61,current_month_pillar_heavenly_cos,0.00111046
80,current_month_pillar_minus_earthly_sin,0.00110026
159,cs_base_year_current_month_minus,0.00106995
4,current_month_pillar,0.00101727
145,cs_base_hour_minus_current_month,0.000950201
73,current_year_pillar_minus_heavenly_cos,0.000929464
10,current_wuxi_month,0.000924516
165,cs_base_month_minus_current_month_minus,0.000893684
163,cs_base_month_minus_current_month,0.000864312
141,cs_base_day_current_month_minus,0.000817634
76,current_month_pillar_minus_heavenly,0.00077252
133,cs_base_hour_current_month,0.000769602
157,cs_base_year_current_month,0.000746744
59,current_month_pillar_earthly,0.000665278
139,cs_base_day_current_month,0.000665028
67,current_year_pillar_heavenly_cos,0.000602458
151,cs_base_month_current_month,0.000599215
78,current_month_pillar_minus_heavenly_sin,0.000540956
60,current_month_pillar_heavenly_sin,0.000485454
77,current_month_pillar_minus_earthly,0.000467923
65,current_year_pillar_earthly,0.000452358
147,cs_base_hour_minus_current_month_minus,0.000390517
63,current_month_pillar_earthly_cos,0.000381806
58,current_month_pillar_heavenly,0.000328645
74,current_year_pillar_minus_earthly_sin,0.000315657
2,current_day_pillar_minus,0.000292492
6,current_year_pillar_minus,0.000289301
62,current_month_pillar_earthly_sin,0.000277682
51,current_day_pillar_minus_earthly_cos,0.000276027
64,current_year_pillar_heavenly,0.000269997
143,cs_base_hour_minus_current_day,0.000255585
5,current_year_pillar,0.000238686
70,current_year_pillar_minus_heavenly,0.000220208
66,current_year_pillar_heavenly_sin,0.000213476
158,cs_base_year_current_year,0.00021286
44,current_day_pillar_earthly_sin,0.000199592
41,current_day_pillar_earthly,0.000193263
9,current_wuxi_day,0.000192993
