,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date
0,2019-01-02 09:00:00+08:00,25856,25868,25011,25165,3062226,HSI,^HSI,16194460380197683981,2025-06-02 19:11:58.186475+08:00
1,2019-01-02 11:00:00+08:00,25165,25202,25079,25140,2644354,HSI,^HSI,11466208697269689930,2025-06-02 19:11:58.186475+08:00
2,2019-01-02 13:00:00+08:00,25141,25223,25067,25089,4504901,HSI,^HSI,986396129749649237,2025-06-02 19:11:58.186475+08:00
3,2019-01-02 15:00:00+08:00,25089,25113,24975,24975,6053092,HSI,^HSI,6560452597263169338,2025-06-02 19:11:58.186475+08:00
4,2019-01-02 17:00:00+08:00,25030,25090,25027,25063,4792578,HSI,^HSI,14358942522052837666,2025-06-02 19:11:58.186475+08:00
5,2019-01-02 19:00:00+08:00,25064,25147,25055,25106,4853251,HSI,^HSI,15860705169666996356,2025-06-02 19:11:58.186475+08:00
6,2019-01-02 21:00:00+08:00,25104,25198,25076,25168,6351911,HSI,^HSI,12408876628967444536,2025-06-02 19:11:58.186475+08:00
7,2019-01-02 23:00:00+08:00,25168,25363,25141,25308,2834831,HSI,^HSI,9471099588333029102,2025-06-02 19:11:58.186475+08:00
8,2019-01-03 09:00:00+08:00,25056,25238,24978,25042,5572572,HSI,^HSI,2803612590894823411,2025-06-02 19:11:58.186475+08:00
9,2019-01-03 11:00:00+08:00,25042,25048,24907,25023,7786989,HSI,^HSI,14682308764966996055,2025-06-02 19:11:58.186475+08:00
10,2019-01-03 13:00:00+08:00,25023,25058,24876,25031,3961869,HSI,^HSI,2445758255777616217,2025-06-02 19:11:58.186475+08:00
11,2019-01-03 15:00:00+08:00,25032,25092,24993,25057,6256230,HSI,^HSI,17534863057571779037,2025-06-02 19:11:58.186475+08:00
12,2019-01-03 17:00:00+08:00,25055,25081,25000,25033,4862325,HSI,^HSI,15915615008244957267,2025-06-02 19:11:58.186475+08:00
13,2019-01-03 19:00:00+08:00,25035,25112,24964,25094,8156519,HSI,^HSI,527974329389073849,2025-06-02 19:11:58.186475+08:00
14,2019-01-03 21:00:00+08:00,25097,25177,25094,25119,7296016,HSI,^HSI,3778286594814221461,2025-06-02 19:11:58.186475+08:00
15,2019-01-03 23:00:00+08:00,25118,25153,25005,25110,2583591,HSI,^HSI,12374621272771409190,2025-06-02 19:11:58.186475+08:00
16,2019-01-04 09:00:00+08:00,24920,25412,24893,25410,6259411,HSI,^HSI,2437129807591148197,2025-06-02 19:11:58.186475+08:00
17,2019-01-04 11:00:00+08:00,25410,25466,25357,25416,2040008,HSI,^HSI,15323579727640435255,2025-06-02 19:11:58.186475+08:00
18,2019-01-04 13:00:00+08:00,25410,25564,25373,25551,4222412,HSI,^HSI,1209625428077335508,2025-06-02 19:11:58.186475+08:00
19,2019-01-04 15:00:00+08:00,25552,25659,25535,25601,5850394,HSI,^HSI,8415851379550727990,2025-06-02 19:11:58.186475+08:00
20,2019-01-04 17:00:00+08:00,25600,25767,25588,25666,8565890,HSI,^HSI,1557689462495769705,2025-06-02 19:11:58.186475+08:00
21,2019-01-04 19:00:00+08:00,25667,25715,25635,25657,9669585,HSI,^HSI,8961056488698088382,2025-06-02 19:11:58.186475+08:00
22,2019-01-04 21:00:00+08:00,25655,25729,25594,25721,1946191,HSI,^HSI,8676231290107392652,2025-06-02 19:11:58.186475+08:00
23,2019-01-04 23:00:00+08:00,25720,25981,25679,25949,3261801,HSI,^HSI,394361667778001674,2025-06-02 19:11:58.186475+08:00
24,2019-01-07 09:00:00+08:00,26020,26098,25847,25927,8676394,HSI,^HSI,11688169072740038269,2025-06-02 19:11:58.186475+08:00
25,2019-01-07 11:00:00+08:00,25927,25934,25773,25822,4670487,HSI,^HSI,13202025699511737852,2025-06-02 19:11:58.186475+08:00
26,2019-01-07 13:00:00+08:00,25822,25886,25753,25806,6265260,HSI,^HSI,12648011028116730070,2025-06-02 19:11:58.186475+08:00
27,2019-01-07 15:00:00+08:00,25805,25874,25785,25865,9855184,HSI,^HSI,14450635966946329476,2025-06-02 19:11:58.186475+08:00
28,2019-01-07 17:00:00+08:00,25835,25835,25734,25780,5389094,HSI,^HSI,8019502484728664813,2025-06-02 19:11:58.186475+08:00
29,2019-01-07 19:00:00+08:00,25779,25838,25753,25822,2980895,HSI,^HSI,2787965922532880622,2025-06-02 19:11:58.186475+08:00
30,2019-01-07 21:00:00+08:00,25820,25833,25744,25819,6184285,HSI,^HSI,14255285352835428042,2025-06-02 19:11:58.186475+08:00
31,2019-01-07 23:00:00+08:00,25817,25903,25759,25896,2786397,HSI,^HSI,11845918431344656096,2025-06-02 19:11:58.186475+08:00
32,2019-01-08 09:00:00+08:00,25925,26006,25713,25932,8632736,HSI,^HSI,16148499934371833604,2025-06-02 19:11:58.186475+08:00
33,2019-01-08 11:00:00+08:00,25933,25976,25875,25945,8467592,HSI,^HSI,17281471338216516125,2025-06-02 19:11:58.186475+08:00
34,2019-01-08 13:00:00+08:00,25945,25981,25793,25880,5162348,HSI,^HSI,12149957778103636382,2025-06-02 19:11:58.186475+08:00
35,2019-01-08 15:00:00+08:00,25881,25938,25833,25903,8444475,HSI,^HSI,14886960348867663332,2025-06-02 19:11:58.186475+08:00
36,2019-01-08 17:00:00+08:00,25917,25990,25915,25986,3523773,HSI,^HSI,17096863856312984475,2025-06-02 19:11:58.186475+08:00
37,2019-01-08 19:00:00+08:00,25986,26058,25974,26044,4905242,HSI,^HSI,4261014881303360009,2025-06-02 19:11:58.186475+08:00
38,2019-01-08 21:00:00+08:00,26044,26181,26028,26133,8686767,HSI,^HSI,4347007231218100232,2025-06-02 19:11:58.186475+08:00
39,2019-01-08 23:00:00+08:00,26135,26167,26012,26055,2164922,HSI,^HSI,14599739316383807508,2025-06-02 19:11:58.186475+08:00
40,2019-01-09 09:00:00+08:00,26179,26605,26168,26552,6427166,HSI,^HSI,2247701947008864342,2025-06-02 19:11:58.186475+08:00
41,2019-01-09 11:00:00+08:00,26553,26571,26480,26571,1047167,HSI,^HSI,8255401244700064066,2025-06-02 19:11:58.186475+08:00
42,2019-01-09 13:00:00+08:00,26571,26652,26436,26456,1885129,HSI,^HSI,15972321446435898996,2025-06-02 19:11:58.186475+08:00
43,2019-01-09 15:00:00+08:00,26455,26522,26422,26515,2660977,HSI,^HSI,6324410915393302061,2025-06-02 19:11:58.186475+08:00
