,target
12983,20760
8031,18684
1041,28609
5758,25845
6778,22960
2517,22090
2221,27081
11772,18196
8885,21681
10210,18020
10838,17065
8060,17998
8081,17829
9100,19540
10747,16259
960,28874
3013,24736
10036,18244
10854,16687
8970,20316
883,28108
5478,27664
7744,19752
9978,19236
3822,24529
6926,21723
12906,19478
8466,17654
5556,26097
12073,17685
12485,18900
4342,28208
10587,17485
3014,24708
4216,26454
2450,26459
9411,20207
7963,19049
7508,22103
9636,19421
11716,18782
8938,20764
1160,26100
11173,16626
8276,15192
10851,16722
12210,16981
2154,28752
3693,23584
8593,19360
10692,16693
2742,23897
8500,18805
4960,28980
13069,22727
4024,26332
10440,17158
7095,20926
13353,23209
4106,26583
1147,27608
8396,17838
3679,23704
11077,16158
9781,18424
11587,18527
7174,21001
1886,27000
4026,26406
1339,25441
13381,19936
3485,25073
2796,23336
5852,24820
4104,26570
6690,25017
1501,26003
11491,16050
3988,26204
5434,28012
2932,23398
9393,19880
11601,18267
10490,17366
9008,20351
7921,19853
6821,22386
8446,17690
11124,16363
6611,24331
11861,17916
5466,27292
10879,16593
11851,18124
7502,21596
3465,25195
9753,19343
6605,24661
9396,20033
10596,17750
8271,15422
13432,20908
4127,26329
4981,28613
1472,26260
7908,19740
5687,25576
5271,28635
4608,28955
3997,26468
13396,20621
8324,16505
4614,29201
5062,27693
2210,27824
7169,20866
578,29937
1511,25986
10480,17084
12129,17038
3540,24940
3467,25159
414,29285
6724,24657
11167,16790
12951,19801
4629,29471
426,28901
621,29478
2094,28242
4714,28999
2380,26770
12440,17342
2340,27879
265,28507
12167,17314
10537,17620
3000,24347
6496,22836
12549,22622
5186,28819
7627,20247
5689,25742
11674,19200
2088,28295
13051,21955
2142,29030
4751,28948
9834,19032
4129,26516
1082,28403
1671,26721
2874,23841
2966,22897
4635,29446
6417,23189
9394,19904
9418,19722
1971,26637
2608,23256
8420,17735
7794,19825
5372,27893
694,28047
12973,20137
11503,16520
6319,23700
6282,23818
4325,27925
9842,18982
10798,16569
11010,16001
7144,19711
11142,16264
7438,21148
4936,28939
8515,19376
7801,20122
8452,17604
6491,23159
11741,18009
12413,16969
11272,17136
3703,23357
1463,26496
5987,25225
376,28941
7787,19485
10292,17980
2216,27218
3852,24860
11785,18361
9617,19387
2909,24340
8972,20555
9965,19412
12352,17741
3821,24594
6818,22312
12622,19620
10450,17278
2392,26694
12635,19431
2484,25290
7773,20043
7578,21715
10876,16589
2046,27850
12530,22473
1254,26346
952,28932
12728,20062
12325,17694
3455,25434
8156,17149
10859,16611
11216,16606
1718,27167
10497,17696
8028,18582
9197,20066
2996,24161
4665,28871
9740,18932
12044,18216.4
12777,19824
4919,28530
3838,24561
3833,24502
2564,21843
3728,23353
8034,18816
4401,29676
1536,26143
1056,28471
1146,27503
9582,18989
1937,26240
5703,25242
1031,28564
7915,19415
6108,24941
12052,18001
5430,27771
4794,28386
13434,21229
2543,21841
96,27030
2474,24753
2684,24522
2522,22956
6853,20936
4257,26544
2239,26142
4035,26517
11437,16977
7220,19769
1042,28622
2389,26783
8574,19742
8485,19012
1592,26471
2391,26633
5239,28830
7332,20590
12457,17897
6825,22291
13131,23778
3038,24940
3616,24413
13337,23074
2901,24340
3,25063
5863,24112
4096,26567
11739,18306
12424,17253
3837,24575
9507,19406
9159,20069
3366,24630
6208,25020
9564,18887
439,28602
8614,19093
8849,21643
12614,19172
8908,21340
12646,19636
10022,18299
13170,23084
8673,20296
88,27008
12537,22438
2576,23195
5836,24721
8653,19872
8231,16230
4720,28979
274,28890
1281,25974
5344,28630
10711,16247
10950,15295
6405,22842
8530,19075
6624,24432
9463,19834
8672,20330
9434,19707
6167,25278
7855,19585
6498,23049
415,29322
9107,19333
2250,26274
8871,21187
9084,19468
3386,24809
10261,17739
710,27687
5284,28447
9566,18952
407,29524
13505,22012
7607,20900
11136,16134
4269,27225
4040,26496
2893,24439
13310,23474
5333,28924
9217,20397
6861,20625
10580,17829
13040,21889
4684,29252
12860,19322
10412,17393
8233,16245
1523,25983
4464,29379
1110,28388
12250,17163
1406,27042
9039,20619
8671,20207
5107,28332
9859,19087
12025,17472
7800,20243
8170,16897
2559,21975
11092,15887
12474,18199
9953,19545
5748,26041
633,29863
4192,26462
8630,19583
2168,28982
