,time,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code,uuid,last_modified_date
0,2025-06-04 03:28:54.079686+08:00,丙寅,甲辰,己酉,辛未,丙申,乙巳,庚子,辛卯,丙寅,甲辰,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11324546406998964219,2025-06-02 19:28:56.044974+08:00
1,2025-06-05 03:28:54.079686+08:00,戊寅,乙巳,庚戌,癸未,丙申,乙巳,庚子,辛卯,戊寅,乙巳,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11910208697957146732,2025-06-02 19:28:56.044974+08:00
2,2025-06-06 03:28:54.079686+08:00,庚寅,丙午,辛丑,乙酉,壬午,庚申,乙丑,丁亥,庚寅,丙午,壬午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,12114955967952155384,2025-06-02 19:28:56.044974+08:00
3,2025-06-09 03:28:54.079686+08:00,丙寅,己酉,甲辰,辛酉,壬午,庚申,乙丑,丁亥,丙寅,己酉,丁午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,13291096379347186053,2025-06-02 19:28:56.044974+08:00
4,2025-06-10 03:28:54.079686+08:00,戊寅,庚戌,乙巳,癸酉,壬午,庚申,乙丑,丁亥,戊寅,庚戌,丁午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,3509046738818612259,2025-06-02 19:28:56.044974+08:00
5,2025-06-11 03:28:54.079686+08:00,庚寅,辛亥,丙午,乙酉,壬午,庚申,乙丑,丁亥,庚寅,辛亥,丁午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,8954143267182061599,2025-06-02 19:28:56.044974+08:00
6,2025-06-12 03:28:54.079686+08:00,壬寅,壬子,丁未,丁酉,壬午,庚申,乙丑,丁亥,壬寅,壬子,戊午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,10859901999318419352,2025-06-02 19:28:56.044974+08:00
7,2025-06-13 03:28:54.079686+08:00,甲寅,癸丑,戊申,己酉,壬午,庚申,乙丑,丁亥,甲寅,癸丑,戊午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,9932285967537352047,2025-06-02 19:28:56.044974+08:00
8,2025-06-16 03:28:54.079686+08:00,庚寅,丙辰,辛亥,乙酉,壬午,庚申,乙丑,丁亥,庚寅,丙辰,癸午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,16851122613246390197,2025-06-02 19:28:56.044974+08:00
9,2025-06-17 03:28:54.079686+08:00,壬寅,丁巳,壬子,丁酉,壬午,庚申,乙丑,丁亥,壬寅,丁巳,癸午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4582795281822673328,2025-06-02 19:28:56.044974+08:00
10,2025-06-18 03:28:54.079686+08:00,甲寅,戊午,癸丑,己酉,壬午,庚申,乙丑,丁亥,甲寅,戊午,癸午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,16725497938850538206,2025-06-02 19:28:56.044974+08:00
11,2025-06-19 03:28:54.079686+08:00,丙寅,己未,甲寅,辛酉,壬午,庚申,乙丑,丁亥,丙寅,己未,甲午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,17617723182965060109,2025-06-02 19:28:56.044974+08:00
12,2025-06-20 03:28:54.079686+08:00,戊寅,庚申,乙卯,癸酉,壬午,庚申,乙丑,丁亥,戊寅,庚申,甲午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,7614235455648684720,2025-06-02 19:28:56.044974+08:00
13,2025-06-23 03:28:54.079686+08:00,甲寅,癸亥,戊午,己酉,丁酉,庚申,乙丑,壬寅,甲寅,癸亥,己酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,18209278096525617769,2025-06-02 19:28:56.044974+08:00
14,2025-06-24 03:28:54.079686+08:00,丙寅,甲子,己未,辛酉,丁酉,庚申,乙丑,壬寅,丙寅,甲子,己酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,16359386095183956240,2025-06-02 19:28:56.044974+08:00
15,2025-06-25 03:28:54.079686+08:00,戊寅,乙丑,庚申,癸酉,丁酉,庚申,乙丑,壬寅,戊寅,乙丑,庚酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,10579517126531217035,2025-06-02 19:28:56.044974+08:00
16,2025-06-26 03:28:54.079686+08:00,庚寅,丙寅,辛酉,乙酉,丁酉,庚申,乙丑,壬寅,庚寅,丙寅,庚酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,8019770455078476234,2025-06-02 19:28:56.044974+08:00
17,2025-06-27 03:28:54.079686+08:00,壬寅,丁卯,壬戌,丁酉,丁酉,庚申,乙丑,壬寅,壬寅,丁卯,庚酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11722344706146985956,2025-06-02 19:28:56.044974+08:00
18,2025-06-30 03:28:54.079686+08:00,戊寅,庚午,乙丑,癸酉,丁酉,庚申,乙丑,壬寅,戊寅,庚午,乙酉,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11761248320820998510,2025-06-02 19:28:56.044974+08:00
