,time,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code,uuid,last_modified_date
0,2025-06-04 04:16:24.178158+08:00,丙寅,甲辰,己酉,辛未,丙申,乙巳,庚子,辛卯,癸巳,甲辰,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,12055127712942083394,2025-06-02 20:16:26.920954+08:00
1,2025-06-05 04:16:24.178158+08:00,戊寅,乙巳,庚戌,癸未,丙申,乙巳,庚子,辛卯,乙巳,乙巳,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11128469147984087026,2025-06-02 20:16:26.920954+08:00
2,2025-06-06 04:16:24.178158+08:00,庚寅,丙午,辛丑,乙酉,壬午,庚申,乙丑,丁亥,丁巳,丙午,壬午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,15748525511578774549,2025-06-02 20:16:26.920954+08:00
3,2025-06-09 04:16:24.178158+08:00,丙寅,己酉,甲辰,辛酉,壬午,庚申,乙丑,丁亥,癸巳,己酉,丁午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11374402037938681127,2025-06-02 20:16:26.920954+08:00
4,2025-06-10 04:16:24.178158+08:00,戊寅,庚戌,乙巳,癸酉,壬午,庚申,乙丑,丁亥,乙巳,庚戌,丁午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,7146783667224439535,2025-06-02 20:16:26.920954+08:00
5,2025-06-11 04:16:24.178158+08:00,庚寅,辛亥,丙午,乙酉,壬午,庚申,乙丑,丁亥,丁巳,辛亥,丁午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4833236197700504309,2025-06-02 20:16:26.920954+08:00
6,2025-06-12 04:16:24.178158+08:00,壬寅,壬子,丁未,丁酉,壬午,庚申,乙丑,丁亥,己巳,壬子,戊午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,776104447833304312,2025-06-02 20:16:26.920954+08:00
7,2025-06-13 04:16:24.178158+08:00,甲寅,癸丑,戊申,己酉,壬午,庚申,乙丑,丁亥,辛巳,癸丑,戊午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11059801505418527509,2025-06-02 20:16:26.920954+08:00
8,2025-06-16 04:16:24.178158+08:00,庚寅,丙辰,辛亥,乙酉,壬午,庚申,乙丑,丁亥,丁巳,丙辰,癸午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4942694575591831515,2025-06-02 20:16:26.920954+08:00
9,2025-06-17 04:16:24.178158+08:00,壬寅,丁巳,壬子,丁酉,壬午,庚申,乙丑,丁亥,己巳,丁巳,癸午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,8351311295921832122,2025-06-02 20:16:26.920954+08:00
