,target
1113,28453
7824,19813
12240,17126
4984,28542
5437,27925
9174,19649
4122,26914
10115,18494
4679,28930
4094,26589
565,30109
9118,19513
1803,26308
10498,17656
7626,20285
1642,26800
6431,23211
2861,24149
8679,20879
2613,23328
7146,19958
46,26577
1149,26806
5250,28489
8830,22076
8483,18946
765,27228
8265,15623
11218,16512
1566,25753
9850,19014
8596,19407
6720,24649
10401,17665
7834,19835
2927,22578
9558,18464
9330,19829
8868,21331
1011,28340
7722,20068
10548,17316
6834,21708
9100,19540
2684,24522
9513,19236
11539,17617
3079,24351
6373,23680
10923,16240
7250,19961
3035,25014
3334,24858
10868,16687
7637,20824
6703,24761
10977,14984
7881,19426
8574,19742
1345,25491
1444,26789
7198,20156
10984,15311
11857,18018
7505,21781
2422,25803
80,26798
9962,19567
3193,26040
335,29052
12629,19423
12292,17373
7127,20110
1572,25809
8760,21629
11090,15953
879,28056
3105,24455
10937,15918
1509,25988
1896,26394
5212,28690
7530,21881
7110,20593
6877,20547
1845,26536
111,26997
472,29114
10184,18046
7182,20731
7701,20612
8077,17843
5601,26420
7013,22026
10651,17338
1183,25863
10490,17366
7316,20183
7420,20917
5681,25284
2108,28042
7524,22033
4441,28539
2924,22854
7149,19882
4702,28772
7306,20029
5716,25364
10079,18121
10508,18010
4653,28853
3684,23575
6434,23316
3794,24570
11267,16694
4989,28086
10973,15017
12417,17111
12232,17099
8268,15608
5025,28670
3290,25233
1193,26179
45,26603
976,28903
10386,17886
7445,20835
1578,26102
7247,19803
5478,27664
9985,19063
1584,26557
4560,30676
11369,16421
10928,16250
4191,26449
11554,17777
7752,20141
6440,23289
5272,28645
315,28982
10982,15347
5748,26041
10980,15141
9995,19073
6779,22891
1624,26834
6110,25082
3599,24417
5914,24484
4618,29394
3751,23935
2992,24544
9364,19889
4714,28999
1071,28768
9763,18978
12572,21208
11600,18356
2404,26555
10633,17591
6114,25195
409,29433
6983,21832
37,26133
3297,25230
576,29961
11407,16741
8925,20857
8166,16864
713,27622
12488,19223
10625,17914
1087,28459
7615,20854
2335,27895
4553,30331
2788,24677
8334,16587
1454,26401
5206,28744
8091,17318
10006,18678
881,28121
1710,26846
3887,24491
8395,18059
2837,24607
5358,28320
3550,24965
2245,26276
3909,24455
9648,19916
5766,26045
5924,24467
3894,24483
7533,21968
7238,19753
239,28350
3573,24675
4847,28634
8094,17572
1597,26540
7563,21506
1097,28549
394,29255
9236,20312
1901,26410
8187,16933
11546,17828
1180,25943
6551,24387
1911,26360
5389,27100
8373,17599
2214,27894
7925,19694
10924,16372
8116,17105
4192,26462
3352,24553
3265,25202
4960,28980
4982,28530
3710,23056
11298,16755
2952,22898
5809,25659
1691,26756
7965,18967
12672,19653
123,27097
7516,21981
1952,26516
12567,21562
8892,21239
10364,18289
6867,20845
3154,24163
3033,25017
8441,17618
7748,19932
906,28424
5349,28648
11877,17964
10681,16769
6128,24721
4442,28556
12685,19856
10354,17930
9271,20458
1891,26892
5363,28106
12253,17009
11327,16610
295,28785
1046,28542
12362,17643
9306,20416
6889,19555
1785,26910
9837,19021
286,28818
12153,17036
8267,15647
1758,27938
10372,17811
1284,25972
5082,28013
5692,25597
11629,19092
4098,26644
6820,22420
8625,19689
6697,24799
7988,19457
12110,17359
549,29700
10763,16698
3118,24992
4450,28302
6606,24449
5151,29192
4604,28959
11442,17073
11236,16466
4991,28133
3860,24919
2586,23491
11323,16580
11586,18615
7367,20995
5353,28149
9448,19421
5235,28805
4684,29252
12517,20930
2377,27280
10501,17826
8572,19666
7738,19913
4949,28876
10575,18288
8539,19596
5598,26429
3421,24785
6149,24758
5156,29042
3692,23574
3902,24172
2585,23337
1303,25703
8253,15159
6387,23587
3851,24863
5970,25023
5100,28226
3244,25628
8735,21592
5561,26369
11828,18345
8294,15199
8748,21937
1613,26735
10064,17655
7219,19730
8743,21689
10245,17791
5972,25339
3717,23495
8054,18172
10410,17332
6775,23395
467,29030
10495,17658
7030,22211
7690,20823
6690,25017
6343,24108
106,27240
6790,22838
5605,26545
2638,23100
3574,24651
11306,16737
11732,18126
7464,21114
411,29389
6608,24206
7623,20602
10957,15372
10831,17155
9056,20031
4281,27478
5814,25812
3143,24151
10580,17829
1503,25940
12737,19754
5130,28916
6500,23116
4139,26296
4216,26454
8861,21094
10117,18548
3601,24449
1862,27025
9045,20884
9663,19896
5493,27060
2360,27342
8668,20190
8336,16578
