,date,weekday
0,2025-06-04 04:33:03.270297+08:00,Wednesday
1,2025-06-05 04:33:03.270297+08:00,Thursday
2,2025-06-06 04:33:03.270297+08:00,Friday
3,2025-06-09 04:33:03.270297+08:00,Monday
4,2025-06-10 04:33:03.270297+08:00,Tuesday
5,2025-06-11 04:33:03.270297+08:00,Wednesday
6,2025-06-12 04:33:03.270297+08:00,Thursday
7,2025-06-13 04:33:03.270297+08:00,Friday
8,2025-06-16 04:33:03.270297+08:00,Monday
9,2025-06-17 04:33:03.270297+08:00,Tuesday
10,2025-06-18 04:33:03.270297+08:00,Wednesday
11,2025-06-19 04:33:03.270297+08:00,Thursday
12,2025-06-20 04:33:03.270297+08:00,Friday
13,2025-06-23 04:33:03.270297+08:00,Monday
14,2025-06-24 04:33:03.270297+08:00,Tuesday
15,2025-06-25 04:33:03.270297+08:00,Wednesday
16,2025-06-26 04:33:03.270297+08:00,Thursday
17,2025-06-27 04:33:03.270297+08:00,Friday
18,2025-06-30 04:33:03.270297+08:00,Monday
19,2025-07-01 04:33:03.270297+08:00,Tuesday
20,2025-07-02 04:33:03.270297+08:00,Wednesday
21,2025-07-03 04:33:03.270297+08:00,Thursday
22,2025-07-04 04:33:03.270297+08:00,Friday
23,2025-07-07 04:33:03.270297+08:00,Monday
24,2025-07-08 04:33:03.270297+08:00,Tuesday
25,2025-07-09 04:33:03.270297+08:00,Wednesday
26,2025-07-10 04:33:03.270297+08:00,Thursday
27,2025-07-11 04:33:03.270297+08:00,Friday
28,2025-07-14 04:33:03.270297+08:00,Monday
29,2025-07-15 04:33:03.270297+08:00,Tuesday
30,2025-07-16 04:33:03.270297+08:00,Wednesday
31,2025-07-17 04:33:03.270297+08:00,Thursday
32,2025-07-18 04:33:03.270297+08:00,Friday
33,2025-07-21 04:33:03.270297+08:00,Monday
34,2025-07-22 04:33:03.270297+08:00,Tuesday
35,2025-07-23 04:33:03.270297+08:00,Wednesday
36,2025-07-24 04:33:03.270297+08:00,Thursday
37,2025-07-25 04:33:03.270297+08:00,Friday
38,2025-07-28 04:33:03.270297+08:00,Monday
39,2025-07-29 04:33:03.270297+08:00,Tuesday
40,2025-07-30 04:33:03.270297+08:00,Wednesday
41,2025-07-31 04:33:03.270297+08:00,Thursday
42,2025-08-01 04:33:03.270297+08:00,Friday
43,2025-08-04 04:33:03.270297+08:00,Monday
44,2025-08-05 04:33:03.270297+08:00,Tuesday
45,2025-08-06 04:33:03.270297+08:00,Wednesday
46,2025-08-07 04:33:03.270297+08:00,Thursday
47,2025-08-08 04:33:03.270297+08:00,Friday
48,2025-08-11 04:33:03.270297+08:00,Monday
49,2025-08-12 04:33:03.270297+08:00,Tuesday
50,2025-08-13 04:33:03.270297+08:00,Wednesday
51,2025-08-14 04:33:03.270297+08:00,Thursday
52,2025-08-15 04:33:03.270297+08:00,Friday
53,2025-08-18 04:33:03.270297+08:00,Monday
54,2025-08-19 04:33:03.270297+08:00,Tuesday
55,2025-08-20 04:33:03.270297+08:00,Wednesday
56,2025-08-21 04:33:03.270297+08:00,Thursday
57,2025-08-22 04:33:03.270297+08:00,Friday
58,2025-08-25 04:33:03.270297+08:00,Monday
59,2025-08-26 04:33:03.270297+08:00,Tuesday
60,2025-08-27 04:33:03.270297+08:00,Wednesday
61,2025-08-28 04:33:03.270297+08:00,Thursday
62,2025-08-29 04:33:03.270297+08:00,Friday
63,2025-09-01 04:33:03.270297+08:00,Monday
64,2025-09-02 04:33:03.270297+08:00,Tuesday
65,2025-09-03 04:33:03.270297+08:00,Wednesday
66,2025-09-04 04:33:03.270297+08:00,Thursday
67,2025-09-05 04:33:03.270297+08:00,Friday
68,2025-09-08 04:33:03.270297+08:00,Monday
69,2025-09-09 04:33:03.270297+08:00,Tuesday
70,2025-09-10 04:33:03.270297+08:00,Wednesday
71,2025-09-11 04:33:03.270297+08:00,Thursday
72,2025-09-12 04:33:03.270297+08:00,Friday
73,2025-09-15 04:33:03.270297+08:00,Monday
74,2025-09-16 04:33:03.270297+08:00,Tuesday
75,2025-09-17 04:33:03.270297+08:00,Wednesday
76,2025-09-18 04:33:03.270297+08:00,Thursday
77,2025-09-19 04:33:03.270297+08:00,Friday
78,2025-09-22 04:33:03.270297+08:00,Monday
79,2025-09-23 04:33:03.270297+08:00,Tuesday
80,2025-09-24 04:33:03.270297+08:00,Wednesday
81,2025-09-25 04:33:03.270297+08:00,Thursday
82,2025-09-26 04:33:03.270297+08:00,Friday
83,2025-09-29 04:33:03.270297+08:00,Monday
84,2025-09-30 04:33:03.270297+08:00,Tuesday
85,2025-10-01 04:33:03.270297+08:00,Wednesday
86,2025-10-02 04:33:03.270297+08:00,Thursday
87,2025-10-03 04:33:03.270297+08:00,Friday
88,2025-10-06 04:33:03.270297+08:00,Monday
89,2025-10-07 04:33:03.270297+08:00,Tuesday
90,2025-10-08 04:33:03.270297+08:00,Wednesday
91,2025-10-09 04:33:03.270297+08:00,Thursday
92,2025-10-10 04:33:03.270297+08:00,Friday
93,2025-10-13 04:33:03.270297+08:00,Monday
94,2025-10-14 04:33:03.270297+08:00,Tuesday
95,2025-10-15 04:33:03.270297+08:00,Wednesday
96,2025-10-16 04:33:03.270297+08:00,Thursday
97,2025-10-17 04:33:03.270297+08:00,Friday
98,2025-10-20 04:33:03.270297+08:00,Monday
99,2025-10-21 04:33:03.270297+08:00,Tuesday
100,2025-10-22 04:33:03.270297+08:00,Wednesday
101,2025-10-23 04:33:03.270297+08:00,Thursday
102,2025-10-24 04:33:03.270297+08:00,Friday
103,2025-10-27 04:33:03.270297+08:00,Monday
104,2025-10-28 04:33:03.270297+08:00,Tuesday
105,2025-10-29 04:33:03.270297+08:00,Wednesday
106,2025-10-30 04:33:03.270297+08:00,Thursday
107,2025-10-31 04:33:03.270297+08:00,Friday
108,2025-11-03 04:33:03.270297+08:00,Monday
109,2025-11-04 04:33:03.270297+08:00,Tuesday
110,2025-11-05 04:33:03.270297+08:00,Wednesday
111,2025-11-06 04:33:03.270297+08:00,Thursday
112,2025-11-07 04:33:03.270297+08:00,Friday
113,2025-11-10 04:33:03.270297+08:00,Monday
114,2025-11-11 04:33:03.270297+08:00,Tuesday
115,2025-11-12 04:33:03.270297+08:00,Wednesday
116,2025-11-13 04:33:03.270297+08:00,Thursday
117,2025-11-14 04:33:03.270297+08:00,Friday
118,2025-11-17 04:33:03.270297+08:00,Monday
119,2025-11-18 04:33:03.270297+08:00,Tuesday
120,2025-11-19 04:33:03.270297+08:00,Wednesday
121,2025-11-20 04:33:03.270297+08:00,Thursday
122,2025-11-21 04:33:03.270297+08:00,Friday
123,2025-11-24 04:33:03.270297+08:00,Monday
124,2025-11-25 04:33:03.270297+08:00,Tuesday
125,2025-11-26 04:33:03.270297+08:00,Wednesday
126,2025-11-27 04:33:03.270297+08:00,Thursday
127,2025-11-28 04:33:03.270297+08:00,Friday
128,2025-12-01 04:33:03.270297+08:00,Monday
129,2025-12-02 04:33:03.270297+08:00,Tuesday
130,2025-12-03 04:33:03.270297+08:00,Wednesday
131,2025-12-04 04:33:03.270297+08:00,Thursday
132,2025-12-05 04:33:03.270297+08:00,Friday
133,2025-12-08 04:33:03.270297+08:00,Monday
134,2025-12-09 04:33:03.270297+08:00,Tuesday
135,2025-12-10 04:33:03.270297+08:00,Wednesday
136,2025-12-11 04:33:03.270297+08:00,Thursday
137,2025-12-12 04:33:03.270297+08:00,Friday
138,2025-12-15 04:33:03.270297+08:00,Monday
139,2025-12-16 04:33:03.270297+08:00,Tuesday
140,2025-12-17 04:33:03.270297+08:00,Wednesday
141,2025-12-18 04:33:03.270297+08:00,Thursday
142,2025-12-19 04:33:03.270297+08:00,Friday
143,2025-12-22 04:33:03.270297+08:00,Monday
144,2025-12-23 04:33:03.270297+08:00,Tuesday
145,2025-12-24 04:33:03.270297+08:00,Wednesday
146,2025-12-25 04:33:03.270297+08:00,Thursday
147,2025-12-26 04:33:03.270297+08:00,Friday
148,2025-12-29 04:33:03.270297+08:00,Monday
149,2025-12-30 04:33:03.270297+08:00,Tuesday
150,2025-12-31 04:33:03.270297+08:00,Wednesday
151,2026-01-01 04:33:03.270297+08:00,Thursday
152,2026-01-02 04:33:03.270297+08:00,Friday
153,2026-01-05 04:33:03.270297+08:00,Monday
154,2026-01-06 04:33:03.270297+08:00,Tuesday
155,2026-01-07 04:33:03.270297+08:00,Wednesday
156,2026-01-08 04:33:03.270297+08:00,Thursday
157,2026-01-09 04:33:03.270297+08:00,Friday
158,2026-01-12 04:33:03.270297+08:00,Monday
159,2026-01-13 04:33:03.270297+08:00,Tuesday
160,2026-01-14 04:33:03.270297+08:00,Wednesday
161,2026-01-15 04:33:03.270297+08:00,Thursday
162,2026-01-16 04:33:03.270297+08:00,Friday
163,2026-01-19 04:33:03.270297+08:00,Monday
164,2026-01-20 04:33:03.270297+08:00,Tuesday
165,2026-01-21 04:33:03.270297+08:00,Wednesday
166,2026-01-22 04:33:03.270297+08:00,Thursday
167,2026-01-23 04:33:03.270297+08:00,Friday
168,2026-01-26 04:33:03.270297+08:00,Monday
169,2026-01-27 04:33:03.270297+08:00,Tuesday
170,2026-01-28 04:33:03.270297+08:00,Wednesday
171,2026-01-29 04:33:03.270297+08:00,Thursday
172,2026-01-30 04:33:03.270297+08:00,Friday
173,2026-02-02 04:33:03.270297+08:00,Monday
174,2026-02-03 04:33:03.270297+08:00,Tuesday
175,2026-02-04 04:33:03.270297+08:00,Wednesday
176,2026-02-05 04:33:03.270297+08:00,Thursday
177,2026-02-06 04:33:03.270297+08:00,Friday
178,2026-02-09 04:33:03.270297+08:00,Monday
179,2026-02-10 04:33:03.270297+08:00,Tuesday
180,2026-02-11 04:33:03.270297+08:00,Wednesday
181,2026-02-12 04:33:03.270297+08:00,Thursday
182,2026-02-13 04:33:03.270297+08:00,Friday
183,2026-02-16 04:33:03.270297+08:00,Monday
184,2026-02-17 04:33:03.270297+08:00,Tuesday
185,2026-02-18 04:33:03.270297+08:00,Wednesday
186,2026-02-19 04:33:03.270297+08:00,Thursday
187,2026-02-20 04:33:03.270297+08:00,Friday
188,2026-02-23 04:33:03.270297+08:00,Monday
189,2026-02-24 04:33:03.270297+08:00,Tuesday
190,2026-02-25 04:33:03.270297+08:00,Wednesday
191,2026-02-26 04:33:03.270297+08:00,Thursday
192,2026-02-27 04:33:03.270297+08:00,Friday
193,2026-03-02 04:33:03.270297+08:00,Monday
194,2026-03-03 04:33:03.270297+08:00,Tuesday
195,2026-03-04 04:33:03.270297+08:00,Wednesday
196,2026-03-05 04:33:03.270297+08:00,Thursday
197,2026-03-06 04:33:03.270297+08:00,Friday
