,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
current_hour_pillar,1,0.10062,0.101471,-0.100803,-0.00273575,-0.000800335,-0.0047593,0.0129434,0.0969283,0.0995528,-0.00748304,-0.00438681,,,,,,,,,-0.0059764,-0.00997001,,0.00665498,-0.00365868,-0.0425925,0.0409428,0.0453837,0.0216497,,-0.000290766,-0.00677066,-0.0100737,1,,-0.0720172,0.0490804,,,0.0998541,0.0100707,0.00109181,0.00501218,-0.00289841,-0.00772967,0.100428,0.0128811,-0.00109181,-0.00501218,0.000477044,0.00471476,-0.100035,-0.0131113,0.0720172,-0.0490804,0.0131113,0.00681788,-0.00228701,-0.00444531,0.00815209,-0.00191712,-0.000822518,-0.0017539,-0.00291731,0.00748683,-0.00450802,0.000165245,-0.00153396,-0.0018678,-0.00539896,0.00555786,0.00450802,-0.000165245,0.00601899,0.00142045,0.0125308,0.0042153,-0.00815209,0.00191712,-0.00312768,0.00662263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00546882,-0.0131113,-0.00231797,0.00983991,-0.000978465,,0.0021744,0.0131113,-0.00158633,-0.00691799,-0.00721326,,-0.00453482,-0.0131113,0.00578517,0.00111518,0.00155158,,-0.00110703,-0.0131113,0.00150133,1.5343e-05,-0.00270931,,0.0025,0.0131113,0.00660225,-0.0141777,0.00331895,,0.00123393,0.0131113,-0.00758248,-0.000355806,-0.00526149,-0.00281374
current_day_pillar,0.10062,1,-0.157292,-0.158683,0.00444417,0.00340319,-0.0086832,0.0083901,0.318309,0.992816,0.00237264,-0.00473361,,,,,,,,,0.00604401,-0.0196088,,0.00195824,0.00319553,0.0126523,-0.000122564,0.0298025,0.0253309,,0.0127148,0.00435225,0.00124779,0.10062,,-0.113921,0.337389,,,0.995116,0.0796537,-0.658401,0.0271143,-0.0226876,-0.0323266,-0.159229,0.0187792,0.658401,-0.0271143,0.0283332,0.0192395,-0.161084,-0.000280574,0.113921,-0.337389,0.000280574,0.00351727,0.0039839,0.00656736,-0.0125331,0.00289447,-0.0108284,-0.00724424,0.00415554,-0.00701515,-0.00225386,0.00860526,0.00728673,0.00479918,-0.00783673,0.00389516,0.00225386,-0.00860526,-0.0111089,-0.00469006,0.00880701,-0.000934644,0.0125331,-0.00289447,0.0155955,0.00479003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0208576,-0.000280574,0.00121138,-0.00078993,0.0234942,,0.00455117,0.000280574,0.00174166,0.00058691,-0.0100597,,-0.0232625,-0.000280574,-0.00507074,-0.000485951,0.0209766,,-0.0196198,-0.000280574,0.0052671,-0.00395747,0.0186627,,0.00790722,0.000280574,-0.00396992,0.00302826,-0.0291741,,0.0175536,0.000280574,0.00479069,0.00324942,-0.0115219,0.0015365
current_day_pillar_minus,0.101471,-0.157292,1,-0.165291,-0.000814777,-0.00393408,-0.00182598,-0.00405321,0.320314,-0.160265,-0.0260721,7.50758e-05,,,,,,,,,-0.00264651,0.0145597,,0.00802634,-0.00375283,0.0162203,0.0320967,0.0255603,0.0435237,,0.0151716,-0.00145664,-0.00107712,0.101471,,-0.121562,0.342122,,,-0.158248,0.00731974,0.660289,-0.0284333,0.0374943,0.0230538,0.995146,0.0805087,-0.660289,0.0284333,-0.0492821,-0.0309305,-0.168472,0.00353675,0.121562,-0.342122,-0.00353675,-0.00253299,0.000631439,-0.0136675,0.00708931,0.00355442,0.000395015,0.00393246,-0.00376006,-0.000406852,-0.00112725,0.00262968,0.00527366,0.0032165,-0.00264366,0.00314428,0.00112725,-0.00262968,-0.00598603,-0.00468819,-0.00195159,-0.024136,-0.00708931,-0.00355442,-0.00738167,-0.00590744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00732911,0.00353675,0.0102846,-4.51628e-05,0.00567722,,0.0342426,-0.00353675,-0.0160372,0.000721305,-0.0165082,,-0.000376152,0.00353675,0.00334082,-0.00395348,-0.00342157,,-0.039282,0.00353675,0.00164086,-0.00762673,0.00793539,,0.0165417,-0.00353675,-0.005141,0.0031836,-0.00835726,,0.0215295,-0.00353675,-0.00473891,0.00553042,-0.00726377,-0.000346502
current_hour_pillar_minus,-0.100803,-0.158683,-0.165291,1,0.00396055,0.0268738,0.0130052,-0.0197781,0.295646,-0.158161,0.00928331,0.0293502,,,,,,,,,0.0101751,-0.00715973,,0.00186849,0.0125166,-0.0330837,-0.0473508,-0.0182309,-0.0410387,,-0.0452546,0.00940605,0.0123784,-0.100803,,0.980491,0.0010437,,,-0.159587,0.0023891,-0.00545102,-0.00648849,-0.00478825,0.0139799,-0.166139,-8.29514e-05,0.00545102,0.00648849,0.0152765,-0.0105292,0.984628,0.173782,-0.980491,-0.0010437,-0.173782,-0.113976,0.00462766,-0.00559796,-0.0133962,0.00341919,0.00887133,0.0022004,0.0362865,0.0378845,-0.00379713,0.0281572,0.0316344,0.0164738,0.013021,0.0395996,0.00379713,-0.0281572,-0.045099,-0.0682827,-0.0202118,-0.00180765,0.0133962,-0.00341919,-0.0106287,-0.00012526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00159534,0.173782,-0.00254867,-0.0500519,-0.00112662,,0.00371774,-0.173782,0.00830176,0.0385743,-0.00762004,,-0.00479802,0.173782,0.0040457,-0.021609,-0.00716094,,-0.0145191,0.173782,0.00491242,-0.0813482,-0.000118077,,0.0086629,-0.173782,-0.00101822,0.107929,0.00221917,,0.00560713,-0.173782,0.00173471,0.0261757,0.000583265,0.00338781
current_month_pillar,-0.00273575,0.00444417,-0.000814777,0.00396055,1,-0.0380466,-0.000456121,-0.15421,-0.0042591,0.00320945,0.0430637,-0.0128569,,,,,,,,,-0.0109512,0.0160611,,-0.0142384,-0.00355926,-0.00600773,0.0307884,-0.0117612,0.0364899,,0.0427609,-0.00969084,-0.023428,-0.00273575,,-0.0104789,-0.00101142,,,0.00314423,0.0148127,-0.0012349,0.0498117,-0.0200153,-0.00417976,0.00158682,-0.020242,0.0012349,-0.0498117,0.0148045,0.00508434,-0.0106171,0.0825359,0.0104789,0.00101142,-0.0825359,-0.0579469,0.995282,0.17731,-0.666896,0.031918,-0.0386611,-0.13732,-0.0325738,0.0168226,0.0299753,-0.0390117,-0.0262067,0.00657052,-0.000137989,-0.0333852,-0.0299753,0.0390117,0.0152134,-0.0161257,-0.163189,0.0523861,0.666896,-0.031918,0.00998733,0.0878107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000875025,0.0825359,-0.040687,-0.0855173,-0.00836418,,-0.0162857,-0.0825359,0.037814,0.072403,0.0684288,,0.00473962,0.0825359,-0.0528709,-0.0618847,0.0109858,,0.00690099,0.0825359,-0.0131329,-0.0534331,-0.0954656,,0.00148642,-0.0825359,-0.00768403,0.109748,0.0496308,,-0.0117343,-0.0825359,0.0441756,0.0427089,0.00938332,0.0327287
current_year_pillar,-0.000800335,0.00340319,-0.00393408,0.0268738,-0.0380466,1,-0.184088,-0.0278343,0.0111845,0.00440107,0.0108253,0.753994,,,,,,,,,-0.360525,0.0235209,,0.00573204,-0.360491,0.015892,0.0126042,0.0153252,-0.0265496,,-0.0171665,-0.358164,-0.360054,-0.000800335,,0.00568208,0.010364,,,0.00349325,-0.000982672,-0.00883352,-0.0101308,0.0086173,0.0103559,-0.00431649,0.00280813,0.00883352,0.0101308,0.00326426,-0.0147472,0.00620479,0.118876,-0.00568208,-0.010364,-0.118876,0.00799714,-0.0525917,0.114489,0.0321452,0.0133589,0.206031,-0.274363,0.992055,-0.379631,-0.697881,0.133587,-0.018775,0.36611,-0.162028,0.127059,0.697881,-0.133587,-0.136692,-0.316151,-0.0137929,-0.137182,-0.0321452,-0.0133589,-0.0765153,0.323441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0043861,0.118876,-0.0601741,0.216659,0.0443257,,0.00712422,-0.118876,0.149781,-0.291761,-0.0218098,,-0.00714991,0.118876,-0.160884,0.490962,0.0967104,,-0.015118,0.118876,-0.0404254,0.21527,-0.0897152,,0.00897727,-0.118876,-0.0870696,-0.0692334,0.0953942,,0.0134511,-0.118876,0.228864,-0.422139,-0.0906663,0.0138818
current_year_pillar_minus,-0.0047593,-0.0086832,-0.00182598,0.0130052,-0.000456121,-0.184088,1,-0.0332624,-0.0129264,-0.0106826,-0.0157932,0.0705488,,,,,,,,,0.276367,-0.00679144,,-0.00479961,0.288575,-0.0200313,0.000711972,-0.0445102,0.00324036,,0.0229632,0.275599,0.273642,-0.0047593,,0.00329397,-0.0144232,,,-0.00860527,-0.00383801,0.0044769,0.00311878,0.00449497,0.00612851,-0.00241832,0.00674489,-0.0044769,-0.00311878,-0.00529575,-0.00857375,0.00337029,0.055456,-0.00329397,0.0144232,-0.055456,-0.102115,0.00972383,-0.0866703,-0.0225154,-0.029437,-0.148685,0.243949,-0.158483,0.239023,0.517719,-0.224311,-0.292412,-0.517088,0.988047,-0.215167,-0.517719,0.224311,-0.0341565,0.365897,-0.0316679,-0.0392558,0.0225154,0.029437,0.221582,-0.139312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00985633,0.055456,0.00897452,-0.625384,0.0192705,,-0.0137172,-0.055456,-0.0891637,0.209109,0.0681204,,0.0127732,0.055456,0.116042,-0.403869,-0.0187066,,0.0125898,0.055456,0.00532549,0.117804,0.0116669,,-0.0128329,-0.055456,0.105317,0.44368,-0.0851217,,-0.0124107,-0.055456,-0.166587,0.0322229,0.0919002,-0.148734
current_month_pillar_minus,0.0129434,0.0083901,-0.00405321,-0.0197781,-0.15421,-0.0278343,-0.0332624,1,0.00305738,0.0103101,0.0136562,-0.0353702,,,,,,,,,0.0503095,-0.0269652,,0.00997679,0.0476225,0.00219074,0.00885588,0.00694424,-0.000915178,,-0.0187741,0.0483177,0.0591157,0.0129434,,-0.0204033,0.00940511,,,0.00989886,-0.0165406,-0.0054485,-0.0291931,0.00784917,0.00929834,-0.00487637,0.00612263,0.0054485,0.0291931,-0.00859262,-0.0181518,-0.0199971,-0.00048794,0.0204033,-0.00940511,0.00048794,-0.0121943,-0.154143,-0.00875591,0.653787,-0.0161022,0.0171094,0.130723,-0.0206821,-0.0403182,-0.000462247,-0.0290386,-0.0223048,0.00130943,-0.0365743,-0.0346159,0.000462247,0.0290386,0.0282056,0.0111261,0.994807,0.151927,-0.653787,0.0161022,-0.0515528,-0.10684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00287137,-0.00048794,0.0418097,0.0365542,-0.00635288,,0.0037984,0.00048794,0.0248234,-0.0330088,0.0121887,,-0.00791797,-0.00048794,0.0528092,0.0557898,-0.0313726,,-0.00811841,-0.00048794,-0.083186,0.056465,-0.00760071,,-0.00187557,0.00048794,0.026368,-0.031972,-0.0319959,,0.0113573,0.00048794,-0.0157905,-0.0521475,0.0373138,0.0118465
current_wuxi_hour,0.0969283,0.318309,0.320314,0.295646,-0.0042591,0.0111845,-0.0129264,0.00305738,1,0.317931,-0.0105717,0.00288698,,,,,,,,,0.00337214,-0.0182335,,0.00605866,0.00236709,0.020326,-0.0038435,0.0550149,0.0185427,,0.000386409,0.0018364,0.00325331,0.0969283,,0.306494,0.947335,,,0.320005,-0.00543676,-0.000317854,-0.00177879,0.0149336,0.00541282,0.320263,0.0149194,0.000317854,0.00177879,-0.0105129,-0.0163274,0.299062,0.00649673,-0.306494,-0.947335,-0.00649673,-0.00258098,-0.0032528,-0.00898337,-0.00127806,0.00066897,0.00333854,0.00245044,0.0114977,-0.00775575,-0.0140594,0.0100008,0.00947039,0.0113129,-0.012573,0.00757742,0.0140594,-0.0100008,-0.00844336,-0.0118012,0.00487821,-0.0199153,0.00127806,-0.00066897,-0.00171448,-0.00124154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00220348,0.00649673,0.0118061,0.00936609,0.0146962,,0.00460162,-0.00649673,-0.00717438,-0.00512731,-0.0194459,,-0.00347859,0.00649673,0.00123327,0.00956354,0.00460187,,-0.00907296,0.00649673,0.000272068,-0.00354357,0.0159437,,-0.00236767,-0.00649673,-0.0107958,-0.00290652,-0.0205929,,0.00825695,-0.00649673,0.00456417,-0.0024336,-0.0105543,-0.00162095
current_wuxi_day,0.0995528,0.992816,-0.160265,-0.158161,0.00320945,0.00440107,-0.0106826,0.0103101,0.317931,1,0.00563934,-0.00453421,,,,,,,,,0.00744526,-0.0190892,,0.0021539,0.00487836,0.0114589,-0.001048,0.0290946,0.0217897,,0.0134951,0.00579604,0.00294663,0.0995528,,-0.113252,0.336822,,,0.995189,0.0109899,-0.659078,0.0280828,-0.0401079,-0.0133643,-0.159475,-0.0134374,0.659078,-0.0280828,0.0435012,0.00248394,-0.160432,-0.00097436,0.113252,-0.336822,0.00097436,0.00351383,0.00290808,0.00457335,-0.0100162,0.00447561,-0.00699684,-0.00799509,0.00481941,-0.00626649,-0.00245278,0.0108237,0.00947055,0.00496662,-0.00947405,0.00586782,0.00245278,-0.0108237,-0.011834,-0.0042341,0.0107812,-0.000846381,0.0100162,-0.00447561,0.0119102,0.0057158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0362455,-0.00097436,0.00195836,6.68225e-05,0.0227962,,0.00880288,0.00097436,0.00313488,0.00161129,-0.0117337,,-0.0509055,-0.00097436,-0.00481526,-0.000209603,0.0212846,,-0.0165906,-0.00097436,0.0052441,-0.0045861,0.0197194,,0.0373873,0.00097436,-0.00553496,0.00172502,-0.0277889,,0.0355126,0.00097436,0.00558168,0.00450914,-0.0133928,0.00112074
