,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
current_hour_pillar,1,0.0866761,0.0792082,-0.150647,-0.00147697,-0.000390108,-0.000824627,0.00150618,1,0.0860748,-0.00278676,3.13532e-05,,,,,,,,,-0.00148622,-0.00349712,0.0152817,-0.00589466,-0.00171053,0.00213819,0.00377005,0.00361748,0.00296581,,-0.00268695,-0.00177168,-0.000802726,0.994919,0.090751,-0.695271,0.0409473,-0.0642483,-0.026836,0.0869701,0.00185901,-0.00410925,0.00197826,-0.000910352,-0.00439437,0.0799497,-0.00346396,0.00410925,-0.00197826,-0.000947161,0.00751361,-0.151279,0.0177949,0.695271,-0.0409473,0.0519968,0.0210863,-0.00122093,-0.00269606,0.00275498,-0.00148957,0.00167013,-0.00153144,-0.000468095,0.000782241,-0.000208433,0.000933394,0.000752805,0.0014267,-0.000678557,0.00141925,0.000208433,-0.000933394,-0.000855735,-0.0019013,0.00149251,-0.000901453,-0.00275498,0.00148957,-0.00156569,0.00189293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00811348,-0.000843988,-0.00870502,-0.00356106,-0.000904447,-0.00274043,-0.0104825,-0.000781755,0.0475931,0.0031386,0.00119143,0.0011726,-0.0263549,-0.00169783,0.00135036,-0.00231804,-0.00154303,-0.00485498,-0.00929707,0.00108812,-0.039883,-1.89206e-05,-0.0029034,-0.00361698,-0.00437326,0.0001932,0.017259,0.00279081,0.00148954,0.00251004,0.00877899,0.000815404,0.0256539,0.00212042,0.00190783,0.00363229,0.00154274
current_day_pillar,0.0866761,1,-0.155481,0.0223752,0.00654391,0.00459706,-0.00424885,-0.00646532,0.0866761,0.737582,0.00206474,0.00293225,,,,,,,,,-0.00241649,0.00261129,-0.000807076,-0.00133165,-0.00447555,0.0124597,0.0221745,0.0101228,0.0330637,,0.00861558,-0.00218631,-0.00244069,0.0871402,-0.000425272,-0.0678595,0.0524854,0.00125558,-0.000461727,0.995168,0.0870857,-0.659203,0.0279067,-0.0266826,-0.044987,-0.15677,0.0102314,0.659203,-0.0279067,0.0249592,0.0438172,0.0224521,0.00201702,0.0678595,-0.0524854,-0.00172668,-0.00197503,0.00642485,0.00273149,-0.00503305,0.00122702,-0.00602432,-0.00339225,0.00459728,0.00435983,-0.00465664,0.00454044,0.00312724,0.00374019,-0.00470328,0.00565428,0.00465664,-0.00454044,-0.00467267,-0.00710494,-0.00576338,-0.00756044,0.00503305,-0.00122702,0.000603908,-9.74902e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000549042,-0.0179242,-9.75097e-05,0.00863475,-0.00495709,0.00535787,0.000406569,0.00258554,-0.00113098,-0.0158162,0.00424375,-0.0069594,-3.49243e-05,-0.0205416,-6.2958e-05,0.000514347,-0.0052767,0.0104805,-8.41653e-05,-0.0122685,0.00192322,0.00164577,-0.010411,0.00806108,-0.000574295,0.0021671,-0.00111984,-0.00738099,0.00858588,-0.00619726,0.00053662,0.0138132,-0.000973697,-0.00273521,0.00560875,-0.0109185,-0.0015293
current_day_pillar_minus,0.0792082,-0.155481,1,0.0276115,0.00397087,0.00347079,-0.00536829,-0.00360799,0.0792082,0.0984317,-0.0150446,0.00415627,,,,,,,,,2.50135e-05,-0.0093817,0.000687102,-0.00139441,-0.00227049,0.0122189,0.00529042,0.0140357,0.0239283,,0.0103514,-0.000806933,-0.00312054,0.0794429,0.00119812,-0.056806,0.0598255,-0.00242348,-0.000996152,-0.15696,0.011987,0.659424,-0.0275595,0.0331951,0.032779,0.995178,0.0997568,-0.659424,0.0275595,-0.0456383,-0.0454543,0.0279702,-0.00137106,0.056806,-0.0598255,0.0030853,0.000899046,0.00436049,-0.00335371,-0.00935026,0.0035166,-0.00307987,-0.00550587,0.00377425,-0.00298895,-0.00283664,0.00398198,0.00154087,0.00378449,-0.00447362,0.0015308,0.00283664,-0.00398198,-0.00380165,-0.00548339,-0.00259567,-0.0102521,0.00935026,-0.0035166,0.00782529,0.0044072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00158393,-0.0030324,0.000504693,0.00656159,0.00219172,0.0146074,-0.000759525,0.0352759,0.00103211,-0.00515355,-0.00318346,-0.0116376,-0.00122471,0.00238337,0.000552204,-0.00287071,-0.000229335,0.00756709,0.00049324,-0.0475009,-0.000746239,0.00468184,-0.00397942,0.0107691,0.000941509,0.0183631,-0.000515315,-0.00843094,0.000496238,-0.0179576,-0.000116486,0.0198831,0.000849204,0.00320006,0.00084792,-0.00645667,0.00258183
current_hour_pillar_minus,-0.150647,0.0223752,0.0276115,1,-0.000101903,-0.000304348,0.00358388,-0.000767419,-0.150647,0.0242149,-0.00347058,0.000397207,,,,,,,,,-0.00109705,0.00403583,0.0421347,-0.00272857,-0.000595622,-0.00894749,0.00803584,-0.00924499,0.00814211,,0.00754328,-0.000773932,-0.00141934,-0.152484,0.00905179,0.621003,-0.0253667,-0.0191725,0.0393057,0.0224085,-0.000145047,0.00301085,-0.00151633,-0.00108158,0.00196155,0.0277861,0.00059627,-0.00301085,0.00151633,0.00316122,-0.00281838,0.995111,0.0750106,-0.621003,0.0253667,0.00791376,-0.0403121,-0.000378431,0.00269702,-0.000843274,0.00235885,-0.00119879,-0.00101573,0.000507675,0.00205319,0.000632339,-0.00257677,-0.00268869,0.000656302,0.00334269,-0.00105035,-0.000632339,0.00257677,0.000689561,-0.00446466,-0.000842744,0.00121416,0.000843274,-0.00235885,0.000935693,0.00152002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02518,-0.000271201,-0.0183152,0.00144095,-0.0029505,3.36875e-05,0.0405397,-0.000477512,0.0231004,-0.00157495,6.0015e-05,0.00155653,-0.00188062,0.000776749,-0.0498712,0.00171765,-0.00156167,0.00241018,-0.0383202,0.000344878,-0.0318588,0.000965767,-0.00376581,-0.000957766,0.0379513,-1.41591e-05,-0.0112498,-0.0012111,0.00670422,0.00184231,0.0104207,-0.0011549,0.0537642,-0.00247852,-0.000550248,-0.00131569,0.000512488
current_month_pillar,-0.00147697,0.00654391,0.00397087,-0.000101903,1,-0.0353004,0.0036812,-0.140681,-0.00147697,0.00692373,0.0428098,-0.0193739,,,,,,,,,-0.0179559,0.014469,-0.000398953,-0.012916,-0.0130417,-0.00361837,0.0302155,-0.00682927,0.0210028,,0.0198628,-0.0165827,-0.0250909,-0.00148226,-1.78444e-05,-0.000171332,0.000325736,0.00185894,-1.03327e-05,0.0065075,0.00139494,0.00187604,-0.0190837,-0.0107243,0.0151174,0.00241428,0.0141653,-0.00187604,0.0190837,0.00961102,-0.00830483,-0.00118306,0.01275,0.000171332,-0.000325736,2.76869e-05,-0.015851,0.995314,0.165196,-0.663407,0.0479919,-0.0376374,-0.12966,-0.0322194,0.0275275,0.0301708,-0.0351307,-0.0290151,-0.00634348,0.00409934,-0.0310582,-0.0301708,0.0351307,0.0166544,-0.00144008,-0.147648,0.0378563,0.663407,-0.0479919,0.00396597,0.0905228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000700292,0.000509511,0.00769897,-0.021271,-0.0996399,-0.0102038,0.00144431,-0.00682563,-0.00704574,0.0174276,0.0873512,0.0602776,-0.00085942,0.00108921,0.00874934,-0.0578393,-0.0731086,0.0278207,-0.00172712,-0.011399,0.0169048,-0.0235356,-0.0540992,-0.0720423,-0.000472222,0.00965448,-0.0187032,-0.0210651,0.117601,0.0512517,0.00209518,-0.00435603,-0.00747973,0.0516018,0.0519836,-0.0113939,0.0139257
current_year_pillar,-0.000390108,0.00459706,0.00347079,-0.000304348,-0.0353004,1,-0.180903,-0.0341239,-0.000390108,0.00311679,0.0221299,0.758812,,,,,,,,,-0.347399,0.0161689,0.000401917,0.00642539,-0.346607,0.0154054,0.00457281,0.00892588,-0.0235155,,-0.0126861,-0.34588,-0.346786,-0.000415376,0.000748287,-0.001627,0.000717086,0.000473331,-0.00269784,0.00472532,-0.00231884,0.000320242,0.00810242,0.0107651,0.000803262,0.00207796,0.0161978,-0.000320242,-0.00810242,-0.0129718,-0.00910911,-0.00177425,0.0186101,0.001627,-0.000717086,0.00117109,-0.0248655,-0.049597,0.117878,0.0345603,0.0168124,0.183803,-0.275788,0.99212,-0.381978,-0.69882,0.124106,-0.0216734,0.374385,-0.160073,0.135678,0.69882,-0.124106,-0.151014,-0.327637,-0.0195243,-0.146196,-0.0345603,-0.0168124,-0.0625235,0.318906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000800011,0.00855087,0.0143627,-0.06505,0.201676,0.0530746,0.00144786,-0.00351033,-0.0136016,0.133573,-0.291499,-0.0357746,-0.00157448,0.00626588,0.0166364,-0.162659,0.493596,0.0987601,0.000236537,-0.00191738,0.0286518,-0.0286643,0.215991,-0.0834292,-0.000221272,-0.00795957,-0.0315322,-0.0828223,-0.0534288,0.0823158,0.00170492,-0.00124488,-0.0144005,0.21786,-0.436089,-0.0922113,0.00827536
current_year_pillar_minus,-0.000824627,-0.00424885,-0.00536829,0.00358388,0.0036812,-0.180903,1,-0.0332398,-0.000824627,-0.00444516,0.00162404,0.0740645,,,,,,,,,0.269547,-0.00667347,0.0112963,-0.0102075,0.279578,-0.018689,0.00428461,-0.0358449,-0.00169366,,0.0116354,0.268857,0.267013,-0.00152596,0.00791472,0.00273263,0.00191924,-0.00821564,-0.00615862,-0.0046793,0.00325884,-0.00292454,-0.00229082,0.00251886,-0.00496549,-0.0052712,-0.00133308,0.00292454,0.00229082,-0.00361257,0.00684722,0.00202891,0.0148678,-0.00273263,-0.00191924,0.00276456,-0.0095811,0.0123623,-0.0676391,-0.0246642,-0.0391417,-0.153206,0.239361,-0.153242,0.221842,0.525356,-0.203627,-0.265601,-0.511598,0.987864,-0.203711,-0.525356,0.203627,-0.0829315,0.361254,-0.0322121,-0.0339035,0.0246642,0.0391417,0.237591,-0.135259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0095995,-0.00995237,0.0126284,0.00450065,-0.648242,0.0169219,0.00774974,0.0112715,-0.00786072,-0.0852748,0.242674,0.0790406,-0.00772507,-0.0118808,0.00896265,0.121922,-0.416704,-0.00960071,-0.00308226,-0.0112489,0.0105769,0.00170384,0.101374,0.00550455,0.0064326,0.00882149,-0.0229057,0.111434,0.485444,-0.0827248,0.00544014,0.0104044,-0.00485206,-0.170153,0.0596914,0.0904327,-0.143574
current_month_pillar_minus,0.00150618,-0.00646532,-0.00360799,-0.000767419,-0.140681,-0.0341239,-0.0332398,1,0.00150618,-0.00858631,0.0155196,-0.0365214,,,,,,,,,0.0371693,-0.0219659,-0.0029409,0.00739177,0.0329868,-0.000949972,0.000799531,0.00754186,0.00505444,,-0.0115543,0.0354347,0.0425459,0.00172102,-0.00203408,-0.000688822,-0.00410186,0.0016242,0.00112652,-0.00642663,-0.00128822,0.00152804,0.0124719,0.00578448,0.00154859,-0.0041053,0.00606003,-0.00152804,-0.0124719,-0.0139863,-0.00791843,-0.000950019,0.00108523,0.000688822,0.00410186,-0.0014106,-0.00043366,-0.141635,9.02818e-05,0.647982,-0.0141142,0.0234173,0.116347,-0.0262006,-0.0497555,0.0166181,-0.0214479,-0.0226494,-0.0105793,-0.0333209,-0.0545818,-0.0166181,0.0214479,0.0291578,0.0273543,0.994826,0.148617,-0.647982,0.0141142,-0.0476137,-0.094002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00120333,0.00578919,-0.000130779,0.0212435,0.041306,-0.016619,-0.00169116,0.00563509,-0.00129243,0.0566292,-0.0378193,0.0356861,0.00205426,-0.00229762,-0.00235154,0.0395766,0.0410369,-0.0357599,0.00140513,-0.00518504,-0.000622887,-0.0851457,0.0565254,-0.0229849,-0.000424793,-0.00591647,-0.000302533,0.0373823,-0.0334171,-0.0164887,-0.00191909,0.00794278,0.00196867,0.000727058,-0.040891,0.0456189,0.0218859
current_wuxi_hour,1,0.0866761,0.0792082,-0.150647,-0.00147697,-0.000390108,-0.000824627,0.00150618,1,0.0860748,-0.00278676,3.13532e-05,,,,,,,,,-0.00148622,-0.00349712,0.0152817,-0.00589466,-0.00171053,0.00213819,0.00377005,0.00361748,0.00296581,,-0.00268695,-0.00177168,-0.000802726,0.994919,0.090751,-0.695271,0.0409473,-0.0642483,-0.026836,0.0869701,0.00185901,-0.00410925,0.00197826,-0.000910352,-0.00439437,0.0799497,-0.00346396,0.00410925,-0.00197826,-0.000947161,0.00751361,-0.151279,0.0177949,0.695271,-0.0409473,0.0519968,0.0210863,-0.00122093,-0.00269606,0.00275498,-0.00148957,0.00167013,-0.00153144,-0.000468095,0.000782241,-0.000208433,0.000933394,0.000752805,0.0014267,-0.000678557,0.00141925,0.000208433,-0.000933394,-0.000855735,-0.0019013,0.00149251,-0.000901453,-0.00275498,0.00148957,-0.00156569,0.00189293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00811348,-0.000843988,-0.00870502,-0.00356106,-0.000904447,-0.00274043,-0.0104825,-0.000781755,0.0475931,0.0031386,0.00119143,0.0011726,-0.0263549,-0.00169783,0.00135036,-0.00231804,-0.00154303,-0.00485498,-0.00929707,0.00108812,-0.039883,-1.89206e-05,-0.0029034,-0.00361698,-0.00437326,0.0001932,0.017259,0.00279081,0.00148954,0.00251004,0.00877899,0.000815404,0.0256539,0.00212042,0.00190783,0.00363229,0.00154274
current_wuxi_day,0.0860748,0.737582,0.0984317,0.0242149,0.00692373,0.00311679,-0.00444516,-0.00858631,0.0860748,1,-0.000353679,0.0030725,,,,,,,,,-0.00222289,0.00329557,-0.00144527,-0.00268049,-0.00425701,0.01167,0.0189182,0.015687,0.0296833,,0.00921664,-0.00194232,-0.00236916,0.0865449,-0.000525727,-0.0657625,0.0554233,0.00123439,-0.000979026,0.737161,0.0338148,-0.363312,0.0150709,-0.0313701,-0.0409965,0.101005,-0.0172664,0.363312,-0.0150709,0.0261971,0.0393296,0.024348,0.00106349,0.0657625,-0.0554233,-0.000907533,-0.00156497,0.00729045,-0.00186875,-0.00271042,0.00194836,-0.00473364,-0.00129992,0.00322412,0.00187623,-0.00299663,0.00430817,0.00278861,0.0033482,-0.00473987,0.00427501,0.00299663,-0.00430817,-0.00451168,-0.00549751,-0.0075802,-0.011489,0.00271042,-0.00194836,0.000258184,-0.00101502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000141548,-0.0222759,-0.00136578,0.00820419,-0.00242487,0.0067454,0.000178534,-0.0081567,0.000775951,-0.0134817,0.00180686,-0.00896089,-0.000638427,-0.023852,-0.00316705,-0.000614312,-0.00406042,0.00702947,-2.14662e-05,0.0165526,-0.00120235,0.00189189,-0.00810549,0.00980642,-0.0003027,0.00763214,0.00101535,-0.00662961,0.00560379,-0.00948626,0.00091024,0.00749412,0.00281442,-0.000730275,0.00450911,-0.00912758,0.00120189
