,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date
0,2019-01-02 09:00:00+08:00,25856,25868,25011,25165,9509871,HSI,^HSI,8783374360383483012,2025-06-03 11:02:46.412821+08:00
1,2019-01-02 11:00:00+08:00,25165,25202,25079,25140,8774626,HSI,^HSI,5326170308023377418,2025-06-03 11:02:46.412821+08:00
2,2019-01-02 13:00:00+08:00,25141,25223,25067,25089,1737115,HSI,^HSI,7917588285722198615,2025-06-03 11:02:46.412821+08:00
3,2019-01-02 15:00:00+08:00,25089,25113,24975,24975,4350884,HSI,^HSI,7167788123838272645,2025-06-03 11:02:46.412821+08:00
4,2019-01-02 17:00:00+08:00,25030,25090,25027,25063,9231638,HSI,^HSI,10072188103978296310,2025-06-03 11:02:46.412821+08:00
5,2019-01-02 19:00:00+08:00,25064,25147,25055,25106,8848248,HSI,^HSI,4549485428504375867,2025-06-03 11:02:46.412821+08:00
6,2019-01-02 21:00:00+08:00,25104,25198,25076,25168,9186206,HSI,^HSI,15319050824990361136,2025-06-03 11:02:46.412821+08:00
7,2019-01-02 23:00:00+08:00,25168,25363,25141,25308,1601480,HSI,^HSI,1971140162343946961,2025-06-03 11:02:46.412821+08:00
8,2019-01-03 09:00:00+08:00,25056,25238,24978,25042,3837248,HSI,^HSI,3384624156540510393,2025-06-03 11:02:46.412821+08:00
9,2019-01-03 11:00:00+08:00,25042,25048,24907,25023,2459999,HSI,^HSI,6933898617535633811,2025-06-03 11:02:46.412821+08:00
10,2019-01-03 13:00:00+08:00,25023,25058,24876,25031,9408508,HSI,^HSI,4532042106299326964,2025-06-03 11:02:46.412821+08:00
11,2019-01-03 15:00:00+08:00,25032,25092,24993,25057,3510074,HSI,^HSI,12625153753261599025,2025-06-03 11:02:46.412821+08:00
12,2019-01-03 17:00:00+08:00,25055,25081,25000,25033,5790901,HSI,^HSI,13868850085163386201,2025-06-03 11:02:46.412821+08:00
13,2019-01-03 19:00:00+08:00,25035,25112,24964,25094,1931542,HSI,^HSI,14857489279619858735,2025-06-03 11:02:46.412821+08:00
14,2019-01-03 21:00:00+08:00,25097,25177,25094,25119,5906659,HSI,^HSI,3617286464430102379,2025-06-03 11:02:46.412821+08:00
15,2019-01-03 23:00:00+08:00,25118,25153,25005,25110,6584610,HSI,^HSI,8765565631590099835,2025-06-03 11:02:46.412821+08:00
16,2019-01-04 09:00:00+08:00,24920,25412,24893,25410,4285473,HSI,^HSI,7963059446390958619,2025-06-03 11:02:46.412821+08:00
17,2019-01-04 11:00:00+08:00,25410,25466,25357,25416,9354404,HSI,^HSI,10113557051223212063,2025-06-03 11:02:46.412821+08:00
18,2019-01-04 13:00:00+08:00,25410,25564,25373,25551,8670073,HSI,^HSI,8832081149853021893,2025-06-03 11:02:46.412821+08:00
19,2019-01-04 15:00:00+08:00,25552,25659,25535,25601,7876298,HSI,^HSI,7497032971786847855,2025-06-03 11:02:46.412821+08:00
20,2019-01-04 17:00:00+08:00,25600,25767,25588,25666,3988690,HSI,^HSI,18002170851221088465,2025-06-03 11:02:46.412821+08:00
21,2019-01-04 19:00:00+08:00,25667,25715,25635,25657,8727384,HSI,^HSI,10772073630907817890,2025-06-03 11:02:46.412821+08:00
22,2019-01-04 21:00:00+08:00,25655,25729,25594,25721,5831230,HSI,^HSI,2980475840296332115,2025-06-03 11:02:46.412821+08:00
23,2019-01-04 23:00:00+08:00,25720,25981,25679,25949,4829400,HSI,^HSI,14800369380476902987,2025-06-03 11:02:46.412821+08:00
24,2019-01-07 09:00:00+08:00,26020,26098,25847,25927,4232693,HSI,^HSI,6615412206449576754,2025-06-03 11:02:46.412821+08:00
25,2019-01-07 11:00:00+08:00,25927,25934,25773,25822,8746418,HSI,^HSI,7251680693027741596,2025-06-03 11:02:46.412821+08:00
26,2019-01-07 13:00:00+08:00,25822,25886,25753,25806,7999723,HSI,^HSI,3627380262568985587,2025-06-03 11:02:46.412821+08:00
27,2019-01-07 15:00:00+08:00,25805,25874,25785,25865,5731256,HSI,^HSI,1527189188661480379,2025-06-03 11:02:46.412821+08:00
28,2019-01-07 17:00:00+08:00,25835,25835,25734,25780,2160668,HSI,^HSI,12106984458551120675,2025-06-03 11:02:46.412821+08:00
29,2019-01-07 19:00:00+08:00,25779,25838,25753,25822,5704591,HSI,^HSI,18208092539525160551,2025-06-03 11:02:46.412821+08:00
30,2019-01-07 21:00:00+08:00,25820,25833,25744,25819,8049370,HSI,^HSI,15961839117839609719,2025-06-03 11:02:46.412821+08:00
31,2019-01-07 23:00:00+08:00,25817,25903,25759,25896,1259592,HSI,^HSI,4011879745791486236,2025-06-03 11:02:46.412821+08:00
32,2019-01-08 09:00:00+08:00,25925,26006,25713,25932,9239598,HSI,^HSI,8093773775582053851,2025-06-03 11:02:46.412821+08:00
33,2019-01-08 11:00:00+08:00,25933,25976,25875,25945,6744254,HSI,^HSI,7116598293663973482,2025-06-03 11:02:46.412821+08:00
34,2019-01-08 13:00:00+08:00,25945,25981,25793,25880,6450330,HSI,^HSI,7329101262847439641,2025-06-03 11:02:46.412821+08:00
35,2019-01-08 15:00:00+08:00,25881,25938,25833,25903,8317747,HSI,^HSI,4083338822216865402,2025-06-03 11:02:46.412821+08:00
36,2019-01-08 17:00:00+08:00,25917,25990,25915,25986,5915997,HSI,^HSI,15045685206264308023,2025-06-03 11:02:46.412821+08:00
37,2019-01-08 19:00:00+08:00,25986,26058,25974,26044,7899133,HSI,^HSI,254738773137654159,2025-06-03 11:02:46.412821+08:00
38,2019-01-08 21:00:00+08:00,26044,26181,26028,26133,7770536,HSI,^HSI,11880717448432055016,2025-06-03 11:02:46.412821+08:00
39,2019-01-08 23:00:00+08:00,26135,26167,26012,26055,8015019,HSI,^HSI,2272136463664651591,2025-06-03 11:02:46.412821+08:00
40,2019-01-09 09:00:00+08:00,26179,26605,26168,26552,2967112,HSI,^HSI,17068159812976095485,2025-06-03 11:02:46.412821+08:00
41,2019-01-09 11:00:00+08:00,26553,26571,26480,26571,6830875,HSI,^HSI,9278146882092406363,2025-06-03 11:02:46.412821+08:00
42,2019-01-09 13:00:00+08:00,26571,26652,26436,26456,1872612,HSI,^HSI,9494816869080499221,2025-06-03 11:02:46.412821+08:00
43,2019-01-09 15:00:00+08:00,26455,26522,26422,26515,1840863,HSI,^HSI,2766399784416428023,2025-06-03 11:02:46.412821+08:00
44,2019-01-09 17:00:00+08:00,26518,26613,26506,26536,6288077,HSI,^HSI,15790040244780313624,2025-06-03 11:02:46.412821+08:00
45,2019-01-09 19:00:00+08:00,26536,26548,26482,26541,7081826,HSI,^HSI,14195605975106241845,2025-06-03 11:02:46.412821+08:00
46,2019-01-09 21:00:00+08:00,26541,26629,26524,26603,3382087,HSI,^HSI,2893465066165784022,2025-06-03 11:02:46.412821+08:00
47,2019-01-09 23:00:00+08:00,26605,26628,26483,26577,7699389,HSI,^HSI,4476919917536854174,2025-06-03 11:02:46.412821+08:00
48,2019-01-10 09:00:00+08:00,26389,26457,26228,26350,8162903,HSI,^HSI,5772511892912216143,2025-06-03 11:02:46.412821+08:00
49,2019-01-10 11:00:00+08:00,26349,26616,26337,26608,4682271,HSI,^HSI,3299248312142853776,2025-06-03 11:02:46.412821+08:00
50,2019-01-10 13:00:00+08:00,26607,26636,26414,26474,1515178,HSI,^HSI,1706928905712722552,2025-06-03 11:02:46.412821+08:00
51,2019-01-10 15:00:00+08:00,26477,26550,26461,26470,9691596,HSI,^HSI,17277343361182073263,2025-06-03 11:02:46.412821+08:00
52,2019-01-10 17:00:00+08:00,26464,26575,26461,26528,9542474,HSI,^HSI,1586966530829960883,2025-06-03 11:02:46.412821+08:00
53,2019-01-10 19:00:00+08:00,26529,26565,26517,26554,4398503,HSI,^HSI,17691481166871458932,2025-06-03 11:02:46.412821+08:00
54,2019-01-10 21:00:00+08:00,26555,26588,26528,26563,5165609,HSI,^HSI,5252802775653657924,2025-06-03 11:02:46.412821+08:00
55,2019-01-10 23:00:00+08:00,26562,26699,26544,26678,8901267,HSI,^HSI,15639626061342781875,2025-06-03 11:02:46.412821+08:00
56,2019-01-11 09:00:00+08:00,26746,26746,26512,26583,3925170,HSI,^HSI,3598766314904257455,2025-06-03 11:02:46.412821+08:00
57,2019-01-11 11:00:00+08:00,26583,26618,26543,26606,2964859,HSI,^HSI,2088907544827809984,2025-06-03 11:02:46.412821+08:00
58,2019-01-11 13:00:00+08:00,26606,26697,26580,26692,6046408,HSI,^HSI,12241261108795479025,2025-06-03 11:02:46.412821+08:00
59,2019-01-11 15:00:00+08:00,26693,26725,26646,26696,7422092,HSI,^HSI,11084755265628397399,2025-06-03 11:02:46.412821+08:00
60,2019-01-11 17:00:00+08:00,26706,26738,26659,26685,7805351,HSI,^HSI,12678122067606538419,2025-06-03 11:02:46.412821+08:00
61,2019-01-11 19:00:00+08:00,26688,26707,26622,26624,8009305,HSI,^HSI,18426693232733766762,2025-06-03 11:02:46.412821+08:00
62,2019-01-11 21:00:00+08:00,26624,26627,26551,26594,4600185,HSI,^HSI,5000725383613176977,2025-06-03 11:02:46.412821+08:00
63,2019-01-11 23:00:00+08:00,26593,26683,26582,26655,8895850,HSI,^HSI,14638915208262319569,2025-06-03 11:02:46.412821+08:00
64,2019-01-14 09:00:00+08:00,26595,26617,26248,26269,3578250,HSI,^HSI,15498046231091194201,2025-06-03 11:02:46.412821+08:00
65,2019-01-14 11:00:00+08:00,26268,26313,26164,26296,7043135,HSI,^HSI,15260217868493336869,2025-06-03 11:02:46.412821+08:00
66,2019-01-14 13:00:00+08:00,26296,26308,26220,26264,9424837,HSI,^HSI,1527809575605825853,2025-06-03 11:02:46.412821+08:00
67,2019-01-14 15:00:00+08:00,26265,26314,26241,26302,7408100,HSI,^HSI,11058395413795723096,2025-06-03 11:02:46.412821+08:00
68,2019-01-14 17:00:00+08:00,26302,26350,26255,26280,9442479,HSI,^HSI,9746711368622615572,2025-06-03 11:02:46.412821+08:00
69,2019-01-14 19:00:00+08:00,26281,26324,26254,26303,8549754,HSI,^HSI,6794026144686541907,2025-06-03 11:02:46.412821+08:00
70,2019-01-14 21:00:00+08:00,26303,26372,26292,26351,8630014,HSI,^HSI,9184832523024183964,2025-06-03 11:02:46.412821+08:00
71,2019-01-14 23:00:00+08:00,26351,26463,26343,26461,5152137,HSI,^HSI,6670194127380146587,2025-06-03 11:02:46.412821+08:00
72,2019-01-15 09:00:00+08:00,26515,26744,26435,26737,4792010,HSI,^HSI,259395097494151856,2025-06-03 11:02:46.412821+08:00
73,2019-01-15 11:00:00+08:00,26738,26874,26738,26775,8969544,HSI,^HSI,477561846624675414,2025-06-03 11:02:46.412821+08:00
74,2019-01-15 13:00:00+08:00,26771,26843,26690,26835,6595531,HSI,^HSI,11840300483007140292,2025-06-03 11:02:46.412821+08:00
75,2019-01-15 15:00:00+08:00,26834,26834,26738,26752,5097076,HSI,^HSI,4918208265237091259,2025-06-03 11:02:46.412821+08:00
76,2019-01-15 17:00:00+08:00,26731,26744,26689,26717,4177674,HSI,^HSI,10897178233431320653,2025-06-03 11:02:46.412821+08:00
77,2019-01-15 19:00:00+08:00,26717,26722,26596,26626,8084970,HSI,^HSI,765076237128812337,2025-06-03 11:02:46.412821+08:00
78,2019-01-15 21:00:00+08:00,26627,26749,26615,26712,1238131,HSI,^HSI,1310762554744252525,2025-06-03 11:02:46.412821+08:00
79,2019-01-15 23:00:00+08:00,26716,26770,26629,26726,5544274,HSI,^HSI,893158956097471017,2025-06-03 11:02:46.412821+08:00
80,2019-01-16 09:00:00+08:00,26705,26865,26559,26793,9204066,HSI,^HSI,3592921334410489433,2025-06-03 11:02:46.412821+08:00
81,2019-01-16 11:00:00+08:00,26794,26850,26773,26798,8969040,HSI,^HSI,5187680744612809212,2025-06-03 11:02:46.412821+08:00
82,2019-01-16 13:00:00+08:00,26798,26928,26769,26896,6612600,HSI,^HSI,17461072513421448845,2025-06-03 11:02:46.412821+08:00
83,2019-01-16 15:00:00+08:00,26897,26938,26828,26905,1896607,HSI,^HSI,18088083666314548955,2025-06-03 11:02:46.412821+08:00
84,2019-01-16 17:00:00+08:00,26890,26899,26814,26827,4406940,HSI,^HSI,7563954930910506352,2025-06-03 11:02:46.412821+08:00
85,2019-01-16 19:00:00+08:00,26827,26839,26778,26823,4216996,HSI,^HSI,4115636000191996501,2025-06-03 11:02:46.412821+08:00
86,2019-01-16 21:00:00+08:00,26823,26956,26805,26940,6283873,HSI,^HSI,17329233213482374343,2025-06-03 11:02:46.412821+08:00
87,2019-01-16 23:00:00+08:00,26941,27001,26908,27000,6365730,HSI,^HSI,7484750721249884868,2025-06-03 11:02:46.412821+08:00
88,2019-01-17 09:00:00+08:00,26933,27035,26666,27030,1533924,HSI,^HSI,16287586769040526909,2025-06-03 11:02:46.412821+08:00
89,2019-01-17 11:00:00+08:00,27030,27041,26918,27008,7429685,HSI,^HSI,2403906825565402182,2025-06-03 11:02:46.412821+08:00
90,2019-01-17 13:00:00+08:00,27006,27006,26716,26739,6882063,HSI,^HSI,4181002982136577334,2025-06-03 11:02:46.412821+08:00
91,2019-01-17 15:00:00+08:00,26740,26826,26725,26769,9562688,HSI,^HSI,7260048202635786149,2025-06-03 11:02:46.412821+08:00
92,2019-01-17 17:00:00+08:00,26785,26840,26764,26831,3343890,HSI,^HSI,7239530302610731319,2025-06-03 11:02:46.412821+08:00
93,2019-01-17 19:00:00+08:00,26832,26852,26786,26800,3520873,HSI,^HSI,10339970966001118760,2025-06-03 11:02:46.412821+08:00
94,2019-01-17 21:00:00+08:00,26799,26884,26784,26865,5043849,HSI,^HSI,12124147582909605909,2025-06-03 11:02:46.412821+08:00
95,2019-01-17 23:00:00+08:00,26864,26920,26840,26885,9245183,HSI,^HSI,18024027821242148630,2025-06-03 11:02:46.412821+08:00
96,2019-01-18 09:00:00+08:00,26985,27144,26923,27032,1580512,HSI,^HSI,5241961691889357927,2025-06-03 11:02:46.412821+08:00
97,2019-01-18 11:00:00+08:00,27032,27103,27004,27030,1128174,HSI,^HSI,11070057558923828227,2025-06-03 11:02:46.412821+08:00
98,2019-01-18 13:00:00+08:00,27033,27118,27010,27077,2680974,HSI,^HSI,1604536625855900510,2025-06-03 11:02:46.412821+08:00
99,2019-01-18 15:00:00+08:00,27078,27113,27039,27100,5463434,HSI,^HSI,11614349709203626331,2025-06-03 11:02:46.412821+08:00
100,2019-01-18 17:00:00+08:00,27102,27136,27082,27119,9212389,HSI,^HSI,11705613332880006079,2025-06-03 11:02:46.412821+08:00
101,2019-01-18 19:00:00+08:00,27118,27185,27116,27171,1434982,HSI,^HSI,14941069579868233188,2025-06-03 11:02:46.412821+08:00
102,2019-01-18 21:00:00+08:00,27172,27251,27163,27221,9543577,HSI,^HSI,8664493171722570313,2025-06-03 11:02:46.412821+08:00
103,2019-01-18 23:00:00+08:00,27220,27361,27195,27361,3208348,HSI,^HSI,7196682229612875074,2025-06-03 11:02:46.412821+08:00
104,2019-01-21 09:00:00+08:00,27235,27348,27013,27263,2570676,HSI,^HSI,13130626618530021071,2025-06-03 11:02:46.412821+08:00
105,2019-01-21 11:00:00+08:00,27264,27264,27114,27197,9819227,HSI,^HSI,13669386220678627806,2025-06-03 11:02:46.412821+08:00
106,2019-01-21 13:00:00+08:00,27198,27235,27118,27201,3798333,HSI,^HSI,7892931084902282789,2025-06-03 11:02:46.412821+08:00
107,2019-01-21 15:00:00+08:00,27201,27245,27160,27240,6470031,HSI,^HSI,10518110871999603872,2025-06-03 11:02:46.412821+08:00
108,2019-01-21 17:00:00+08:00,27201,27260,27155,27244,7346475,HSI,^HSI,12217677388051578594,2025-06-03 11:02:46.412821+08:00
109,2019-01-21 19:00:00+08:00,27244,27247,27193,27214,5662499,HSI,^HSI,2773882203875277807,2025-06-03 11:02:46.412821+08:00
110,2019-01-21 21:00:00+08:00,27213,27228,27180,27197,2903600,HSI,^HSI,10442027259675837666,2025-06-03 11:02:46.412821+08:00
111,2019-01-21 23:00:00+08:00,27195,27250,27193,27236,7143300,HSI,^HSI,8238711793993652856,2025-06-03 11:02:46.412821+08:00
112,2019-01-22 09:00:00+08:00,27148,27271,26980,26997,1666047,HSI,^HSI,3585638897374647331,2025-06-03 11:02:46.412821+08:00
113,2019-01-22 11:00:00+08:00,26997,27057,26892,26914,7699634,HSI,^HSI,2581416587536990714,2025-06-03 11:02:46.412821+08:00
114,2019-01-22 13:00:00+08:00,26911,26924,26835,26922,1207501,HSI,^HSI,10510083390768663751,2025-06-03 11:02:46.412821+08:00
115,2019-01-22 15:00:00+08:00,26922,27005,26906,27003,8092292,HSI,^HSI,10086352683643378564,2025-06-03 11:02:46.412821+08:00
116,2019-01-22 17:00:00+08:00,27006,27042,26943,26946,4404964,HSI,^HSI,5555626225154174496,2025-06-03 11:02:46.412821+08:00
117,2019-01-22 19:00:00+08:00,26946,26991,26876,26946,4109922,HSI,^HSI,10668261346658448270,2025-06-03 11:02:46.412821+08:00
118,2019-01-22 21:00:00+08:00,26949,27001,26912,26978,3811586,HSI,^HSI,5133494882096534185,2025-06-03 11:02:46.412821+08:00
119,2019-01-22 23:00:00+08:00,26977,26987,26885,26896,5374163,HSI,^HSI,15796155528002237443,2025-06-03 11:02:46.412821+08:00
120,2019-01-23 09:00:00+08:00,26888,27160,26875,27074,4126735,HSI,^HSI,15788012089929524406,2025-06-03 11:02:46.412821+08:00
121,2019-01-23 11:00:00+08:00,27074,27134,27022,27028,4195676,HSI,^HSI,10967721949026998785,2025-06-03 11:02:46.412821+08:00
122,2019-01-23 13:00:00+08:00,27033,27063,26965,27033,4482860,HSI,^HSI,18105707299462862884,2025-06-03 11:02:46.412821+08:00
123,2019-01-23 15:00:00+08:00,27032,27038,26935,26985,8635064,HSI,^HSI,14631282592994686248,2025-06-03 11:02:46.412821+08:00
124,2019-01-23 17:00:00+08:00,27018,27111,27018,27097,5410466,HSI,^HSI,14486063675578297565,2025-06-03 11:02:46.412821+08:00
125,2019-01-23 19:00:00+08:00,27096,27155,27089,27140,6668698,HSI,^HSI,7567641179932390171,2025-06-03 11:02:46.412821+08:00
126,2019-01-23 21:00:00+08:00,27141,27164,27093,27115,4843124,HSI,^HSI,9592666471956781467,2025-06-03 11:02:46.412821+08:00
127,2019-01-23 23:00:00+08:00,27114,27142,26939,26953,1964910,HSI,^HSI,12414240527272650053,2025-06-03 11:02:46.412821+08:00
128,2019-01-24 09:00:00+08:00,27063,27109,26872,27032,7828284,HSI,^HSI,857213345544243865,2025-06-03 11:02:46.412821+08:00
129,2019-01-24 11:00:00+08:00,27032,27094,27027,27066,9182312,HSI,^HSI,3330677861854043138,2025-06-03 11:02:46.412821+08:00
130,2019-01-24 13:00:00+08:00,27068,27132,27030,27093,2608805,HSI,^HSI,4824845293917612932,2025-06-03 11:02:46.412821+08:00
131,2019-01-24 15:00:00+08:00,27093,27126,27064,27096,5874081,HSI,^HSI,2858534203160004013,2025-06-03 11:02:46.412821+08:00
132,2019-01-24 17:00:00+08:00,27112,27225,27112,27157,6982135,HSI,^HSI,6269894508386366626,2025-06-03 11:02:46.412821+08:00
133,2019-01-24 19:00:00+08:00,27160,27202,27153,27181,5452815,HSI,^HSI,3308946280523755256,2025-06-03 11:02:46.412821+08:00
134,2019-01-24 21:00:00+08:00,27177,27197,27104,27159,5135817,HSI,^HSI,3432265428982675377,2025-06-03 11:02:46.412821+08:00
135,2019-01-24 23:00:00+08:00,27158,27269,27145,27269,8234330,HSI,^HSI,16331669625706329030,2025-06-03 11:02:46.412821+08:00
136,2019-01-25 09:00:00+08:00,27320,27540,27209,27477,3714420,HSI,^HSI,11753045078282550937,2025-06-03 11:02:46.412821+08:00
137,2019-01-25 11:00:00+08:00,27475,27562,27445,27500,5111116,HSI,^HSI,649155396838212943,2025-06-03 11:02:46.412821+08:00
138,2019-01-25 13:00:00+08:00,27500,27550,27464,27521,3618615,HSI,^HSI,8930179252471619125,2025-06-03 11:02:46.412821+08:00
139,2019-01-25 15:00:00+08:00,27522,27618,27512,27602,9905283,HSI,^HSI,3357022352992277907,2025-06-03 11:02:46.412821+08:00
140,2019-01-25 17:00:00+08:00,27618,27638,27581,27620,2850904,HSI,^HSI,14758204489372151200,2025-06-03 11:02:46.412821+08:00
141,2019-01-25 19:00:00+08:00,27619,27643,27598,27616,3032108,HSI,^HSI,6621334764394136231,2025-06-03 11:02:46.412821+08:00
142,2019-01-25 21:00:00+08:00,27617,27691,27610,27690,2603812,HSI,^HSI,15420109760000475826,2025-06-03 11:02:46.412821+08:00
143,2019-01-25 23:00:00+08:00,27688,27800,27683,27789,9575416,HSI,^HSI,2091979317930883268,2025-06-03 11:02:46.412821+08:00
144,2019-01-28 09:00:00+08:00,27700,27814,27636,27679,7907282,HSI,^HSI,6492426074861962385,2025-06-03 11:02:46.412821+08:00
145,2019-01-28 11:00:00+08:00,27679,27694,27608,27694,7235080,HSI,^HSI,14097957797937584712,2025-06-03 11:02:46.412821+08:00
146,2019-01-28 13:00:00+08:00,27693,27705,27453,27553,1646551,HSI,^HSI,7401839695076880946,2025-06-03 11:02:46.412821+08:00
147,2019-01-28 15:00:00+08:00,27554,27592,27541,27557,8281145,HSI,^HSI,16480162504507783823,2025-06-03 11:02:46.412821+08:00
148,2019-01-28 17:00:00+08:00,27557,27620,27544,27580,9158442,HSI,^HSI,3887559157642467084,2025-06-03 11:02:46.412821+08:00
149,2019-01-28 19:00:00+08:00,27577,27597,27518,27538,8911791,HSI,^HSI,1337405302499226978,2025-06-03 11:02:46.412821+08:00
150,2019-01-28 21:00:00+08:00,27539,27546,27362,27386,1641532,HSI,^HSI,11168344982877675922,2025-06-03 11:02:46.412821+08:00
151,2019-01-28 23:00:00+08:00,27383,27478,27363,27394,4116791,HSI,^HSI,15077541525955415146,2025-06-03 11:02:46.412821+08:00
152,2019-01-29 09:00:00+08:00,27329,27518,27325,27386,6827400,HSI,^HSI,1789437378245394471,2025-06-03 11:02:46.412821+08:00
153,2019-01-29 11:00:00+08:00,27386,27462,27382,27451,2685920,HSI,^HSI,6558630760980306417,2025-06-03 11:02:46.412821+08:00
154,2019-01-29 13:00:00+08:00,27452,27582,27436,27532,9127083,HSI,^HSI,12690771078638374207,2025-06-03 11:02:46.412821+08:00
155,2019-01-29 15:00:00+08:00,27532,27580,27483,27566,7387036,HSI,^HSI,1725319025210711806,2025-06-03 11:02:46.412821+08:00
156,2019-01-29 17:00:00+08:00,27532,27628,27532,27611,7773748,HSI,^HSI,7938654857386312922,2025-06-03 11:02:46.412821+08:00
157,2019-01-29 19:00:00+08:00,27610,27638,27588,27606,8382400,HSI,^HSI,17103916609235358633,2025-06-03 11:02:46.412821+08:00
158,2019-01-29 21:00:00+08:00,27606,27618,27555,27598,2233382,HSI,^HSI,489137353682267376,2025-06-03 11:02:46.412821+08:00
159,2019-01-29 23:00:00+08:00,27597,27628,27532,27569,5269498,HSI,^HSI,17757538027546060227,2025-06-03 11:02:46.412821+08:00
160,2019-01-30 09:00:00+08:00,27500,27542,27341,27480,7447567,HSI,^HSI,2762889906041925159,2025-06-03 11:02:46.412821+08:00
161,2019-01-30 11:00:00+08:00,27481,27628,27468,27622,7210630,HSI,^HSI,2461253328402762730,2025-06-03 11:02:46.412821+08:00
162,2019-01-30 13:00:00+08:00,27605,27622,27487,27516,5527971,HSI,^HSI,12249701443288180117,2025-06-03 11:02:46.412821+08:00
163,2019-01-30 15:00:00+08:00,27515,27681,27495,27638,8846041,HSI,^HSI,6954476621854482463,2025-06-03 11:02:46.412821+08:00
164,2019-01-30 17:00:00+08:00,27648,27708,27625,27693,2224837,HSI,^HSI,8127381267594938430,2025-06-03 11:02:46.412821+08:00
165,2019-01-30 19:00:00+08:00,27693,27736,27680,27733,4621997,HSI,^HSI,7720595725639454157,2025-06-03 11:02:46.412821+08:00
166,2019-01-30 21:00:00+08:00,27733,27743,27656,27661,5571694,HSI,^HSI,16831039597417985663,2025-06-03 11:02:46.412821+08:00
167,2019-01-30 23:00:00+08:00,27661,27679,27632,27662,4282572,HSI,^HSI,1421605865217733640,2025-06-03 11:02:46.412821+08:00
168,2019-01-31 09:00:00+08:00,27859,27966,27719,27924,1473643,HSI,^HSI,2729524720014151112,2025-06-03 11:02:46.412821+08:00
169,2019-01-31 11:00:00+08:00,27925,27974,27895,27935,8357632,HSI,^HSI,7427240883337786433,2025-06-03 11:02:46.412821+08:00
170,2019-01-31 13:00:00+08:00,27935,27935,27850,27908,9288404,HSI,^HSI,17804935843482541887,2025-06-03 11:02:46.412821+08:00
171,2019-01-31 15:00:00+08:00,27908,28075,27899,28055,5347494,HSI,^HSI,10414399765521239790,2025-06-03 11:02:46.412821+08:00
172,2019-01-31 17:00:00+08:00,28012,28077,27939,27958,9013388,HSI,^HSI,11319485996682183719,2025-06-03 11:02:46.412821+08:00
