,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus
0,2019-01-02 09:00:00+08:00,25856,25868,25011,25165,6043873,HSI,^HSI,5161917080769119954,2025-06-03 12:25:11.232890+08:00,己巳,己亥,甲辰,甲戌,己卯,癸丑,戊申,甲戌,己巳,己子,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
1,2019-01-02 11:00:00+08:00,25165,25202,25079,25140,7701176,HSI,^HSI,18363054530003131922,2025-06-03 12:25:11.232890+08:00,庚午,甲寅,己未,乙亥,己卯,癸丑,戊申,甲戌,庚午,己丑,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
2,2019-01-02 13:00:00+08:00,25141,25223,25067,25089,4999036,HSI,^HSI,5433075826265733174,2025-06-03 12:25:11.232890+08:00,辛未,甲寅,己未,丙子,己卯,癸丑,戊申,甲戌,辛未,甲丑,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
3,2019-01-02 15:00:00+08:00,25089,25113,24975,24975,3435797,HSI,^HSI,8965100001908201703,2025-06-03 12:25:11.232890+08:00,壬申,甲寅,己未,丁丑,己卯,癸丑,戊申,甲戌,壬申,甲寅,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
4,2019-01-02 17:00:00+08:00,25030,25090,25027,25063,4119740,HSI,^HSI,6354268100186908662,2025-06-03 12:25:11.232890+08:00,癸酉,甲寅,己未,戊寅,己卯,癸丑,戊申,甲戌,癸酉,甲寅,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
5,2019-01-02 19:00:00+08:00,25064,25147,25055,25106,6435085,HSI,^HSI,5182370843315961221,2025-06-03 12:25:11.232890+08:00,甲戌,甲寅,己未,己卯,己卯,癸丑,戊申,甲戌,甲戌,甲卯,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
6,2019-01-02 21:00:00+08:00,25104,25198,25076,25168,6096920,HSI,^HSI,17850258815351931455,2025-06-03 12:25:11.232890+08:00,乙亥,甲寅,己未,庚辰,己卯,癸丑,戊申,甲戌,乙亥,甲卯,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
7,2019-01-02 23:00:00+08:00,25168,25363,25141,25308,2314617,HSI,^HSI,9461595893298671426,2025-06-03 12:25:11.232890+08:00,戊子,庚子,乙巳,癸巳,己卯,癸丑,戊申,甲戌,戊子,乙亥,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
8,2019-01-03 09:00:00+08:00,25056,25238,24978,25042,2354339,HSI,^HSI,7063893179154928115,2025-06-03 12:25:11.232890+08:00,辛巳,庚子,乙巳,丙戌,己卯,癸丑,戊申,甲戌,辛巳,庚丑,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
9,2019-01-03 11:00:00+08:00,25042,25048,24907,25023,3712091,HSI,^HSI,12227537123584628128,2025-06-03 12:25:11.232890+08:00,壬午,乙卯,庚申,丁亥,己卯,癸丑,戊申,甲戌,壬午,庚寅,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
10,2019-01-03 13:00:00+08:00,25023,25058,24876,25031,2444957,HSI,^HSI,4356304411825311079,2025-06-03 12:25:11.232890+08:00,癸未,乙卯,庚申,戊子,己卯,癸丑,戊申,甲戌,癸未,乙寅,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
11,2019-01-03 15:00:00+08:00,25032,25092,24993,25057,4639151,HSI,^HSI,3823772006943885496,2025-06-03 12:25:11.232890+08:00,甲申,乙卯,庚申,己丑,己卯,癸丑,戊申,甲戌,甲申,乙卯,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
12,2019-01-03 17:00:00+08:00,25055,25081,25000,25033,8424018,HSI,^HSI,9421016250786815177,2025-06-03 12:25:11.232890+08:00,乙酉,乙卯,庚申,庚寅,己卯,癸丑,戊申,甲戌,乙酉,乙卯,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
13,2019-01-03 19:00:00+08:00,25035,25112,24964,25094,2476087,HSI,^HSI,4095521087728069460,2025-06-03 12:25:11.232890+08:00,丙戌,乙卯,庚申,辛卯,己卯,癸丑,戊申,甲戌,丙戌,乙辰,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
14,2019-01-03 21:00:00+08:00,25097,25177,25094,25119,8448768,HSI,^HSI,3682922087661537707,2025-06-03 12:25:11.232890+08:00,丁亥,乙卯,庚申,壬辰,己卯,癸丑,戊申,甲戌,丁亥,乙辰,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
15,2019-01-03 23:00:00+08:00,25118,25153,25005,25110,1526873,HSI,^HSI,11552520686499308509,2025-06-03 12:25:11.232890+08:00,庚子,辛丑,丙午,乙巳,己卯,癸丑,戊申,甲戌,庚子,丙子,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
16,2019-01-04 09:00:00+08:00,24920,25412,24893,25410,7221181,HSI,^HSI,12863150387547771779,2025-06-03 12:25:11.232890+08:00,癸巳,辛丑,丙午,戊戌,己卯,癸丑,戊申,甲戌,癸巳,辛寅,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
17,2019-01-04 11:00:00+08:00,25410,25466,25357,25416,1524392,HSI,^HSI,9465512735933692721,2025-06-03 12:25:11.232890+08:00,甲午,丙辰,辛酉,己亥,己卯,癸丑,戊申,甲戌,甲午,辛卯,甲子,癸酉,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申
