,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,2024-12-06 21:05:20.243036+08:00,2024-12-06 21:05:20.243036+08:00,0,2,28,43,11,32,6,12,17,2,28,89,17,0,0,0,0,0,0,0,0,0,26,0,2024,12,6,21,4,4,False,False,False,False,False,False,341,49,2,0,0.587785,0.809017,-0.5,0.866025,4,8,1.22465e-16,-1,-0.5,-0.866025,7,4,0,1,0,1,5,3,-0.587785,-0.809017,0.866025,-0.5,5,5,-0.587785,-0.809017,0.866025,0.5,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,2,11,0.587785,0.809017,-1,-1.83697e-16,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,0,9,0,10,8,3,0,1,3,4,1,5,0,9,0,7,8,8,0,11,0,2,10,6,1,0,3,3,0,10,1,0,3,6,0,2
1,2024-12-09 21:05:20.243036+08:00,2024-12-09 21:05:20.243036+08:00,0,9,21,2,3,7,6,12,57,8,19,16,17,0,0,0,0,0,0,0,0,0,218,0,2024,12,9,21,0,4,False,False,False,False,False,False,344,50,9,0,-0.951057,-0.309017,-0.5,0.866025,3,7,-0.951057,0.309017,-0.866025,0.5,0,3,0.951057,-0.309017,1,6.12323e-17,1,3,0.951057,0.309017,0.866025,-0.5,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,0,1,0,7,8,9,0,9,3,8,1,1,0,0,0,10,8,9,0,1,0,5,10,11,1,11,3,6,0,0,1,9,3,3,0,0
2,2024-12-10 21:05:20.243036+08:00,2024-12-10 21:05:20.243036+08:00,0,8,49,41,13,7,6,12,57,6,49,112,17,0,0,0,0,0,0,0,0,0,118,0,2024,12,10,21,1,4,False,False,False,False,False,False,345,50,8,0,-0.587785,0.809017,-0.5,0.866025,8,1,-0.587785,0.809017,-0.5,0.866025,6,10,0.587785,-0.809017,0.866025,-0.5,6,3,0.587785,-0.809017,0.866025,-0.5,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,0,6,0,7,8,9,0,2,3,8,1,1,0,4,0,10,8,9,0,3,0,5,10,11,1,7,3,6,0,0,1,5,3,3,0,0
3,2024-12-11 21:05:20.243036+08:00,2024-12-11 21:05:20.243036+08:00,0,2,43,27,11,7,6,12,57,2,42,112,17,0,0,0,0,0,0,0,0,0,152,0,2024,12,11,21,2,4,False,False,False,False,False,False,346,50,2,0,0.587785,0.809017,-0.5,0.866025,7,4,0,1,0,1,4,6,1.22465e-16,-1,0.5,-0.866025,5,3,-0.587785,-0.809017,0.866025,-0.5,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,0,7,0,7,8,9,0,8,3,8,1,1,0,10,0,10,8,9,0,5,0,5,10,11,1,6,3,6,0,0,1,3,3,3,0,0
4,2024-12-12 21:05:20.243036+08:00,2024-12-12 21:05:20.243036+08:00,0,0,12,30,7,7,6,12,57,0,14,112,17,0,0,0,0,0,0,0,0,0,10,0,2024,12,12,21,3,4,False,False,False,False,False,False,347,50,0,0,0.951057,-0.309017,-0.5,0.866025,2,0,0.587785,0.809017,0.5,0.866025,5,2,-0.587785,-0.809017,1.22465e-16,-1,3,3,-0.951057,0.309017,0.866025,-0.5,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,0,11,0,7,8,9,0,0,3,8,1,1,0,11,0,10,8,9,0,9,0,5,10,11,1,1,3,6,0,0,1,1,3,3,0,0
5,2024-12-13 21:05:20.243036+08:00,2024-12-13 21:05:20.243036+08:00,0,4,8,58,15,7,6,12,57,4,8,40,17,0,0,0,0,0,0,0,0,0,110,0,2024,12,13,21,4,4,False,False,False,False,False,False,348,50,4,0,1.22465e-16,-1,-0.5,0.866025,1,5,0.951057,0.309017,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,7,3,0,1,0.866025,-0.5,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,0,10,0,7,8,9,0,4,3,8,1,1,0,7,0,10,8,9,0,2,0,5,10,11,1,3,3,6,0,0,1,6,3,3,0,0
6,2024-12-16 21:05:20.243036+08:00,2024-12-16 21:05:20.243036+08:00,0,2,27,45,11,7,6,12,57,2,24,4,17,0,0,0,0,0,0,0,0,0,20,0,2024,12,16,21,0,4,False,False,False,False,False,False,351,51,2,0,0.587785,0.809017,-0.5,0.866025,4,6,1.22465e-16,-1,0.5,-0.866025,7,7,0,1,-0.866025,0.5,5,3,-0.587785,-0.809017,0.866025,-0.5,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,0,8,0,7,8,9,0,7,3,8,1,1,0,3,0,10,8,9,0,4,0,5,10,11,1,2,3,6,0,0,1,10,3,3,0,0
7,2024-12-17 21:05:20.243036+08:00,2024-12-17 21:05:20.243036+08:00,0,0,30,13,7,7,6,12,57,0,34,4,17,0,0,0,0,0,0,0,0,0,219,0,2024,12,17,21,1,4,False,False,False,False,False,False,352,51,0,0,0.951057,-0.309017,-0.5,0.866025,5,2,-0.587785,-0.809017,1.22465e-16,-1,2,1,0.587785,0.809017,-0.5,0.866025,3,3,-0.951057,0.309017,0.866025,-0.5,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,0,2,0,7,8,9,0,6,3,8,1,1,0,5,0,10,8,9,0,10,0,5,10,11,1,8,3,6,0,0,1,4,3,3,0,0
8,2024-12-18 21:05:20.243036+08:00,2024-12-18 21:05:20.243036+08:00,0,4,58,7,15,7,6,12,57,4,58,76,17,0,0,0,0,0,0,0,0,0,128,0,2024,12,18,21,2,4,False,False,False,False,False,False,353,51,4,0,1.22465e-16,-1,-0.5,0.866025,9,8,-0.951057,-0.309017,-0.5,-0.866025,1,4,0.951057,0.309017,0,1,7,3,0,1,0.866025,-0.5,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,0,9,0,7,8,9,0,1,3,8,1,1,0,9,0,10,8,9,0,11,0,5,10,11,1,0,3,6,0,0,1,0,3,3,0,0
9,2024-12-19 21:05:20.243036+08:00,2024-12-19 21:05:20.243036+08:00,0,9,22,0,3,7,6,12,57,8,23,76,17,0,0,0,0,0,0,0,0,0,193,0,2024,12,19,21,3,4,False,False,False,False,False,False,354,51,9,0,-0.951057,-0.309017,-0.5,0.866025,3,9,-0.951057,0.309017,-0.866025,-0.5,0,0,0.951057,-0.309017,0.5,0.866025,1,3,0.951057,0.309017,0.866025,-0.5,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,0,5,0,7,8,9,0,3,3,8,1,1,0,2,0,10,8,9,0,7,0,5,10,11,1,4,3,6,0,0,1,8,3,3,0,0
