,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date
0,2019-01-02 09:00:00+08:00,25856,25868,25011,25165,9894822,HSI,^HSI,6140811199086534345,2025-06-03 13:21:12.355195+08:00
1,2019-01-02 11:00:00+08:00,25165,25202,25079,25140,7976908,HSI,^HSI,2935014214987391834,2025-06-03 13:21:12.355195+08:00
2,2019-01-02 13:00:00+08:00,25141,25223,25067,25089,3763035,HSI,^HSI,9223870862320564313,2025-06-03 13:21:12.355195+08:00
3,2019-01-02 15:00:00+08:00,25089,25113,24975,24975,9305436,HSI,^HSI,14577107504193873928,2025-06-03 13:21:12.355195+08:00
4,2019-01-02 17:00:00+08:00,25030,25090,25027,25063,9128212,HSI,^HSI,3790078662214706313,2025-06-03 13:21:12.355195+08:00
5,2019-01-02 19:00:00+08:00,25064,25147,25055,25106,1600471,HSI,^HSI,5706659012715970992,2025-06-03 13:21:12.355195+08:00
6,2019-01-02 21:00:00+08:00,25104,25198,25076,25168,1235521,HSI,^HSI,13281107398725915465,2025-06-03 13:21:12.355195+08:00
7,2019-01-02 23:00:00+08:00,25168,25363,25141,25308,1505437,HSI,^HSI,14823174835289962702,2025-06-03 13:21:12.355195+08:00
8,2019-01-03 09:00:00+08:00,25056,25238,24978,25042,7990650,HSI,^HSI,18004137205597368004,2025-06-03 13:21:12.355195+08:00
9,2019-01-03 11:00:00+08:00,25042,25048,24907,25023,5179052,HSI,^HSI,13032649419371809929,2025-06-03 13:21:12.355195+08:00
10,2019-01-03 13:00:00+08:00,25023,25058,24876,25031,2284403,HSI,^HSI,11612302359397825541,2025-06-03 13:21:12.355195+08:00
11,2019-01-03 15:00:00+08:00,25032,25092,24993,25057,8848521,HSI,^HSI,13428344525738779992,2025-06-03 13:21:12.355195+08:00
12,2019-01-03 17:00:00+08:00,25055,25081,25000,25033,2550598,HSI,^HSI,13495058523711981999,2025-06-03 13:21:12.355195+08:00
13,2019-01-03 19:00:00+08:00,25035,25112,24964,25094,7597182,HSI,^HSI,5434389152781323451,2025-06-03 13:21:12.355195+08:00
14,2019-01-03 21:00:00+08:00,25097,25177,25094,25119,7743316,HSI,^HSI,15103227178429926270,2025-06-03 13:21:12.355195+08:00
15,2019-01-03 23:00:00+08:00,25118,25153,25005,25110,5323718,HSI,^HSI,6078110197987886497,2025-06-03 13:21:12.355195+08:00
16,2019-01-04 09:00:00+08:00,24920,25412,24893,25410,8450713,HSI,^HSI,16192767999897493562,2025-06-03 13:21:12.355195+08:00
17,2019-01-04 11:00:00+08:00,25410,25466,25357,25416,5852267,HSI,^HSI,6669345503968095807,2025-06-03 13:21:12.355195+08:00
18,2019-01-04 13:00:00+08:00,25410,25564,25373,25551,8889220,HSI,^HSI,481373557703186162,2025-06-03 13:21:12.355195+08:00
19,2019-01-04 15:00:00+08:00,25552,25659,25535,25601,2978475,HSI,^HSI,12906723731199314878,2025-06-03 13:21:12.355195+08:00
20,2019-01-04 17:00:00+08:00,25600,25767,25588,25666,9200804,HSI,^HSI,13672013137763516890,2025-06-03 13:21:12.355195+08:00
21,2019-01-04 19:00:00+08:00,25667,25715,25635,25657,5996129,HSI,^HSI,11356799738116711759,2025-06-03 13:21:12.355195+08:00
