,target
483,26678.4
522,30746.7
1189,17230.6
1314,18313.9
1398,17197
233,26994.1
575,28418
196,26786.2
1352,18028.3
1299,16249
81,29363
1447,19705
1493,20225.1
1191,17966.6
111,28550.4
1316,18963.7
1035,19203.9
1370,17002.9
1121,19434.4
1305,17201.3
596,28918.1
1089,19252
310,23749.1
626,27259.2
453,25695.9
567,29078.8
1538,19828.3
1144,18119.4
361,24511.3
380,25635.7
1534,23119.6
1259,15944.6
1101,18794.1
1088,19099.3
479,26505.9
535,29098.3
838,21415.2
664,26205.9
570,29071.3
715,24080.5
1454,19423.6
1103,19172.1
482,26460.3
254,28773.6
322,23831.3
1125,20078.9
1093,19521.4
589,29166
706,25390.9
710,25050
892,19922.4
366,24427.2
649,24849.7
86,28268.7
1464,19971.2
265,26357
287,26222.1
1530,23344.2
358,24481.4
1470,19883.1
1163,17729.3
1528,23689.7
829,20644.3
1075,19560.6
221,26913.9
113,28513
1074,19978.2
615,28143.5
174,26754.1
1401,17240.4
993,21514.1
1046,20400.1
1212,16327.9
18,27531.7
1034,19539.9
285,26291.7
1061,19757.3
415,24624.3
1233,16224.5
31,28514.1
582,28027.6
210,26926.6
1273,16438.1
214,26326.7
1137,18329.3
858,21996.9
701,24763.8
988,21052.2
1355,17523.2
1276,16587.6
188,25707.9
916,18444.6
1164,17466.9
528,29718.2
147,25824.7
416,24468.9
1181,17172.1
83,28311.1
1365,17469.4
48,29012.3
1175,18238.2
155,26048.7
1182,16991.5
1174,17893.1
887,19610.8
1084,18234.3
1513,22941.3
1501,21857.9
1527,24219.9
1366,17311.1
179,25945.3
438,24667.1
1285,16499.5
847,21068
722,23983.7
865,21124.2
363,24781.6
426,23742.5
1213,16463.3
1235,16097.3
346,23732.5
1420,21092.9
1462,20155.1
576,28637.5
694,25555.7
1529,23905.6
910,19326.9
1492,20197.8
1192,17670.2
243,28319.4
1345,18027.7
1029,20051.2
651,25727.9
809,21518.1
943,14687
1313,18479.4
435,24193.3
1463,20397.1
1219,16402.2
308,23280.1
430,23275.5
1087,19108.5
398,25183
423,24455.4
370,25975.7
54,28523.3
806,21208.3
588,28910.9
601,28842.1
312,23970.4
1058,20075.7
538,28907.5
109,27498.8
618,27153.1
