,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date
0,2019-01-02 09:00:00+08:00,25856,25868,25011,25165,1619686,HSI,^HSI,2934857173511282958,2025-06-03 13:58:15.906650+08:00
1,2019-01-02 11:00:00+08:00,25165,25202,25079,25140,9075299,HSI,^HSI,7075362398123465315,2025-06-03 13:58:15.906650+08:00
2,2019-01-02 13:00:00+08:00,25141,25223,25067,25089,3697540,HSI,^HSI,18208159893251495570,2025-06-03 13:58:15.906650+08:00
3,2019-01-02 15:00:00+08:00,25089,25113,24975,24975,3161349,HSI,^HSI,1315049955090256513,2025-06-03 13:58:15.906650+08:00
4,2019-01-02 17:00:00+08:00,25030,25090,25027,25063,1632632,HSI,^HSI,12505319998514358701,2025-06-03 13:58:15.906650+08:00
5,2019-01-02 19:00:00+08:00,25064,25147,25055,25106,7712692,HSI,^HSI,1073166829692647561,2025-06-03 13:58:15.906650+08:00
6,2019-01-02 21:00:00+08:00,25104,25198,25076,25168,4211594,HSI,^HSI,14440631348113612186,2025-06-03 13:58:15.906650+08:00
7,2019-01-02 23:00:00+08:00,25168,25363,25141,25308,9947188,HSI,^HSI,8618446145671825085,2025-06-03 13:58:15.906650+08:00
8,2019-01-03 09:00:00+08:00,25056,25238,24978,25042,5927365,HSI,^HSI,8952175104912566508,2025-06-03 13:58:15.906650+08:00
9,2019-01-03 11:00:00+08:00,25042,25048,24907,25023,3064957,HSI,^HSI,14943058959775623270,2025-06-03 13:58:15.906650+08:00
10,2019-01-03 13:00:00+08:00,25023,25058,24876,25031,4540684,HSI,^HSI,5851425005808516491,2025-06-03 13:58:15.906650+08:00
11,2019-01-03 15:00:00+08:00,25032,25092,24993,25057,1239260,HSI,^HSI,767078934521830138,2025-06-03 13:58:15.906650+08:00
12,2019-01-03 17:00:00+08:00,25055,25081,25000,25033,7488209,HSI,^HSI,17978490117701780210,2025-06-03 13:58:15.906650+08:00
13,2019-01-03 19:00:00+08:00,25035,25112,24964,25094,4676592,HSI,^HSI,7054062331675086493,2025-06-03 13:58:15.906650+08:00
14,2019-01-03 21:00:00+08:00,25097,25177,25094,25119,6129582,HSI,^HSI,3033045165326188065,2025-06-03 13:58:15.906650+08:00
15,2019-01-03 23:00:00+08:00,25118,25153,25005,25110,2151013,HSI,^HSI,38581385209299348,2025-06-03 13:58:15.906650+08:00
16,2019-01-04 09:00:00+08:00,24920,25412,24893,25410,3972461,HSI,^HSI,1020455951126777752,2025-06-03 13:58:15.906650+08:00
17,2019-01-04 11:00:00+08:00,25410,25466,25357,25416,1129051,HSI,^HSI,10045274123916953838,2025-06-03 13:58:15.906650+08:00
18,2019-01-04 13:00:00+08:00,25410,25564,25373,25551,8575914,HSI,^HSI,3568067947540030960,2025-06-03 13:58:15.906650+08:00
19,2019-01-04 15:00:00+08:00,25552,25659,25535,25601,9553352,HSI,^HSI,12287042198083055959,2025-06-03 13:58:15.906650+08:00
20,2019-01-04 17:00:00+08:00,25600,25767,25588,25666,8401349,HSI,^HSI,937129388243699879,2025-06-03 13:58:15.906650+08:00
21,2019-01-04 19:00:00+08:00,25667,25715,25635,25657,6468085,HSI,^HSI,2347931693963267355,2025-06-03 13:58:15.906650+08:00
22,2019-01-04 21:00:00+08:00,25655,25729,25594,25721,5330011,HSI,^HSI,16932129315763460289,2025-06-03 13:58:15.906650+08:00
23,2019-01-04 23:00:00+08:00,25720,25981,25679,25949,6736635,HSI,^HSI,18153324054718285955,2025-06-03 13:58:15.906650+08:00
24,2019-01-07 09:00:00+08:00,26020,26098,25847,25927,8254987,HSI,^HSI,16408212487690635541,2025-06-03 13:58:15.906650+08:00
25,2019-01-07 11:00:00+08:00,25927,25934,25773,25822,8422398,HSI,^HSI,5080844412066524442,2025-06-03 13:58:15.906650+08:00
26,2019-01-07 13:00:00+08:00,25822,25886,25753,25806,2736432,HSI,^HSI,9915163306639603536,2025-06-03 13:58:15.906650+08:00
27,2019-01-07 15:00:00+08:00,25805,25874,25785,25865,7256908,HSI,^HSI,1675222791370593424,2025-06-03 13:58:15.906650+08:00
28,2019-01-07 17:00:00+08:00,25835,25835,25734,25780,3144336,HSI,^HSI,2853204109787119285,2025-06-03 13:58:15.906650+08:00
29,2019-01-07 19:00:00+08:00,25779,25838,25753,25822,3550086,HSI,^HSI,15193297428657925038,2025-06-03 13:58:15.906650+08:00
30,2019-01-07 21:00:00+08:00,25820,25833,25744,25819,8460378,HSI,^HSI,16193193647113998825,2025-06-03 13:58:15.906650+08:00
31,2019-01-07 23:00:00+08:00,25817,25903,25759,25896,3050753,HSI,^HSI,2770576066190587600,2025-06-03 13:58:15.906650+08:00
32,2019-01-08 09:00:00+08:00,25925,26006,25713,25932,1229689,HSI,^HSI,1933372450736132228,2025-06-03 13:58:15.906650+08:00
33,2019-01-08 11:00:00+08:00,25933,25976,25875,25945,1808762,HSI,^HSI,2243450395895773296,2025-06-03 13:58:15.906650+08:00
34,2019-01-08 13:00:00+08:00,25945,25981,25793,25880,8156899,HSI,^HSI,14635227737147674090,2025-06-03 13:58:15.906650+08:00
35,2019-01-08 15:00:00+08:00,25881,25938,25833,25903,7298983,HSI,^HSI,3823081062950839274,2025-06-03 13:58:15.906650+08:00
36,2019-01-08 17:00:00+08:00,25917,25990,25915,25986,4250618,HSI,^HSI,2146017055240227505,2025-06-03 13:58:15.906650+08:00
37,2019-01-08 19:00:00+08:00,25986,26058,25974,26044,5057280,HSI,^HSI,11051971462736552884,2025-06-03 13:58:15.906650+08:00
38,2019-01-08 21:00:00+08:00,26044,26181,26028,26133,3866058,HSI,^HSI,3900603429862337987,2025-06-03 13:58:15.906650+08:00
39,2019-01-08 23:00:00+08:00,26135,26167,26012,26055,9770718,HSI,^HSI,14803844262141898873,2025-06-03 13:58:15.906650+08:00
40,2019-01-09 09:00:00+08:00,26179,26605,26168,26552,6197194,HSI,^HSI,17178361433825069291,2025-06-03 13:58:15.906650+08:00
41,2019-01-09 11:00:00+08:00,26553,26571,26480,26571,5627879,HSI,^HSI,9183930518367943047,2025-06-03 13:58:15.906650+08:00
42,2019-01-09 13:00:00+08:00,26571,26652,26436,26456,4478130,HSI,^HSI,13230460163558058700,2025-06-03 13:58:15.906650+08:00
