,target
1886,27000
8441,17618
1339,25441
13295,23609
10898,16167
11892,17945
3623,24579
6749,24165
3595,24323
1501,26003
11417,16850
2788,24677
4501,29401
9271,20458
9222,20457
9941,19578
10427,17005
9741,19126
10242,17598
5768,26139
9595,19193
12133,17021
12121,17023
4401,29676
5379,27829
12601,19147
10499,17641
12778,19881
9693,18758
6508,23487
9881,19532
7300,20147
8216,16511
9749,19176
6087,25103
13162,22849
1472,26260
12536,22330
5597,26433
6896,18315
4521,29941
5579,26164
8955,20708
3995,26372
9481,19647
3646,24670
2210,27824
578,29937
1511,25986
8839,22139
12051,18043
8278,14844
9048,20551
414,29285
6627,24287
12439,17309
5614,26388
4560,30676
426,28901
621,29478
2094,28242
4643,29032
2380,26770
10846,16844
2340,27879
265,28507
4826,28639
10635,17595
10709,16504
5282,28360
12273,17618
7976,18885
10912,16346
9379,19562
2088,28295
12968,20388
2142,29030
7628,20317
9774,18370
4035,26517
1082,28403
1671,26721
5749,26023
8888,21655
12933,20028
4374,29499
9231,20343
1971,26637
2608,23256
3944,25755
7689,20887
3585,24609
694,28047
10485,17157
11429,17183
6225,24857
5418,27754
10323,17261
9782,18449
4220,26345
8380,18294
10884,16223
8163,16838
4299,27671
4860,28463
4863,28680
9025,20675
8974,20370
6395,23042
5703,25242
8602,19287
11198,16682
11997,18005
1463,26496
3613,24229
376,28941
7682,20643
12287,17397
2216,27218
9066,19915
11710,18804
12356,17950
5397,27305
7383,21366
11813,18301
12274,17613
3706,23268
11444,16928
7050,21899
2392,26694
8341,16612
2484,25290
12821,19740
7476,21492
7293,20420
2046,27850
13333,23061
1254,26346
952,28932
12528,20768
10576,17770
5677,25084
4629,29471
7077,21329
9137,19270
1718,27167
12513,20652
12413,16969
12263,17411
13141,23650
11925,18009
9680,19214
11790,18337
2954,22907
3745,23789
4660,28525
2564,21843
11511,16816
6730,24712
11018,16127
1536,26143
1056,28471
1146,27503
3509,25432
1937,26240
5613,26377
1031,28564
7809,19980
8218,16465
10280,17619
12006,17751
4721,28991
6660,24470
2543,21841
96,27030
2474,24753
2684,24522
2522,22956
7246,19726
4192,26462
2239,26142
12846,19276
12160,17404
6505,23456
1042,28622
2389,26783
8509,19441
8430,17533
1592,26471
2391,26633
3894,24483
4219,26419
3615,24373
6727,24645
13048,21822
12672,19653
12904,19460
13252,24614
3,25063
10907,16109
3643,24695
3024,24862
10991,15559
2991,24528
9170,19587
11115,16046
7524,22033
3898,24214
12359,17802
439,28602
6790,22838
13376,19653
6545,24430
4731,29343
12705,20458
7360,20864
10869,16675
12220,17115
88,27008
11240,16480
2576,23195
12820,19754
8596,19407
8168,16500
10826,16753
274,28890
1281,25974
11573,18344
10645,17478
5025,28670
12195,16601
6131,24700
5226,28808
8049,18345
3668,24225
11801,18287
6074,25506
4484,29087
