,time,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code,uuid,last_modified_date
0,2024-12-06 22:17:17.092772+08:00,乙亥,己未,甲子,庚辰,庚寅,己未,甲寅,乙酉,壬寅,己申,甲寅,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,13778021405958966307,2025-06-03 14:17:27.080157+08:00
1,2024-12-09 22:17:17.092772+08:00,辛亥,壬戌,丁卯,丙辰,丙子,己未,甲寅,辛未,戊寅,壬亥,丙子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6135769261590922105,2025-06-03 14:17:27.080157+08:00
2,2024-12-10 22:17:17.092772+08:00,癸亥,癸亥,戊辰,戊辰,丙子,己未,甲寅,辛未,庚寅,癸子,辛子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4623508796983965494,2025-06-03 14:17:27.080157+08:00
3,2024-12-11 22:17:17.092772+08:00,乙亥,甲子,己巳,庚辰,丙子,己未,甲寅,辛未,壬寅,甲丑,辛子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,12361971087779222339,2025-06-03 14:17:27.080157+08:00
4,2024-12-12 22:17:17.092772+08:00,丁亥,乙丑,庚午,壬辰,丙子,己未,甲寅,辛未,甲寅,乙寅,壬子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,767210722812423673,2025-06-03 14:17:27.080157+08:00
5,2024-12-13 22:17:17.092772+08:00,己亥,丙寅,辛未,甲辰,丙子,己未,甲寅,辛未,丙寅,丙卯,壬子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11430149148561679929,2025-06-03 14:17:27.080157+08:00
6,2024-12-16 22:17:17.092772+08:00,乙亥,己巳,甲戌,庚辰,丙子,己未,甲寅,辛未,壬寅,己午,丁子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,15317436316967458579,2025-06-03 14:17:27.080157+08:00
7,2024-12-17 22:17:17.092772+08:00,丁亥,庚午,乙亥,壬辰,丙子,己未,甲寅,辛未,甲寅,庚未,丁子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,1160638069751517139,2025-06-03 14:17:27.080157+08:00
8,2024-12-18 22:17:17.092772+08:00,己亥,辛未,丙子,甲辰,丙子,己未,甲寅,辛未,丙寅,辛申,戊子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,9517100001649439714,2025-06-03 14:17:27.080157+08:00
9,2024-12-19 22:17:17.092772+08:00,辛亥,壬申,丁丑,丙辰,丙子,己未,甲寅,辛未,戊寅,壬酉,戊子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,2684124898286857928,2025-06-03 14:17:27.080157+08:00
10,2024-12-20 22:17:17.092772+08:00,癸亥,癸酉,戊寅,戊辰,丙子,己未,甲寅,辛未,庚寅,癸戌,戊子,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6154451282985844430,2025-06-03 14:17:27.080157+08:00
11,2024-12-23 22:17:17.092772+08:00,己亥,丙子,辛巳,甲辰,辛卯,己未,甲寅,丙戌,丙寅,丙丑,癸卯,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,13436638221018678719,2025-06-03 14:17:27.080157+08:00
12,2024-12-24 22:17:17.092772+08:00,辛亥,丁丑,壬午,丙辰,辛卯,己未,甲寅,丙戌,戊寅,丁寅,甲卯,己卯,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,17088009191431867732,2025-06-03 14:17:27.080157+08:00
