,feature,importance
55,current_year_pillar_earthly_cos,0.429774
5,current_year_pillar,0.127229
50,current_year_pillar_heavenly,0.0902211
11,current_wuxi_year,0.0743831
6,current_year_pillar_minus,0.0343901
126,cs_base_day_current_year,0.0324243
56,current_year_pillar_minus_heavenly,0.0268517
59,current_year_pillar_minus_heavenly_cos,0.0226798
53,current_year_pillar_heavenly_cos,0.018016
58,current_year_pillar_minus_heavenly_sin,0.0130548
132,cs_base_hour_minus_current_year,0.0130316
51,current_year_pillar_earthly,0.0120676
54,current_year_pillar_earthly_sin,0.0104055
52,current_year_pillar_heavenly_sin,0.00897524
144,cs_base_year_current_year,0.00611887
137,cs_base_month_current_month,0.00590269
120,cs_base_hour_current_year,0.0051248
4,current_month_pillar,0.00456716
7,current_month_pillar_minus,0.00422456
66,current_month_pillar_minus_earthly_sin,0.0040113
57,current_year_pillar_minus_earthly,0.0034615
48,current_month_pillar_earthly_sin,0.00330991
61,current_year_pillar_minus_earthly_cos,0.00296881
67,current_month_pillar_minus_earthly_cos,0.00296544
138,cs_base_month_current_year,0.00245393
62,current_month_pillar_minus_heavenly,0.00243941
65,current_month_pillar_minus_heavenly_cos,0.00228534
150,cs_base_month_minus_current_year,0.00220639
127,cs_base_day_current_month_minus,0.00216637
47,current_month_pillar_heavenly_cos,0.00192518
60,current_year_pillar_minus_earthly_sin,0.00191453
46,current_month_pillar_heavenly_sin,0.00171163
44,current_month_pillar_heavenly,0.00151908
64,current_month_pillar_minus_heavenly_sin,0.00150773
151,cs_base_month_minus_current_month_minus,0.00149123
145,cs_base_year_current_month_minus,0.00144583
121,cs_base_hour_current_month_minus,0.00140906
125,cs_base_day_current_month,0.00138654
10,current_wuxi_month,0.00138361
119,cs_base_hour_current_month,0.00135105
45,current_month_pillar_earthly,0.00128446
131,cs_base_hour_minus_current_month,0.00104704
139,cs_base_month_current_month_minus,0.000952896
133,cs_base_hour_minus_current_month_minus,0.000878286
49,current_month_pillar_earthly_cos,0.000843245
149,cs_base_month_minus_current_month,0.000806712
143,cs_base_year_current_month,0.000763096
2,current_day_pillar_minus,0.000740034
63,current_month_pillar_minus_earthly,0.000558412
124,cs_base_day_current_hour_minus,0.000516857
142,cs_base_year_current_hour_minus,0.000487431
9,current_wuxi_day,0.000395531
1,current_day_pillar,0.000374808
31,current_day_pillar_earthly_cos,0.000372416
37,current_day_pillar_minus_earthly_cos,0.00028292
129,cs_base_hour_minus_current_day,0.000278488
27,current_day_pillar_earthly,0.000272774
30,current_day_pillar_earthly_sin,0.000267929
33,current_day_pillar_minus_earthly,0.000265483
39,current_hour_pillar_minus_earthly,0.000248233
117,cs_base_hour_current_day,0.000247442
123,cs_base_day_current_day,0.000232777
36,current_day_pillar_minus_earthly_sin,0.000220451
147,cs_base_month_minus_current_day,0.000215026
32,current_day_pillar_minus_heavenly,0.000209963
118,cs_base_hour_current_hour_minus,0.000199961
135,cs_base_month_current_day,0.000199218
141,cs_base_year_current_day,0.000198621
148,cs_base_month_minus_current_hour_minus,0.000181036
42,current_hour_pillar_minus_earthly_sin,0.000158509
29,current_day_pillar_heavenly_cos,0.000154994
28,current_day_pillar_heavenly_sin,0.000148307
35,current_day_pillar_minus_heavenly_cos,0.000147783
26,current_day_pillar_heavenly,0.000140844
8,current_wuxi_hour,0.000135276
34,current_day_pillar_minus_heavenly_sin,0.00012323
3,current_hour_pillar_minus,0.00011052
40,current_hour_pillar_minus_heavenly_sin,9.57732e-05
38,current_hour_pillar_minus_heavenly,9.27292e-05
22,current_hour_pillar_heavenly_sin,8.23706e-05
0,current_hour_pillar,7.41897e-05
130,cs_base_hour_minus_current_hour_minus,6.18714e-05
136,cs_base_month_current_hour_minus,5.19519e-05
20,current_hour_pillar_heavenly,4.47721e-05
41,current_hour_pillar_minus_heavenly_cos,4.29577e-05
23,current_hour_pillar_heavenly_cos,3.68306e-05
12,base_year_pillar,0
15,base_hour_pillar,0
21,current_hour_pillar_earthly,0
17,base_hour_pillar_minus,0
18,base_year_pillar_minus,0
19,base_day_pillar_minus,0
16,base_month_pillar_minus,0
13,base_month_pillar,0
14,base_day_pillar,0
81,base_day_pillar_earthly,0
87,base_hour_pillar_earthly,0
86,base_hour_pillar_heavenly,0
85,base_day_pillar_earthly_cos,0
84,base_day_pillar_earthly_sin,0
83,base_day_pillar_heavenly_cos,0
82,base_day_pillar_heavenly_sin,0
73,base_year_pillar_earthly_cos,0
72,base_year_pillar_earthly_sin,0
71,base_year_pillar_heavenly_cos,0
70,base_year_pillar_heavenly_sin,0
69,base_year_pillar_earthly,0
68,base_year_pillar_heavenly,0
24,current_hour_pillar_earthly_sin,0
25,current_hour_pillar_earthly_cos,0
43,current_hour_pillar_minus_earthly_cos,0
80,base_day_pillar_heavenly,0
79,base_month_pillar_earthly_cos,0
78,base_month_pillar_earthly_sin,0
77,base_month_pillar_heavenly_cos,0
76,base_month_pillar_heavenly_sin,0
75,base_month_pillar_earthly,0
74,base_month_pillar_heavenly,0
92,base_month_pillar_minus_heavenly,0
88,base_hour_pillar_heavenly_sin,0
116,cs_base_hour_current_hour,0
113,base_day_pillar_minus_heavenly_cos,0
114,base_day_pillar_minus_earthly_sin,0
115,base_day_pillar_minus_earthly_cos,0
112,base_day_pillar_minus_heavenly_sin,0
109,base_year_pillar_minus_earthly_cos,0
110,base_day_pillar_minus_heavenly,0
111,base_day_pillar_minus_earthly,0
107,base_year_pillar_minus_heavenly_cos,0
106,base_year_pillar_minus_heavenly_sin,0
105,base_year_pillar_minus_earthly,0
108,base_year_pillar_minus_earthly_sin,0
104,base_year_pillar_minus_heavenly,0
101,base_hour_pillar_minus_heavenly_cos,0
102,base_hour_pillar_minus_earthly_sin,0
103,base_hour_pillar_minus_earthly_cos,0
95,base_month_pillar_minus_heavenly_cos,0
94,base_month_pillar_minus_heavenly_sin,0
93,base_month_pillar_minus_earthly,0
100,base_hour_pillar_minus_heavenly_sin,0
99,base_hour_pillar_minus_earthly,0
98,base_hour_pillar_minus_heavenly,0
97,base_month_pillar_minus_earthly_cos,0
96,base_month_pillar_minus_earthly_sin,0
91,base_hour_pillar_earthly_cos,0
90,base_hour_pillar_earthly_sin,0
89,base_hour_pillar_heavenly_cos,0
122,cs_base_day_current_hour,0
134,cs_base_month_current_hour,0
128,cs_base_hour_minus_current_hour,0
140,cs_base_year_current_hour,0
146,cs_base_month_minus_current_hour,0
