,feature,importance
55,current_year_pillar_earthly_cos,0.436507
5,current_year_pillar,0.112438
11,current_wuxi_year,0.0745961
126,cs_base_day_current_year,0.0472043
58,current_year_pillar_minus_heavenly_sin,0.0286702
52,current_year_pillar_heavenly_sin,0.024634
6,current_year_pillar_minus,0.0209593
120,cs_base_hour_current_year,0.0203002
50,current_year_pillar_heavenly,0.0182281
150,cs_base_month_minus_current_year,0.0181178
54,current_year_pillar_earthly_sin,0.0175126
53,current_year_pillar_heavenly_cos,0.0170211
59,current_year_pillar_minus_heavenly_cos,0.0162879
61,current_year_pillar_minus_earthly_cos,0.0158033
144,cs_base_year_current_year,0.0157605
56,current_year_pillar_minus_heavenly,0.0150007
51,current_year_pillar_earthly,0.0135717
132,cs_base_hour_minus_current_year,0.0135637
138,cs_base_month_current_year,0.0134809
137,cs_base_month_current_month,0.00791145
7,current_month_pillar_minus,0.00414495
62,current_month_pillar_minus_heavenly,0.00388043
66,current_month_pillar_minus_earthly_sin,0.00367187
10,current_wuxi_month,0.00352612
4,current_month_pillar,0.00307359
48,current_month_pillar_earthly_sin,0.00274235
119,cs_base_hour_current_month,0.0023673
65,current_month_pillar_minus_heavenly_cos,0.00228833
64,current_month_pillar_minus_heavenly_sin,0.00224262
47,current_month_pillar_heavenly_cos,0.00219079
46,current_month_pillar_heavenly_sin,0.00207325
44,current_month_pillar_heavenly,0.00184984
151,cs_base_month_minus_current_month_minus,0.00172603
125,cs_base_day_current_month,0.00156275
63,current_month_pillar_minus_earthly,0.00146539
67,current_month_pillar_minus_earthly_cos,0.00138366
49,current_month_pillar_earthly_cos,0.00117692
139,cs_base_month_current_month_minus,0.0011572
143,cs_base_year_current_month,0.0011201
145,cs_base_year_current_month_minus,0.000960363
149,cs_base_month_minus_current_month,0.000804518
45,current_month_pillar_earthly,0.00079923
133,cs_base_hour_minus_current_month_minus,0.000768621
121,cs_base_hour_current_month_minus,0.000762934
131,cs_base_hour_minus_current_month,0.000737905
127,cs_base_day_current_month_minus,0.000661622
57,current_year_pillar_minus_earthly,0.000437615
60,current_year_pillar_minus_earthly_sin,0.000373126
2,current_day_pillar_minus,0.000296465
30,current_day_pillar_earthly_sin,0.000286173
36,current_day_pillar_minus_earthly_sin,0.000260676
31,current_day_pillar_earthly_cos,0.000194705
1,current_day_pillar,0.000177035
37,current_day_pillar_minus_earthly_cos,0.000146236
9,current_wuxi_day,0.000109094
27,current_day_pillar_earthly,0.000106436
123,cs_base_day_current_day,0.000104076
33,current_day_pillar_minus_earthly,6.74718e-05
147,cs_base_month_minus_current_day,6.68437e-05
117,cs_base_hour_current_day,6.38003e-05
135,cs_base_month_current_day,5.7155e-05
32,current_day_pillar_minus_heavenly,5.23327e-05
35,current_day_pillar_minus_heavenly_cos,5.10536e-05
141,cs_base_year_current_day,4.9451e-05
29,current_day_pillar_heavenly_cos,4.6331e-05
129,cs_base_hour_minus_current_day,4.60185e-05
26,current_day_pillar_heavenly,4.19965e-05
24,current_hour_pillar_earthly_sin,2.13533e-05
3,current_hour_pillar_minus,2.12085e-05
42,current_hour_pillar_minus_earthly_sin,1.99439e-05
28,current_day_pillar_heavenly_sin,1.90263e-05
34,current_day_pillar_minus_heavenly_sin,1.84725e-05
8,current_wuxi_hour,1.31883e-05
43,current_hour_pillar_minus_earthly_cos,1.00072e-05
0,current_hour_pillar,9.5841e-06
25,current_hour_pillar_earthly_cos,8.25529e-06
23,current_hour_pillar_heavenly_cos,8.02687e-06
38,current_hour_pillar_minus_heavenly,7.70398e-06
41,current_hour_pillar_minus_heavenly_cos,7.68526e-06
116,cs_base_hour_current_hour,7.59601e-06
134,cs_base_month_current_hour,7.04286e-06
128,cs_base_hour_minus_current_hour,6.9942e-06
140,cs_base_year_current_hour,6.30468e-06
148,cs_base_month_minus_current_hour_minus,5.90669e-06
21,current_hour_pillar_earthly,5.80529e-06
122,cs_base_day_current_hour,5.76713e-06
130,cs_base_hour_minus_current_hour_minus,5.58122e-06
40,current_hour_pillar_minus_heavenly_sin,5.50965e-06
22,current_hour_pillar_heavenly_sin,5.3943e-06
146,cs_base_month_minus_current_hour,5.18647e-06
136,cs_base_month_current_hour_minus,5.08394e-06
142,cs_base_year_current_hour_minus,5.05094e-06
20,current_hour_pillar_heavenly,4.71248e-06
118,cs_base_hour_current_hour_minus,4.63477e-06
124,cs_base_day_current_hour_minus,3.67375e-06
