,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,9,4,19,2,7,7,13,58,6,0,16,20,0,0,0,0,0,0,0,0,9,0,-0.951057,-0.309017,0.5,0.866025,0,8,0.951057,-0.309017,-0.5,-0.866025,3,4,-0.951057,0.309017,0,1,1,0,0.951057,0.309017,1.22465e-16,-1,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,9,0,7,9,9,0,1,2,8,1,1,1,9,2,10,9,9,1,11,2,5,11,11,0,0,3,6,0,0,0,0,1,3,0,0
1,8,40,48,12,7,7,13,58,5,40,112,20,0,0,0,0,0,0,0,0,8,0,-0.587785,0.809017,0.5,0.866025,6,9,0.587785,-0.809017,-0.866025,-0.5,8,0,-0.587785,0.809017,0.5,0.866025,6,0,0.587785,-0.809017,1.22465e-16,-1,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,5,0,7,9,9,0,3,2,8,1,1,1,2,2,10,9,9,1,7,2,5,11,11,0,4,3,6,0,0,0,8,1,3,0,0
2,2,29,44,10,7,7,13,58,3,28,112,20,0,0,0,0,0,0,0,0,2,0,0.587785,0.809017,0.5,0.866025,4,11,1.22465e-16,-1,-1,-1.83697e-16,7,5,0,1,0.866025,0.5,5,0,-0.587785,-0.809017,1.22465e-16,-1,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,3,0,7,9,9,0,5,2,8,1,1,1,8,2,10,9,9,1,6,2,5,11,11,0,10,3,6,0,0,0,2,1,3,0,0
3,0,33,14,6,7,7,13,58,7,35,112,20,0,0,0,0,0,0,0,0,0,0,0.951057,-0.309017,0.5,0.866025,5,7,-0.587785,-0.809017,-0.866025,0.5,2,3,0.587785,0.809017,1,6.12323e-17,3,0,-0.951057,0.309017,1.22465e-16,-1,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,1,0,7,9,9,0,9,2,8,1,1,1,0,2,10,9,9,1,1,2,5,11,11,0,11,3,6,0,0,0,9,1,3,0,0
4,4,55,11,14,7,7,13,58,1,57,40,20,0,0,0,0,0,0,0,0,4,0,1.22465e-16,-1,0.5,0.866025,9,1,-0.951057,-0.309017,-0.5,0.866025,1,10,0.951057,0.309017,0.866025,-0.5,7,0,0,1,1.22465e-16,-1,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,6,0,7,9,9,0,2,2,8,1,1,1,4,2,10,9,9,1,3,2,5,11,11,0,7,3,6,0,0,0,5,1,3,0,0
5,2,44,28,10,7,7,13,58,3,42,4,20,0,0,0,0,0,0,0,0,2,0,0.587785,0.809017,0.5,0.866025,7,5,0,1,0.866025,0.5,4,8,1.22465e-16,-1,-0.5,-0.866025,5,0,-0.587785,-0.809017,1.22465e-16,-1,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,10,0,7,9,9,0,4,2,8,1,1,1,7,2,10,9,9,1,2,2,5,11,11,0,3,3,6,0,0,0,6,1,3,0,0
6,0,14,34,6,7,7,13,58,7,14,4,20,0,0,0,0,0,0,0,0,0,0,0.951057,-0.309017,0.5,0.866025,2,3,0.587785,0.809017,1,6.12323e-17,5,9,-0.587785,-0.809017,-0.866025,-0.5,3,0,-0.951057,0.309017,1.22465e-16,-1,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,4,0,7,9,9,0,10,2,8,1,1,1,6,2,10,9,9,1,8,2,5,11,11,0,5,3,6,0,0,0,7,1,3,0,0
7,4,11,59,14,7,7,13,58,1,8,4,20,0,0,0,0,0,0,0,0,4,0,1.22465e-16,-1,0.5,0.866025,1,10,0.951057,0.309017,0.866025,-0.5,9,11,-0.951057,-0.309017,-1,-1.83697e-16,7,0,0,1,1.22465e-16,-1,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,0,0,7,9,9,0,11,2,8,1,1,1,1,2,10,9,9,1,0,2,5,11,11,0,9,3,6,0,0,0,11,1,3,0,0
8,9,3,21,2,7,7,13,58,6,5,76,20,0,0,0,0,0,0,0,0,9,0,-0.951057,-0.309017,0.5,0.866025,0,6,0.951057,-0.309017,0.5,-0.866025,3,7,-0.951057,0.309017,-0.866025,0.5,1,0,0.951057,0.309017,1.22465e-16,-1,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,8,0,7,9,9,0,7,2,8,1,1,1,3,2,10,9,9,1,4,2,5,11,11,0,2,3,6,0,0,0,10,1,3,0,0
9,8,36,49,12,7,7,13,58,5,39,76,20,0,0,0,0,0,0,0,0,8,0,-0.587785,0.809017,0.5,0.866025,6,2,0.587785,-0.809017,1.22465e-16,-1,8,1,-0.587785,0.809017,-0.5,0.866025,6,0,0.587785,-0.809017,1.22465e-16,-1,1,4,0.951057,0.309017,0,1,4,8,1.22465e-16,-1,-0.5,-0.866025,7,5,0,1,0.866025,0.5,9,8,-0.951057,-0.309017,-0.5,-0.866025,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,0.951057,0.309017,0.866025,-0.5,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,2,0,7,9,9,0,6,2,8,1,1,1,5,2,10,9,9,1,10,2,5,11,11,0,8,3,6,0,0,0,4,1,3,0,0
