,feature,importance
55,current_year_pillar_earthly_cos,0.406803
5,current_year_pillar,0.143901
11,current_wuxi_year,0.0749844
50,current_year_pillar_heavenly,0.0607848
126,cs_base_day_current_year,0.0342362
6,current_year_pillar_minus,0.0255088
59,current_year_pillar_minus_heavenly_cos,0.023827
56,current_year_pillar_minus_heavenly,0.0192214
52,current_year_pillar_heavenly_sin,0.0189378
53,current_year_pillar_heavenly_cos,0.018011
144,cs_base_year_current_year,0.0145812
58,current_year_pillar_minus_heavenly_sin,0.0144742
120,cs_base_hour_current_year,0.0138863
150,cs_base_month_minus_current_year,0.0138029
61,current_year_pillar_minus_earthly_cos,0.0129061
54,current_year_pillar_earthly_sin,0.0115791
51,current_year_pillar_earthly,0.0115775
132,cs_base_hour_minus_current_year,0.0115583
138,cs_base_month_current_year,0.00926005
137,cs_base_month_current_month,0.00815106
66,current_month_pillar_minus_earthly_sin,0.0044388
7,current_month_pillar_minus,0.00374136
10,current_wuxi_month,0.00353604
4,current_month_pillar,0.00342896
62,current_month_pillar_minus_heavenly,0.00327806
48,current_month_pillar_earthly_sin,0.00299149
119,cs_base_hour_current_month,0.00288301
47,current_month_pillar_heavenly_cos,0.00239491
65,current_month_pillar_minus_heavenly_cos,0.00232493
64,current_month_pillar_minus_heavenly_sin,0.001909
46,current_month_pillar_heavenly_sin,0.00188982
44,current_month_pillar_heavenly,0.0016947
67,current_month_pillar_minus_earthly_cos,0.00155594
151,cs_base_month_minus_current_month_minus,0.00154254
125,cs_base_day_current_month,0.00132757
143,cs_base_year_current_month,0.00109378
139,cs_base_month_current_month_minus,0.00103334
63,current_month_pillar_minus_earthly,0.000997952
57,current_year_pillar_minus_earthly,0.000976011
145,cs_base_year_current_month_minus,0.000952402
133,cs_base_hour_minus_current_month_minus,0.000827079
149,cs_base_month_minus_current_month,0.000817122
45,current_month_pillar_earthly,0.000768386
49,current_month_pillar_earthly_cos,0.000755173
131,cs_base_hour_minus_current_month,0.000662082
127,cs_base_day_current_month_minus,0.000632
121,cs_base_hour_current_month_minus,0.000517322
60,current_year_pillar_minus_earthly_sin,0.000510573
36,current_day_pillar_minus_earthly_sin,0.000325375
2,current_day_pillar_minus,0.000297384
30,current_day_pillar_earthly_sin,0.00021996
1,current_day_pillar,0.000208972
31,current_day_pillar_earthly_cos,0.000204815
37,current_day_pillar_minus_earthly_cos,0.000159337
9,current_wuxi_day,0.000111896
27,current_day_pillar_earthly,9.66526e-05
123,cs_base_day_current_day,8.65092e-05
33,current_day_pillar_minus_earthly,7.15811e-05
147,cs_base_month_minus_current_day,6.04649e-05
117,cs_base_hour_current_day,5.91169e-05
141,cs_base_year_current_day,5.78486e-05
135,cs_base_month_current_day,5.16598e-05
32,current_day_pillar_minus_heavenly,5.15421e-05
29,current_day_pillar_heavenly_cos,5.10841e-05
35,current_day_pillar_minus_heavenly_cos,4.86919e-05
26,current_day_pillar_heavenly,4.74331e-05
129,cs_base_hour_minus_current_day,4.3391e-05
3,current_hour_pillar_minus,2.21349e-05
28,current_day_pillar_heavenly_sin,2.15847e-05
34,current_day_pillar_minus_heavenly_sin,2.09455e-05
24,current_hour_pillar_earthly_sin,2.00723e-05
42,current_hour_pillar_minus_earthly_sin,1.7278e-05
0,current_hour_pillar,1.61919e-05
8,current_wuxi_hour,1.40795e-05
43,current_hour_pillar_minus_earthly_cos,1.1031e-05
116,cs_base_hour_current_hour,1.01713e-05
41,current_hour_pillar_minus_heavenly_cos,9.41237e-06
21,current_hour_pillar_earthly,9.20537e-06
122,cs_base_day_current_hour,8.62325e-06
23,current_hour_pillar_heavenly_cos,8.26607e-06
25,current_hour_pillar_earthly_cos,8.14451e-06
128,cs_base_hour_minus_current_hour,7.15173e-06
38,current_hour_pillar_minus_heavenly,7.04627e-06
134,cs_base_month_current_hour,5.97495e-06
136,cs_base_month_current_hour_minus,5.37965e-06
20,current_hour_pillar_heavenly,5.31751e-06
39,current_hour_pillar_minus_earthly,5.23969e-06
22,current_hour_pillar_heavenly_sin,5.14287e-06
140,cs_base_year_current_hour,4.87456e-06
146,cs_base_month_minus_current_hour,4.8487e-06
148,cs_base_month_minus_current_hour_minus,4.82947e-06
40,current_hour_pillar_minus_heavenly_sin,4.68227e-06
124,cs_base_day_current_hour_minus,4.63643e-06
142,cs_base_year_current_hour_minus,4.60189e-06
130,cs_base_hour_minus_current_hour_minus,4.14974e-06
118,cs_base_hour_current_hour_minus,3.44438e-06
16,base_month_pillar_minus,0
17,base_hour_pillar_minus,0
18,base_year_pillar_minus,0
19,base_day_pillar_minus,0
12,base_year_pillar,0
13,base_month_pillar,0
14,base_day_pillar,0
15,base_hour_pillar,0
71,base_year_pillar_heavenly_cos,0
70,base_year_pillar_heavenly_sin,0
69,base_year_pillar_earthly,0
68,base_year_pillar_heavenly,0
83,base_day_pillar_heavenly_cos,0
82,base_day_pillar_heavenly_sin,0
81,base_day_pillar_earthly,0
80,base_day_pillar_heavenly,0
79,base_month_pillar_earthly_cos,0
78,base_month_pillar_earthly_sin,0
77,base_month_pillar_heavenly_cos,0
76,base_month_pillar_heavenly_sin,0
75,base_month_pillar_earthly,0
74,base_month_pillar_heavenly,0
73,base_year_pillar_earthly_cos,0
72,base_year_pillar_earthly_sin,0
