,date,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,1733690841645831000,8,9,9,7,9,9,4,1,1,8,1,1,5,9,9,10,9,9,1,11,11,5,11,11,3,0,0,6,0,0,6,0,0,3,0,0
1,1733777241645831000,8,5,9,7,9,9,4,3,1,8,1,1,5,2,9,10,9,9,1,7,11,5,11,11,3,4,0,6,0,0,6,8,0,3,0,0
2,1733863641645831000,8,3,9,7,9,9,4,5,1,8,1,1,5,8,9,10,9,9,1,6,11,5,11,11,3,10,0,6,0,0,6,2,0,3,0,0
3,1733950041645831000,8,1,9,7,9,9,4,9,1,8,1,1,5,0,9,10,9,9,1,1,11,5,11,11,3,11,0,6,0,0,6,9,0,3,0,0
4,1734036441645831000,8,6,9,7,9,9,4,2,1,8,1,1,5,4,9,10,9,9,1,3,11,5,11,11,3,7,0,6,0,0,6,5,0,3,0,0
5,1734295641645831000,8,10,9,7,9,9,4,4,1,8,1,1,5,7,9,10,9,9,1,2,11,5,11,11,3,3,0,6,0,0,6,6,0,3,0,0
6,1734382041645831000,8,4,9,7,9,9,4,10,1,8,1,1,5,6,9,10,9,9,1,8,11,5,11,11,3,5,0,6,0,0,6,7,0,3,0,0
7,1734468441645831000,8,0,9,7,9,9,4,11,1,8,1,1,5,1,9,10,9,9,1,0,11,5,11,11,3,9,0,6,0,0,6,11,0,3,0,0
8,1734554841645831000,8,8,9,7,9,9,4,7,1,8,1,1,5,3,9,10,9,9,1,4,11,5,11,11,3,2,0,6,0,0,6,10,0,3,0,0
9,1734641241645831000,8,2,9,7,9,9,4,6,1,8,1,1,5,5,9,10,9,9,1,10,11,5,11,11,3,8,0,6,0,0,6,4,0,3,0,0
10,1734900441645831000,8,3,9,4,9,1,4,5,1,10,1,9,5,8,9,6,9,0,1,6,11,8,11,1,3,10,0,5,0,11,6,2,0,7,0,9
11,1734986841645831000,8,1,9,4,9,1,4,9,1,10,1,9,5,0,9,6,9,0,1,1,11,8,11,1,3,11,0,5,0,11,6,9,0,7,0,9
12,1735073241645831000,8,6,9,4,9,1,4,2,1,10,1,9,5,4,9,6,9,0,1,3,11,8,11,1,3,7,0,5,0,11,6,5,0,7,0,9
13,1735159641645831000,8,7,9,4,9,1,4,8,1,10,1,9,5,10,9,6,9,0,1,5,11,8,11,1,3,6,0,5,0,11,6,3,0,7,0,9
14,1735246041645831000,8,11,9,4,9,1,4,0,1,10,1,9,5,11,9,6,9,0,1,9,11,8,11,1,3,1,0,5,0,11,6,1,0,7,0,9
15,1735505241645831000,8,0,9,4,9,1,4,11,1,10,1,9,5,1,9,6,9,0,1,0,11,8,11,1,3,9,0,5,0,11,6,11,0,7,0,9
16,1735591641645831000,8,8,9,4,9,1,4,7,1,10,1,9,5,3,9,6,9,0,1,4,11,8,11,1,3,2,0,5,0,11,6,10,0,7,0,9
17,1735678041645831000,8,2,9,4,9,1,4,6,1,10,1,9,5,5,9,6,9,0,1,10,11,8,11,1,3,8,0,5,0,11,6,4,0,7,0,9
18,1735764441645831000,8,9,9,4,9,1,4,1,1,10,1,9,5,9,9,6,9,0,1,11,11,8,11,1,3,0,0,5,0,11,6,0,0,7,0,9
19,1735850841645831000,8,5,9,4,9,1,4,3,1,10,1,9,5,2,9,6,9,0,1,7,11,8,11,1,3,4,0,5,0,11,6,8,0,7,0,9
20,1736110041645831000,8,6,9,11,9,5,4,2,1,0,1,3,5,4,9,11,9,2,1,3,11,9,11,7,3,7,0,1,0,4,6,5,0,1,0,8
21,1736196441645831000,8,7,9,11,9,5,4,8,1,0,1,3,5,10,9,11,9,2,1,5,11,9,11,7,3,6,0,1,0,4,6,3,0,1,0,8
22,1736282841645831000,8,11,9,11,9,5,4,0,1,0,1,3,5,11,9,11,9,2,1,9,11,9,11,7,3,1,0,1,0,4,6,1,0,1,0,8
23,1736369241645831000,8,10,9,11,9,5,4,4,1,0,1,3,5,7,9,11,9,2,1,2,11,9,11,7,3,3,0,1,0,4,6,6,0,1,0,8
24,1736455641645831000,8,4,9,11,9,5,4,10,1,0,1,3,5,6,9,11,9,2,1,8,11,9,11,7,3,5,0,1,0,4,6,7,0,1,0,8
25,1736714841645831000,8,2,9,11,9,5,4,6,1,0,1,3,5,5,9,11,9,2,1,10,11,9,11,7,3,8,0,1,0,4,6,4,0,1,0,8
26,1736801241645831000,8,9,9,11,9,5,4,1,1,0,1,3,5,9,9,11,9,2,1,11,11,9,11,7,3,0,0,1,0,4,6,0,0,1,0,8
27,1736887641645831000,8,5,9,11,9,5,4,3,1,0,1,3,5,2,9,11,9,2,1,7,11,9,11,7,3,4,0,1,0,4,6,8,0,1,0,8
28,1736974041645831000,8,3,9,11,9,5,4,5,1,0,1,3,5,8,9,11,9,2,1,6,11,9,11,7,3,10,0,1,0,4,6,2,0,1,0,8
29,1737060441645831000,8,1,9,11,9,5,4,9,1,0,1,3,5,0,9,11,9,2,1,1,11,9,11,7,3,11,0,1,0,4,6,9,0,1,0,8
30,1737319641645831000,8,11,3,0,0,3,4,0,5,11,11,5,5,11,8,1,1,8,1,9,6,0,0,6,3,1,10,9,9,10,6,1,2,11,11,2
