,time,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,1733694360936313000,3,9,5,7,9,9,10,1,3,8,1,1,5,9,2,10,9,9,7,11,7,5,11,11,5,0,4,6,0,0,7,0,8,3,0,0
1,1733780760936313000,3,5,5,7,9,9,10,3,3,8,1,1,5,2,2,10,9,9,7,7,7,5,11,11,5,4,4,6,0,0,7,8,8,3,0,0
2,1733867160936313000,3,3,5,7,9,9,10,5,3,8,1,1,5,8,2,10,9,9,7,6,7,5,11,11,5,10,4,6,0,0,7,2,8,3,0,0
3,1733953560936313000,3,1,5,7,9,9,10,9,3,8,1,1,5,0,2,10,9,9,7,1,7,5,11,11,5,11,4,6,0,0,7,9,8,3,0,0
4,1734039960936313000,3,6,5,7,9,9,10,2,3,8,1,1,5,4,2,10,9,9,7,3,7,5,11,11,5,7,4,6,0,0,7,5,8,3,0,0
5,1734299160936313000,3,10,5,7,9,9,10,4,3,8,1,1,5,7,2,10,9,9,7,2,7,5,11,11,5,3,4,6,0,0,7,6,8,3,0,0
6,1734385560936313000,3,4,5,7,9,9,10,10,3,8,1,1,5,6,2,10,9,9,7,8,7,5,11,11,5,5,4,6,0,0,7,7,8,3,0,0
7,1734471960936313000,3,0,5,7,9,9,10,11,3,8,1,1,5,1,2,10,9,9,7,0,7,5,11,11,5,9,4,6,0,0,7,11,8,3,0,0
8,1734558360936313000,3,8,5,7,9,9,10,7,3,8,1,1,5,3,2,10,9,9,7,4,7,5,11,11,5,2,4,6,0,0,7,10,8,3,0,0
9,1734644760936313000,3,2,5,7,9,9,10,6,3,8,1,1,5,5,2,10,9,9,7,10,7,5,11,11,5,8,4,6,0,0,7,4,8,3,0,0
10,1734903960936313000,3,3,5,4,9,1,10,5,3,10,1,9,5,8,2,6,9,0,7,6,7,8,11,1,5,10,4,5,0,11,7,2,8,7,0,9
11,1734990360936313000,3,1,5,4,9,1,10,9,3,10,1,9,5,0,2,6,9,0,7,1,7,8,11,1,5,11,4,5,0,11,7,9,8,7,0,9
12,1735076760936313000,3,6,5,4,9,1,10,2,3,10,1,9,5,4,2,6,9,0,7,3,7,8,11,1,5,7,4,5,0,11,7,5,8,7,0,9
13,1735163160936313000,3,7,5,4,9,1,10,8,3,10,1,9,5,10,2,6,9,0,7,5,7,8,11,1,5,6,4,5,0,11,7,3,8,7,0,9
14,1735249560936313000,3,11,5,4,9,1,10,0,3,10,1,9,5,11,2,6,9,0,7,9,7,8,11,1,5,1,4,5,0,11,7,1,8,7,0,9
15,1735508760936313000,3,0,5,4,9,1,10,11,3,10,1,9,5,1,2,6,9,0,7,0,7,8,11,1,5,9,4,5,0,11,7,11,8,7,0,9
16,1735595160936313000,3,8,5,4,9,1,10,7,3,10,1,9,5,3,2,6,9,0,7,4,7,8,11,1,5,2,4,5,0,11,7,10,8,7,0,9
17,1735681560936313000,3,2,5,4,9,1,10,6,3,10,1,9,5,5,2,6,9,0,7,10,7,8,11,1,5,8,4,5,0,11,7,4,8,7,0,9
18,1735767960936313000,3,9,5,4,9,1,10,1,3,10,1,9,5,9,2,6,9,0,7,11,7,8,11,1,5,0,4,5,0,11,7,0,8,7,0,9
19,1735854360936313000,3,5,5,4,9,1,10,3,3,10,1,9,5,2,2,6,9,0,7,7,7,8,11,1,5,4,4,5,0,11,7,8,8,7,0,9
20,1736113560936313000,3,6,5,11,9,5,10,2,3,0,1,3,5,4,2,11,9,2,7,3,7,9,11,7,5,7,4,1,0,4,7,5,8,1,0,8
21,1736199960936313000,3,7,5,11,9,5,10,8,3,0,1,3,5,10,2,11,9,2,7,5,7,9,11,7,5,6,4,1,0,4,7,3,8,1,0,8
22,1736286360936313000,3,11,5,11,9,5,10,0,3,0,1,3,5,11,2,11,9,2,7,9,7,9,11,7,5,1,4,1,0,4,7,1,8,1,0,8
23,1736372760936313000,3,10,5,11,9,5,10,4,3,0,1,3,5,7,2,11,9,2,7,2,7,9,11,7,5,3,4,1,0,4,7,6,8,1,0,8
24,1736459160936313000,3,4,5,11,9,5,10,10,3,0,1,3,5,6,2,11,9,2,7,8,7,9,11,7,5,5,4,1,0,4,7,7,8,1,0,8
25,1736718360936313000,3,2,5,11,9,5,10,6,3,0,1,3,5,5,2,11,9,2,7,10,7,9,11,7,5,8,4,1,0,4,7,4,8,1,0,8
26,1736804760936313000,3,9,5,11,9,5,10,1,3,0,1,3,5,9,2,11,9,2,7,11,7,9,11,7,5,0,4,1,0,4,7,0,8,1,0,8
27,1736891160936313000,3,5,5,11,9,5,10,3,3,0,1,3,5,2,2,11,9,2,7,7,7,9,11,7,5,4,4,1,0,4,7,8,8,1,0,8
28,1736977560936313000,3,3,5,11,9,5,10,5,3,0,1,3,5,8,2,11,9,2,7,6,7,9,11,7,5,10,4,1,0,4,7,2,8,1,0,8
29,1737063960936313000,3,1,5,11,9,5,10,9,3,0,1,3,5,0,2,11,9,2,7,1,7,9,11,7,5,11,4,1,0,4,7,9,8,1,0,8
30,1737323160936313000,3,11,1,0,0,3,10,0,9,11,11,5,5,11,0,1,1,8,7,9,1,0,0,6,5,1,11,9,9,10,7,1,9,11,11,2
