,time,date,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,1733705435019574000,1733705435019574000,0,9,3,7,9,9,10,1,5,8,1,1,1,9,8,10,9,9,0,11,6,5,11,11,8,0,10,6,0,0,10,0,2,3,0,0
1,1733791835019574000,1733791835019574000,0,5,3,7,9,9,10,3,5,8,1,1,1,2,8,10,9,9,0,7,6,5,11,11,8,4,10,6,0,0,10,8,2,3,0,0
2,1733878235019574000,1733878235019574000,0,3,3,7,9,9,10,5,5,8,1,1,1,8,8,10,9,9,0,6,6,5,11,11,8,10,10,6,0,0,10,2,2,3,0,0
3,1733964635019574000,1733964635019574000,0,1,3,7,9,9,10,9,5,8,1,1,1,0,8,10,9,9,0,1,6,5,11,11,8,11,10,6,0,0,10,9,2,3,0,0
4,1734051035019574000,1734051035019574000,0,6,3,7,9,9,10,2,5,8,1,1,1,4,8,10,9,9,0,3,6,5,11,11,8,7,10,6,0,0,10,5,2,3,0,0
5,1734310235019574000,1734310235019574000,0,10,3,7,9,9,10,4,5,8,1,1,1,7,8,10,9,9,0,2,6,5,11,11,8,3,10,6,0,0,10,6,2,3,0,0
6,1734396635019574000,1734396635019574000,0,4,3,7,9,9,10,10,5,8,1,1,1,6,8,10,9,9,0,8,6,5,11,11,8,5,10,6,0,0,10,7,2,3,0,0
7,1734483035019574000,1734483035019574000,0,0,3,7,9,9,10,11,5,8,1,1,1,1,8,10,9,9,0,0,6,5,11,11,8,9,10,6,0,0,10,11,2,3,0,0
8,1734569435019574000,1734569435019574000,0,8,3,7,9,9,10,7,5,8,1,1,1,3,8,10,9,9,0,4,6,5,11,11,8,2,10,6,0,0,10,10,2,3,0,0
9,1734655835019574000,1734655835019574000,0,2,3,7,9,9,10,6,5,8,1,1,1,5,8,10,9,9,0,10,6,5,11,11,8,8,10,6,0,0,10,4,2,3,0,0
10,1734915035019574000,1734915035019574000,0,3,3,4,9,1,10,5,5,10,1,9,1,8,8,6,9,0,0,6,6,8,11,1,8,10,10,5,0,11,10,2,2,7,0,9
11,1735001435019574000,1735001435019574000,0,1,3,4,9,1,10,9,5,10,1,9,1,0,8,6,9,0,0,1,6,8,11,1,8,11,10,5,0,11,10,9,2,7,0,9
12,1735087835019574000,1735087835019574000,0,6,3,4,9,1,10,2,5,10,1,9,1,4,8,6,9,0,0,3,6,8,11,1,8,7,10,5,0,11,10,5,2,7,0,9
13,1735174235019574000,1735174235019574000,0,7,3,4,9,1,10,8,5,10,1,9,1,10,8,6,9,0,0,5,6,8,11,1,8,6,10,5,0,11,10,3,2,7,0,9
