,time,date,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,1749085116656661000,1749085116656661000,0,8,3,5,8,4,10,7,5,3,7,10,1,3,8,2,3,6,0,4,6,7,4,8,8,2,10,4,2,5,10,10,2,8,10,7
1,1749171516656661000,1749171516656661000,0,2,6,2,5,6,10,6,2,6,3,2,1,5,4,5,2,4,0,10,3,10,7,3,8,8,7,8,4,7,10,4,5,4,8,5
2,1749430716656661000,1749430716656661000,0,3,6,2,5,6,10,5,2,6,3,2,1,8,4,5,2,4,0,6,3,10,7,3,8,10,7,8,4,7,10,2,5,4,8,5
3,1749517116656661000,1749517116656661000,0,1,6,2,5,6,10,9,2,6,3,2,1,0,4,5,2,4,0,1,3,10,7,3,8,11,7,8,4,7,10,9,5,4,8,5
4,1749603516656661000,1749603516656661000,0,6,6,2,5,6,10,2,2,6,3,2,1,4,4,5,2,4,0,3,3,10,7,3,8,7,7,8,4,7,10,5,5,4,8,5
5,1749689916656661000,1749689916656661000,0,7,6,2,5,6,10,8,2,6,3,2,1,10,4,5,2,4,0,5,3,10,7,3,8,6,7,8,4,7,10,3,5,4,8,5
6,1749776316656661000,1749776316656661000,0,11,6,2,5,6,10,0,2,6,3,2,1,11,4,5,2,4,0,9,3,10,7,3,8,1,7,8,4,7,10,1,5,4,8,5
7,1750035516656661000,1750035516656661000,0,0,6,2,5,6,10,11,2,6,3,2,1,1,4,5,2,4,0,0,3,10,7,3,8,9,7,8,4,7,10,11,5,4,8,5
8,1750121916656661000,1750121916656661000,0,8,6,2,5,6,10,7,2,6,3,2,1,3,4,5,2,4,0,4,3,10,7,3,8,2,7,8,4,7,10,10,5,4,8,5
9,1750208316656661000,1750208316656661000,0,2,6,2,5,6,10,6,2,6,3,2,1,5,4,5,2,4,0,10,3,10,7,3,8,8,7,8,4,7,10,4,5,4,8,5
10,1750294716656661000,1750294716656661000,0,9,6,2,5,6,10,1,2,6,3,2,1,9,4,5,2,4,0,11,3,10,7,3,8,0,7,8,4,7,10,0,5,4,8,5
11,1750381116656661000,1750381116656661000,0,5,6,2,5,6,10,3,2,6,3,2,1,2,4,5,2,4,0,7,3,10,7,3,8,4,7,8,4,7,10,8,5,4,8,5
12,1750640316656661000,1750640316656661000,0,6,6,3,5,10,10,2,2,5,3,4,1,4,4,8,2,7,0,3,3,6,7,2,8,7,7,10,4,3,10,5,5,2,8,6
13,1750726716656661000,1750726716656661000,0,7,6,3,5,10,10,8,2,5,3,4,1,10,4,8,2,7,0,5,3,6,7,2,8,6,7,10,4,3,10,3,5,2,8,6
14,1750813116656661000,1750813116656661000,0,11,6,3,5,10,10,0,2,5,3,4,1,11,4,8,2,7,0,9,3,6,7,2,8,1,7,10,4,3,10,1,5,2,8,6
15,1750899516656661000,1750899516656661000,0,10,6,3,5,10,10,4,2,5,3,4,1,7,4,8,2,7,0,2,3,6,7,2,8,3,7,10,4,3,10,6,5,2,8,6
16,1750985916656661000,1750985916656661000,0,4,6,3,5,10,10,10,2,5,3,4,1,6,4,8,2,7,0,8,3,6,7,2,8,5,7,10,4,3,10,7,5,2,8,6
17,1751245116656661000,1751245116656661000,0,2,6,3,5,10,10,6,2,5,3,4,1,5,4,8,2,7,0,10,3,6,7,2,8,8,7,10,4,3,10,4,5,2,8,6
18,1751331516656661000,1751331516656661000,0,9,6,3,5,10,10,1,2,5,3,4,1,9,4,8,2,7,0,11,3,6,7,2,8,0,7,10,4,3,10,0,5,2,8,6
19,1751417916656661000,1751417916656661000,0,5,6,3,5,10,10,3,2,5,3,4,1,2,4,8,2,7,0,7,3,6,7,2,8,4,7,10,4,3,10,8,5,2,8,6
20,1751504316656661000,1751504316656661000,0,3,6,3,5,10,10,5,2,5,3,4,1,8,4,8,2,7,0,6,3,6,7,2,8,10,7,10,4,3,10,2,5,2,8,6
21,1751590716656661000,1751590716656661000,0,1,6,3,5,10,10,9,2,5,3,4,1,0,4,8,2,7,0,1,3,6,7,2,8,11,7,10,4,3,10,9,5,2,8,6
