,time,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,1749086476013607000,6,8,1,5,8,4,7,7,9,3,7,10,2,3,0,2,3,6,3,4,1,7,4,8,2,2,11,4,2,5,9,10,9,8,10,7
1,1749172876013607000,6,2,7,2,5,6,7,6,8,6,3,2,2,5,10,5,2,4,3,10,5,10,7,3,2,8,6,8,4,7,9,4,3,4,8,5
2,1749432076013607000,6,3,7,2,5,6,7,5,8,6,3,2,2,8,10,5,2,4,3,6,5,10,7,3,2,10,6,8,4,7,9,2,3,4,8,5
3,1749518476013607000,6,1,7,2,5,6,7,9,8,6,3,2,2,0,10,5,2,4,3,1,5,10,7,3,2,11,6,8,4,7,9,9,3,4,8,5
4,1749604876013607000,6,6,7,2,5,6,7,2,8,6,3,2,2,4,10,5,2,4,3,3,5,10,7,3,2,7,6,8,4,7,9,5,3,4,8,5
5,1749691276013607000,6,7,7,2,5,6,7,8,8,6,3,2,2,10,10,5,2,4,3,5,5,10,7,3,2,6,6,8,4,7,9,3,3,4,8,5
6,1749777676013607000,6,11,7,2,5,6,7,0,8,6,3,2,2,11,10,5,2,4,3,9,5,10,7,3,2,1,6,8,4,7,9,1,3,4,8,5
7,1750036876013607000,6,0,7,2,5,6,7,11,8,6,3,2,2,1,10,5,2,4,3,0,5,10,7,3,2,9,6,8,4,7,9,11,3,4,8,5
8,1750123276013607000,6,8,7,2,5,6,7,7,8,6,3,2,2,3,10,5,2,4,3,4,5,10,7,3,2,2,6,8,4,7,9,10,3,4,8,5
9,1750209676013607000,6,2,7,2,5,6,7,6,8,6,3,2,2,5,10,5,2,4,3,10,5,10,7,3,2,8,6,8,4,7,9,4,3,4,8,5
10,1750296076013607000,6,9,7,2,5,6,7,1,8,6,3,2,2,9,10,5,2,4,3,11,5,10,7,3,2,0,6,8,4,7,9,0,3,4,8,5
11,1750382476013607000,6,5,7,2,5,6,7,3,8,6,3,2,2,2,10,5,2,4,3,7,5,10,7,3,2,4,6,8,4,7,9,8,3,4,8,5
12,1750641676013607000,6,6,7,3,5,10,7,2,8,5,3,4,2,4,10,8,2,7,3,3,5,6,7,2,2,7,6,10,4,3,9,5,3,2,8,6
13,1750728076013607000,6,7,7,3,5,10,7,8,8,5,3,4,2,10,10,8,2,7,3,5,5,6,7,2,2,6,6,10,4,3,9,3,3,2,8,6
