,target
4586,18156
5160,16815
4271,20041
978,28606
5171,16253
5253,19513
4399,19126
2943,23216
5432,18216.4
344,27854
3372,21209
911,26174
4515,18590
47,27032
2500,27423
5343,17992
443,28056
2358,29185
1879,26483
5975,24186
4280,19732
3129,19097
2291,28442
3185,22327
4229,19960
4405,19321
5059,16168
2407,28694
1055,26276
848,26560
2828,24960
5523,17151
3053,24681
5162,16763
5764,19876
4398,18806
4796,17591
1112,27200
1295,24495
776,26834
5835,19862
183,28906
5998,23380
5045,16524
2698,23975
5689,19165
734,25948
4196,20646
4868,16644
1168,24075
2758,25640
4002,21643
4614,18003
485,28903
3139,21206
452,28422
2960,23698
1634,25065
5882,21819
30,26696
789,26541
5280,18906
5176,16469
1902,26543
1109,27228
100,28130
5877,21440
2794,24779
3341,21159
5433,18302.2
1992,28378
5652,22473
4557,18177
1926,26698
861,26594
1695,23629
903,26348
2164,29369
109,28228
2836,24612
3733,15330
5179,16050
2925,23224
5326,18314
1606,25069
3720,16197
6029,20398
4694,17389
2526,26121
4882,16994
2115,29004
1730,24173
3217,20970
5797,19301
4099,19565
1094,27885
1121,26573
1942,26325
4476,20278
809,26665
3779,16066
1383,23751
5969,24100
5048,16560
6079,22009
4322,18887
5597,17253
5792,19369
5812,19263
1533,24777
3101,21859
4897,16586
2406,28645
3759,15391
2022,30081
3886,19385
5086,17122
3007,24328
3167,21598
2439,28211
4176,20375
1892,26386
5137,16764
1204,23618
5787,19748
1978,27801
2827,24994
5101,16558
4513,19073
2944,23230
6138,23601
518,28543
829,27744
5120,16500
2344,29155
438,27349
627,26113
2592,25607
5492,16952
925,26486
3563,19376
6077,22221
1052,26233
3026,24493
3011,23787
1173,23514
3439,21057
5206,17681
944,27855
4903,16576
5653,22524
12,25822
1117,26653
4747,17602
2707,24532
5064,16516
642,25457
2678,24162
3393,21074
4772,17842
3926,20932
1319,24519
1684,24394
4104,19769
5643,20566
3927,21169
2617,26041
2213,28738
5615,17679
653,25505
429,27088
1737,24054
4857,16658
2664,23910
6023,23209
2505,26368
5733,20207
3857,19165
838,27680
1087,27651
6036,19907
4487,19468
4899,16685
2318,28009
4269,19961
856,26391
3688,17295
2913,23035
5490,17314
4032,20838
5412,17818
5798,19370
2117,29453
693,26737
5285,18509
2820,25274
188,28817
287,29944
5035,16663
2877,24005
5843,20093
2985,24103
3882,19393
1338,23832
2191,28285
2473,27735
2694,24524
2244,29071
2273,28662
3148,21235
210,29393
2886,23979
1498,25377
4727,17147
3989,21732
73,27553
5836,19783
4490,19439
2750,26140
2764,25385
5854,20206
4819,16714
5184,16526
5752,19921
3819,17618
1231,23140
3829,17263
2609,25645
1632,25112
6035,19918
1379,23599
5974,24220
5049,16581
113,27937
5231,18443
5005,15933
1438,24513
4509,19202
4235,19573
1483,26153
3116,20519
1964,27393
507,28498
4728,17084
5291,18318
4256,19678
4458,18677
2577,25237
1864,26676
5670,20782
252,30003
1921,26462
350,28070
2915,23062
2676,24462
3418,21691
457,28196
3460,20848
479,28874
1114,26803
798,26686
4338,19250
3336,21099
4672,17930
26,26470
3246,20055
