,time,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,1546390800000000,2,6,0,4,9,1,3,2,4,10,0,9,1,4,0,6,9,0,0,3,0,8,7,1,1,7,5,5,1,11,3,5,5,7,1,9
1,1546398000000000,0,10,2,4,9,1,2,4,1,10,0,9,2,7,1,6,9,0,2,2,2,8,7,1,3,3,4,5,1,11,1,6,2,7,1,9
2,1546405200000000,3,10,3,4,9,1,0,4,3,10,0,9,3,7,4,6,9,0,3,2,3,8,7,1,0,3,3,5,1,11,0,6,1,7,1,9
3,1546412400000000,1,10,5,4,9,1,1,4,0,10,0,9,0,7,5,6,9,0,1,2,5,8,7,1,2,3,0,5,1,11,2,6,0,7,1,9
4,1546477200000000,2,7,0,4,9,1,3,8,4,10,0,9,1,10,0,6,9,0,0,5,0,8,7,1,1,6,5,5,1,11,3,3,5,7,1,9
5,1546484400000000,0,4,2,4,9,1,2,10,1,10,0,9,2,6,1,6,9,0,2,8,2,8,7,1,3,5,4,5,1,11,1,7,2,7,1,9
6,1546491600000000,3,4,3,4,9,1,0,10,3,10,0,9,3,6,4,6,9,0,3,8,3,8,7,1,0,5,3,5,1,11,0,7,1,7,1,9
7,1546498800000000,1,4,5,4,9,1,1,10,0,10,0,9,0,6,5,6,9,0,1,8,5,8,7,1,2,5,0,5,1,11,2,7,0,7,1,9
8,1546563600000000,2,11,0,4,9,1,3,0,4,10,0,9,1,11,0,6,9,0,0,9,0,8,7,1,1,1,5,5,1,11,3,1,5,7,1,9
9,1546570800000000,0,0,2,4,9,1,2,11,1,10,0,9,2,1,1,6,9,0,2,0,2,8,7,1,3,9,4,5,1,11,1,11,2,7,1,9
10,1546578000000000,3,0,3,4,9,1,0,11,3,10,0,9,3,1,4,6,9,0,3,0,3,8,7,1,0,9,3,5,1,11,0,11,1,7,1,9
11,1546585200000000,1,0,5,4,9,1,1,11,0,10,0,9,0,1,5,6,9,0,1,0,5,8,7,1,2,9,0,5,1,11,2,11,0,7,1,9
12,1546822800000000,2,0,0,11,9,5,3,11,4,0,0,3,1,1,0,11,9,2,0,0,0,9,7,7,1,9,5,1,1,4,3,11,5,1,1,8
13,1546830000000000,0,9,2,11,9,5,2,1,1,0,0,3,2,9,1,11,9,2,2,11,2,9,7,7,3,0,4,1,1,4,1,0,2,1,1,8
14,1546837200000000,3,9,3,11,9,5,0,1,3,0,0,3,3,9,4,11,9,2,3,11,3,9,7,7,0,0,3,1,1,4,0,0,1,1,1,8
