,feature,importance
22,cs_base_month_current_year,0.335733
34,cs_base_month_minus_current_year,0.246262
10,cs_base_day_current_year,0.0782736
33,cs_base_month_minus_current_month,0.0685263
21,cs_base_month_current_month,0.0389768
28,cs_base_year_current_year,0.029792
15,cs_base_hour_minus_current_month,0.0273345
17,cs_base_hour_minus_current_month_minus,0.0199245
4,cs_base_hour_current_year,0.0195624
23,cs_base_month_current_month_minus,0.0143555
27,cs_base_year_current_month,0.0137426
3,cs_base_hour_current_month,0.0123073
16,cs_base_hour_minus_current_year,0.0123069
11,cs_base_day_current_month_minus,0.011286
9,cs_base_day_current_month,0.0109199
29,cs_base_year_current_month_minus,0.00697957
5,cs_base_hour_current_month_minus,0.00540785
35,cs_base_month_minus_current_month_minus,0.00476791
13,cs_base_hour_minus_current_day,0.00465759
31,cs_base_month_minus_current_day,0.00462575
7,cs_base_day_current_day,0.00453511
25,cs_base_year_current_day,0.00434851
19,cs_base_month_current_day,0.00403365
1,cs_base_hour_current_day,0.00362939
12,cs_base_hour_minus_current_hour,0.00213636
0,cs_base_hour_current_hour,0.00195307
6,cs_base_day_current_hour,0.00171034
14,cs_base_hour_minus_current_hour_minus,0.00161373
20,cs_base_month_current_hour_minus,0.00154234
32,cs_base_month_minus_current_hour_minus,0.00133574
18,cs_base_month_current_hour,0.00133029
26,cs_base_year_current_hour_minus,0.00130187
24,cs_base_year_current_hour,0.00129417
30,cs_base_month_minus_current_hour,0.0012919
8,cs_base_day_current_hour_minus,0.00119779
2,cs_base_hour_current_hour_minus,0.00100344
