,time,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code,uuid,last_modified_date
0,2025-06-04 09:53:49.748301+08:00,己巳,甲辰,己酉,甲戌,丙申,乙巳,庚子,辛卯,己巳,甲巳,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4794412283148355191,2025-06-04 02:55:55.789041+08:00
1,2025-06-04 10:53:49.748301+08:00,己巳,甲辰,己酉,甲戌,丙申,乙巳,庚子,辛卯,丙申,甲巳,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,7841148339623660384,2025-06-04 02:55:55.789041+08:00
2,2025-06-04 11:53:49.748301+08:00,庚午,己未,甲子,乙亥,丙申,乙巳,庚子,辛卯,庚午,甲午,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,2667476285734192436,2025-06-04 02:55:55.789041+08:00
3,2025-06-04 12:53:49.748301+08:00,庚午,己未,甲子,乙亥,丙申,乙巳,庚子,辛卯,丁酉,己午,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,15326916070108719178,2025-06-04 02:55:55.789041+08:00
4,2025-06-04 13:53:49.748301+08:00,辛未,己未,甲子,丙子,丙申,乙巳,庚子,辛卯,辛未,己午,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,17064049654431412144,2025-06-04 02:55:55.789041+08:00
5,2025-06-04 14:53:49.748301+08:00,辛未,己未,甲子,丙子,丙申,乙巳,庚子,辛卯,戊戌,己午,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,2128001418401639826,2025-06-04 02:55:55.789041+08:00
6,2025-06-04 15:53:49.748301+08:00,壬申,己未,甲子,丁丑,丙申,乙巳,庚子,辛卯,壬申,己未,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,1389699063495765342,2025-06-04 02:55:55.789041+08:00
7,2025-06-04 16:53:49.748301+08:00,壬申,己未,甲子,丁丑,丙申,乙巳,庚子,辛卯,己亥,己未,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,12381958394648092122,2025-06-04 02:55:55.789041+08:00
8,2025-06-05 09:53:49.748301+08:00,辛巳,乙巳,庚戌,丙戌,丙申,乙巳,庚子,辛卯,辛巳,乙午,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,7720104855767475656,2025-06-04 02:55:55.789041+08:00
9,2025-06-05 10:53:49.748301+08:00,辛巳,乙巳,庚戌,丙戌,丙申,乙巳,庚子,辛卯,戊申,乙午,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,7203008362129669389,2025-06-04 02:55:55.789041+08:00
10,2025-06-05 11:53:49.748301+08:00,壬午,庚申,乙丑,丁亥,丙申,乙巳,庚子,辛卯,壬午,乙未,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,10529388533948100004,2025-06-04 02:55:55.789041+08:00
11,2025-06-05 12:53:49.748301+08:00,壬午,庚申,乙丑,丁亥,丙申,乙巳,庚子,辛卯,己酉,庚未,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,7254056788171485920,2025-06-04 02:55:55.789041+08:00
12,2025-06-05 13:53:49.748301+08:00,癸未,庚申,乙丑,戊子,丙申,乙巳,庚子,辛卯,癸未,庚未,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,16121247805846980929,2025-06-04 02:55:55.789041+08:00
13,2025-06-05 14:53:49.748301+08:00,癸未,庚申,乙丑,戊子,丙申,乙巳,庚子,辛卯,庚戌,庚未,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,3478987714857967177,2025-06-04 02:55:55.789041+08:00
14,2025-06-05 15:53:49.748301+08:00,甲申,庚申,乙丑,己丑,丙申,乙巳,庚子,辛卯,甲申,庚申,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6590213922475442779,2025-06-04 02:55:55.789041+08:00
15,2025-06-05 16:53:49.748301+08:00,甲申,庚申,乙丑,己丑,丙申,乙巳,庚子,辛卯,辛亥,庚申,庚申,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4044661734121045906,2025-06-04 02:55:55.789041+08:00
16,2025-06-06 09:53:49.748301+08:00,癸巳,丙午,辛丑,戊子,壬午,庚申,乙丑,丁亥,癸巳,丙未,壬午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,12805808705640685150,2025-06-04 02:55:55.789041+08:00
17,2025-06-06 10:53:49.748301+08:00,癸巳,丙午,辛丑,戊子,壬午,庚申,乙丑,丁亥,庚申,丙未,壬午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,13188578522210689076,2025-06-04 02:55:55.789041+08:00
18,2025-06-06 11:53:49.748301+08:00,甲午,辛酉,丙辰,己丑,壬午,庚申,乙丑,丁亥,甲午,丙申,壬午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,17359904038975928251,2025-06-04 02:55:55.789041+08:00
19,2025-06-06 12:53:49.748301+08:00,甲午,辛酉,丙辰,己丑,壬午,庚申,乙丑,丁亥,辛酉,辛申,壬午,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,78438664892496251,2025-06-04 02:55:55.789041+08:00
