,target
10435,17423
3704,24014
12988,24716
9664,19057
6472,24916
9232,19825
6896,22091
8191,16076
10854,16260
12807,22995
10719,15875
1472,26092
4679,27927
5562,24840
10182,17797
13025,23380
10295,18001
7377,22105
6384,23467
3128,26575
6377,23062
2210,25997
578,29937
1511,26045
8943,19163
12011,17196
3393,25316
3323,25096
414,29285
11199,17167
8514,21099
5579,25573
12223,18381
426,28901
621,29478
2094,28584
8139,15403
2380,26000
12312,21562
2340,27318
265,28507
3013,23775
10441,17453
8861,20656
7051,20934
7589,19913
7567,20061
7464,20599
9350,18275
2088,28502
12927,23878
2142,29065
13232,22069
9745,19602
3988,26574
1082,28459
1671,26726
5117,28690
5905,26153
4083,26378
6606,24715
9202,19922
1971,27580
2608,23529
7524,20618
7645,19940
3545,24413
694,28047
5246,28630
11391,19027
6189,23486
3526,24495
6641,23671
10317,17682
4194,27225
8354,19428
5324,27735
4901,28133
3938,26405
4829,28609
4832,28576
10122,17499
8370,19589
8205,17878
12894,22983
8968,19675
11160,17018
4708,28386
1463,26250
7908,17815
376,28941
10801,15908
10198,17389
2216,26275
3694,24073
11672,18344
10254,17537
10266,17113
7341,21187
3080,24483
12442,20329
5376,27698
5612,25326
3378,25202
2392,25996
9605,18642
2484,22956
7624,19984
7434,21680
7251,21830
2046,28638
4202,27457
1254,26170
952,28951
6130,24738
12855,23155
3312,24981
13101,20369
7281,20598
11136,16539
1718,27676
4077,26539
7458,20893
12861,23754
11559,18314
3946,26537
10772,16121
9717,20229
10126,17560
7499,20790
7393,21664
2564,23247
4301,29652
6692,22356
9490,19208
1536,26012
1056,28427
1146,26859
3646,23109
1937,26357
8280,17693
1031,28550
7765,19878
3169,25749
4618,28772
6734,20863
4693,27771
9158,19755
2543,23412
96,27030
2474,23496
2684,24277
2522,21496
3635,23251
6178,23792
2239,27290
12060,17603
7073,19439
11078,16725
1042,28542
2389,26232
4156,26189
8403,19692
1592,26662
2391,26059
10845,15596
4193,27289
3574,24846
9470,19896
13007,23847
2913,22791
3467,25618
13211,21997
3,25063
6932,21351
4404,28805
2884,22889
12284,21684
2957,24330
7318,21022
11147,16570
6713,21084
5824,24023
10538,16183
439,28602
8447,19200
5350,27522
7666,19944
6757,19555
2910,23060
8499,20258
7103,19959
6000,25190
88,27008
11202,16961
2576,23425
5709,25763
11661,18034
8121,14897
11956,16893
274,28890
1281,25833
9734,19527
10689,16320
3692,24050
5169,28430
9661,19159
11487,18376
12629,19312
6495,24328
9345,18338
9285,19631
9234,19654
11770,17583
415,29322
3222,25474
2250,27274
8786,20538
7342,21142
5568,25347
4442,29971
710,27687
11701,18068
11606,18158
407,29524
8284,17722
10500,16379
11027,16477
6884,22327
6323,23257
8037,16531
13185,22078
4878,28904
9129,20282
5219,29117
8414,19528
7740,20126
4513,30088
12678,19924
11739,17723
12534,20083
1523,26080
9136,20013
1110,28391
11002,16138
1406,27307
9123,20394
5990,25014
9304,19723
7068,19833
10747,15313
9480,19567
7625,19958
2559,23161
3120,25214
12355,19295
9863,17783
633,29863
8061,16243
10385,17828
2168,28318
4981,27909
7717,19467
131,27157
3822,24472
10378,17627
6991,20082
12126,17475
774,26933
11359,18392
11072,16736
1631,26800
2333,27255
3017,24471
8115,15192
2540,23618
469,29076
9946,18424
8300,17654
5500,26504
12242,19197
9551,19230
13057,23313
4084,26413
8829,20351
11280,16857
598,29397
13398,23207
563,30189
1905,26253
5987,24854
4339,29883
9024,20540
1576,26522
4450,30692
9883,17974
5503,26647
10686,16165
7467,20875
9875,18196
9944,18283
79,26793
12606,18946
6225,24099
2372,26591
11514,18418
7301,21085
4407,29080
7157,20499
3838,24524
11992,17126
11189,16877
7210,21134
12197,17705
6558,24745
2091,28532
11584,18407
1904,26261
9502,18855
2837,23812
12999,24500
2498,21812
1851,26960
11933,16846
4074,26515
2588,22612
13050,23819
11539,18147
8470,20041
1145,26836
9468,19730
13219,21981
11502,18154
10401,17702
9284,19619
8331,18763
852,27065
1494,25968
4233,27461
6649,22960
2464,23144
12201,17673
12813,22951
1805,27054
2288,27608
387,29131
7654,20130
2937,24130
5888,25560
188,27951
1123,28193
3111,25028
3204,25104
6351,23214
9918,18333
6912,21690
10451,17108
1594,26749
7225,20995
8536,21508
500,29915
12074,17700
8559,21410
8159,16380
5577,25470
2231,26620
9261,19620
2633,24145
5239,28876
11759,17825
9363,18300
590,29751
5706,25846
11712,17836
3455,25462
12294,22613
2075,28284
4168,26370
12293,22618
5896,25904
6298,22994
5684,25839
777,27018
11210,17089
2347,26453
3166,25884
1194,25734
9137,19931
6853,22002
9763,19366
9904,18622
2304,27843
6888,22510
4640,28915
9927,18817
8459,19366
1113,28367
2982,24984
656,28786
7194,20923
5494,26429
4281,28519
9522,19175
13317,23230
12495,19860
5146,28706
2813,24214
7893,18345
565,30109
8042,16879
1803,27079
12351,19268
10504,16423
5766,24392
840,27074
1642,26652
7093,19238
3434,25518
5174,28524
11703,17935
2666,23986
7872,18582
46,26577
1149,26756
5785,24188
2943,24391
9245,19556
8886,19915
765,27228
7602,20069
4791,28882
1566,26449
13084,23164
6934,21366
7653,20097
2620,24514
13239,22458
5259,28273
2613,23873
8408,19371
3026,24253
9180,20010
12280,22482
9545,18981
3721,24619
1011,28439
6601,24724
5833,23854
9420,19387
6014,24717
4192,27286
2685,24300
7484,20324
6032,24476
3703,24026
8071,16230
11872,17323
11891,17235
3652,23435
10981,16578
11381,18642
6214,24173
9316,19436
12691,20104
8814,19916
4073,26669
10730,15260
1345,25474
1444,26565
8878,20067
7921,17701
4010,26789
6372,22780
3842,24405
2422,26434
3781,24719
2732,24328
80,26798
11417,19386
5945,25577
10080,17463
335,29052
5916,26029
12568,19717
9020,20564
8233,17797
1572,26552
9174,19956
11614,18103
879,28056
6556,25031
12928,23740
1509,25883
1896,26050
11569,18320
5743,24820
8248,17962
3614,23785
12213,18177
1845,26991
111,26997
472,29114
6030,24690
6482,24423
10656,16576
9668,19002
9288,19732
7066,19882
6180,23575
8134,15565
12853,23146
1183,25995
8819,19975
2861,24580
4333,30032
5843,24471
6887,22474
2108,28934
8681,21250
11094,16580
10732,15274
13121,20180
5927,26134
3881,26031
4112,26279
10701,16267
3592,24313
4288,28743
8729,21255
5852,24600
6271,23189
4716,28525
10885,15968
11801,18302.2
7607,20178
11489,18407
7169,20236
6110,24696
2186,27276
5537,25693
11315,17696
1193,25842
45,26603
976,28852
13201,22158
6081,25493
1578,26482
10332,17229
12466,20102
2963,25052
6045,25184
5306,27516
1584,26478
9693,19482
11550,18337
12839,23459
12581,19447
9590,18610
1975,27711
3341,24425
13402,23186
5424,26205
315,28982
11499,18374
5963,25300
6131,24746
11722,17538
10458,17030
3275,24807
2840,23924
1624,26800
11745,17910
7375,22294
7606,20192
10840,15556
2315,27354
6951,21436
4226,27813
4993,28106
1071,28550
8925,19230
5572,25156
12780,22188
7030,20907
2404,26078
11133,16590
3035,24117
8673,21725
409,29433
4918,28186
37,26133
3963,26498
576,29961
9976,18110
10297,18010
2973,25004
4834,28623
8570,21805
713,27622
7601,20010
10393,17749
4220,27692
1087,28531
6145,23841
2335,27228
5460,26360
3344,24310
5553,25237
1454,26417
6862,22201
4401,29132
9527,18990
881,28121
2906,22898
1710,27564
13139,21493
10191,17758
3833,24110
11737,17691
13299,23368
2245,27228
9289,19587
12538,20104
6363,23197
6532,24493
6310,23202
8250,17737
7322,21148
239,28350
7711,19627
10417,17621
11612,18117
1597,26907
8644,22044
1097,28618
394,29255
9665,19097
1901,26062
3710,24227
3519,24519
12094,17479
1180,26055
7223,20944
1911,26266
4265,28236
8772,20872
3006,24070
2214,26200
9898,18467
2781,23903
10692,16346
6931,21303
8544,21428
4609,29289
4028,26483
6586,24393
2879,22854
9773,19015
5466,26126
5491,26493
8593,21595
12227,18341
3540,24449
7770,19781
8075,16168
3411,25115
12548,19798
1691,26846
9481,19570
4231,27485
9585,18364
6690,22420
123,27097
9730,19892
1952,27038
12004,16974
7231,21287
4351,29420
6220,24126
12180,17442
4580,28672
4540,28929
3613,23806
906,28422
5746,24032
12439,20703
3118,25275
11182,16773
12963,23908
4884,29101
3794,24919
10759,15274
13150,21423
7530,20465
1891,26409
4007,26909
5657,25956
8324,18784
295,28785
5038,28910
1046,28549
3684,23835
12456,20250
10565,16541
1785,26357
10290,17735
286,28818
6560,24835
4701,28202
1758,27033
5331,28153
1284,25380
4639,28950
13273,22680
6440,24234
12552,19635
4509,29760
7517,20678
10469,16843
4392,29143
3033,24359
4026,26644
9843,17797
549,29700
11350,18585
3755,24594
5922,26094
10773,16175
1731,27600
10215,17081
5062,28951
10087,17980
10024,17878
6522,23862
5502,26552
4291,28836
2648,24430
2586,22954
6562,24949
8193,16222
12137,17461
8373,19652
5900,26125
3160,25616
7336,21230
5768,24424
8731,21340
8608,21719
6108,24707
2377,26424
10990,16555
9947,18447
13373,23200
8961,19662
8079,15504
3115,25308
10650,16675
7104,19985
6620,24165
2025,28292
11625,18117
8283,17719
9362,18313
11347,18394
5781,24174
10837,15390
2585,22961
1303,25654
3282,24864
7900,18192
7046,20718
4352,29426
10163,17908
7258,21723
3902,26343
9149,19576
7572,20032
12388,19621
8693,21317
5364,27269
9162,19714
1613,26672
10530,16408
7681,19923
4502,30264
3931,26381
4982,27935
5099,28805
3851,24840
5406,25272
11239,16248
12083,17842
2981,24871
10090,17902
467,29030
7061,20009
11705,17958
7745,19967
6157,23476
4127,26562
8229,18126
106,27240
6756,19641
13275,22787
2638,24095
6594,24681
11843,17403
12290,21982
6676,22556
11415,19535
411,29389
7288,20921
8295,17263
12998,24545
11342,18425
11881,17141
12308,23213
11966,16916
8419,19563
3995,26757
5723,25019
7131,20100
1503,26050
12366,19620
5651,25845
9656,18972
4447,29915
8971,19770
6237,24017
10586,16620
7447,20993
7620,20007
1862,27082
4292,28865
10108,17209
6062,25419
2360,26350
5576,25342
8735,21099
2133,28895
8585,21525
9264,19959
2406,26284
29,25819
12826,22835
5589,25680
